,날짜,시가,고가,저가,종가,거래량
0,2017-12-08,149500,194000,149500,194000,68343
1,2017-12-11,222000,249000,214000,248500,684631
2,2017-12-12,242500,246500,222500,235000,286513
3,2017-12-13,235000,242500,228000,235000,94609
4,2017-12-14,236000,236500,221500,234000,118532
5,2017-12-15,230000,242000,230000,236500,63106
6,2017-12-18,240000,240000,233000,238000,25868
7,2017-12-19,237000,238000,225500,227000,37388
8,2017-12-20,225500,227500,222500,225500,43299
9,2017-12-21,225000,226000,220500,220500,48028
10,2017-12-22,224500,224500,217000,219500,21824
11,2017-12-26,217500,221500,215000,219000,19031
12,2017-12-27,216000,218500,209000,212500,19265
13,2017-12-28,210500,213000,209500,210000,28678
14,2018-01-02,212500,212500,208500,210500,43076
15,2018-01-03,205500,208500,201500,202500,39089
16,2018-01-04,203000,203500,200500,200500,49743
17,2018-01-05,202500,202500,196500,200000,29452
18,2018-01-08,200000,201000,199000,199000,26055
19,2018-01-09,199000,207000,195500,206000,38911
20,2018-01-10,207000,211500,203500,210500,42692
21,2018-01-11,212000,213000,204000,208500,46884
22,2018-01-12,209000,209500,200500,201500,42666
23,2018-01-15,202000,208000,199000,206000,28168
24,2018-01-16,206000,211000,205500,210000,32777
25,2018-01-17,208000,219500,208000,218000,30967
26,2018-01-18,215500,221000,213500,221000,15647
27,2018-01-19,217500,221500,215000,215000,10446
28,2018-01-22,218000,218000,206000,209000,25762
29,2018-01-23,207000,214500,207000,214000,17581
30,2018-01-24,214000,221500,212500,219000,18102
31,2018-01-25,215000,219000,214500,218500,16113
32,2018-01-26,216500,227000,216500,220000,22580
33,2018-01-29,220000,227500,220000,227000,31219
34,2018-01-30,228500,232000,217000,217500,32415
35,2018-01-31,217500,220000,212500,220000,42255
36,2018-02-01,220000,221000,216000,218000,14143
37,2018-02-02,218000,221000,213000,214000,17661
38,2018-02-05,218000,221000,210000,212000,24307
39,2018-02-06,211500,213500,205000,209500,31337
40,2018-02-07,209000,210500,206500,206500,26237
41,2018-02-08,203500,209500,203500,206000,21050
42,2018-02-09,204000,211500,202000,210500,28746
43,2018-02-12,209000,211500,206500,210500,12513
44,2018-02-13,209000,211000,197000,199000,41843
45,2018-02-14,201000,201500,182500,187000,143124
46,2018-02-19,191000,191000,186500,188000,26245
47,2018-02-20,186000,187500,184500,186000,72152
48,2018-02-21,188000,188000,185000,187000,34023
49,2018-02-22,186000,186000,178000,178000,56556
50,2018-02-23,178000,180500,172500,178000,103525
51,2018-02-26,180000,180000,170500,172000,68871
52,2018-02-27,172000,174500,168000,170000,58047
53,2018-02-28,170000,174500,169000,174000,47346
54,2018-03-02,171000,172500,167000,169000,42902
55,2018-03-05,168500,173000,166000,167000,32831
56,2018-03-06,168000,171000,161000,161500,49441
57,2018-03-07,162000,163000,154500,157000,73222
58,2018-03-08,157000,161000,156500,158500,45232
59,2018-03-09,158500,166000,158500,163500,113100
60,2018-03-12,164500,170000,163500,167500,60143
61,2018-03-13,165000,169500,162000,168500,67916
62,2018-03-14,165500,168500,163000,164500,32816
63,2018-03-15,164000,169500,161500,167500,42601
64,2018-03-16,167500,170500,166000,169500,29903
65,2018-03-19,170000,170000,163500,164000,17328
66,2018-03-20,162000,165500,161500,162500,37351
67,2018-03-21,162000,164000,161500,163000,45677
68,2018-03-22,162500,167500,162500,165500,35416
69,2018-03-23,164000,165000,160000,161500,37074
70,2018-03-26,161500,162500,152500,155500,55806
71,2018-03-27,156000,158500,150500,155000,59085
72,2018-03-28,155000,158500,152500,154500,25435
73,2018-03-29,153500,161000,152500,152500,40141
74,2018-03-30,155000,170000,153500,169000,64701
75,2018-04-02,170000,170000,164000,169500,36758
76,2018-04-03,169500,186000,167000,179000,106031
77,2018-04-04,178000,183000,176500,176500,51757
78,2018-04-05,176500,180000,170500,171500,31697
79,2018-04-06,171000,175000,168500,174500,20944
80,2018-04-09,172500,191000,169500,186500,42051
81,2018-04-10,183500,184000,177500,178000,39175
82,2018-04-11,175000,179000,173500,179000,29113
83,2018-04-12,177000,180000,175000,179000,34531
84,2018-04-13,176500,178500,174000,176500,33583
85,2018-04-16,176500,177000,172000,175000,31541
86,2018-04-17,172500,176500,172500,174500,20739
87,2018-04-18,174000,177500,173000,177500,31816
88,2018-04-19,175500,176500,170500,171500,23304
89,2018-04-20,170000,179000,170000,177000,39494
