,날짜,시가,고가,저가,종가,거래량
0,2011-03-30,14073,14725,13886,14633,2486239
1,2011-03-31,14818,14866,14632,14820,1360158
2,2011-04-01,14725,15332,14632,15193,2395651
3,2011-04-04,15098,15285,14959,15193,1521104
4,2011-04-05,15005,15145,14866,14959,1096267
5,2011-04-06,14866,14912,14259,14447,1741615
6,2011-04-07,14632,14632,14073,14120,785308
7,2011-04-08,14166,14213,13700,13747,1187996
8,2011-04-11,13793,13979,13654,13888,682156
9,2011-04-12,13793,14026,13560,13654,520905
10,2011-04-13,13606,13700,13327,13468,865036
11,2011-04-14,13420,13513,12955,13328,1180586
12,2011-04-15,13187,13420,13141,13328,845897
13,2011-04-18,13281,13420,12535,12676,1045927
14,2011-04-19,12582,13094,12396,13049,991303
15,2011-04-20,13281,13374,12908,12955,921644
16,2011-04-21,13048,13094,12535,12582,1151081
17,2011-04-22,12675,13700,12628,13468,1630857
18,2011-04-25,13747,13979,13374,13468,1388458
19,2011-04-26,13467,13513,12955,13281,1236783
20,2011-04-27,13513,13979,13281,13747,1452861
21,2011-04-28,13747,14073,13654,13981,1121614
22,2011-04-29,13840,14539,13654,14540,1862798
23,2011-05-02,14818,14866,14493,14680,1547018
24,2011-05-03,14679,14725,14352,14586,794402
25,2011-05-04,14679,14725,14026,14400,770692
26,2011-05-06,14213,14259,13979,14120,742470
27,2011-05-09,14213,14306,13747,13747,633842
28,2011-05-11,13747,13933,13606,13794,613384
29,2011-05-12,13700,13933,13560,13654,810067
30,2011-05-13,13606,13654,13281,13281,834982
31,2011-05-16,13187,13467,13001,13235,675313
32,2011-05-17,13141,13513,13141,13374,412298
33,2011-05-18,13513,13933,13420,13888,723366
34,2011-05-19,14073,14120,13467,13794,1686511
35,2011-05-20,13886,14166,13793,14120,705587
36,2011-05-23,14259,14259,13840,14074,557131
37,2011-05-24,13979,14446,13933,14400,631476
38,2011-05-25,14399,14399,13933,14074,458534
39,2011-05-26,14306,14352,14026,14354,349996
40,2011-05-27,14446,14446,14073,14447,523236
41,2011-05-30,14399,14446,13886,14120,424327
42,2011-05-31,14120,14539,13979,14540,2386475
43,2011-06-01,14166,14539,14166,14540,500504
44,2011-06-02,13979,14166,13886,13888,596718
45,2011-06-03,13933,14493,13886,14493,426138
46,2011-06-07,14306,14912,14259,14727,922909
47,2011-06-08,14725,14725,14259,14586,477965
48,2011-06-09,14446,14539,13979,14027,663797
49,2011-06-10,14073,14166,13467,13468,1027480
50,2011-06-13,13420,13793,13374,13794,405155
51,2011-06-14,13793,13886,13513,13654,362509
52,2011-06-15,13793,13793,13467,13515,783349
53,2011-06-16,13467,13467,13141,13235,693417
54,2011-06-17,13281,13420,13187,13189,1264092
55,2011-06-20,13187,13281,12955,13096,489267
56,2011-06-21,13141,13793,13094,13794,774004
57,2011-06-22,13840,13886,13187,13281,1074508
58,2011-06-23,13281,13793,13187,13421,931159
59,2011-06-24,13606,14259,13513,14167,1474468
60,2011-06-27,14073,14213,13747,13934,386289
61,2011-06-28,14166,14446,14120,14307,726317
62,2011-06-29,14446,14632,14026,14074,547794
63,2011-06-30,14120,14352,13979,14074,821667
64,2011-07-01,14166,14213,14026,14167,411216
65,2011-07-04,14259,14399,14073,14213,326679
66,2011-07-05,14166,14306,14120,14307,460426
67,2011-07-06,14352,14399,14213,14307,359626
68,2011-07-07,14213,14446,14213,14307,359279
69,2011-07-08,14306,14352,13793,13934,1453751
70,2011-07-11,13886,14166,13654,14167,595157
71,2011-07-12,14073,14073,13793,13888,600640
72,2011-07-13,14026,14259,13886,14213,641340
73,2011-07-14,14306,14352,14026,14354,688700
74,2011-07-15,14399,14586,14259,14586,611958
75,2011-07-18,14679,14679,14166,14261,404520
76,2011-07-19,14213,14632,14120,14354,587040
77,2011-07-20,14446,14912,14399,14913,1396735
78,2011-07-21,14912,15285,14866,15286,1004499
79,2011-07-22,15378,15797,15332,15565,1131221
80,2011-07-25,15517,15657,15098,15471,328950
81,2011-07-26,15425,15844,15425,15658,809988
82,2011-07-27,15610,16170,15052,15332,1017320
83,2011-07-28,15052,15285,15052,15146,328714
84,2011-07-29,15191,15657,14959,15146,562937
85,2011-08-01,15378,15657,14912,15100,601656
86,2011-08-02,15005,15098,14586,14727,712462
87,2011-08-03,14352,14539,13933,14074,681800
88,2011-08-04,14166,14399,13979,14307,478313
89,2011-08-05,13560,14166,13513,13608,903367
90,2011-08-08,13606,13747,12768,13049,841170
91,2011-08-09,13001,13001,11789,12070,1627664
92,2011-08-10,12628,13513,12162,12163,1791212
93,2011-08-11,11603,12348,11509,12163,1077924
94,2011-08-12,12628,12862,12396,12723,1085350
95,2011-08-16,13094,13420,13048,13281,651502
96,2011-08-17,13141,13327,12955,12955,835672
97,2011-08-18,12908,12955,12255,12303,980823
98,2011-08-19,11836,11976,11650,11930,969646
99,2011-08-22,11743,12628,11696,12396,660420
100,2011-08-23,12535,12675,11696,11837,1295441
101,2011-08-24,11976,11976,10997,10999,1757152
102,2011-08-25,11277,11416,10858,10858,1053140
103,2011-08-26,10717,11277,10717,11138,1117886
104,2011-08-29,11463,11557,11137,11464,1093364
105,2011-08-30,11976,12535,11976,12210,9071406
106,2011-08-31,12069,12396,11929,12350,983240
107,2011-09-01,12489,13048,12255,12630,1892972
108,2011-09-02,12489,13048,12162,12303,929023
109,2011-09-05,12162,12302,11743,11930,945858
110,2011-09-06,11696,12348,11463,12116,835698
111,2011-09-07,12396,12489,11976,12257,767037
112,2011-09-08,12302,12721,12302,12630,893760
113,2011-09-09,12442,12815,12162,12210,630707
114,2011-09-14,12069,12162,11137,11371,947383
115,2011-09-15,11696,11929,11043,11091,850911
116,2011-09-16,11509,12116,11323,12116,689652
117,2011-09-19,11976,12535,11696,12443,784260
118,2011-09-20,12255,12815,12023,12723,812667
119,2011-09-21,12582,13374,12442,13142,793591
120,2011-09-22,12721,12768,11882,12163,1078462
121,2011-09-23,11416,11650,11323,11418,922052
122,2011-09-26,11416,11743,11090,11697,1257523
123,2011-09-27,12069,12721,11882,12210,1026584
124,2011-09-28,12348,12442,11743,11884,1467092
125,2011-09-29,11789,12396,11556,12396,1148614
126,2011-09-30,12255,12396,11976,12257,1169955
127,2011-10-04,11370,11789,11230,11791,794239
128,2011-10-05,11882,12116,11650,11930,659905
129,2011-10-06,12209,12815,12116,12303,776170
130,2011-10-07,12721,12908,12442,12443,444141
131,2011-10-10,12302,12675,11929,12070,442513
132,2011-10-11,12628,12628,11836,11837,1088729
133,2011-10-12,11836,11882,11603,11650,1162876
134,2011-10-13,11882,12255,11743,12023,1039054
135,2011-10-14,11882,12255,11743,12116,784607
136,2011-10-17,12255,12302,11836,11930,693781
137,2011-10-18,11696,11836,11650,11743,766369
138,2011-10-19,11882,11929,11416,11650,862134
139,2011-10-20,11650,11743,11277,11371,1112706
140,2011-10-21,11509,11509,11184,11464,640168
141,2011-10-24,11557,11976,11509,11977,678808
142,2011-10-25,12023,12023,11743,11837,704750
143,2011-10-26,11603,11650,11509,11511,606009
144,2011-10-27,11603,11696,11416,11697,899514
145,2011-10-28,12302,12535,11696,11743,1753294
146,2011-10-31,11743,11976,11416,11604,828364
147,2011-11-01,11416,11696,11370,11418,852443
148,2011-11-02,11230,11277,11090,11184,942414
149,2011-11-03,11370,11370,10811,10905,1153178
150,2011-11-04,11137,11463,11090,11371,866326
151,2011-11-07,11416,11463,11090,11324,618317
152,2011-11-08,11370,11416,11137,11138,449416
153,2011-11-09,11277,11416,11137,11371,578588
154,2011-11-10,11043,11230,10858,10858,1057006
155,2011-11-11,11043,11090,10858,11045,580166
156,2011-11-14,11184,11277,11090,11091,371703
157,2011-11-15,10997,11043,10671,10719,877660
158,2011-11-16,10717,10811,10392,10485,786313
159,2011-11-17,10438,10485,10158,10253,824786
160,2011-11-18,10065,10112,9739,9787,1027532
161,2011-11-21,9832,9972,9506,9600,1005000
162,2011-11-22,9459,10065,9459,9926,987783
163,2011-11-23,10019,10019,9692,9693,854781
164,2011-11-24,9692,10205,9692,10019,922333
165,2011-11-25,10019,10438,9972,10253,1351252
166,2011-11-28,10438,10671,10392,10485,908468
167,2011-11-29,10624,10765,10345,10626,1158913
168,2011-11-30,10531,10717,10531,10626,570369
169,2011-12-01,11043,11137,10624,10626,1378530
170,2011-12-02,10671,10997,10624,10812,896707
171,2011-12-05,10904,10951,10485,10672,522669
172,2011-12-06,10578,10624,10392,10532,519986
173,2011-12-07,10531,10671,10485,10672,484382
174,2011-12-08,10671,10858,10438,10719,779611
175,2011-12-09,10531,10811,10392,10672,864028
176,2011-12-12,10858,10904,10485,10765,754064
177,2011-12-13,10578,10624,9926,10019,1284104
178,2011-12-14,10019,10392,9926,10253,847424
179,2011-12-15,10205,10392,10065,10066,1248336
180,2011-12-16,10158,10345,9926,9973,896440
181,2011-12-19,10065,10065,9599,9740,898870
182,2011-12-20,9739,9972,9692,9833,723353
183,2011-12-21,10112,10345,10019,10346,1053699
184,2011-12-22,10205,10392,10205,10346,525470
185,2011-12-23,10345,10485,10298,10392,980073
186,2011-12-26,10438,10438,10251,10299,719507
187,2011-12-27,10298,10531,10298,10485,725851
188,2011-12-28,10205,10298,10065,10253,270878
189,2011-12-29,10112,10345,10019,10299,292008
190,2012-01-02,10205,10345,9926,9926,365486
191,2012-01-03,10019,10485,10019,10485,593050
192,2012-01-04,10438,10485,10158,10160,556104
193,2012-01-05,10158,10392,10019,10346,697810
194,2012-01-06,10438,10438,9972,10066,517618
195,2012-01-09,10019,10158,9832,10112,655222
196,2012-01-10,10158,10392,10065,10346,589948
197,2012-01-11,10392,10438,10205,10299,507219
198,2012-01-12,10251,10438,10205,10439,490088
199,2012-01-13,10392,10624,10392,10579,634541
200,2012-01-16,10485,10671,10438,10626,623504
201,2012-01-17,10624,11463,10624,11464,1474220
202,2012-01-18,11277,11743,11184,11604,796644
203,2012-01-19,11743,11882,11603,11743,718830
204,2012-01-20,11696,12023,11650,11977,560489
205,2012-01-25,12023,12162,11463,11464,640212
206,2012-01-26,11557,12023,11509,11977,500850
207,2012-01-27,11976,12069,11836,12070,433260
208,2012-01-30,11882,11976,11789,11977,620352
209,2012-01-31,11976,12069,11789,11884,486618
210,2012-02-01,11836,11836,11509,11557,872173
211,2012-02-02,11743,12023,11743,11837,1098840
212,2012-02-03,11976,12069,11696,12070,928568
213,2012-02-06,12302,12348,12116,12257,771425
214,2012-02-07,12255,12348,11789,12070,789863
215,2012-02-08,12023,12162,11882,12116,520640
216,2012-02-09,12209,12209,11882,12070,510894
217,2012-02-10,12116,12162,11976,12070,483405
218,2012-02-13,12116,12396,12069,12257,1258701
219,2012-02-14,12069,12116,11836,11977,1009074
220,2012-02-15,12023,12582,11976,12489,1481126
221,2012-02-16,12348,12489,12255,12350,1407071
222,2012-02-17,12815,13001,12489,12816,1508618
223,2012-02-20,12721,13048,12628,12955,846522
224,2012-02-21,12862,13094,12721,12909,953137
225,2012-02-22,12815,12815,12302,12443,530746
226,2012-02-23,12442,12721,12255,12489,559498
227,2012-02-24,12628,13001,12489,13002,744350
228,2012-02-27,13001,13467,12815,13421,1054112
229,2012-02-28,13327,13467,12955,12955,908200
230,2012-02-29,13048,13234,13001,13002,710655
