,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,49689,56213,47681,56213,174470
1,2000-01-05,50191,54206,48183,49689,108320
2,2000-01-06,52700,52700,44168,44669,137719
3,2000-01-07,44670,46677,40654,44669,181850
4,2000-01-10,46677,49187,45673,45924,98210
5,2000-01-11,48183,51194,47682,47681,277648
6,2000-01-12,50191,52951,49186,49939,240205
7,2000-01-13,50692,51194,47229,49036,80520
8,2000-01-14,49337,52449,49337,52198,213560
9,2000-01-17,50191,52700,50090,52198,115020
10,2000-01-18,52197,52197,49336,50089,126340
11,2000-01-19,54707,54707,49336,50039,289940
12,2000-01-20,47681,50190,46175,49186,156520
13,2000-01-21,47430,49187,46126,48183,106755
14,2000-01-24,46175,48031,45672,47630,94282
15,2000-01-25,45724,46928,44670,44669,89002
16,2000-01-26,43265,44670,41005,41758,180190
17,2000-01-27,41156,43967,39902,43013,120856
18,2000-01-28,43013,44267,41708,43364,122344
19,2000-01-31,42461,43164,42010,42361,102612
20,2000-02-01,43163,43614,41909,42260,169700
21,2000-02-02,42259,43264,41758,42712,251504
22,2000-02-03,42712,43164,42010,42662,151223
23,2000-02-07,42661,46676,42209,45171,272713
24,2000-02-08,45170,46175,43465,43866,125994
25,2000-02-09,43865,44569,42209,43364,233620
26,2000-02-10,42661,42912,41155,41156,230178
27,2000-02-11,41156,41910,40002,40654,241755
28,2000-02-14,38997,40101,35383,35384,276246
29,2000-02-15,34130,36037,33979,34631,287652
30,2000-02-16,35133,35836,33126,34882,227336
31,2000-02-17,35182,40101,35182,40102,332446
32,2000-02-18,41809,43666,38195,39550,317066
33,2000-02-21,37141,38145,36639,37291,187198
34,2000-02-22,37291,39048,36889,38696,159034
35,2000-02-23,44419,44419,39399,40654,240997
36,2000-02-24,40655,42310,39902,41557,195405
37,2000-02-25,41657,41657,39901,40302,102342
38,2000-02-28,37844,37894,36138,36589,207826
39,2000-02-29,36138,37493,35384,36589,211579
40,2000-03-02,36890,40102,36639,38346,178347
41,2000-03-03,38395,38395,35685,36237,187216
42,2000-03-06,38043,38646,36337,37893,401766
43,2000-03-07,37642,40904,36438,37893,310956
44,2000-03-08,37642,39901,37140,39600,259258
45,2000-03-09,39901,41557,38897,39148,284488
46,2000-03-10,39850,39850,38746,38897,149124
47,2000-03-13,38997,40604,38897,39399,196710
48,2000-03-14,39149,39149,36890,38647,88160
49,2000-03-15,37392,38446,36639,38446,104706
50,2000-03-16,39149,39600,37593,38145,99710
51,2000-03-17,39149,39399,37242,37693,108654
52,2000-03-20,36639,37442,35434,35535,167470
53,2000-03-21,35686,36539,35384,35485,138800
54,2000-03-22,35685,37040,35685,36086,171747
55,2000-03-23,35685,35986,35283,35635,184716
56,2000-03-24,35384,36389,35284,36137,157290
57,2000-03-27,35987,35987,35384,35686,111430
58,2000-03-28,35886,36890,35635,36639,201495
59,2000-03-29,36889,37542,36187,36940,208102
60,2000-03-30,37693,40051,37241,37893,383993
61,2000-03-31,38144,38144,36086,36488,132795
62,2000-04-03,36889,37140,33827,34079,178095
63,2000-04-04,33878,33878,29011,30817,299734
64,2000-04-06,30616,31569,29762,29863,148130
65,2000-04-07,29612,30366,28358,28659,440309
