,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,45826,51732,45826,50308,1421080
1,2000-01-05,47864,51938,46031,51326,1734610
2,2000-01-06,52140,54992,47863,48475,2252950
3,2000-01-07,48474,51528,47862,49697,1699760
4,2000-01-10,52955,53159,48882,48882,1486990
5,2000-01-11,48271,54585,48067,50104,2957330
6,2000-01-12,49288,52954,49085,49697,1596450
7,2000-01-13,51732,55398,50510,55400,4647130
8,2000-01-14,55398,60083,49288,51734,6830130
9,2000-01-17,53363,54381,49696,50715,2384210
10,2000-01-18,50714,51529,47252,48475,2059370
11,2000-01-19,48474,50307,46029,47253,2544260
12,2000-01-20,45623,47049,42772,46845,1687020
13,2000-01-21,45622,48067,44197,44809,1355410
14,2000-01-24,45418,48066,45011,46031,1585570
15,2000-01-25,46029,47455,43789,44198,1097530
16,2000-01-26,44809,45623,42364,42975,1077670
17,2000-01-27,42363,44604,41142,43994,1677360
18,2000-01-28,43178,45826,43178,44198,1548610
19,2000-01-31,43178,44196,42567,43587,1095420
20,2000-02-01,44808,47456,44401,45012,2407450
21,2000-02-02,45623,50512,45216,48678,2337050
22,2000-02-03,50104,51734,47660,48067,2299280
23,2000-02-07,48068,53567,47660,51326,3582600
24,2000-02-08,51326,52345,48679,49493,1250500
25,2000-02-09,49493,50307,47253,47456,1294570
26,2000-02-10,45623,48270,44401,45623,1344260
27,2000-02-11,45012,46845,43994,46234,1524960
28,2000-02-14,45011,46640,42770,42772,1795710
29,2000-02-15,43586,44401,39920,40694,864440
30,2000-02-16,41142,41956,37679,39717,1031140
31,2000-02-17,38331,41550,38331,41346,1051160
32,2000-02-18,39920,42976,39920,40735,1129640
33,2000-02-21,38779,46845,38779,41142,2365860
34,2000-02-22,40734,42771,40326,41550,1049830
35,2000-02-23,44808,46844,42363,43994,1941540
36,2000-02-24,42771,44400,41956,43587,1204440
37,2000-02-25,43993,48067,43993,45216,2141990
38,2000-02-28,43585,46640,41956,42772,1612680
39,2000-02-29,43179,45012,42161,42364,1759750
40,2000-03-02,42975,44196,41956,43587,1158750
41,2000-03-03,43179,43993,41143,41142,796570
42,2000-03-06,42363,44808,41752,43587,1606650
43,2000-03-07,43382,44196,42159,42772,633110
44,2000-03-08,41957,43586,41143,41957,879090
45,2000-03-09,43179,45623,41957,43179,1754740
46,2000-03-10,44809,46234,43179,44401,1913030
47,2000-03-13,46029,49288,44400,46031,2235860
48,2000-03-14,47252,48270,42975,43587,1361250
49,2000-03-15,42770,45418,42770,42772,769290
50,2000-03-16,43586,43993,40124,40735,807500
51,2000-03-17,41957,43790,40939,43790,1040890
52,2000-03-20,43179,45623,42975,43179,954790
53,2000-03-21,43178,44401,40938,40939,2161930
54,2000-03-22,43508,43733,41478,41570,897300
55,2000-03-23,41570,42337,39226,39541,747590
56,2000-03-24,39721,42606,38773,40533,1152200
57,2000-03-27,39316,40443,39316,39721,637830
58,2000-03-28,40352,40578,39226,39225,637980
59,2000-03-29,38819,39089,36609,36791,690680
60,2000-03-30,38279,40578,37828,39676,1118190
61,2000-03-31,41480,41885,38008,39676,803160
62,2000-04-03,39226,39451,35663,36971,485490
63,2000-04-04,36520,36970,34942,35844,458690
64,2000-04-06,33815,40488,33815,36069,1848480
65,2000-04-07,37602,41254,37422,39225,2156240
66,2000-04-10,40532,41028,38819,38865,1583360
67,2000-04-11,38729,38955,36160,36971,783150
68,2000-04-12,36113,37195,35753,36295,614830
69,2000-04-14,34040,37873,33634,36069,863090
70,2000-04-17,31560,32912,30658,30659,873670
71,2000-04-18,32912,33137,28899,30118,1462580
72,2000-04-19,31110,32462,30118,30208,1701850
73,2000-04-20,29756,30883,28944,28946,711110
74,2000-04-21,29621,31379,29080,30118,1810350
75,2000-04-24,30794,30839,29667,29802,897960
76,2000-04-25,29532,29667,28856,28855,570590
77,2000-04-26,29350,29756,26826,26827,952790
78,2000-04-27,26194,26330,23399,23671,935070
79,2000-04-28,23264,24932,23264,24933,1340350
80,2000-05-02,24797,26104,24797,24888,873440
81,2000-05-03,24346,26511,24166,25609,1106840
82,2000-05-04,24798,25924,24798,25023,628630
83,2000-05-08,27052,28766,26150,28765,609300
84,2000-05-09,33048,33048,30433,31110,3944380
85,2000-05-10,29305,32011,28043,29622,1977660
86,2000-05-12,30612,33994,29756,32057,1871670
87,2000-05-15,32055,32461,28403,28495,1060770
88,2000-05-16,28855,29711,27186,27954,928080
89,2000-05-17,27007,27457,23761,23986,754650
90,2000-05-18,23986,23986,20424,20424,1037870
91,2000-05-19,20423,22767,19386,20898,1389560
92,2000-05-22,21190,21415,17786,17787,1536260
93,2000-05-23,16231,17764,16231,17178,1860620
94,2000-05-24,17133,19343,15826,18260,3109720
95,2000-05-25,18485,20740,18485,20514,2623260
96,2000-05-26,19611,19792,17672,17674,1462500
97,2000-05-29,16682,18666,15826,17719,1476610
98,2000-05-30,18484,19251,18169,18869,1545710
99,2000-05-31,19906,21416,19612,21326,2308690
100,2000-06-01,21189,21189,19679,20064,1292800
101,2000-06-02,21010,21190,19882,20244,1674410
102,2000-06-05,21190,22994,21010,22453,2623180
103,2000-06-07,19657,24752,19612,23986,5955300
104,2000-06-08,25248,25608,22767,23220,3048070
105,2000-06-09,23219,23895,22587,22859,1887580
106,2000-06-12,23490,23761,22544,22994,1836130
107,2000-06-13,22678,22813,20492,20875,1557320
108,2000-06-14,20964,22091,20400,21146,1585410
109,2000-06-15,20515,21416,19433,19432,1630390
110,2000-06-16,18936,19815,18530,18576,1044060
111,2000-06-19,18033,18800,17808,18035,953480
112,2000-06-20,18484,19792,18259,19027,1886250
113,2000-06-21,19882,21866,19566,21191,4565280
114,2000-06-22,21190,21596,20289,20875,1844080
115,2000-06-23,20876,22499,20424,21416,2098780
116,2000-06-26,22091,22993,22091,22318,1672250
117,2000-06-27,23399,24797,22993,23671,3384900
118,2000-06-28,23083,24345,22767,22769,1598950
119,2000-06-29,22993,23579,21686,22273,1653460
120,2000-06-30,22542,25248,22542,24347,4030260
121,2000-07-03,25474,25610,23896,24527,2905250
122,2000-07-04,24526,24887,23219,23220,1490110
123,2000-07-05,22994,24121,22543,23400,2008910
124,2000-07-06,23399,26871,23399,26872,5743300
125,2000-07-07,28224,28630,26691,27142,5812550
126,2000-07-10,26961,29440,25744,28405,5095400
127,2000-07-11,28404,29756,27727,27909,2956590
128,2000-07-12,27954,29261,27593,28314,2713800
129,2000-07-13,28855,32461,28449,31110,6829100
130,2000-07-14,31244,32011,29440,29577,2693500
131,2000-07-18,30208,30208,26917,28314,1818910
132,2000-07-19,27096,27817,26375,26421,2348440
133,2000-07-20,25924,26601,24843,25023,1468300
134,2000-07-21,24888,25879,24888,25158,1549550
135,2000-07-24,24798,24978,21867,21867,1536180
136,2000-07-25,21191,23806,21101,22904,1665030
137,2000-07-26,23444,23986,23083,23310,1308060
138,2000-07-27,23444,23670,22317,22814,1134890
139,2000-07-28,22093,23129,21957,22363,1353340
140,2000-07-31,22543,22768,21687,22408,882750
141,2000-08-01,22678,23760,22407,23445,1144830
142,2000-08-02,23670,24121,23444,23761,781990
143,2000-08-03,23894,24030,23310,23400,796500
144,2000-08-04,23489,26870,23173,25429,2928830
145,2000-08-07,25428,27863,24572,26150,3286840
146,2000-08-08,26149,27050,23714,23806,2400620
147,2000-08-09,23714,24255,23219,23851,1219950
148,2000-08-10,24120,25158,23895,24392,1022090
149,2000-08-11,24392,25654,24392,24572,1624430
150,2000-08-14,25248,25473,24571,24933,865760
151,2000-08-16,25023,25834,24572,25158,1315030
152,2000-08-17,25247,26014,25022,25384,909830
153,2000-08-18,25925,25970,24843,25609,804150
154,2000-08-21,25249,26015,24978,25113,800780
155,2000-08-22,25474,25879,24933,25203,600310
156,2000-08-23,25338,25383,24571,24798,530770
157,2000-08-24,24797,27953,24797,26286,2881570
158,2000-08-25,26285,26376,25474,25564,777320
159,2000-08-28,25563,25923,25067,25429,742180
160,2000-08-29,25473,25879,25248,25339,517430
161,2000-08-30,25339,25789,25159,25158,523180
162,2000-08-31,25023,25068,23851,23986,682840
163,2000-09-01,23986,24572,23806,24031,586650
164,2000-09-04,24031,24031,23129,23535,639400
165,2000-09-05,23986,24301,23220,23445,645550
166,2000-09-06,23804,24706,23579,23851,1195830
167,2000-09-07,23444,23625,22722,22769,688790
