,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,2850,3275,2850,3275,493520
1,2000-01-05,3500,3730,3300,3540,874340
2,2000-01-06,3535,3535,3175,3330,366870
3,2000-01-07,3500,3580,3400,3515,670490
4,2000-01-10,3750,4040,3620,4040,752080
5,2000-01-11,4200,4290,3900,4000,2003710
6,2000-01-12,4000,4070,3850,4040,595940
7,2000-01-13,4020,4400,3980,4040,1264250
8,2000-01-14,4120,4120,3750,3810,501920
9,2000-01-17,3750,3880,3650,3750,475500
10,2000-01-18,3700,3750,3500,3600,410860
11,2000-01-19,3500,3590,3310,3350,403020
12,2000-01-20,3200,3650,3060,3550,672770
13,2000-01-21,3360,3600,3360,3430,318640
14,2000-01-24,3320,3585,3320,3490,233950
15,2000-01-25,3400,3540,3320,3390,240690
16,2000-01-26,3450,3545,3250,3350,620640
17,2000-01-27,3410,3800,3400,3730,887970
18,2000-01-28,3730,3950,3660,3780,1382940
19,2000-01-31,3780,4070,3650,3940,1189650
20,2000-02-01,4100,4190,3840,3920,760120
21,2000-02-02,3870,4100,3800,4000,809020
22,2000-02-03,4100,4300,3900,4200,1365080
23,2000-02-07,4050,4150,3950,4040,1600570
24,2000-02-08,3950,4000,3740,3740,713650
25,2000-02-09,3825,3880,3670,3700,502930
26,2000-02-10,3550,3630,3450,3480,479380
27,2000-02-11,3450,3600,3310,3390,646690
28,2000-02-14,3500,3600,3400,3400,688890
29,2000-02-15,3555,3640,3450,3550,800930
30,2000-02-16,3800,4080,3710,4050,4248850
31,2000-02-17,3950,3950,3510,3695,1036170
32,2000-02-18,3610,3610,3480,3510,889200
33,2000-02-21,3350,3470,3320,3420,546170
34,2000-02-22,3500,3580,3350,3430,528270
35,2000-02-23,3450,3930,3450,3750,1183280
36,2000-02-24,3800,3800,3450,3500,576360
37,2000-02-25,3400,3520,3360,3400,477860
38,2000-02-28,3400,3420,3300,3360,431490
39,2000-02-29,3370,3510,3290,3320,421030
40,2000-03-02,3250,3400,3230,3380,482750
41,2000-03-03,3350,3350,3260,3270,441170
42,2000-03-06,3220,3460,3220,3410,719860
43,2000-03-07,3590,3600,3160,3390,988430
44,2000-03-08,3320,3450,3300,3335,542090
45,2000-03-09,3335,3400,3300,3340,533170
46,2000-03-10,3320,3440,3260,3260,477260
47,2000-03-13,3260,3350,3150,3300,909230
48,2000-03-14,3380,3390,3200,3215,586600
49,2000-03-15,3215,3250,3030,3080,461130
50,2000-03-16,3110,3190,3000,3010,446890
51,2000-03-17,3120,3270,3030,3140,1029720
52,2000-03-20,3240,3250,3060,3100,387370
53,2000-03-21,3150,3190,3000,3050,495010
54,2000-03-22,3050,3150,3040,3080,568500
55,2000-03-23,3050,3150,3000,3010,520070
56,2000-03-24,3010,3040,2920,2970,451110
57,2000-03-27,2970,3180,2880,3100,885770
58,2000-03-28,3085,3095,2970,3000,423270
59,2000-03-29,2910,2980,2850,2855,448740
60,2000-03-30,2800,2820,2525,2600,455350
61,2000-03-31,2630,2770,2525,2600,399850
62,2000-04-03,2410,2590,2220,2250,356800
63,2000-04-04,2060,2240,2060,2180,322130
64,2000-04-06,2090,2170,2010,2010,334690
65,2000-04-07,2000,2085,1950,2045,582830
66,2000-04-10,2000,2285,2000,2230,658330
67,2000-04-11,2230,2250,2050,2060,322090
68,2000-04-12,2060,2245,2060,2240,618380
69,2000-04-14,2240,2500,2160,2500,854410
70,2000-04-17,2300,2370,2125,2125,646920
71,2000-04-18,2380,2420,2210,2300,1108430
72,2000-04-19,2310,2375,2170,2170,482600
73,2000-04-20,2100,2230,2100,2170,167290
74,2000-04-21,2170,2240,2100,2160,228890
75,2000-04-24,2200,2210,2080,2085,192310
76,2000-04-25,2075,2075,2000,2020,239340
77,2000-04-26,2020,2090,1900,1910,208550
78,2000-04-27,1820,1930,1710,1850,440030
79,2000-04-28,1900,2045,1860,1960,410230
80,2000-05-02,1940,1960,1860,1870,400440
81,2000-05-03,1860,1920,1850,1880,264570
82,2000-05-04,1860,1930,1860,1890,252760
83,2000-05-08,1900,1940,1895,1900,338400
84,2000-05-09,1880,1920,1850,1855,152440
85,2000-05-10,1855,1925,1840,1855,161560
86,2000-05-12,1860,1885,1800,1810,186750
87,2000-05-15,1770,1770,1650,1650,182010
88,2000-05-16,1650,1690,1520,1580,150600
89,2000-05-17,1560,1600,1345,1345,225160
90,2000-05-18,1300,1500,1205,1400,299190
91,2000-05-19,1480,1480,1300,1460,335450
92,2000-05-22,1460,1530,1400,1400,297330
93,2000-05-23,1370,1530,1320,1400,537580
94,2000-05-24,1405,1610,1355,1610,896380
95,2000-05-25,1700,1850,1610,1810,1258540
96,2000-05-26,1650,1780,1540,1540,620130
97,2000-05-29,1540,1770,1540,1770,1003590
98,2000-05-30,1950,2035,1810,1950,2185310
99,2000-05-31,1990,2100,1850,1990,3057310
100,2000-06-01,1980,1980,1750,1780,889700
101,2000-06-02,1830,2000,1830,1900,1434930
102,2000-06-05,2150,2175,2000,2025,3482380
103,2000-06-07,2050,2240,2025,2050,2583690
104,2000-06-08,2090,2090,1830,1980,1113770
105,2000-06-09,2050,2230,1990,2190,2586350
106,2000-06-12,2250,2280,2010,2100,1464880
107,2000-06-13,2100,2120,1920,1930,730430
108,2000-06-14,1930,1980,1820,1870,590640
109,2000-06-15,1870,1900,1800,1800,573580
110,2000-06-16,1800,1890,1800,1800,333420
111,2000-06-19,1805,1870,1800,1800,501060
112,2000-06-20,1850,2070,1805,2010,505160
113,2000-06-21,2010,2120,1880,1910,1399030
114,2000-06-22,1910,1970,1910,1910,618770
115,2000-06-23,1910,1940,1910,1910,318370
116,2000-06-26,1920,2020,1920,1975,295690
117,2000-06-27,2010,2145,1985,2120,981840
118,2000-06-28,2140,2300,2120,2120,2124460
119,2000-06-29,2150,2200,2000,2045,845550
120,2000-06-30,2060,2130,2045,2075,560640
121,2000-07-03,2150,2250,2085,2210,966440
122,2000-07-04,2220,2540,2220,2540,5175910
123,2000-07-05,2590,2635,2250,2590,5588920
124,2000-07-06,2650,2840,2470,2700,3609680
125,2000-07-07,2700,2760,2620,2685,1661240
126,2000-07-10,2780,3085,2750,3075,1832300
127,2000-07-11,3140,3190,2900,2900,2207790
128,2000-07-12,2900,2970,2700,2750,793660
129,2000-07-13,2640,2910,2640,2800,924980
130,2000-07-14,2660,2850,2660,2800,676560
131,2000-07-18,2750,2795,2425,2600,509490
132,2000-07-19,2580,2700,2505,2650,4134210
133,2000-07-20,2750,2930,2550,2565,2776850
134,2000-07-21,2600,2650,2470,2570,847980
135,2000-07-24,2520,2520,2185,2220,589900
136,2000-07-25,2070,2320,2070,2230,710550
137,2000-07-26,2300,2300,2200,2210,334350
138,2000-07-27,2150,2250,2150,2200,380450
139,2000-07-28,2150,2240,2150,2185,373980
140,2000-07-31,2100,2230,2090,2195,629000
141,2000-08-01,2155,2320,2155,2270,390130
142,2000-08-02,2300,2420,2240,2280,761000
143,2000-08-03,2300,2370,2230,2250,284910
144,2000-08-04,2250,2285,2170,2205,222300
145,2000-08-07,2175,2190,2090,2090,210650
146,2000-08-08,2070,2180,2050,2060,257090
147,2000-08-09,2060,2150,2060,2140,341440
148,2000-08-10,2100,2280,2100,2195,507620
149,2000-08-11,2195,2240,2150,2170,259280
150,2000-08-14,2250,2360,2240,2240,318980
151,2000-08-16,2200,2290,2200,2260,172630
152,2000-08-17,2260,2305,2200,2265,307680
153,2000-08-18,2280,2305,2190,2205,163810
154,2000-08-21,2250,2250,2160,2200,133750
155,2000-08-22,2200,2220,2170,2210,124490
156,2000-08-23,2210,2230,2130,2130,158240
157,2000-08-24,2030,2170,2030,2070,155300
158,2000-08-25,2100,2130,2070,2110,107760
159,2000-08-28,2050,2150,2050,2110,160990
160,2000-08-29,2120,2180,2100,2130,134920
161,2000-08-30,2090,2145,2050,2055,258250
162,2000-08-31,2100,2100,2000,2005,232980
163,2000-09-01,2030,2050,1950,1965,277650
164,2000-09-04,1985,2050,1970,2045,397140
165,2000-09-05,2080,2130,2015,2130,289720
166,2000-09-06,2100,2330,2080,2240,1064190
167,2000-09-07,2250,2385,2170,2300,595850
168,2000-09-08,2270,2360,2210,2360,458830
169,2000-09-14,2300,2480,2300,2430,569680
170,2000-09-15,2450,2460,2320,2375,388770
171,2000-09-18,2205,2300,2030,2130,416790
172,2000-09-19,2005,2150,2005,2060,190300
173,2000-09-20,2060,2150,2060,2100,311970
174,2000-09-21,2105,2130,2030,2070,259230
175,2000-09-22,2040,2090,2010,2060,463250
176,2000-09-25,2120,2300,2070,2285,449590
177,2000-09-26,2280,2320,2190,2285,318830
178,2000-09-27,2300,2300,2215,2250,164670
179,2000-09-28,2240,2265,2120,2200,136290
180,2000-09-29,2220,2240,2150,2200,181210
181,2000-10-02,2150,2200,2150,2190,138490
182,2000-10-04,2110,2225,2110,2220,140080
183,2000-10-05,2190,2290,2190,2270,289020
184,2000-10-06,2270,2270,2160,2170,144200
185,2000-10-09,2180,2230,2120,2120,133530
186,2000-10-10,2075,2150,2075,2100,103190
187,2000-10-11,2100,2100,2010,2020,124200
188,2000-10-12,2020,2040,1970,2000,224660
189,2000-10-13,1850,1950,1810,1940,167750
190,2000-10-16,2050,2050,1960,1980,275890
191,2000-10-17,1835,1950,1835,1855,136780
192,2000-10-18,1700,1890,1700,1870,313030
193,2000-10-19,1800,1930,1800,1830,161360
194,2000-10-20,1890,1900,1830,1840,368960
195,2000-10-23,1840,1870,1660,1670,282810
196,2000-10-24,1680,1720,1640,1670,313370
197,2000-10-25,1670,1700,1610,1610,181120
198,2000-10-26,1540,1600,1540,1575,171890
199,2000-10-27,1550,1630,1550,1585,100220
200,2000-10-30,1595,1680,1580,1585,187230
201,2000-10-31,1620,1620,1450,1530,100680
202,2000-11-01,1580,1690,1520,1690,327910
203,2000-11-02,1550,1685,1550,1655,204140
204,2000-11-03,1675,1720,1650,1670,239360
205,2000-11-06,1670,1730,1640,1715,198370
206,2000-11-07,1670,1715,1650,1655,140850
207,2000-11-08,1600,1670,1595,1600,150450
208,2000-11-09,1600,1625,1570,1610,125510
209,2000-11-10,1605,1660,1605,1640,198070
210,2000-11-13,1600,1620,1545,1545,151800
211,2000-11-14,1510,1600,1510,1555,139560
212,2000-11-15,1560,1595,1545,1555,467710
213,2000-11-16,1565,1570,1515,1540,141540
214,2000-11-17,1510,1540,1495,1510,198830
215,2000-11-20,1480,1510,1445,1445,158920
216,2000-11-21,1460,1460,1370,1400,159810
217,2000-11-22,1375,1440,1375,1405,186630
218,2000-11-23,1370,1390,1300,1305,217840
219,2000-11-24,1260,1400,1260,1360,206990
220,2000-11-27,1380,1400,1350,1350,441260
221,2000-11-28,1350,1350,1310,1310,182790
222,2000-11-29,1320,1320,1250,1250,202250
223,2000-11-30,1230,1260,1190,1215,449690
224,2000-12-01,1160,1200,1150,1180,398670
225,2000-12-04,1180,1210,1130,1145,216700
226,2000-12-05,1125,1150,1095,1125,509240
227,2000-12-06,1150,1235,1135,1155,703060
228,2000-12-07,1110,1145,1110,1120,223670
229,2000-12-08,1125,1175,1115,1115,592410
230,2000-12-11,1170,1230,1135,1230,824350
231,2000-12-12,1250,1270,1190,1220,477000
232,2000-12-13,1120,1220,1120,1195,268080
233,2000-12-14,1170,1235,1150,1205,318950
234,2000-12-15,1220,1220,1180,1215,206670
235,2000-12-18,1180,1210,1180,1180,179160
236,2000-12-19,1165,1190,1105,1105,322650
237,2000-12-20,1115,1115,975,995,395630
238,2000-12-21,990,1000,940,1000,269640
239,2000-12-22,1100,1100,995,1020,232150
240,2000-12-26,1050,1070,1015,1070,249210
241,2001-01-02,1100,1220,1100,1220,345440
242,2001-01-03,1210,1370,1150,1300,486380
243,2001-01-04,1390,1450,1305,1405,1202780
244,2001-01-05,1400,1615,1350,1615,3372000
245,2001-01-08,1650,1830,1620,1760,4162680
246,2001-01-09,1800,1900,1570,1810,3231830
247,2001-01-10,1810,1835,1540,1640,2024770
248,2001-01-11,1640,1830,1515,1820,2127330
249,2001-01-12,1940,1940,1670,1670,3534110
250,2001-01-15,1790,1790,1610,1680,1354910
251,2001-01-16,1640,1820,1600,1710,2042130
252,2001-01-17,1690,1770,1510,1560,1788040
253,2001-01-18,1515,1640,1515,1560,913170
254,2001-01-19,1540,1630,1500,1545,623300
255,2001-01-22,1540,1745,1540,1720,1978630
256,2001-01-26,1830,1885,1670,1690,3109340
257,2001-01-29,1700,1745,1650,1685,921360
258,2001-01-30,1740,1740,1650,1655,662190
259,2001-01-31,1660,1720,1590,1720,1151650
260,2001-02-01,1645,1715,1640,1660,715260
261,2001-02-02,1660,1695,1650,1655,434030
262,2001-02-05,1600,1615,1500,1510,594310
263,2001-02-06,1470,1545,1470,1545,353670
264,2001-02-07,1510,1540,1495,1505,345320
265,2001-02-08,1475,1555,1475,1540,271100
266,2001-02-09,1505,1660,1505,1595,667000
267,2001-02-12,1600,1630,1570,1600,397920
268,2001-02-13,1630,1655,1600,1600,602430
269,2001-02-14,1600,1630,1590,1605,458520
270,2001-02-15,1620,1625,1545,1555,555210
271,2001-02-16,1550,1575,1520,1520,516060
272,2001-02-19,1505,1535,1490,1525,367390
273,2001-02-20,1520,1650,1510,1590,772600
274,2001-02-21,1610,1615,1540,1540,449690
275,2001-02-22,1520,1530,1490,1510,351960
276,2001-02-23,1500,1535,1500,1500,200560
277,2001-02-26,1520,1575,1520,1545,437580
278,2001-02-27,1585,1595,1545,1545,497320
279,2001-02-28,1525,1540,1505,1530,142750
280,2001-03-02,1510,1510,1410,1430,303240
281,2001-03-05,1325,1400,1310,1375,268520
282,2001-03-06,1380,1430,1365,1365,304150
283,2001-03-07,1375,1385,1350,1360,310600
284,2001-03-08,1365,1385,1360,1380,262230
285,2001-03-09,1380,1520,1360,1450,716620
286,2001-03-12,1400,1420,1380,1385,209820
287,2001-03-13,1300,1360,1280,1290,269620
288,2001-03-14,1330,1390,1330,1360,308330
289,2001-03-15,1290,1320,1250,1310,362090
290,2001-03-16,1310,1360,1295,1320,235420
291,2001-03-19,1300,1335,1280,1315,155470
292,2001-03-20,1380,1430,1340,1350,611920
293,2001-03-21,1330,1405,1320,1370,318830
294,2001-03-22,1345,1380,1320,1325,183550
295,2001-03-23,1310,1420,1310,1420,586810
296,2001-03-26,1485,1540,1440,1500,842070
297,2001-03-27,1540,1540,1470,1495,361750
298,2001-03-28,1500,1510,1450,1475,326670
299,2001-03-29,1470,1470,1440,1465,204630
300,2001-03-30,1450,1480,1410,1430,139610
301,2001-04-02,1395,1490,1390,1490,325260
302,2001-04-03,1470,1500,1450,1470,287930
303,2001-04-04,1440,1465,1375,1410,142660
304,2001-04-06,1490,1490,1410,1420,108840
305,2001-04-09,1380,1420,1375,1380,86850
306,2001-04-10,1380,1405,1340,1350,91170
307,2001-04-11,1370,1415,1370,1390,112250
308,2001-04-12,1410,1425,1390,1410,242940
309,2001-04-13,1430,1430,1380,1405,212440
310,2001-04-16,1450,1450,1400,1400,158160
311,2001-04-17,1380,1435,1375,1400,160980
312,2001-04-18,1420,1535,1400,1535,1011690
313,2001-04-19,1635,1670,1590,1620,1236640
314,2001-04-20,1600,1620,1560,1570,376740
315,2001-04-23,1580,1640,1570,1610,328610
316,2001-04-24,1525,1610,1525,1610,207370
317,2001-04-25,1650,1650,1605,1610,389000
318,2001-04-26,1700,1850,1700,1800,2375700
319,2001-04-27,1800,1900,1750,1880,1259700
320,2001-04-30,1950,2150,1880,2150,1532300
321,2001-05-02,2150,2330,2080,2155,2125010
322,2001-05-03,2100,2150,2020,2150,819400
323,2001-05-04,2050,2200,2050,2200,525300
324,2001-05-07,2220,2450,2210,2440,1169540
325,2001-05-08,2440,2490,2245,2260,834320
326,2001-05-09,2300,2350,2230,2280,555620
327,2001-05-10,2210,2280,2160,2200,449520
328,2001-05-11,2250,2280,2175,2250,553700
329,2001-05-14,2205,2280,2200,2240,350820
330,2001-05-15,2260,2350,2220,2240,473430
331,2001-05-16,2290,2290,2120,2120,317760
332,2001-05-17,2240,2240,2145,2200,312870
333,2001-05-18,2160,2470,2160,2450,1383960
334,2001-05-21,2525,2815,2495,2815,1870220
335,2001-05-22,2815,3060,2720,2845,2295400
336,2001-05-23,2860,3050,2830,3000,960270
337,2001-05-24,2950,3250,2890,3100,1519490
338,2001-05-25,3160,3225,3000,3040,1165200
339,2001-05-28,3000,3000,2745,2755,864840
340,2001-05-29,2800,3000,2800,2940,1089850
341,2001-05-30,2900,3040,2850,2880,1078210
342,2001-05-31,2830,2960,2730,2930,1073430
343,2001-06-01,3050,3170,2980,3000,1679550
344,2001-06-04,3005,3450,2980,3450,6467560
345,2001-06-05,3515,3590,2990,3000,2479180
346,2001-06-07,2915,3065,2915,3010,1191600
347,2001-06-08,3000,3120,2980,3055,946500
348,2001-06-11,3010,3075,2970,3060,308320
349,2001-06-12,3060,3320,3020,3250,1378570
350,2001-06-13,3310,3510,3230,3380,2334140
351,2001-06-14,3380,3570,3380,3500,2138590
352,2001-06-15,3500,3620,3320,3420,1347140
353,2001-06-18,3500,3730,3300,3500,2804300
354,2001-06-19,3500,3670,3350,3480,1074410
355,2001-06-20,3400,3580,3335,3480,1444250
356,2001-06-21,3410,3520,3400,3400,595090
357,2001-06-22,3400,3460,3340,3370,491710
358,2001-06-25,3325,3430,3325,3425,562560
359,2001-06-26,3500,3500,2930,3390,637100
360,2001-06-27,3120,3280,3080,3150,721500
361,2001-06-28,3160,3280,3015,3170,900200
362,2001-06-29,3150,3250,3000,3145,2093570
363,2001-07-02,3070,3315,3070,3165,1613550
364,2001-07-03,3180,3230,3040,3060,1327120
365,2001-07-04,3060,3130,2970,3000,947620
366,2001-07-05,3000,3040,2865,2890,1008540
367,2001-07-06,2800,2820,2650,2650,993200
368,2001-07-09,2550,2550,2350,2410,1558030
369,2001-07-10,2460,2540,2410,2480,768330
370,2001-07-11,2305,2460,2300,2400,676940
371,2001-07-12,2450,2540,2390,2540,675070
372,2001-07-13,2600,2630,2350,2400,677730
373,2001-07-16,2380,2430,2230,2290,664140
374,2001-07-18,2300,2300,2055,2065,885240
375,2001-07-19,2010,2180,1975,2160,1427580
376,2001-07-20,2160,2230,2115,2185,720900
377,2001-07-23,2140,2185,1990,2030,493070
378,2001-07-24,1995,2150,1880,2120,796620
379,2001-07-25,2045,2215,2020,2190,701300
380,2001-07-26,2270,2340,2190,2200,658330
381,2001-07-27,2250,2340,2250,2340,800680
382,2001-07-30,2300,2330,2240,2245,408410
383,2001-07-31,2205,2490,2205,2425,856470
384,2001-08-01,2465,2540,2370,2490,1328810
385,2001-08-02,2490,2600,2380,2425,1174450
386,2001-08-03,2500,2570,2450,2450,1081320
387,2001-08-06,2425,2500,2390,2435,444780
388,2001-08-07,2400,2530,2395,2530,829440
389,2001-08-08,2560,2655,2560,2655,1220770
390,2001-08-09,2600,2635,2470,2505,1090970
391,2001-08-10,2530,2545,2460,2460,510900
392,2001-08-13,2460,2520,2355,2460,284090
393,2001-08-14,2500,2825,2500,2785,4350290
394,2001-08-16,2800,3045,2700,2920,4834990
395,2001-08-17,2990,3010,2800,2865,1668910
396,2001-08-20,2755,2940,2755,2800,2328550
397,2001-08-21,2850,2885,2620,2750,1810550
398,2001-08-22,2670,2950,2655,2870,2300060
399,2001-08-23,2950,2970,2730,2730,1466060
400,2001-08-24,2730,2750,2590,2680,996580
401,2001-08-27,2750,2830,2655,2655,1034430
402,2001-08-28,2555,2775,2555,2775,1101750
403,2001-08-29,2745,2790,2550,2700,1223020
404,2001-08-30,2600,2665,2540,2600,821840
405,2001-08-31,2510,2640,2360,2490,1501380
406,2001-09-03,2430,2535,2365,2400,666260
407,2001-09-04,2410,2480,2315,2480,1454420
408,2001-09-05,2410,2470,2360,2435,994050
409,2001-09-06,2490,2530,2450,2450,1192430
410,2001-09-07,2400,2480,2360,2450,1054190
411,2001-09-10,2380,2430,2370,2430,722880
412,2001-09-11,2430,2475,2330,2345,803880
413,2001-09-12,1995,1995,1995,1995,183220
414,2001-09-13,1820,2075,1810,2000,1572660
415,2001-09-14,2070,2080,1705,1910,1429970
416,2001-09-17,1860,1870,1625,1650,1833190
417,2001-09-18,1750,1895,1740,1895,1450190
418,2001-09-19,1900,1985,1830,1860,1381340
419,2001-09-20,1820,1850,1710,1720,1081590
420,2001-09-21,1620,1730,1605,1720,1234420
421,2001-09-24,1750,1775,1680,1760,711930
422,2001-09-25,1920,1930,1640,1675,1759370
423,2001-09-26,1700,1735,1670,1695,595960
424,2001-09-27,1700,1730,1680,1720,740670
425,2001-09-28,1730,1770,1720,1765,785050
426,2001-10-04,1900,2025,1845,2020,1948800
427,2001-10-05,2020,2200,1940,2060,3571370
428,2001-10-08,2060,2140,2000,2040,1211330
429,2001-10-09,2130,2130,2060,2085,810410
430,2001-10-10,2085,2160,2060,2100,765640
431,2001-10-11,2220,2230,2130,2140,880480
432,2001-10-12,2180,2200,2085,2140,1028930
433,2001-10-15,2140,2210,2105,2170,1161540
434,2001-10-16,2200,2385,2190,2290,2123930
435,2001-10-17,2330,2345,2220,2275,1136660
436,2001-10-18,2220,2260,2165,2180,743180
437,2001-10-19,2200,2215,2155,2185,574650
438,2001-10-22,2190,2305,2190,2305,882000
439,2001-10-23,2350,2380,2250,2260,968800
440,2001-10-24,2250,2300,2205,2275,429830
441,2001-10-25,2290,2355,2275,2320,800170
442,2001-10-26,2350,2415,2305,2320,974200
443,2001-10-29,2280,2340,2210,2235,549770
444,2001-10-30,2160,2210,2125,2150,401120
445,2001-10-31,2100,2330,2100,2245,1243760
446,2001-11-01,2330,2580,2300,2540,4768410
447,2001-11-02,2600,2900,2585,2900,5718300
448,2001-11-05,3000,3000,2810,2900,3060640
449,2001-11-06,2990,3090,2865,2915,1843060
450,2001-11-07,2950,3050,2945,2960,2797410
451,2001-11-08,3015,3050,2945,3030,1926560
452,2001-11-09,3020,3020,2850,2925,1513830
453,2001-11-12,3000,3070,2915,3070,1580000
454,2001-11-13,3050,3070,2940,2975,1125490
455,2001-11-14,2995,3240,2960,3180,2362820
456,2001-11-15,3180,3235,3020,3120,1402620
457,2001-11-16,3120,3160,3025,3100,1220140
458,2001-11-19,3130,3350,3120,3200,2566040
459,2001-11-20,3250,3250,3010,3070,1407940
460,2001-11-21,3050,3080,2970,3025,886300
461,2001-11-22,3025,3110,2950,3060,787870
462,2001-11-23,3065,3375,3065,3300,3853250
463,2001-11-26,3460,3795,3460,3795,5283710
464,2001-11-27,3980,4145,3680,3920,6604020
465,2001-11-28,3800,3910,3400,3470,2307090
466,2001-11-29,3470,3850,3420,3800,4361500
467,2001-11-30,3950,4000,3610,3725,3439380
468,2001-12-03,3725,3800,3540,3770,1490290
469,2001-12-04,3750,3940,3615,3700,1868730
470,2001-12-05,3730,3820,3675,3740,1929090
471,2001-12-06,3750,3950,3590,3640,2690790
472,2001-12-07,3605,3690,3510,3630,1342930
473,2001-12-10,3630,3680,3505,3505,1345850
474,2001-12-11,3470,3600,3415,3590,1100710
475,2001-12-12,3560,3665,3525,3590,1074520
476,2001-12-13,3590,3780,3535,3750,2731880
477,2001-12-14,3650,3765,3610,3610,979620
478,2001-12-17,3600,3650,3280,3280,1369520
479,2001-12-18,3360,3370,3040,3040,1161720
480,2001-12-19,3060,3125,2900,3040,1378590
481,2001-12-20,3180,3420,3140,3410,2526330
482,2001-12-21,3200,3420,3180,3235,1061170
483,2001-12-24,3265,3340,3200,3240,796610
484,2001-12-26,3255,3320,3225,3265,5480300
485,2001-12-27,3315,3460,3280,3460,1143850
