,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,6050,6500,5620,6300,117660
1,2000-01-05,6010,6400,5960,6220,148350
2,2000-01-06,6250,6340,5770,5800,98120
3,2000-01-07,5600,6000,5600,5850,89740
4,2000-01-10,6000,6080,5800,5810,80480
5,2000-01-11,5600,5850,5550,5560,88110
6,2000-01-12,5570,5770,5410,5410,83250
7,2000-01-13,5350,5900,5350,5790,127910
8,2000-01-14,5870,6300,5710,6170,223490
9,2000-01-17,6000,6520,5830,5900,184990
10,2000-01-18,6000,6000,5600,5600,109950
11,2000-01-19,5550,5900,5400,5550,117480
12,2000-01-20,5400,5500,5110,5210,79610
13,2000-01-21,5050,5370,5020,5200,103050
14,2000-01-24,5110,5410,5100,5260,76390
15,2000-01-25,5110,5400,5100,5150,51930
16,2000-01-26,5300,5500,5160,5500,143240
17,2000-01-27,5770,6320,5770,6320,151260
18,2000-01-28,6420,6750,5950,6000,450910
19,2000-01-31,5970,6250,5900,6130,164220
20,2000-02-01,6500,6500,6150,6250,159320
21,2000-02-02,6300,6700,6150,6600,227780
22,2000-02-03,6680,7400,6600,6900,261140
23,2000-02-07,7100,7250,6900,6910,135520
24,2000-02-08,6910,6910,6510,6650,122630
25,2000-02-09,6650,6650,6320,6500,80270
26,2000-02-10,6350,6400,6200,6210,81840
27,2000-02-11,6220,6300,5920,6050,54860
28,2000-02-14,6050,6050,5620,5750,71940
29,2000-02-15,5900,5900,5500,5800,47270
30,2000-02-16,5890,6100,5650,5900,46510
31,2000-02-17,6000,6090,5800,6000,58130
32,2000-02-18,6180,6200,5860,5910,91600
33,2000-02-21,5890,5890,5350,5360,41810
34,2000-02-22,5290,5650,5030,5630,88510
35,2000-02-23,6000,6400,5650,6150,140360
36,2000-02-24,6240,6570,6100,6480,171660
37,2000-02-25,6390,7450,6200,7000,250180
38,2000-02-28,6800,7850,6700,7470,304820
39,2000-02-29,7990,8590,7400,8590,678970
40,2000-03-02,8990,9870,8780,9870,294970
41,2000-03-03,11350,11350,8390,8390,1310510
42,2000-03-06,8580,9640,8440,9640,242670
43,2000-03-07,11000,11050,9030,9650,846890
44,2000-03-08,9640,10350,8650,9590,431710
45,2000-03-09,9800,9840,9060,9260,378550
46,2000-03-10,9500,10000,8900,9050,409450
47,2000-03-13,9210,10150,8910,9700,508630
48,2000-03-14,10000,10150,9500,9850,312270
49,2000-03-15,10300,10700,9310,9500,461630
50,2000-03-16,9590,9690,8400,8690,272250
51,2000-03-17,8750,8760,7860,7880,227090
52,2000-03-20,7880,8400,7650,8000,184160
53,2000-03-21,7900,8000,7410,7410,144540
54,2000-03-22,7610,7870,7450,7630,156050
55,2000-03-23,7670,8410,7670,8000,271440
56,2000-03-24,8100,8510,7720,8300,260540
57,2000-03-27,8500,8580,8100,8200,1112050
58,2000-03-28,8400,9430,8210,8900,1444730
59,2000-03-29,9000,9000,8300,8450,208920
60,2000-03-30,8390,8600,8090,8090,153240
61,2000-03-31,7520,8250,7520,8150,114370
62,2000-04-03,9300,9370,9300,9370,330010
63,2000-04-04,9450,9770,8200,8500,508390
64,2000-04-06,8410,8500,8200,8400,165300
65,2000-04-07,8250,8690,8250,8370,215590
66,2000-04-10,9620,9620,9100,9620,402070
67,2000-04-11,9900,10500,9000,9060,647500
68,2000-04-12,9150,9900,8800,9540,294240
69,2000-04-14,8500,9990,8500,9350,188000
70,2000-04-17,8220,8900,8050,8100,225810
71,2000-04-18,8880,9000,8250,8500,106270
72,2000-04-19,8600,8860,8590,8600,138810
73,2000-04-20,8500,8890,8500,8710,156100
74,2000-04-21,9000,9000,8700,8800,77430
75,2000-04-24,9000,10100,9000,10100,496160
76,2000-04-25,10200,10600,9300,9560,693560
77,2000-04-26,9750,9800,9050,9150,266580
78,2000-04-27,8930,10000,8920,9540,343540
79,2000-04-28,9800,10750,9500,10250,698980
80,2000-05-02,10500,11650,10250,10800,708580
81,2000-05-03,10700,10900,10300,10550,289880
82,2000-05-04,10600,11300,10400,10650,366260
83,2000-05-08,11950,12000,10250,10250,505810
84,2000-05-09,9810,9950,9400,9420,305610
85,2000-05-10,9420,9770,9000,9150,291300
86,2000-05-12,8900,9130,8550,8640,236030
87,2000-05-15,8500,8600,7640,7700,220180
88,2000-05-16,7700,8300,7600,7990,216750
89,2000-05-17,8100,8300,7100,7350,187410
90,2000-05-18,6800,7200,6550,6920,180290
91,2000-05-19,7000,7200,6500,7100,117020
92,2000-05-22,6550,6980,6510,6550,99350
93,2000-05-23,6310,6640,6220,6300,96400
94,2000-05-24,6020,7100,5910,7000,149320
95,2000-05-25,7100,7950,7000,7580,173230
96,2000-05-26,7290,7290,6600,6600,116050
97,2000-05-29,6510,6950,6510,6860,69890
98,2000-05-30,6860,7280,6860,7180,91320
99,2000-05-31,7300,7600,7180,7210,256400
100,2000-06-01,7440,7440,6960,7100,145240
101,2000-06-02,7390,8050,7300,7850,422220
102,2000-06-05,9020,9020,8800,9020,282500
103,2000-06-07,10350,10350,9800,10350,316420
104,2000-06-08,11000,11450,9060,9700,1049660
105,2000-06-09,9400,9510,8800,9200,522030
106,2000-06-12,9000,9900,8920,9700,537280
107,2000-06-13,9000,9500,8310,8350,340810
108,2000-06-14,8400,9400,8100,8560,437830
109,2000-06-15,8210,8500,7300,7400,281860
110,2000-06-16,7500,7800,7050,7800,165560
111,2000-06-19,7250,7990,7250,7500,109140
112,2000-06-20,7500,7900,7500,7700,160870
113,2000-06-21,8100,8200,7800,7800,218700
