,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,9668,12108,9668,11205,484170
1,2000-01-05,11024,11024,10210,10392,440630
2,2000-01-06,10662,10798,9578,9849,499050
3,2000-01-07,9849,10120,9578,10030,554370
4,2000-01-10,10120,10210,9668,9940,533930
5,2000-01-11,9939,9939,9397,9398,638760
6,2000-01-12,9397,9397,8593,8648,929610
7,2000-01-13,8403,8584,7816,7979,1305850
8,2000-01-14,8132,8177,7861,7907,877430
9,2000-01-17,7924,7996,7418,7590,694130
10,2000-01-18,7734,7942,7590,7771,776640
11,2000-01-19,7590,7680,6957,6958,615720
12,2000-01-20,6912,6939,6325,6596,713930
13,2000-01-21,6695,7048,6506,6958,868740
14,2000-01-24,6975,7951,6975,7581,713670
15,2000-01-25,7319,7409,7228,7229,344420
16,2000-01-26,7409,7500,7156,7410,317980
17,2000-01-27,7319,8448,7319,7708,844130
18,2000-01-28,8132,8159,7590,7690,553970
19,2000-01-31,7635,8069,7418,7636,780500
20,2000-02-01,7689,7816,7418,7455,470380
21,2000-02-02,7454,7816,7454,7816,808020
22,2000-02-03,7951,8403,7816,8133,842660
23,2000-02-07,8141,8286,7951,8042,642350
24,2000-02-08,7951,8403,7888,8268,497570
25,2000-02-09,8132,8222,7879,8042,385440
26,2000-02-10,7780,8042,7138,7364,560670
27,2000-02-11,7310,7409,6849,7120,735160
28,2000-02-14,7138,7391,6822,6840,324060
29,2000-02-15,6569,6867,6460,6506,307010
30,2000-02-16,6876,6912,6370,6642,376250
31,2000-02-17,6641,6822,6316,6461,465220
32,2000-02-18,6243,6451,6216,6380,564520
33,2000-02-21,6153,6280,5530,5530,335700
34,2000-02-22,5286,5584,5114,5286,487230
35,2000-02-23,5557,6072,5340,6072,695140
36,2000-02-24,6027,6027,5557,5693,407790
37,2000-02-25,5737,6099,5665,5873,441520
38,2000-02-28,5692,5864,5512,5611,352000
39,2000-02-29,5783,5855,5421,5422,416110
40,2000-03-02,5557,5873,5448,5693,811590
41,2000-03-03,5737,5737,5322,5358,583140
42,2000-03-06,5430,5900,5304,5693,742330
43,2000-03-07,5656,6144,5512,5783,773000
44,2000-03-08,5783,6596,5611,6108,1068950
45,2000-03-09,6759,6984,6352,6352,1569310
46,2000-03-10,6957,6957,6460,6515,731550
47,2000-03-13,6496,6542,6234,6244,544730
48,2000-03-14,6099,6234,5783,6054,510620
49,2000-03-15,6054,6316,5891,6090,429430
50,2000-03-16,6234,6415,5891,5955,405730
51,2000-03-17,6090,6280,6036,6054,608750
52,2000-03-20,6325,6388,5972,6145,405890
53,2000-03-21,6009,6054,5873,5955,285320
54,2000-03-22,6018,6316,5882,6145,689910
55,2000-03-23,6234,6234,5891,5964,349450
56,2000-03-24,6027,6027,5701,5702,517930
57,2000-03-27,5737,5918,5575,5828,458660
58,2000-03-28,5701,6090,5701,5873,399100
59,2000-03-29,5873,5918,5611,5611,285450
60,2000-03-30,5774,5855,5611,5684,366960
61,2000-03-31,5692,5828,5647,5693,246370
62,2000-04-03,5954,6533,5792,5910,794530
63,2000-04-04,5990,5990,5566,5873,416220
64,2000-04-06,5855,5855,5530,5530,259790
65,2000-04-07,5430,5683,5430,5512,249300
66,2000-04-10,6225,6334,5819,6334,1462360
67,2000-04-11,6334,6858,5972,6190,1513400
68,2000-04-12,5882,6171,5882,5991,467350
69,2000-04-14,5828,6144,5746,5991,382440
70,2000-04-17,5268,5873,5240,5413,620920
71,2000-04-18,5765,5819,5421,5575,483090
72,2000-04-19,5584,5656,5484,5512,445380
73,2000-04-20,5611,6027,5521,5919,698490
74,2000-04-21,6054,6506,5692,6461,1199440
75,2000-04-24,6406,6406,5963,6072,414370
76,2000-04-25,6009,6072,5756,5873,243390
77,2000-04-26,6054,6063,5484,5512,397680
78,2000-04-27,5466,5647,5376,5539,388370
79,2000-04-28,5539,5774,5539,5593,241010
80,2000-05-02,5602,5774,5593,5620,281530
81,2000-05-03,5692,5873,5656,5738,251340
82,2000-05-04,5566,5837,5566,5630,240620
83,2000-05-08,5647,5801,5611,5620,327610
84,2000-05-09,5620,5656,5575,5593,148890
85,2000-05-10,5593,5810,5512,5602,278970
86,2000-05-12,5521,5647,5512,5512,200060
87,2000-05-15,5430,5466,5096,5105,261200
88,2000-05-16,5150,5159,4888,4988,330110
89,2000-05-17,5015,5069,4256,4337,620890
90,2000-05-18,3903,4156,3686,3768,608060
91,2000-05-19,3795,3885,3524,3768,1345050
92,2000-05-22,3524,3641,3388,3443,493070
93,2000-05-23,3262,3750,3262,3524,575130
94,2000-05-24,3524,4052,3379,4053,1046870
95,2000-05-25,4066,4653,3975,4437,1663590
96,2000-05-26,4337,4409,3772,3786,1098710
97,2000-05-29,3551,4237,3524,4066,910640
98,2000-05-30,4246,4323,4075,4220,928930
99,2000-05-31,4337,4563,4174,4355,1535960
100,2000-06-01,4301,4337,4075,4242,626080
101,2000-06-02,4319,4472,4265,4292,825220
102,2000-06-05,4933,4933,4807,4934,484830
103,2000-06-07,5665,5665,5665,5666,135330
104,2000-06-08,6515,6515,5963,6515,5516780
105,2000-06-09,6271,7048,6009,6849,3997160
106,2000-06-12,7012,7048,6515,6913,2668840
107,2000-06-13,5891,6813,5882,5883,1693740
108,2000-06-14,5882,6759,5539,6045,4890710
109,2000-06-15,6054,6054,5141,5142,1881970
110,2000-06-16,4924,5277,4680,4789,1114060
111,2000-06-19,4536,5015,4436,4446,1249060
112,2000-06-20,4472,4879,4256,4880,1401070
113,2000-06-21,4707,5195,4662,4699,1988940
114,2000-06-22,4897,5006,4653,4744,918010
115,2000-06-23,4653,4996,4653,4789,1011670
116,2000-06-26,4662,4870,4626,4699,566430
117,2000-06-27,4707,4951,4698,4880,985890
118,2000-06-28,5060,5421,4888,4925,1893340
119,2000-06-29,4924,5051,4743,4771,574300
120,2000-06-30,4771,4960,4743,4798,543360
121,2000-07-03,4789,4933,4780,4907,624190
122,2000-07-04,5141,5268,4969,4970,1376340
123,2000-07-05,4969,5240,4716,5196,754990
124,2000-07-06,5222,5774,5069,5566,2543290
125,2000-07-07,5783,6397,5746,6398,5318670
126,2000-07-10,6506,6722,6117,6235,5023860
127,2000-07-11,6379,7030,6289,6325,4755500
128,2000-07-12,6325,6415,5801,5964,1575910
129,2000-07-13,5783,6144,5629,6145,1228260
130,2000-07-14,6054,6551,6009,6145,1566250
131,2000-07-18,6045,6144,5403,5584,1098670
132,2000-07-19,5448,6036,5430,5955,1309570
133,2000-07-20,5792,6126,5701,5783,757620
134,2000-07-21,5873,5963,5737,5964,730230
135,2000-07-24,5963,5963,5240,5241,575250
136,2000-07-25,5114,5548,4834,5295,854900
137,2000-07-26,5394,5448,5060,5331,625330
138,2000-07-27,5331,5457,5150,5331,451770
139,2000-07-28,5331,5394,5087,5151,539640
140,2000-07-31,5015,5096,4834,5015,373030
141,2000-08-01,5078,5557,5069,5404,855930
142,2000-08-02,5421,5756,5313,5602,574510
143,2000-08-03,5602,5692,5457,5512,404890
144,2000-08-04,5421,5692,5349,5521,390560
