,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,1040,1116,1007,1117,225300
1,2000-01-05,1284,1284,1284,1284,491000
2,2000-01-06,1300,1475,1219,1476,389600
3,2000-01-07,1527,1696,1319,1320,526300
4,2000-01-10,1332,1446,1238,1398,147800
5,2000-01-11,1397,1414,1251,1292,193300
6,2000-01-12,1170,1251,1170,1203,73000
7,2000-01-13,1248,1349,1212,1245,92500
8,2000-01-14,1186,1316,1186,1219,92700
9,2000-01-17,1189,1228,1141,1170,37600
10,2000-01-18,1206,1206,1170,1170,50700
11,2000-01-19,1154,1154,994,1024,336400
12,2000-01-20,975,1105,960,1099,156400
13,2000-01-21,1076,1095,1040,1047,72600
14,2000-01-24,1202,1202,1072,1203,356900
15,2000-01-25,1199,1383,1199,1367,286600
16,2000-01-26,1363,1571,1305,1370,235800
17,2000-01-27,1386,1557,1219,1479,193500
18,2000-01-28,1459,1537,1300,1430,141900
19,2000-01-31,1337,1508,1316,1398,124900
20,2000-02-01,1495,1495,1378,1469,67600
21,2000-02-02,1397,1459,1381,1399,35000
22,2000-02-03,1381,1605,1381,1606,113700
23,2000-02-07,1657,1787,1560,1658,109200
24,2000-02-08,1690,1690,1596,1674,26700
25,2000-02-09,1674,1706,1560,1677,75100
26,2000-02-10,1674,1755,1602,1706,60700
27,2000-02-11,1722,1755,1628,1755,125200
28,2000-02-14,1755,1853,1693,1706,87400
29,2000-02-15,1752,1752,1641,1651,48100
30,2000-02-16,1628,1755,1609,1690,58800
31,2000-02-17,1690,1706,1657,1690,18000
32,2000-02-18,1657,1755,1576,1723,65600
33,2000-02-21,1690,1739,1641,1719,33100
34,2000-02-22,1706,1976,1693,1976,229500
35,2000-02-23,1989,2178,1921,2084,51500
36,2000-02-24,2113,2395,2087,2396,105900
37,2000-02-25,2753,2753,2454,2753,238400
38,2000-02-28,2763,3149,2753,2763,132300
39,2000-02-29,2925,2958,2655,2795,100100
40,2000-03-02,2828,3055,2795,2958,133700
41,2000-03-03,2997,3396,2997,3397,382200
42,2000-03-06,3510,3900,3396,3901,178100
43,2000-03-07,4388,4485,4225,4486,184000
44,2000-03-08,3835,5119,3835,4583,214300
45,2000-03-09,4745,5005,4485,4616,88500
46,2000-03-10,4615,4615,3933,3933,200400
47,2000-03-13,3835,4518,3413,4388,336300
48,2000-03-14,4550,4713,4063,4323,141300
49,2000-03-15,3998,4924,3998,4551,368600
50,2000-03-16,4583,5135,4388,4762,215400
51,2000-03-17,4810,5038,4258,4551,176200
52,2000-03-20,4485,4745,4160,4226,65100
53,2000-03-21,3624,4160,3624,4031,108300
54,2000-03-22,3917,4339,3917,4096,127700
55,2000-03-23,4095,4225,3868,3901,50500
56,2000-03-24,4193,4193,3884,3982,58300
57,2000-03-27,4177,4177,3803,3982,56500
58,2000-03-28,4014,4014,3868,3901,46300
59,2000-03-29,3835,3868,3413,3413,88100
60,2000-03-30,3250,3917,3250,3917,312300
61,2000-03-31,4225,4323,3949,3998,158600
62,2000-04-03,3900,4160,3721,3868,32000
63,2000-04-04,3331,3868,3299,3738,82200
64,2000-04-06,3413,3901,3413,3738,28700
65,2000-04-07,3754,3754,3575,3673,27400
66,2000-04-10,3543,3770,3283,3510,241900
67,2000-04-11,3510,3510,3185,3267,98300
68,2000-04-12,3445,3445,3153,3169,78700
69,2000-04-14,3058,3065,2694,2795,86300
70,2000-04-17,2376,2376,2376,2376,41100
71,2000-04-18,2122,2600,2113,2584,215000
72,2000-04-19,2438,2925,2438,2698,130500
73,2000-04-20,2616,2792,2616,2617,42200
74,2000-04-21,2568,2727,2568,2633,39580
75,2000-04-24,2633,2678,2405,2405,30100
76,2000-04-25,2438,2438,2259,2340,40300
77,2000-04-26,2600,2600,2213,2275,58500
78,2000-04-27,2181,2249,2096,2097,27900
79,2000-04-28,2096,2243,1917,2048,119000
80,2000-05-02,2113,2353,2048,2353,108300
81,2000-05-03,2486,2704,2470,2704,132400
82,2000-05-04,3045,3107,2867,3107,183500
83,2000-05-08,3364,3413,2860,2971,148700
84,2000-05-09,3003,3234,2958,3042,121600
85,2000-05-10,3042,3494,2932,3494,185500
86,2000-05-12,3559,3998,3315,3315,310820
87,2000-05-15,3185,3413,3010,3195,134150
88,2000-05-16,3234,3348,2925,3185,105400
89,2000-05-17,3201,3413,3088,3088,83600
90,2000-05-18,3023,3023,2714,2812,56300
91,2000-05-19,2519,2990,2519,2987,82200
92,2000-05-22,2766,3071,2620,2656,38400
93,2000-05-23,2603,2730,2486,2656,45200
94,2000-05-24,2389,2730,2389,2698,44200
95,2000-05-25,2763,3023,2714,2925,79500
96,2000-05-26,2941,2941,2763,2812,49800
97,2000-05-29,2551,2958,2551,2821,59200
98,2000-05-30,2828,2906,2750,2763,41690
99,2000-05-31,2815,3006,2802,2828,138450
100,2000-06-01,2828,2828,2828,2828,0
101,2000-06-02,2828,2828,2828,2828,0
102,2000-06-05,3088,3250,3088,3250,145500
103,2000-06-07,3738,3738,3640,3738,117210
104,2000-06-08,3901,4063,3510,3738,237750
105,2000-06-09,3673,3673,3192,3527,139830
