,날짜,시가,고가,저가,종가,거래량
0,2009-11-19,15000,17000,14600,15850,15203367
1,2009-11-20,16250,17600,16050,17100,4814195
2,2009-11-23,17400,17550,16900,17450,2362689
3,2009-11-24,17500,18050,16750,17200,2152119
4,2009-11-25,17100,17650,16650,17600,1199297
5,2009-11-26,17500,19050,17500,18400,2108599
6,2009-11-27,17950,19150,17650,18250,2076680
7,2009-11-30,19000,19050,18300,18750,1310639
8,2009-12-01,18750,18900,17050,17550,1769513
9,2009-12-02,18000,18050,17400,17550,752439
10,2009-12-03,17700,18450,17500,18100,1234675
11,2009-12-04,18150,18600,17800,18450,1044694
12,2009-12-07,18450,18600,17950,18200,724370
13,2009-12-08,18200,18350,17900,18250,355453
14,2009-12-09,18300,18750,18100,18300,789081
15,2009-12-10,18300,18400,17950,18300,386583
16,2009-12-11,18550,20650,18500,20350,2554934
17,2009-12-14,20600,21000,20150,20850,1255512
18,2009-12-15,20850,20850,19900,20000,1114454
19,2009-12-16,20000,20750,19800,20650,903013
20,2009-12-17,20700,20850,20000,20200,712698
21,2009-12-18,19900,20300,19600,20250,629625
22,2009-12-21,20250,20900,19800,20900,928012
23,2009-12-22,21350,21550,20900,21100,912391
24,2009-12-23,21200,21400,20600,20900,508405
25,2009-12-24,20900,21100,20600,21000,621865
26,2009-12-28,21000,21200,20500,20500,672001
27,2009-12-29,20000,20000,19050,19650,893926
28,2009-12-30,19600,19900,18600,19650,835787
29,2010-01-04,19850,19850,19150,19750,543934
30,2010-01-05,19900,20950,19850,20750,878137
31,2010-01-06,20750,21100,20050,20700,523757
32,2010-01-07,20700,20900,20300,20450,480432
33,2010-01-08,20450,23100,20450,22700,1590474
34,2010-01-11,23100,24000,22250,23100,968473
35,2010-01-12,23150,23700,22500,23650,583660
36,2010-01-13,23350,24050,22950,23850,709754
37,2010-01-14,23950,24000,23400,23500,298868
38,2010-01-15,23500,23500,22300,22300,673120
39,2010-01-18,22350,22800,21750,22150,448170
40,2010-01-19,22200,22200,21400,21700,630112
41,2010-01-20,21900,23050,21750,22500,775504
42,2010-01-21,22300,22900,22000,22000,340669
43,2010-01-22,21650,21950,20600,21350,914637
44,2010-01-25,20800,21850,20700,21650,345964
45,2010-01-26,21850,22250,21300,21600,434137
46,2010-01-27,21600,22300,21150,22200,419905
47,2010-01-28,22550,22600,21650,21900,568630
48,2010-01-29,21450,21650,20800,21250,230763
49,2010-02-01,21000,21200,20250,20850,279520
50,2010-02-02,21200,21900,20750,21850,419095
51,2010-02-03,22000,22500,21450,22200,387673
52,2010-02-04,22300,22850,22050,22750,379569
53,2010-02-05,21900,22650,21600,22450,439009
54,2010-02-08,22700,23050,22200,22700,400489
55,2010-02-09,22650,23200,22650,23050,304843
56,2010-02-10,23200,23250,22800,23150,242810
