,날짜,시가,고가,저가,종가,거래량
0,2004-08-05,23000,26000,22650,24850,4976078
1,2004-08-06,24400,24450,23400,23400,1755333
2,2004-08-09,23050,23200,22500,22700,912521
3,2004-08-10,22950,23650,22700,23150,7311341
4,2004-08-11,23300,23600,23050,23050,5216495
5,2004-08-12,22900,23100,22450,22900,826816
6,2004-08-13,22800,22950,22450,22950,389122
7,2004-08-16,23000,23000,22000,22000,733086
8,2004-08-17,22250,22450,21900,22000,865157
9,2004-08-18,22000,22250,21250,21350,911902
10,2004-08-19,21700,22150,21450,22000,798999
11,2004-08-20,22100,22600,22100,22200,629618
12,2004-08-23,22400,22450,21950,22000,306401
13,2004-08-24,22000,22100,21500,21700,547693
14,2004-08-25,21800,21850,21250,21600,675716
15,2004-08-26,21750,22150,21700,21700,527637
16,2004-08-27,21900,22300,21850,22300,618423
17,2004-08-30,22450,22450,21700,21750,530432
18,2004-08-31,21700,21950,21500,21600,356214
19,2004-09-01,21800,22050,21450,21950,1111850
20,2004-09-02,22200,22300,21900,22150,1050156
21,2004-09-03,22150,22200,21400,21500,869852
22,2004-09-06,21450,21500,20850,21000,1470721
23,2004-09-07,21000,21800,21000,21550,1229102
24,2004-09-08,21500,22300,21500,22200,1220279
25,2004-09-09,22200,22300,21850,22100,401297
26,2004-09-10,22300,22600,22050,22300,972124
27,2004-09-13,22450,22950,22150,22600,1371146
28,2004-09-14,22800,22850,22000,22250,513789
29,2004-09-15,22100,22200,21400,21700,810725
30,2004-09-16,21500,21900,21500,21800,588823
31,2004-09-17,21800,22450,21700,22300,1018627
32,2004-09-20,22650,23400,22500,22900,3200470
33,2004-09-21,23100,23850,22800,23500,7309229
34,2004-09-22,23900,24300,23150,23150,1730878
35,2004-09-23,23150,23400,22500,23250,979967
36,2004-09-24,23050,23700,22900,23700,618470
37,2004-09-30,23550,24650,23550,24650,806643
38,2004-10-01,24450,24750,24100,24300,783232
39,2004-10-04,24400,24850,24050,24500,1325883
40,2004-10-05,24400,24450,23650,23850,1175654
41,2004-10-06,23850,24000,23050,23300,1267288
42,2004-10-07,23550,24550,23250,24200,2601288
43,2004-10-08,24350,25150,24200,24400,2198698
