,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,6620,7675,6519,7287,964040
1,2000-01-05,7295,7564,7027,7287,806970
2,2000-01-06,7527,7527,6639,6639,430340
3,2000-01-07,6657,6935,6639,6658,476380
4,2000-01-10,6741,6944,6657,6880,596300
5,2000-01-11,6870,6870,6611,6750,370870
6,2000-01-12,6657,6676,6574,6658,333710
7,2000-01-13,6824,6870,6574,6843,506340
8,2000-01-14,6935,6935,6583,6621,177190
9,2000-01-17,6556,6731,6546,6732,219380
10,2000-01-18,6583,6639,6297,6380,351940
11,2000-01-19,6472,6509,6066,6103,284320
12,2000-01-20,5927,6103,5548,6001,586520
13,2000-01-21,5918,6417,5631,6011,488620
14,2000-01-24,6010,6556,5881,6288,658050
15,2000-01-25,6195,6297,6019,6149,563250
16,2000-01-26,6195,6565,6149,6519,629370
17,2000-01-27,6528,7490,6528,7444,1062020
18,2000-01-28,7443,7702,7221,7314,1016490
19,2000-01-31,7323,8091,7221,7675,1204420
20,2000-02-01,7859,7933,7406,7758,768130
21,2000-02-02,7582,8044,7582,7999,692500
22,2000-02-03,8044,8137,7813,7860,373100
23,2000-02-07,7850,7850,7397,7398,729190
24,2000-02-08,7305,7369,7147,7213,417790
25,2000-02-09,7212,7305,6870,6908,424760
26,2000-02-10,6602,6805,6380,6380,553670
27,2000-02-11,6380,6556,5927,5964,742180
28,2000-02-14,6010,6177,5918,5918,928260
29,2000-02-15,5871,6103,5825,5918,557120
30,2000-02-16,6103,6426,5918,6094,525610
31,2000-02-17,6010,6195,5871,6011,349030
32,2000-02-18,6010,6010,5788,5946,445340
33,2000-02-21,5825,5918,5501,5502,370630
34,2000-02-22,5455,5825,5150,5826,528440
35,2000-02-23,5918,6694,5649,6196,1450940
36,2000-02-24,5825,6047,5686,5733,489100
37,2000-02-25,5557,6010,5501,5548,481320
38,2000-02-28,5455,5807,5363,5641,675580
39,2000-02-29,5862,5908,5455,5548,411880
40,2000-03-02,5640,5779,5501,5668,523340
41,2000-03-03,5668,5779,5280,5336,620970
42,2000-03-06,5409,5871,5344,5733,827260
43,2000-03-07,5733,6075,5501,5779,831260
44,2000-03-08,5714,6010,5594,5900,797340
45,2000-03-09,6084,6565,5640,6020,1723280
46,2000-03-10,6324,6380,5779,5826,750380
47,2000-03-13,5982,5982,5649,5826,525730
48,2000-03-14,5686,5918,5640,5872,399890
49,2000-03-15,5686,5862,5686,5826,279720
50,2000-03-16,5825,5918,5640,5650,214390
51,2000-03-17,5788,6093,5742,5826,795280
52,2000-03-20,5825,5992,5649,5724,485200
53,2000-03-21,5733,5862,5594,5622,630360
54,2000-03-22,5733,5733,5622,5659,391930
55,2000-03-23,5686,5686,5548,5567,369810
56,2000-03-24,5566,5631,5455,5530,286430
57,2000-03-27,5529,5686,5418,5530,491800
58,2000-03-28,5548,5612,5483,5493,326480
59,2000-03-29,5548,5585,5335,5363,411710
60,2000-03-30,5455,5455,5243,5271,342920
61,2000-03-31,5187,5363,5132,5132,336920
62,2000-04-03,5372,5816,5141,5317,1405430
63,2000-04-04,5501,5501,4919,4947,554420
64,2000-04-06,5085,5085,4734,4799,402370
65,2000-04-07,4762,4854,4651,4799,649010
66,2000-04-10,5344,5511,5132,5511,1686530
67,2000-04-11,5640,5853,5095,5141,1662080
68,2000-04-12,5196,5363,5150,5363,826890
69,2000-04-14,5095,5548,4993,5363,583360
70,2000-04-17,4947,5455,4910,5132,1020910
71,2000-04-18,5455,5501,5104,5188,515510
72,2000-04-19,5104,5270,4993,4993,389310
73,2000-04-20,5178,5548,5132,5363,1029510
74,2000-04-21,5455,5733,5270,5733,1551960
75,2000-04-24,5733,5816,5483,5567,688700
76,2000-04-25,5594,5733,5409,5604,588420
77,2000-04-26,5455,5705,5372,5456,547470
78,2000-04-27,5381,5612,5317,5446,339080
79,2000-04-28,5446,5622,5381,5557,400410
