,날짜,시가,고가,저가,종가,거래량
0,2011-12-23,19500,22400,19350,22400,7793466
1,2011-12-26,23100,24900,22800,23800,4323217
2,2011-12-27,23900,24600,22050,23900,3007931
3,2011-12-28,23600,24100,21950,22650,1087121
4,2011-12-29,22450,24000,21550,23150,1240601
5,2012-01-02,23700,23700,23000,23000,319397
6,2012-01-03,23000,23150,21600,21700,925092
7,2012-01-04,21800,22000,21000,21400,630677
8,2012-01-05,21750,24600,21150,24000,1292533
9,2012-01-06,23550,23800,22650,23000,542765
10,2012-01-09,23000,23850,22600,23450,459722
11,2012-01-10,23350,23900,22500,22700,475366
12,2012-01-11,22750,23200,22350,22500,211978
13,2012-01-12,22300,23200,22250,23000,299182
14,2012-01-13,23050,23100,22650,22900,150398
15,2012-01-16,22900,22900,22250,22400,200618
16,2012-01-17,22450,22850,22200,22300,261887
17,2012-01-18,22200,22300,21500,21850,295053
18,2012-01-19,22000,22350,21400,21400,240235
19,2012-01-20,21550,22250,21250,21300,327278
20,2012-01-25,21350,22000,20050,20400,574926
21,2012-01-26,20550,21900,20300,21700,583125
22,2012-01-27,21700,22000,21300,21650,318281
23,2012-01-30,21650,22450,21550,22250,403782
24,2012-01-31,22300,23200,22100,22900,539710
25,2012-02-01,22950,23700,22400,23250,404084
26,2012-02-02,23350,23600,22650,23500,288060
27,2012-02-03,23700,24600,23200,23950,444810
28,2012-02-06,24450,26450,23000,23400,641021
29,2012-02-07,23600,23700,22850,23050,252309
30,2012-02-08,22650,24300,22650,23350,393530
31,2012-02-09,23200,23350,22850,23250,241222
32,2012-02-10,23450,24650,23300,24150,392239
33,2012-02-13,24250,24550,23600,24000,240519
34,2012-02-14,24350,24350,23300,24100,269540
35,2012-02-15,24250,24300,23500,24000,131130
36,2012-02-16,23700,24950,23550,24700,277313
37,2012-02-17,24900,25950,24400,25900,262037
38,2012-02-20,25950,26000,24750,25500,236259
39,2012-02-21,25400,25700,24750,24750,71876
40,2012-02-22,24700,25500,24450,24450,117261
41,2012-02-23,24200,24700,23800,24700,132758
42,2012-02-24,24800,24950,24150,24900,67342
43,2012-02-27,24550,24950,23700,23900,124205
44,2012-02-28,23600,24400,23100,23900,284040
45,2012-02-29,23600,24250,23350,24150,269429
46,2012-03-02,23850,24300,23800,24000,120338
47,2012-03-05,23700,23850,23500,23500,103762
48,2012-03-06,23150,23600,22850,23000,135969
49,2012-03-07,22300,23650,22300,23500,91686
50,2012-03-08,23650,24050,23650,24050,139572
51,2012-03-09,24050,24350,23650,23750,64050
52,2012-03-12,23950,24250,23450,24050,99030
53,2012-03-13,24100,24800,24050,24800,111403
54,2012-03-14,24850,24850,24250,24400,70431
55,2012-03-15,24400,24700,23900,24600,95263
56,2012-03-16,24550,25250,24100,25100,90572
57,2012-03-19,25300,25300,24000,24000,93850
58,2012-03-20,23850,24200,23300,23450,79610
59,2012-03-21,23500,24100,23100,24050,111892
60,2012-03-22,24050,24050,23000,23150,118561
61,2012-03-23,23300,23300,22800,23150,77344
62,2012-03-26,23250,23350,22350,22500,115948
63,2012-03-27,22700,22850,22450,22500,41161
64,2012-03-28,22600,23000,22250,22600,88421
65,2012-03-29,22400,23350,22300,22900,68390
66,2012-03-30,23300,23700,22850,23550,64228
67,2012-04-02,23700,23850,23100,23200,44131
68,2012-04-03,23150,23600,23100,23250,54866
69,2012-04-04,23000,23250,22500,23200,79808
70,2012-04-05,22650,23000,22050,22150,113140
71,2012-04-06,22400,24200,22050,24000,176922
72,2012-04-09,23700,24550,23350,24100,131969
73,2012-04-10,24050,24500,23800,24450,92900
74,2012-04-12,24600,24700,23650,24000,93688
75,2012-04-13,24050,24450,23850,24450,50759
76,2012-04-16,24200,25900,23850,25900,206348
77,2012-04-17,25850,25900,25250,25500,65356
78,2012-04-18,25500,25850,24950,25650,53604
79,2012-04-19,25650,25650,23900,24000,223184
80,2012-04-20,23900,25000,23900,24550,146988
81,2012-04-23,25000,25000,23500,24400,118422
82,2012-04-24,24000,24700,23900,24100,75618
83,2012-04-25,24300,24300,23200,23350,81819
84,2012-04-26,23550,24200,23200,23900,94593
85,2012-04-27,23700,24050,22900,23600,94940
86,2012-04-30,23600,24100,22800,23850,60093
87,2012-05-02,23850,24000,23200,23400,44541
88,2012-05-03,23400,23700,23100,23100,53065
89,2012-05-04,23100,24200,23100,24200,98070
90,2012-05-07,23700,24150,23650,23850,16362
91,2012-05-08,24000,24550,23900,24000,37529
92,2012-05-09,24050,24900,23700,24900,58960
93,2012-05-10,24900,24900,23900,24000,88516
94,2012-05-11,23900,24400,23400,24300,65035
95,2012-05-14,23900,24400,23850,24000,22059
96,2012-05-15,24100,24550,23900,24450,32290
97,2012-05-16,24300,24300,23600,23850,41857
98,2012-05-17,24400,24400,23800,23950,53709
99,2012-05-18,23800,24200,23600,24000,66719
100,2012-05-21,24000,24400,23700,24250,62624
101,2012-05-22,24200,24400,23750,23750,42933
102,2012-05-23,23750,24200,23700,24050,50184
103,2012-05-24,24050,24300,23900,24000,24324
104,2012-05-25,24200,25900,23950,25900,199160
105,2012-05-29,25550,25650,23650,23900,259700
