,날짜,시가,고가,저가,종가,거래량
0,2018-06-12,70095,72228,63141,70096,3485779
1,2018-06-14,66665,68056,62214,65367,1164317
2,2018-06-15,64718,65830,61194,61473,573753
3,2018-06-18,61102,61658,55538,56559,854098
4,2018-06-19,56373,56929,50995,50996,968919
5,2018-06-20,52201,54889,50995,52757,904708
6,2018-06-21,52293,54704,51088,51923,709747
7,2018-06-22,51922,52201,49141,51459,585577
8,2018-06-25,51644,52664,50532,52387,401089
9,2018-06-26,51366,52201,50068,50069,372448
10,2018-06-27,50346,50439,47750,48678,500629
11,2018-06-28,48863,49326,46452,46452,379801
12,2018-06-29,47286,50902,46359,49976,464182
13,2018-07-02,50532,51737,49326,49790,550635
14,2018-07-03,51088,54426,50068,52572,634945
15,2018-07-04,52850,54148,52015,53963,289788
16,2018-07-05,52293,53684,51737,52572,217799
17,2018-07-06,52850,55538,51366,54148,311064
18,2018-07-09,53313,54519,52571,52850,257111
19,2018-07-10,53035,53962,51366,52572,260445
20,2018-07-11,51644,54240,51552,53221,277048
21,2018-07-12,52942,54426,52571,53221,213903
22,2018-07-13,53128,54148,52479,52479,211126
23,2018-07-16,52850,52850,50068,50069,247299
24,2018-07-17,50624,50624,48955,50069,155864
25,2018-07-18,49883,50068,47657,48121,233410
26,2018-07-19,47935,48121,46174,46174,245698
27,2018-07-20,46452,50439,46174,49234,315253
28,2018-07-23,49234,49883,48585,49049,196041
29,2018-07-24,49883,53777,49419,52387,525366
30,2018-07-25,53684,55909,52015,55910,519777
31,2018-07-26,56373,56373,53962,54890,343782
32,2018-07-27,55446,55446,53220,54612,223666
33,2018-07-30,55446,57764,54982,56281,347156
34,2018-07-31,56188,56651,53313,53314,286973
35,2018-08-01,53591,54333,52293,53128,376357
36,2018-08-02,53220,54055,51922,52201,305644
37,2018-08-03,52386,53962,52201,53685,134179
38,2018-08-06,53777,54704,53406,53870,114020
39,2018-08-07,54519,54519,52757,53036,150846
40,2018-08-08,52850,53035,52108,52479,203771
41,2018-08-09,52479,52757,52201,52572,113756
42,2018-08-10,53128,53499,52201,52294,148793
43,2018-08-13,52293,52664,51922,52016,177914
44,2018-08-14,52015,52293,51366,51645,256296
45,2018-08-16,51737,52664,51459,51737,259634
46,2018-08-17,51830,52108,51552,51645,147760
47,2018-08-20,52201,52942,51922,52479,116909
48,2018-08-21,52571,52942,52108,52201,178910
49,2018-08-22,52479,53313,52201,53036,162257
50,2018-08-23,53035,53128,52201,52757,137235
51,2018-08-24,52386,54055,52293,53777,213129
52,2018-08-27,53313,53313,51922,52016,304524
53,2018-08-28,52571,55446,52386,53221,495770
54,2018-08-29,53777,53777,52015,53314,260643
55,2018-08-30,53313,53406,52293,52572,218024
56,2018-08-31,52571,53128,51830,51830,214458
57,2018-09-03,52108,53313,52108,52572,110883
58,2018-09-04,52757,54055,52757,53685,205957
59,2018-09-05,53870,54148,52479,52479,169049
60,2018-09-06,52850,53591,52386,52387,188624
61,2018-09-07,52942,53591,51830,52294,261816
62,2018-09-10,52386,58784,52386,58599,858884
63,2018-09-11,59062,59525,56558,56930,558211
64,2018-09-12,57486,57949,55075,56466,400354
65,2018-09-13,56558,56558,54611,55817,405655
66,2018-09-14,56280,57856,55817,57764,422793
67,2018-09-17,58505,58598,56558,57579,252740
68,2018-09-18,57671,57671,55075,55261,366042
69,2018-09-19,55538,55631,52942,52943,432356
70,2018-09-20,53220,53870,49326,50810,686079
71,2018-09-21,51181,52571,50161,51459,311941
72,2018-09-27,51644,51644,48214,48863,509693
73,2018-09-28,49048,49048,47101,47194,740307
74,2018-10-01,47843,49512,47286,49327,316865
75,2018-10-02,48863,49512,47843,47936,201213
76,2018-10-04,48585,48770,46267,46731,314027
77,2018-10-05,46823,47750,45571,47102,190164
78,2018-10-08,47008,47008,44968,45433,307010
79,2018-10-10,44922,45293,41074,41631,726638
80,2018-10-11,39034,41352,39034,39128,352729
81,2018-10-12,39127,40332,39081,39545,296515
82,2018-10-15,39266,39869,38107,38571,185745
83,2018-10-16,38664,39173,37690,38015,229591
84,2018-10-17,38664,40611,38478,39499,267761
85,2018-10-18,39823,41028,39544,39777,209542
86,2018-10-19,39591,40240,38710,40194,177077
87,2018-10-22,40101,40101,38478,39267,178151
88,2018-10-23,39034,40101,38942,39174,265072
89,2018-10-24,39591,40657,39544,40240,351274
90,2018-10-25,39220,42929,37690,41770,498158
91,2018-10-26,42187,42187,38571,38710,233121
92,2018-10-29,38710,40518,38432,38432,192608
93,2018-10-30,37644,40518,37644,40055,151800
94,2018-10-31,39591,41399,39081,40797,133192
95,2018-11-01,41074,42604,40054,40333,140247
96,2018-11-02,41538,42001,40796,41677,198974
97,2018-11-05,41260,41260,39220,39684,229241
98,2018-11-06,40147,40286,38617,39313,172021
99,2018-11-07,39220,40101,38154,38849,281605
100,2018-11-08,39359,39776,38849,38849,246481
101,2018-11-09,38942,39266,38154,38571,161093
102,2018-11-12,38617,39127,38061,38432,120661
103,2018-11-13,37783,38571,37644,38479,107506
104,2018-11-14,38664,38710,36670,36810,227489
105,2018-11-15,36670,37087,35743,36902,231419
106,2018-11-16,37134,37505,36716,37088,137846
107,2018-11-19,37134,38617,37134,38108,167566
108,2018-11-20,37412,39405,37412,39174,170776
109,2018-11-21,38803,39081,38154,38247,88062
110,2018-11-22,38385,38756,37644,37690,70721
111,2018-11-23,37875,38756,37690,38015,59743
112,2018-11-26,38432,39034,37690,38757,63658
113,2018-11-27,38385,39173,37644,37922,203341
114,2018-11-28,38014,38200,37551,38200,155173
115,2018-11-29,38895,38988,38432,38664,154938
116,2018-11-30,38756,39683,38756,38942,324514
