,날짜,시가,고가,저가,종가,거래량
0,2008-10-10,47063,47063,40026,45940,13011873
1,2008-10-13,47063,50338,45500,49556,3180584
2,2008-10-14,52781,54736,50631,51902,3957562
3,2008-10-15,49067,50142,48578,49850,2852067
4,2008-10-16,44620,44913,42421,42421,3941080
5,2008-10-17,42421,42763,36654,37143,6071281
6,2008-10-20,38315,38902,36214,38169,4891375
7,2008-10-21,39000,40075,38315,38316,3814524
8,2008-10-22,37142,40075,35187,37632,3637689
9,2008-10-23,34357,36556,34308,35970,2939595
10,2008-10-24,35627,36312,32548,35970,3723953
11,2008-10-27,35969,39097,34210,39098,3814598
12,2008-10-28,37142,37436,35676,36752,5146031
13,2008-10-29,37924,38462,31278,31278,6732755
14,2008-10-30,33233,35481,27563,34211,12349827
15,2008-10-31,32304,35383,30447,31278,9757610
16,2008-11-03,30300,32988,29860,32305,7353871
17,2008-11-04,32744,35139,32646,34992,6349729
18,2008-11-05,36214,37827,34943,35677,6054715
19,2008-11-06,33330,33428,30398,30398,4742697
20,2008-11-07,28834,32255,28736,31229,3990183
21,2008-11-10,31327,33428,30838,32842,3134325
22,2008-11-11,31962,32793,31327,31962,2145736
23,2008-11-12,30984,32157,30789,31376,2086887
24,2008-11-13,29567,29763,27661,29763,3989665
25,2008-11-14,31278,31424,30545,31425,2490904
26,2008-11-17,30838,33575,29616,31669,3997608
27,2008-11-18,30838,31180,29421,29421,2695714
28,2008-11-19,29665,29763,28101,28199,2358039
29,2008-11-20,26390,26781,23996,23996,4343141
30,2008-11-21,22578,26537,21161,24436,6871915
31,2008-11-24,24338,24680,22187,22286,3863412
32,2008-11-25,23800,24631,22530,23459,4784197
33,2008-11-26,23751,26977,23751,26977,6209375
34,2008-11-27,28443,30740,27661,29323,5465873
35,2008-11-28,29812,30593,28736,29519,3265847
36,2008-12-01,29665,29714,28199,28346,1873968
37,2008-12-02,25804,28639,25804,27368,3566354
38,2008-12-03,28394,28932,27563,28639,2624490
39,2008-12-04,29665,30447,27759,28541,2155312
40,2008-12-05,28345,29958,28296,29763,2119075
41,2008-12-08,29909,33233,29616,32256,2978142
42,2008-12-09,32548,32744,30838,32451,2519727
43,2008-12-10,32744,35334,32744,34699,3742748
44,2008-12-11,35090,38120,34015,35872,5781519
45,2008-12-12,33037,33184,30545,30545,20228685
46,2008-12-15,31766,32695,31571,32256,3502425
47,2008-12-16,31718,34015,31131,33380,3392676
48,2008-12-17,35334,36067,34210,35432,4463444
49,2008-12-18,36165,37191,34601,35432,3033457
50,2008-12-19,36165,36751,34503,34992,2328636
51,2008-12-22,35383,35725,34503,35726,13941912
52,2008-12-23,34699,35383,32988,33771,1966666
53,2008-12-24,32988,34015,30887,32256,1817485
54,2008-12-26,32695,33819,31913,33380,2852716
55,2008-12-29,33184,33721,31522,33722,1020662
56,2008-12-30,34500,35200,33550,33700,1426548
57,2009-01-02,32890,33575,31131,33135,2222075
58,2009-01-05,35187,38071,34308,37925,4263028
59,2009-01-06,38120,39390,38071,39098,3407112
60,2009-01-07,39048,40075,38315,39195,3646287
61,2009-01-08,38609,38706,36751,37338,3267917
62,2009-01-09,37680,38609,36165,36165,2957691
63,2009-01-12,35823,35823,34699,34797,1777159
64,2009-01-13,34454,36507,33721,36019,2209265
65,2009-01-14,36556,37875,35578,37876,2141141
66,2009-01-15,35676,35969,34406,34406,3414864
67,2009-01-16,34063,34699,32451,34553,3637116
68,2009-01-19,34699,35578,34650,34797,1725577
69,2009-01-20,33428,33770,32793,32940,2527499
70,2009-01-21,31278,32206,30545,31376,2786284
71,2009-01-22,33721,33721,32304,32695,2646045
72,2009-01-23,31522,32060,30887,31180,1730122
73,2009-01-28,32255,34748,32255,34602,2739936
74,2009-01-29,36263,36556,35481,35970,2766127
75,2009-01-30,34699,36556,34503,36165,1619480
76,2009-02-02,35383,36067,34015,34357,1701046
77,2009-02-03,34357,36165,34063,35188,2222954
78,2009-02-04,35774,36067,34454,34992,2026915
79,2009-02-05,34406,34748,33233,33233,2865103
80,2009-02-06,34357,34748,33526,34748,2012859
81,2009-02-09,35969,36458,34601,34944,3424084
82,2009-02-10,35187,35432,34601,35090,1938138
83,2009-02-11,32939,34063,32842,33771,2735201
84,2009-02-12,32988,33135,31766,31962,5300466
85,2009-02-13,31815,32646,31766,32647,2226890
86,2009-02-16,31864,32548,31327,31425,3120081
87,2009-02-17,30838,31082,29323,29910,3279803
88,2009-02-18,28736,28834,27857,27857,4673862
89,2009-02-19,27857,28785,27417,27662,4063825
90,2009-02-20,27368,27710,25951,26733,2886763
91,2009-02-23,26195,27808,25609,27808,2700008
92,2009-02-24,26195,26879,25902,26538,2374999
93,2009-02-25,28199,28345,26342,27026,3780913
94,2009-02-26,27612,28345,26195,27173,2558254
95,2009-02-27,27759,29274,26928,28737,3921999
96,2009-03-02,27954,28492,27172,27466,3433278
97,2009-03-03,26684,27808,26146,27417,2653253
98,2009-03-04,27075,28736,26293,28248,2980429
99,2009-03-05,28541,28639,27368,27368,2775433
100,2009-03-06,26488,26879,26244,26293,2323941
101,2009-03-09,26781,26928,25706,26244,2358537
102,2009-03-10,25413,30154,25413,29323,6350798
103,2009-03-11,31082,31864,30398,31474,5181076
104,2009-03-12,31082,31278,30007,31278,4678093
105,2009-03-13,32060,32157,30887,30887,3079141
106,2009-03-16,30838,32500,30789,31767,2944058
107,2009-03-17,33086,34063,32842,33917,4882255
108,2009-03-18,34210,34210,32646,33135,3956124
109,2009-03-19,34063,34112,31082,31376,5671278
110,2009-03-20,30936,31766,30642,31180,3073540
111,2009-03-23,31473,32939,31375,32744,2404024
112,2009-03-24,35090,35187,33868,34259,3991198
113,2009-03-25,33770,34552,33281,34406,2108615
114,2009-03-26,34210,35921,33966,35872,3902218
115,2009-03-27,35921,36458,34992,35383,2827273
116,2009-03-30,34943,35090,33037,33038,2397373
117,2009-03-31,33233,33819,32206,32207,3147540
118,2009-04-01,33135,34259,32744,33673,3108388
119,2009-04-02,34894,36165,34503,35970,4189551
120,2009-04-03,36947,37289,36067,36947,3676473
121,2009-04-06,36947,38511,36849,37045,2747019
122,2009-04-07,36409,37093,35872,36214,2385477
123,2009-04-08,35432,35676,34503,34553,2378356
124,2009-04-09,35041,37631,34992,37045,4266460
125,2009-04-10,38853,39390,36703,37289,4871044
126,2009-04-13,37533,38315,36556,38218,2345871
127,2009-04-14,38804,39244,37484,38365,3058152
128,2009-04-15,37142,37533,36263,36654,2770311
129,2009-04-16,37533,38022,35969,36165,2637330
130,2009-04-17,36507,37289,35725,36165,2283781
131,2009-04-20,36654,37729,35969,37632,1677229
132,2009-04-21,36409,37045,36018,36459,1810800
133,2009-04-22,37045,37484,36556,36898,1832673
134,2009-04-23,37093,37142,35725,36605,2288016
135,2009-04-24,36849,37729,36312,37143,2572788
136,2009-04-27,37045,37582,36165,36165,2217786
