,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,45740,45740,42141,45653,11070
1,2000-01-05,44687,44687,41702,42668,11070
2,2000-01-06,44511,44511,41263,41263,12650
3,2000-01-07,41702,42843,41219,41439,10220
4,2000-01-10,41702,42755,40912,40912,8210
5,2000-01-11,41877,42141,40912,41000,6320
6,2000-01-12,41000,41000,39507,39507,11790
7,2000-01-13,41175,41175,37049,37049,15390
8,2000-01-14,37927,41263,37751,40385,104503
9,2000-01-17,42580,43897,40385,43897,15090
10,2000-01-18,42141,43897,39946,41702,5040
11,2000-01-19,41702,42404,38366,38454,10660
12,2000-01-20,38453,40385,38453,40385,8660
13,2000-01-21,40385,40385,37927,39507,5120
14,2000-01-24,38629,43107,38629,43107,11250
15,2000-01-25,42580,42580,38980,39069,11820
16,2000-01-26,39156,41702,39068,40385,12320
17,2000-01-27,38805,43019,38805,43019,9320
18,2000-01-28,43721,43721,40824,43370,5480
19,2000-01-31,43019,44248,40385,44248,55800
20,2000-02-01,44775,46092,44072,46004,34300
21,2000-02-02,46004,47145,44950,45653,25520
22,2000-02-03,45653,46092,44775,45214,9790
23,2000-02-07,45389,45653,44775,44775,20490
24,2000-02-08,44775,46092,44248,44512,54690
25,2000-02-09,43897,43897,42404,43195,17640
26,2000-02-10,43019,43019,39507,39507,17490
27,2000-02-11,40824,40824,39068,40298,19310
28,2000-02-14,39507,42141,39507,42054,7430
29,2000-02-15,42053,43458,40517,42141,8350
30,2000-02-16,42141,42141,39507,40385,12760
31,2000-02-17,42141,43194,39595,40385,52760
32,2000-02-18,41175,46443,40473,46443,118170
33,2000-02-21,45916,46443,43107,45653,19830
34,2000-02-22,43985,48374,43897,48375,89810
35,2000-02-23,47408,48286,46794,47409,42670
36,2000-02-24,46531,48725,45916,48726,45170
37,2000-02-25,47847,48725,46531,48287,19110
38,2000-02-28,46970,48199,46531,47321,9960
39,2000-02-29,47145,47847,45038,45653,20090
40,2000-03-02,45653,48286,44862,48287,54970
41,2000-03-03,46267,48111,45740,47409,17720
42,2000-03-06,47321,48725,44950,48287,105860
43,2000-03-07,48725,48725,45916,48199,62960
44,2000-03-08,48286,48989,46970,48902,104550
45,2000-03-09,48901,49603,47233,49165,107980
46,2000-03-10,49164,50832,48286,49955,102860
47,2000-03-13,50042,50832,48374,49955,77690
48,2000-03-14,50130,51359,48023,48638,34700
49,2000-03-15,47496,48462,43721,44248,14160
50,2000-03-16,43897,45214,40736,40824,17660
51,2000-03-17,40956,43019,36873,39069,82930
52,2000-03-20,40297,41702,39068,41263,29490
53,2000-03-21,41087,42141,39068,41263,8420
54,2000-03-22,40473,42229,40473,41307,6310
55,2000-03-23,40868,42229,39946,42141,9140
56,2000-03-24,42580,42580,40824,41834,6730
57,2000-03-27,41702,41965,40385,41702,11670
58,2000-03-28,42316,42492,38190,42141,58920
59,2000-03-29,40824,46531,39770,41263,39580
60,2000-03-30,39639,43019,39639,43019,13510
61,2000-03-31,40429,42755,40429,42580,25770
62,2000-04-03,42580,42580,40912,41000,4490
63,2000-04-04,41087,42316,39595,42141,19960
64,2000-04-06,43897,44775,42580,43283,14040
65,2000-04-07,40517,44336,40517,41702,15670
66,2000-04-10,41263,42931,40561,41439,81560
67,2000-04-11,41570,41965,40824,41658,27010
68,2000-04-12,40473,42931,39770,39771,18610
69,2000-04-14,39946,41131,35293,39507,22150
70,2000-04-17,35556,40561,35161,38366,29630
71,2000-04-18,39507,39507,36873,39332,46970
72,2000-04-19,39946,40297,38190,38981,51006
73,2000-04-20,38673,39507,38190,38191,7330
74,2000-04-21,38980,39419,36961,39420,34500
75,2000-04-24,42229,42229,39244,39420,37160
76,2000-04-25,38278,39858,37663,37752,23550
77,2000-04-26,38190,39288,37049,37664,8860
78,2000-04-27,37312,38190,35556,37576,120320
79,2000-04-28,38102,38102,35381,36698,44470
80,2000-05-02,36303,36303,35205,35820,24130
81,2000-05-03,35820,36127,35117,35820,29386
82,2000-05-04,35117,35951,34591,35118,16936
83,2000-05-08,35907,35907,34239,34854,31280
84,2000-05-09,34327,39419,34327,35381,67950
85,2000-05-10,35029,35644,35029,35030,19010
86,2000-05-12,34678,36434,34503,35996,74560
