,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,551032,591072,551032,584163,158730
1,2000-01-05,584153,584153,562169,579940,297960
2,2000-01-06,579658,588121,552821,553195,170460
3,2000-01-07,568558,595275,541879,588386,338720
4,2000-01-10,603744,609297,563007,571494,251810
5,2000-01-11,584153,591063,560813,579940,171970
6,2000-01-12,577512,577512,548618,548972,136300
7,2000-01-13,534594,547254,527487,527858,136380
8,2000-01-14,548844,548844,527718,533488,161800
9,2000-01-17,534846,540436,526419,530673,117730
10,2000-01-18,527443,531673,500723,501113,182620
11,2000-01-19,501005,501005,464365,465923,150370
12,2000-01-20,464122,485209,450065,475776,178530
13,2000-01-21,451484,481891,451484,464515,492720
14,2000-01-24,466943,521857,464070,522227,377280
15,2000-01-25,509518,548858,502411,538415,335430
16,2000-01-26,538372,618646,533479,618649,1533400
17,2000-01-27,623534,665787,610874,640468,1115580
18,2000-01-28,647394,647394,570657,577125,351920
19,2000-01-31,563000,572827,541874,541934,175910
20,2000-02-01,557331,558844,543274,547565,145450
21,2000-02-02,547491,569958,537665,563048,123230
22,2000-02-03,555892,568588,541872,558826,126090
23,2000-02-07,563066,575766,550406,560233,115200
24,2000-02-08,550125,558592,542359,544749,95600
25,2000-02-09,529246,548856,520816,520820,133470
26,2000-02-10,520804,520804,477037,478591,168470
27,2000-02-11,501037,503911,470124,478591,80570
28,2000-02-14,465947,485557,458180,458181,115030
29,2000-02-15,458796,478563,457476,457477,129850
30,2000-02-16,457242,475496,450136,451846,90200
31,2000-02-17,452349,461476,436116,451846,84070
32,2000-02-18,447655,447655,429208,435659,116670
33,2000-02-21,424766,443173,405153,413137,67180
34,2000-02-22,400917,416297,392450,403987,128630
35,2000-02-23,409388,464144,409388,464515,181420
36,2000-02-24,478515,478515,423602,430732,115900
37,2000-02-25,426281,494551,422088,464515,197830
38,2000-02-28,463020,475717,441893,453254,122880
39,2000-02-29,462964,463624,428477,439178,112930
40,2000-03-02,464092,492285,458502,479999,263100
41,2000-03-03,476804,476804,453001,464515,112480
42,2000-03-06,491673,520566,465653,506744,201690
43,2000-03-07,493703,582439,486129,545453,450650
44,2000-03-08,516284,520481,478268,513782,166770
45,2000-03-09,521871,555658,450065,450439,241730
46,2000-03-10,517614,517614,497847,518004,167840
