,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,21350,24000,21350,22000,309730
1,2000-01-05,22200,22950,21400,21600,431700
2,2000-01-06,21650,22200,20800,20950,379410
3,2000-01-07,20450,21500,20200,20400,356410
4,2000-01-10,20550,21000,20300,20400,327430
5,2000-01-11,20700,21800,20700,21350,582340
6,2000-01-12,21350,21400,20700,21050,306290
7,2000-01-13,21000,21100,20500,20500,778680
8,2000-01-14,20800,20950,20200,20700,382350
9,2000-01-17,21100,22500,21000,22500,658390
10,2000-01-18,22400,22400,21050,22000,331770
11,2000-01-19,21500,21700,20500,20500,396090
12,2000-01-20,20500,21000,20500,20900,365240
13,2000-01-21,21200,23250,20900,23000,1326920
14,2000-01-24,23200,25800,22700,24000,1358560
15,2000-01-25,24000,24600,23400,23900,665440
16,2000-01-26,23500,24000,23000,23400,397270
17,2000-01-27,22700,23400,22000,23400,432570
18,2000-01-28,23800,25400,23650,24900,893290
19,2000-01-31,24200,25700,24050,24950,801480
20,2000-02-01,24950,25000,24000,24800,349850
21,2000-02-02,24700,24900,24250,24800,310030
22,2000-02-03,24900,25100,24500,25000,385820
23,2000-02-07,25000,25200,24600,24950,473880
24,2000-02-08,24600,25100,24400,25100,840950
25,2000-02-09,24800,25150,24500,25000,650790
26,2000-02-10,24500,25000,23500,23750,561040
27,2000-02-11,24300,24900,23300,24800,518830
28,2000-02-14,23700,24700,23450,23700,402910
29,2000-02-15,23000,24000,22800,23500,613460
30,2000-02-16,23150,24050,21300,24050,393290
31,2000-02-17,23500,24900,23250,24300,455840
32,2000-02-18,24100,24500,23100,23800,554050
33,2000-02-21,23150,24200,22100,22100,769200
34,2000-02-22,22500,25000,22500,25000,1321510
35,2000-02-23,25200,27000,25200,26500,1293810
36,2000-02-24,26900,27800,26400,27500,905700
37,2000-02-25,27500,27500,26400,27200,310670
38,2000-02-28,27000,27200,26000,27200,254260
39,2000-02-29,27200,27700,26200,27700,546260
40,2000-03-02,27500,27500,26200,26500,527720
41,2000-03-03,26200,26200,25200,25200,231050
42,2000-03-06,25250,26450,25200,26450,254200
43,2000-03-07,26000,26750,25500,26750,208000
44,2000-03-08,25600,26750,25550,26650,172090
45,2000-03-09,26000,26500,22900,22900,717160
46,2000-03-10,24500,24900,24000,24750,593860
47,2000-03-13,24200,24250,23500,23500,322250
48,2000-03-14,23000,25000,23000,25000,304790
49,2000-03-15,25000,25000,24050,25000,253120
50,2000-03-16,24700,25750,24600,25500,234110
