,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,182000,186000,160000,169000,2344578
1,2000-01-05,148000,160000,145000,145500,2744903
2,2000-01-06,151000,154000,145000,147500,2275143
3,2000-01-07,141000,142500,126500,133000,2404267
4,2000-01-10,140000,149500,137500,145000,2273425
5,2000-01-11,148000,149000,139000,140000,1706151
6,2000-01-12,135000,137000,131000,131500,1211776
7,2000-01-13,132000,134500,126000,130000,1750059
8,2000-01-14,134000,138000,128500,131500,1637664
9,2000-01-17,134000,138500,133000,137500,1065897
10,2000-01-18,138500,145000,135000,139500,1471080
11,2000-01-19,137500,139000,132000,132000,1357016
12,2000-01-20,130000,135000,126500,135000,1170014
13,2000-01-21,130000,132000,127500,129000,1152706
14,2000-01-24,127500,131500,126000,126000,1046453
15,2000-01-25,123000,123000,118000,118000,1266775
16,2000-01-26,118000,118500,107000,110000,1465314
17,2000-01-27,111000,116000,109000,114000,1157446
18,2000-01-28,118000,125500,116000,122000,1619534
19,2000-01-31,123000,127500,120000,126000,1171169
20,2000-02-01,129500,130000,122500,124000,938659
21,2000-02-02,125000,127000,120000,125000,1085204
22,2000-02-03,127000,127500,121000,124000,1288055
23,2000-02-07,125500,141000,125000,137000,2553724
24,2000-02-08,138000,138500,131500,132000,1147885
25,2000-02-09,135500,140000,134500,138000,1447182
26,2000-02-10,132000,147000,132000,136500,2480575
27,2000-02-11,139500,143000,135000,135500,1347964
28,2000-02-14,133000,137500,130000,132000,1251896
29,2000-02-15,134000,134500,121500,124000,1338269
30,2000-02-16,124000,126000,115500,123000,1321731
31,2000-02-17,116000,123000,116000,122000,1524665
32,2000-02-18,122000,128000,118000,118000,1653959
33,2000-02-21,115000,116000,110500,111000,1042887
34,2000-02-22,111000,117000,109000,114500,1217920
35,2000-02-23,114000,116500,111000,115000,1272745
36,2000-02-24,115000,117500,113000,114000,913753
37,2000-02-25,109000,112000,106500,109000,1651680
38,2000-02-28,107500,108000,97200,97800,1706622
39,2000-02-29,99500,101000,93500,95500,1705849
40,2000-03-02,99000,109500,96000,107500,2053295
41,2000-03-03,113000,114000,106500,110000,1522631
42,2000-03-06,115000,116000,111500,113000,1066908
43,2000-03-07,109000,113000,105000,113000,761078
44,2000-03-08,106000,115000,106000,113000,811550
45,2000-03-09,118000,119500,109000,109000,1907621
46,2000-03-10,113000,113500,107000,108000,931527
47,2000-03-13,105500,106000,99000,99900,1136960
48,2000-03-14,98000,99500,96000,97800,835222
49,2000-03-15,95100,96000,92000,94000,951869
50,2000-03-16,95600,98000,94300,97000,934115
51,2000-03-17,100000,101500,97500,100000,1043145
52,2000-03-20,100000,101500,97100,97100,499669
53,2000-03-21,95000,100000,93100,100000,884045
54,2000-03-22,101000,104000,99000,103000,1145258
55,2000-03-23,103000,103500,99000,102500,1017469
56,2000-03-24,100000,101500,99600,100000,655195
57,2000-03-27,100000,101000,98100,98100,622777
58,2000-03-28,97200,101000,97200,97800,820574
59,2000-03-29,98200,99800,97500,98700,1036894
60,2000-03-30,101000,106500,99600,103500,1725376
61,2000-03-31,101000,103000,98000,98000,1158473
62,2000-04-03,100000,100000,92000,93700,829750
63,2000-04-04,92000,93700,88200,93700,863908
64,2000-04-06,91100,92800,89700,89700,577085
65,2000-04-07,89800,93500,89700,92000,850432
66,2000-04-10,96000,96500,93400,93500,1302334
67,2000-04-11,94800,94800,92500,93800,836652
68,2000-04-12,93000,94800,92400,92500,791850
69,2000-04-14,90000,90200,87000,88000,704649
70,2000-04-17,74800,79500,74800,74800,1383693
71,2000-04-18,82000,82000,73300,75000,1381263
72,2000-04-19,78500,80500,76000,77000,1433397
73,2000-04-20,78000,83100,76900,82400,1254564
74,2000-04-21,83400,85000,81200,82100,963706
75,2000-04-24,83500,83700,79200,79500,586208
76,2000-04-25,77000,80500,77000,80400,654063
77,2000-04-26,82500,83000,77100,77900,662237
78,2000-04-27,77000,79800,75000,75800,672984
79,2000-04-28,75700,77300,74000,75800,903509
80,2000-05-02,76100,81100,75200,80000,1975549
81,2000-05-03,79900,80500,77500,78800,895329
82,2000-05-04,79600,79900,77600,78700,687052
