,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,43507,48198,43155,47025,951270
1,2000-01-05,46322,49019,43742,44328,1268190
2,2000-01-06,43155,43976,40751,41631,2547070
3,2000-01-07,41631,45852,41045,44562,1784030
4,2000-01-10,48081,48081,45266,46908,1621580
5,2000-01-11,45852,47259,45852,46790,913630
6,2000-01-12,46439,47728,45852,46790,870140
7,2000-01-13,46088,47143,45735,47142,810170
8,2000-01-14,47143,48315,46322,47846,830820
9,2000-01-17,48432,49253,47728,49136,724660
10,2000-01-18,49370,51950,48667,51188,1693480
11,2000-01-19,50427,50895,48198,49019,906950
12,2000-01-20,48081,52185,46439,52185,652840
13,2000-01-21,49136,50308,47025,47025,698230
14,2000-01-24,47259,48315,46556,46673,479220
15,2000-01-25,45267,47611,44797,45442,465810
16,2000-01-26,45853,46791,45618,45618,414110
17,2000-01-27,44855,49253,44621,46908,913440
18,2000-01-28,48081,48315,46087,46908,468850
19,2000-01-31,46907,47963,46204,46908,710280
20,2000-02-01,47084,47728,45676,45852,754550
21,2000-02-02,45618,48080,45618,47611,525690
22,2000-02-03,47611,48081,47260,47905,390380
23,2000-02-07,47905,49194,47611,47611,471720
24,2000-02-08,48081,49019,46439,47260,400570
25,2000-02-09,46556,48081,46556,47260,423410
26,2000-02-10,46556,46673,43976,44093,1015920
27,2000-02-11,44680,45148,42217,44386,1258180
28,2000-02-14,44386,45148,42158,42686,723690
29,2000-02-15,44562,44562,41337,42510,846800
30,2000-02-16,41572,42510,39755,42217,646220
31,2000-02-17,41747,44445,41747,44093,879130
32,2000-02-18,45149,48902,44563,44562,1734580
33,2000-02-21,44563,46205,44093,44562,601640
34,2000-02-22,44797,45383,42685,43390,498280
35,2000-02-23,43389,45090,42862,43390,699130
36,2000-02-24,43389,44445,42334,42569,391010
37,2000-02-25,42334,42334,41045,41044,448590
38,2000-02-28,39637,39871,37057,37292,536750
39,2000-02-29,37644,38582,34595,35122,1235820
40,2000-03-02,36354,39051,35063,37174,2119520
41,2000-03-03,37408,38523,35181,35767,863680
42,2000-03-06,38582,38699,36998,38113,1012450
43,2000-03-07,37878,38582,35767,37468,596000
44,2000-03-08,36354,37409,35884,37116,489540
45,2000-03-09,37526,38112,35944,35943,1017150
46,2000-03-10,37526,37644,34888,35298,1204230
47,2000-03-13,34888,34946,30724,31897,1621100
48,2000-03-14,30724,32132,29962,31076,1476940
49,2000-03-15,30725,30960,28497,28672,1979710
50,2000-03-16,29962,31077,29376,29376,1830140
51,2000-03-17,31545,33422,30724,32249,2133920
52,2000-03-20,32953,34946,32836,34360,1968100
53,2000-03-21,34946,35123,32953,34301,970840
54,2000-03-22,35063,36823,34595,36178,1303310
55,2000-03-23,36119,37174,34008,34008,1083930
56,2000-03-24,34829,35650,34008,35181,731960
57,2000-03-27,34946,35182,34125,34594,358070
58,2000-03-28,34594,36002,34594,35650,824490
59,2000-03-29,35182,37409,34771,37174,897310
60,2000-03-30,38346,39109,37525,38113,1023560
61,2000-03-31,37526,38582,36940,37057,698390
62,2000-04-03,36588,36940,35533,36940,986450
63,2000-04-04,36119,37292,35650,36002,518030
64,2000-04-06,37526,38229,36353,37409,1225400
65,2000-04-07,38113,40224,38113,39637,1156570
66,2000-04-10,40459,41748,37996,37995,2195300
67,2000-04-11,36941,37526,35767,36354,2139990
68,2000-04-12,36353,36823,35708,35826,1344570
69,2000-04-14,34712,35182,33715,33715,1088220
70,2000-04-17,28673,31487,28673,29435,1529980
71,2000-04-18,32835,33187,30665,33187,1104870
72,2000-04-19,33774,34712,32836,32835,1139550
73,2000-04-20,32835,33245,31897,33246,795970
74,2000-04-21,33422,34125,32659,33891,364450
75,2000-04-24,32835,33891,32424,32425,382240
76,2000-04-25,32249,32952,31839,32308,351200
77,2000-04-26,34594,34594,30490,30490,747120
78,2000-04-27,30255,30490,28965,28966,1083390
79,2000-04-28,27910,29903,27910,29904,1874530
80,2000-05-02,30431,30782,29844,30490,847490
81,2000-05-03,29903,32249,29082,31428,824390
82,2000-05-04,30607,31545,30548,30842,705100
83,2000-05-08,30841,31428,30548,30607,743790
84,2000-05-09,30841,31252,30607,30900,501630
85,2000-05-10,30900,31193,30431,30490,329400
86,2000-05-12,29903,30724,29201,29317,568410
87,2000-05-15,28261,28731,27441,27441,662280
88,2000-05-16,26738,28144,25681,28145,894970
89,2000-05-17,28144,29317,27030,27206,1184290
90,2000-05-18,26972,27206,23805,25799,856450
91,2000-05-19,24626,25799,24040,25565,973060
92,2000-05-22,25565,26034,23454,24157,1054110
93,2000-05-23,24158,24158,20992,20991,1929860
94,2000-05-24,20757,22575,19057,21695,2500540
95,2000-05-25,22516,24510,22281,23571,2441650
96,2000-05-26,23571,24275,22398,23454,1654330
97,2000-05-29,23454,23981,22984,23982,814810
98,2000-05-30,24568,26972,24216,25799,1330220
99,2000-05-31,26385,27089,25800,25799,2042630
100,2000-06-01,25800,26151,24217,24275,1394880
101,2000-06-02,25213,25447,23454,24040,1804510
102,2000-06-05,24743,26738,24333,25741,2557910
103,2000-06-07,26385,26738,25740,26620,2636200
104,2000-06-08,28145,29083,26620,26972,3246930
105,2000-06-09,27793,30842,27617,30197,4608420
106,2000-06-12,31663,33187,31077,32073,3530960
107,2000-06-13,32073,32132,28848,29259,1751640
108,2000-06-14,29786,30490,27793,28262,1628690
109,2000-06-15,28144,28144,26092,26562,1350820
110,2000-06-16,26561,27500,26561,26972,968800
111,2000-06-19,27148,28907,27031,27558,1165550
112,2000-06-20,28497,28497,27090,27851,686220
113,2000-06-21,28027,29669,27910,28086,1440270
114,2000-06-22,29082,29082,26737,27206,960270
115,2000-06-23,26855,26855,25800,26210,876230
116,2000-06-26,25917,26738,25682,26210,676990
117,2000-06-27,26738,27148,26093,26972,1354900
118,2000-06-28,26738,27324,26444,27031,690940
119,2000-06-29,26738,27265,25859,26092,1475330
120,2000-06-30,26210,26738,26034,26151,819310
121,2000-07-03,26034,26738,25858,26620,786820
122,2000-07-04,26738,26738,25564,25565,992900
123,2000-07-05,26327,26619,25271,25623,1096340
124,2000-07-06,25800,26092,25447,25682,926040
125,2000-07-07,25682,26855,25330,26034,1572690
126,2000-07-10,26738,26738,25800,26034,1107760
127,2000-07-11,26034,27206,25681,26268,1822180
128,2000-07-12,26034,26327,25448,26034,1200270
129,2000-07-13,25800,26034,24979,25213,1174200
130,2000-07-14,25448,26034,24392,24392,1745500
131,2000-07-18,24393,24510,23102,23630,1432640
132,2000-07-19,22868,23455,22575,22809,871520
133,2000-07-20,21929,22046,20874,21284,2712800
134,2000-07-21,21518,22281,21460,22281,2312340
135,2000-07-24,21695,21812,21108,21226,944620
136,2000-07-25,20522,22047,20170,21519,1008900
137,2000-07-26,21637,21988,20991,21695,805860
138,2000-07-27,21108,21578,21050,21519,579410
139,2000-07-28,21109,21695,20757,20874,796410
140,2000-07-31,20991,22457,20757,22223,986160
141,2000-08-01,22222,22339,21695,22281,758590
142,2000-08-02,22280,22398,21870,22105,478900
143,2000-08-03,22280,22516,22046,22105,528520
144,2000-08-04,22105,22105,21519,21695,407650
145,2000-08-07,21343,21460,20757,20757,361020
146,2000-08-08,20757,21226,20054,20229,463710
147,2000-08-09,20522,21285,20522,21108,592710
148,2000-08-10,20757,21637,20639,21636,479050
149,2000-08-11,21108,21459,20874,21167,439030
150,2000-08-14,21929,22222,21343,21343,806390
151,2000-08-16,21578,21695,21108,21402,596360
152,2000-08-17,21519,22634,21343,21929,1165610
153,2000-08-18,22280,22750,21812,21988,752800
154,2000-08-21,21988,22339,21578,22223,494780
155,2000-08-22,22457,23337,22398,23219,1090460
156,2000-08-23,23571,23688,22809,23102,1101850
157,2000-08-24,23101,23395,22516,22868,548790
158,2000-08-25,22516,22926,22398,22633,353850
159,2000-08-28,22339,22809,22164,22281,398230
160,2000-08-29,22516,22633,22105,22223,384780
161,2000-08-30,22163,22222,21871,22164,585080
162,2000-08-31,22281,22281,21578,21929,507510
163,2000-09-01,22047,22164,21460,21753,462600
164,2000-09-04,21636,21695,21167,21284,345230
165,2000-09-05,21460,21578,21108,21578,422790
166,2000-09-06,21343,21812,21343,21695,395040
167,2000-09-07,21108,21518,20932,21167,794360
168,2000-09-08,20816,21284,20405,20757,1092990
169,2000-09-14,19584,20581,19350,20288,1335210
170,2000-09-15,19937,20171,18529,18529,1366190
171,2000-09-18,17473,17590,15773,16242,1351410
172,2000-09-19,15362,16008,15011,15010,1277980
173,2000-09-20,15538,16358,15420,16242,1339670
174,2000-09-21,15831,16652,15362,16183,1017220
175,2000-09-22,15537,16124,14365,14424,1079410
176,2000-09-25,15245,15715,14894,15714,809490
177,2000-09-26,15949,16828,15949,16535,1116880
178,2000-09-27,16769,17356,16358,17004,1096060
179,2000-09-28,17357,17474,16418,16711,1850500
180,2000-09-29,16945,17062,16124,16300,1079060
181,2000-10-02,15245,15480,15011,15186,2204460
182,2000-10-04,15010,16183,14658,16125,2607470
183,2000-10-05,16124,16358,15186,15362,3952410
184,2000-10-06,15362,15714,14717,14776,3919020
185,2000-10-09,14775,15010,14131,14424,3131700
186,2000-10-10,14658,14893,14248,14541,2649480
187,2000-10-11,14190,14425,13896,14365,2320510
188,2000-10-12,13955,14424,13720,13838,1403970
189,2000-10-13,13016,13193,12606,13076,1603010
190,2000-10-16,13956,14014,13075,13251,1923970
191,2000-10-17,12724,12958,11563,11610,1418010
192,2000-10-18,11339,12137,11140,12079,2236450
193,2000-10-19,11727,12548,11727,12196,1844590
194,2000-10-20,12723,13251,12430,12782,2602790
195,2000-10-23,12782,12899,11727,11844,1385290
196,2000-10-24,11727,12548,11610,12313,1961060
197,2000-10-25,12079,12548,11844,12548,1263950
198,2000-10-26,12431,13135,12196,12665,2041770
199,2000-10-27,12899,13251,12723,12841,1634840
200,2000-10-30,12782,13016,12137,12137,1120820
201,2000-10-31,12137,13135,11610,13134,1961720
202,2000-11-01,13486,15070,13428,15069,3624800
203,2000-11-02,15479,16066,14952,15714,4624990
204,2000-11-03,15714,15714,14835,15245,2444050
205,2000-11-06,15245,16594,15011,15831,3311930
206,2000-11-07,16125,16242,15479,15714,1586440
207,2000-11-08,15245,16007,15011,15538,1087810
208,2000-11-09,15245,15596,14717,15480,1369220
209,2000-11-10,15245,15596,15069,15304,997290
210,2000-11-13,14775,14893,14365,14541,1094670
211,2000-11-14,14424,15011,14307,15010,1207430
212,2000-11-15,15304,15538,14073,14072,1569590
213,2000-11-16,13721,14307,13545,14190,1356500
214,2000-11-17,13720,15127,13661,14424,1887560
215,2000-11-20,14072,14424,13486,13662,671580
216,2000-11-21,13486,13545,12665,13134,872880
217,2000-11-22,12782,13310,12723,12782,652680
218,2000-11-23,12665,13135,12314,12313,806700
219,2000-11-24,12431,13016,12314,13017,810290
