,날짜,시가,고가,저가,종가,거래량
0,2001-04-25,11900,13650,11900,13650,26150
1,2001-04-26,15650,15650,15650,15650,87500
2,2001-04-27,17950,17950,16600,17950,2002100
3,2001-04-30,18900,19500,17500,18000,1296800
4,2001-05-02,18500,20700,17750,20700,1081050
5,2001-05-03,20700,20700,19750,20250,698750
6,2001-05-04,19500,19700,18600,18850,463860
7,2001-05-07,18900,19550,18400,18700,438060
8,2001-05-08,18300,19000,18300,19000,396410
9,2001-05-09,19000,19350,18700,18950,136030
10,2001-05-10,18950,21750,18800,21750,1047100
11,2001-05-11,22200,24700,22100,24000,866480
12,2001-05-14,23150,23800,22250,23200,644860
13,2001-05-15,23300,24350,22700,23800,431160
14,2001-05-16,24000,24700,23300,23700,240360
15,2001-05-17,24100,26600,23300,24800,541670
16,2001-05-18,24550,26800,24550,25950,703620
17,2001-05-21,26900,27900,26450,26800,294630
18,2001-05-22,26800,27500,25600,26400,389230
19,2001-05-23,26200,26200,25200,25900,358410
20,2001-05-24,25200,27500,25200,27150,544850
21,2001-05-25,27000,28150,27000,27950,442350
22,2001-05-28,27950,28400,27000,27500,153070
23,2001-05-29,27500,30000,27500,28900,552730
24,2001-05-30,28550,32800,28550,31600,626950
25,2001-05-31,31500,34500,30500,31600,432820
26,2001-06-01,31600,32700,29400,30000,489550
27,2001-06-04,30000,30850,27700,28150,256260
28,2001-06-05,27700,28650,27200,27300,332650
29,2001-06-07,27600,28800,27600,28300,325340
30,2001-06-08,29000,30400,28300,30000,383800
31,2001-06-11,29300,30350,29300,30000,129920
32,2001-06-12,29550,30100,29200,29600,89400
33,2001-06-13,29100,29500,29100,29500,111760
34,2001-06-14,29300,31200,29050,30750,223420
35,2001-06-15,31000,31500,29800,30300,205900
36,2001-06-18,30700,30850,29500,29500,69510
37,2001-06-19,29000,29900,29000,29500,83810
38,2001-06-20,29800,31500,29500,31000,370480
39,2001-06-21,31000,31400,29000,29000,176370
40,2001-06-22,29050,29300,27700,29250,88450
41,2001-06-25,29300,31200,29300,30700,207320
42,2001-06-26,30900,30900,29300,29500,60130
43,2001-06-27,29700,30400,29300,29500,50700
44,2001-06-28,29000,29800,29000,29500,34720
45,2001-06-29,29550,30000,29050,29450,60320
46,2001-07-02,29100,29300,28200,28200,221130
47,2001-07-03,28500,28800,28000,28250,121320
48,2001-07-04,28300,28600,27300,28400,127390
49,2001-07-05,29300,29300,28000,28000,53820
50,2001-07-06,27000,27800,27000,27300,84750
51,2001-07-09,27000,27000,26100,27000,82320
52,2001-07-10,26550,27300,26150,26650,57170
53,2001-07-11,25700,26200,25700,26000,123980
54,2001-07-12,26050,27000,26050,26300,71980
55,2001-07-13,26800,27000,26400,26500,64370
56,2001-07-16,26500,27150,26000,26550,60990
57,2001-07-18,26600,26900,26100,26400,40510
58,2001-07-19,26200,26600,25800,26000,47170
59,2001-07-20,26000,26750,26000,26300,99850
60,2001-07-23,26200,26250,23500,23800,124700
61,2001-07-24,23500,23500,22100,23100,86480
62,2001-07-25,23100,23100,22150,22900,58430
63,2001-07-26,23500,23600,22550,23050,64340
64,2001-07-27,23200,23700,22900,23400,97620
65,2001-07-30,23400,23400,22600,23000,50110
66,2001-07-31,22500,23100,22500,23100,56240
67,2001-08-01,23400,25050,23200,24800,154890
68,2001-08-02,25000,25050,24000,24800,100720
69,2001-08-03,25000,25800,24500,25200,56600
70,2001-08-06,25200,25800,24750,25500,55150
71,2001-08-07,25700,25900,25450,25800,94860
72,2001-08-08,25800,26200,25600,25900,97600
73,2001-08-09,25900,26450,25850,26000,559420
74,2001-08-10,25800,26100,25000,25700,73620
75,2001-08-13,26000,26000,25000,25700,97400
76,2001-08-14,25100,25850,25000,25800,121200
77,2001-08-16,25600,26100,25200,25700,92880
78,2001-08-17,25500,25700,25300,25600,35990
79,2001-08-20,24700,25200,24700,25200,16990
80,2001-08-21,25150,25200,24450,24650,34930
81,2001-08-22,24650,24650,24200,24200,41830
82,2001-08-23,24300,24600,24150,24300,168070
83,2001-08-24,24050,24400,23800,24200,45880
84,2001-08-27,24200,25600,24200,25200,135330
85,2001-08-28,25000,25250,24900,25250,109380
86,2001-08-29,25000,25600,25000,25250,66550
87,2001-08-30,25150,25250,24400,25200,30460
88,2001-08-31,25000,25000,24200,24600,91020
89,2001-09-03,26200,26200,24700,25750,213270
90,2001-09-04,25500,26000,25150,25300,141450
91,2001-09-05,25200,25550,25200,25450,27530
92,2001-09-06,25700,25900,25500,25800,75020
93,2001-09-07,25200,26000,25200,25850,53580
94,2001-09-10,25400,26150,25400,25800,21390
95,2001-09-11,25800,26000,25750,25800,81390
96,2001-09-12,21950,23200,21950,22900,90860
97,2001-09-13,23800,25000,23200,25000,93360
98,2001-09-14,24500,25300,24400,24950,151770
99,2001-09-17,24900,25300,24300,25000,71260
100,2001-09-18,25000,25700,25000,25300,144300
101,2001-09-19,25400,25800,25400,25700,44210
102,2001-09-20,25300,25700,24900,25700,63280
103,2001-09-21,25300,25800,25000,25800,27160
104,2001-09-24,26000,26300,25800,26050,101830
105,2001-09-25,26800,26800,25800,26300,153510
106,2001-09-26,26300,27000,26300,27000,121010
107,2001-09-27,27000,27100,26300,27000,74560
108,2001-09-28,27000,28000,26950,28000,115030
109,2001-10-04,27800,28100,26900,26900,144470
110,2001-10-05,27500,27500,27000,27100,48640
111,2001-10-08,27100,27350,26600,27300,30760
112,2001-10-09,27900,27900,27050,27050,55010
113,2001-10-10,27100,27300,27000,27050,17680
114,2001-10-11,27200,27300,27000,27100,40950
115,2001-10-12,27000,27400,26800,27100,58770
116,2001-10-15,27000,27100,26700,26900,25220
117,2001-10-16,27000,28200,27000,27800,99840
118,2001-10-17,27600,27950,27100,27900,54340
119,2001-10-18,27700,27700,26450,27000,66900
120,2001-10-19,26900,27650,26700,27400,64460
121,2001-10-22,27700,27700,27050,27200,24400
122,2001-10-23,26800,27800,26800,27650,122410
123,2001-10-24,27400,28500,27400,28400,104240
124,2001-10-25,28600,29700,28100,29250,122270
125,2001-10-26,29400,29400,28600,29150,39550
126,2001-10-29,29500,29500,28600,29000,55500
127,2001-10-30,28700,28750,28200,28400,35420
128,2001-10-31,28050,28500,28000,28050,31250
129,2001-11-01,28050,28800,28050,28450,59700
130,2001-11-02,28300,28800,28200,28500,41640
131,2001-11-05,29000,29000,28350,28600,53550
132,2001-11-06,29000,29000,28300,28300,67350
133,2001-11-07,28100,28300,28000,28000,29270
134,2001-11-08,28200,28600,28100,28300,75280
135,2001-11-09,28800,29150,28450,29000,67610
136,2001-11-12,29200,29200,28700,29000,26760
137,2001-11-13,28800,28950,28500,28900,30620
138,2001-11-14,28800,29000,28350,28700,113100
139,2001-11-15,28900,28900,27500,28300,115570
140,2001-11-16,28450,29000,28300,28600,60120
141,2001-11-19,28900,29500,28600,29050,73650
142,2001-11-20,29100,30400,29000,29400,119100
143,2001-11-21,29450,30500,29400,30300,123400
144,2001-11-22,30500,31450,30050,31450,96950
145,2001-11-23,31950,32450,31250,32100,150010
146,2001-11-26,31900,33200,31700,32650,179190
147,2001-11-27,32800,32900,31500,31700,108560
148,2001-11-28,31250,31700,30650,31000,69750
149,2001-11-29,30100,31500,30100,31500,80320
150,2001-11-30,31100,31700,31000,31400,90410
151,2001-12-03,31100,32800,31050,32800,84490
152,2001-12-04,33200,33300,30100,31550,83540
153,2001-12-05,31600,31900,31050,31200,92080
154,2001-12-06,32400,32400,29500,29700,263810
155,2001-12-07,30000,30750,29150,30500,151060
156,2001-12-10,30500,31650,29700,31400,263290
157,2001-12-11,30450,31500,30450,31500,187320
158,2001-12-12,30900,33000,30900,33000,195720
159,2001-12-13,33000,33050,32200,32700,38180
160,2001-12-14,32800,32800,31700,32500,38780
161,2001-12-17,33000,33000,30800,30800,28000
162,2001-12-18,31000,31300,29300,29600,51700
163,2001-12-19,29150,30050,28000,28500,77700
164,2001-12-20,29450,29450,27950,28700,179520
165,2001-12-21,28300,28700,27550,28100,64390
166,2001-12-24,28100,28650,28100,28400,45060
167,2001-12-26,28400,28600,27900,28050,70600
168,2001-12-27,27800,28400,27400,27800,46700
169,2001-12-28,27800,29300,27800,28900,183690
170,2002-01-02,28900,30250,28500,29500,171185
171,2002-01-03,29500,33900,28800,33200,478240
172,2002-01-04,33900,36750,33500,36000,359530
173,2002-01-07,35000,35700,33600,34600,140555
174,2002-01-08,34600,34600,33500,33900,95145
175,2002-01-09,33000,34000,32600,33600,104895
176,2002-01-10,33100,35250,33000,34600,120031
177,2002-01-11,34850,35500,32650,33100,81959
178,2002-01-14,33100,33550,32900,33500,26410
179,2002-01-15,33500,34850,33000,33000,66943
180,2002-01-16,33500,33750,32200,32750,52890
181,2002-01-17,32750,34100,32000,34000,64536
182,2002-01-18,34900,35900,34200,34800,93767
183,2002-01-21,34800,35800,34100,35400,161239
184,2002-01-22,35600,35800,34850,35100,45870
185,2002-01-23,35100,40350,35100,40350,261685
186,2002-01-24,43000,46300,40500,41000,436331
187,2002-01-25,42000,43400,40000,40600,247794
188,2002-01-28,40050,43300,39250,41250,203183
189,2002-01-29,41100,43900,40900,42000,172636
190,2002-01-30,41000,41000,38500,38500,118924
191,2002-01-31,39500,39900,37450,37900,79757
192,2002-02-01,39000,39600,37700,37900,111050
193,2002-02-04,37150,38350,36000,36250,57106
194,2002-02-05,35350,35600,34050,35000,185087
195,2002-02-06,35200,36300,34800,35300,477069
196,2002-02-07,35300,37350,35200,37000,228707
197,2002-02-08,37000,37050,35750,37050,107346
198,2002-02-14,38000,38700,37050,38700,157910
199,2002-02-15,39000,42000,39000,40900,231551
200,2002-02-18,40400,41400,39000,39800,131156
201,2002-02-19,40300,40300,37400,37500,183608
202,2002-02-20,36750,37400,36150,37400,178444
203,2002-02-21,38000,38000,35700,36200,281980
204,2002-02-22,36000,37000,35650,36450,169236
205,2002-02-25,36600,37800,36600,37200,197406
206,2002-02-26,37900,39750,37800,39000,284597
207,2002-02-27,39000,39550,38150,39250,209624
208,2002-02-28,39050,39250,38500,39000,133892
209,2002-03-04,39000,40550,38600,38700,183611
210,2002-03-05,39300,41000,38200,40650,444269
211,2002-03-06,40750,41300,40100,40300,143401
212,2002-03-07,40500,40600,39200,39200,125247
213,2002-03-08,38550,39100,37600,38100,114956
214,2002-03-11,38000,38950,38000,38950,65690
215,2002-03-12,39000,40100,39000,40000,310967
216,2002-03-13,40600,43600,40200,42200,343770
217,2002-03-14,42200,42700,40400,41500,250540
218,2002-03-15,41500,44550,41000,43400,401653
219,2002-03-18,45300,48750,45000,47300,470702
220,2002-03-19,48000,50900,47300,50900,455332
221,2002-03-20,50900,51900,47500,49900,398332
222,2002-03-21,47700,49150,47650,48500,110055
223,2002-03-22,48500,49300,47650,47700,116971
224,2002-03-25,47500,49000,47500,47650,102528
225,2002-03-26,47550,47550,44250,44700,155246
226,2002-03-27,44800,45400,44500,45000,176967
227,2002-03-28,45100,45900,44000,44050,183162
228,2002-03-29,44050,45100,43800,45000,149240
229,2002-04-01,45600,47100,45000,45000,167286
230,2002-04-02,45000,45000,43000,44950,219184
231,2002-04-03,44900,47200,44400,47000,220122
232,2002-04-04,46800,47800,46050,46650,128975
233,2002-04-08,46500,46500,44450,45450,185625
234,2002-04-09,44700,45400,43850,44400,89490
235,2002-04-10,43700,44400,42600,43000,86527
236,2002-04-11,42000,44300,42000,43950,90547
237,2002-04-12,43000,44000,42550,43500,51980
238,2002-04-15,43500,45000,43250,45000,119413
239,2002-04-16,44100,45250,44100,44300,56848
240,2002-04-17,45100,45800,44000,44350,170401
241,2002-04-18,44350,44700,43700,44000,135036
242,2002-04-19,44000,44350,43400,43450,115701
243,2002-04-22,42600,43300,41500,41800,112184
244,2002-04-23,40250,41600,40250,40900,91696
245,2002-04-24,41150,42400,40400,41200,133537
246,2002-04-25,41500,42600,40200,40200,149119
247,2002-04-26,40500,42000,40400,40600,147096
248,2002-04-29,40200,40200,38900,39850,112050
249,2002-04-30,40000,40200,38750,39800,100764
250,2002-05-02,39800,41200,39800,41100,151498
251,2002-05-03,41200,41200,40100,40500,120775
252,2002-05-06,40500,41600,39550,39850,53820
253,2002-05-07,39550,39750,38700,39750,43790
254,2002-05-08,39500,39900,39100,39500,216182
255,2002-05-09,39600,39800,39100,39450,227888
256,2002-05-10,39050,39400,38050,38100,57378
257,2002-05-13,37150,38700,37150,38450,54708
258,2002-05-14,38450,39600,38450,39500,114560
259,2002-05-15,39700,40700,39650,40650,90610
260,2002-05-16,40700,40700,40200,40500,49620
261,2002-05-17,40500,41500,40300,41300,99324
262,2002-05-20,41500,42250,41100,41800,80400
263,2002-05-21,42000,42100,39900,40500,72180
264,2002-05-22,40500,40500,39100,40450,60420
265,2002-05-23,40600,40600,39500,39600,25902
266,2002-05-24,39900,40300,39700,39700,21159
267,2002-05-27,40000,40000,39400,39500,10361
268,2002-05-28,38300,39100,38300,39000,51263
269,2002-05-29,38050,39000,37600,39000,51980
270,2002-05-30,39000,39000,37850,38800,33280
271,2002-05-31,38800,39000,37500,38000,74260
272,2002-06-03,38300,38300,36950,37050,51200
273,2002-06-04,37100,37700,36000,37700,37392
274,2002-06-05,37550,38450,36000,36050,119660
275,2002-06-07,36050,36500,35500,35800,125130
276,2002-06-10,35700,36900,35700,36900,70336
277,2002-06-11,36900,38200,36400,38200,87130
278,2002-06-12,38200,42500,37600,42500,147310
279,2002-06-14,41000,42000,39800,40000,138270
280,2002-06-17,40500,40800,39550,40200,36840
281,2002-06-18,40500,40650,39600,39900,34280
282,2002-06-19,39700,40000,38000,38650,47686
283,2002-06-20,35500,39600,35500,39000,42960
284,2002-06-21,39500,39500,37550,38500,52660
285,2002-06-24,38500,38500,37850,38000,36588
286,2002-06-25,38200,39000,37500,37900,29562
287,2002-06-26,37150,37900,35900,37000,83100
288,2002-06-27,36100,37000,34800,35000,108760
289,2002-06-28,35950,36500,35500,36150,113562
290,2002-07-02,36000,39600,34900,39200,182900
291,2002-07-03,38050,39800,38000,39500,52420
292,2002-07-04,39900,40000,38750,39600,64850
293,2002-07-05,39300,41200,39050,40800,98000
294,2002-07-08,41300,41750,40100,40100,72480
295,2002-07-09,40400,41750,40400,41700,150641
296,2002-07-10,41600,42450,41400,42000,119810
297,2002-07-11,40900,41450,39700,39700,52308
298,2002-07-12,40200,41600,40100,41600,55035
299,2002-07-15,41750,42300,40150,41500,48440
300,2002-07-16,41500,41700,40100,40950,29910
301,2002-07-18,41500,42000,40200,42000,72822
302,2002-07-19,42000,42000,40150,40800,46850
303,2002-07-22,39550,40000,37950,38000,72820
304,2002-07-23,38000,38700,37900,38400,84050
305,2002-07-24,38000,38200,36900,37200,61921
306,2002-07-25,38900,38900,37900,38000,93385
307,2002-07-26,38200,39000,37300,37900,231150
308,2002-07-29,38600,38900,37700,38000,69910
309,2002-07-30,38200,40050,38200,39700,100315
310,2002-07-31,40000,40700,39500,40000,100900
311,2002-08-01,39500,40550,37300,37650,115958
312,2002-08-02,37000,39000,36800,39000,47302
313,2002-08-05,38100,38200,36850,37700,33600
314,2002-08-06,35250,39050,35250,39050,62350
315,2002-08-07,39000,39000,37450,37700,58548
316,2002-08-08,37700,38250,36800,36900,33510
317,2002-08-09,37500,37900,37050,37550,24804
318,2002-08-12,38200,38200,37700,38150,177172
319,2002-08-13,38000,40000,38000,40000,64230
320,2002-08-14,39850,40200,39000,40100,84793
321,2002-08-16,40150,40700,39500,39700,94716
322,2002-08-19,39700,40700,39700,40650,125320
323,2002-08-20,41000,42450,40700,41650,78884
324,2002-08-21,41100,42200,40900,42100,41000
325,2002-08-22,42900,42900,41300,42700,56800
326,2002-08-23,42700,43500,41750,42000,97392
327,2002-08-26,41250,41900,41200,41900,40060
328,2002-08-27,41500,41500,40150,41200,64430
329,2002-08-28,40700,42000,40700,41850,29944
330,2002-08-29,41200,41600,40500,41500,24130
331,2002-08-30,40800,41500,40600,41000,37190
332,2002-09-02,41100,41900,41000,41600,33860
333,2002-09-03,41000,42000,40500,41300,25131
334,2002-09-04,40400,40500,40000,40100,28049
335,2002-09-05,40200,40700,40200,40400,26550
336,2002-09-06,40550,40700,39650,40700,15481
337,2002-09-09,40500,41150,39600,40700,32526
338,2002-09-10,40900,41500,39850,41500,54414
339,2002-09-11,41400,42200,41100,41700,49800
340,2002-09-12,42000,42950,41300,42950,67230
341,2002-09-13,42500,42700,40900,42500,38168
342,2002-09-16,42500,42600,41600,42400,30120
343,2002-09-17,42900,43300,42400,43300,42200
344,2002-09-18,42500,43000,40250,41500,75730
345,2002-09-19,42000,42900,41800,42150,53410
346,2002-09-23,42150,42150,41000,41000,44454
347,2002-09-24,40300,41950,40300,40500,76082
348,2002-09-25,40500,40600,39200,39700,63360
349,2002-09-26,40000,41500,40000,40800,81211
350,2002-09-27,41300,43600,41000,41000,125970
351,2002-09-30,40800,40900,39600,40000,85559
352,2002-10-01,40500,41000,39750,40800,43467
353,2002-10-02,41300,41700,40700,40800,27900
354,2002-10-04,40600,40700,40100,40500,56841
355,2002-10-07,40400,40400,37200,38000,74433
356,2002-10-08,37200,38300,36000,37900,64233
357,2002-10-09,37900,37900,33900,34000,110290
358,2002-10-10,32050,33900,31900,32900,272940
359,2002-10-11,33700,34700,33500,33800,72940
360,2002-10-14,34500,35950,34500,35600,44700
361,2002-10-15,36000,36500,35500,36400,23400
362,2002-10-16,36800,36950,35500,36400,42639
363,2002-10-17,35800,36800,35300,36550,76168
364,2002-10-18,37400,38000,36900,37450,67000
365,2002-10-21,37000,37450,35900,36000,33402
366,2002-10-22,37200,37200,34700,35000,43760
367,2002-10-23,35100,36000,35000,35250,95190
368,2002-10-24,35700,35800,34500,34500,72164
369,2002-10-25,33650,35900,33650,35000,60400
