,날짜,시가,고가,저가,종가,거래량
0,2000-09-21,5720,5720,5720,5720,3
1,2000-09-22,6400,6400,6400,6400,1
2,2000-09-25,7160,7160,7160,7160,201
3,2000-09-26,8010,8010,8010,8010,1
4,2000-09-27,8970,8970,8970,8970,1
5,2000-09-28,10000,10000,10000,10000,506
6,2000-09-29,11200,11200,11200,11200,3
7,2000-10-02,12500,12500,12500,12500,1000
8,2000-10-04,14000,14000,14000,14000,1
9,2000-10-05,15650,15650,14800,15650,2068680
10,2000-10-06,16000,17400,15550,16600,4835441
11,2000-10-09,16600,16950,15100,15400,1951658
12,2000-10-10,15100,15650,14200,14600,1495473
13,2000-10-11,14250,14400,12850,12850,1937481
14,2000-10-12,12450,13450,12200,13250,2055790
15,2000-10-13,12650,12650,11800,12500,1380948
16,2000-10-16,13500,13800,12650,13050,1726293
17,2000-10-17,12500,12650,11500,11500,908891
18,2000-10-18,10750,10900,10150,10400,2180523
19,2000-10-19,10600,11300,10500,10900,1619853
20,2000-10-20,11650,11900,10900,10950,1630489
21,2000-10-23,10500,10600,9700,9730,1465497
22,2000-10-24,9500,9990,8900,9580,2431606
23,2000-10-25,9250,9560,8950,9060,1237405
24,2000-10-26,8710,8800,7980,8100,2067805
25,2000-10-27,8120,8290,7280,7350,1940395
26,2000-10-30,7020,7250,6810,6950,1462566
27,2000-10-31,6810,7780,6330,7780,3305160
28,2000-11-01,8200,8710,7950,8710,3344065
29,2000-11-02,8500,9500,8410,8700,3307439
30,2000-11-03,8990,9200,8410,8650,1621762
31,2000-11-06,8600,9150,8410,8680,1876401
32,2000-11-07,8500,8900,8200,8290,1106406
33,2000-11-08,8060,8390,7800,7940,1087289
34,2000-11-09,7750,7860,7640,7820,668084
35,2000-11-10,7630,7870,7630,7680,703344
36,2000-11-13,7410,7450,7120,7170,723125
37,2000-11-14,7200,7460,7050,7350,736468
38,2000-11-15,7550,7780,7300,7380,1052261
39,2000-11-16,7300,7350,7050,7240,568817
40,2000-11-17,7000,7650,6950,7240,1043687
41,2000-11-20,7100,7200,6970,7000,665348
42,2000-11-21,6800,6800,6450,6800,790597
43,2000-11-22,6610,6860,6610,6650,693695
44,2000-11-23,6460,6500,6030,6080,784476
45,2000-11-24,6000,6280,5870,6250,879020
46,2000-11-27,6350,6490,6240,6270,877392
47,2000-11-28,6270,6270,5990,6060,638576
48,2000-11-29,5910,5920,5530,5580,564814
49,2000-11-30,5650,5800,5540,5680,569921
50,2000-12-01,5210,5700,5210,5600,496101
51,2000-12-04,5750,5800,5500,5530,415375
52,2000-12-05,5500,5620,5420,5530,318352
53,2000-12-06,5750,6190,5690,5940,2639134
54,2000-12-07,5800,6250,5750,5930,1840352
55,2000-12-08,5900,6150,5850,5990,873153
56,2000-12-11,6150,6700,6060,6700,1949311
57,2000-12-12,7100,7450,6690,6920,3256800
58,2000-12-13,6930,7000,6660,6940,1360223
59,2000-12-14,6800,7100,6610,6800,1478703
60,2000-12-15,6800,7610,5990,5990,2407905
61,2000-12-18,5280,5280,5280,5280,84629
62,2000-12-19,5000,5160,4650,4650,7794281
63,2000-12-20,4650,4690,4100,4180,5221205
64,2000-12-21,4020,4320,3760,4110,6857895
65,2000-12-22,4130,4220,3620,3620,4390762
66,2000-12-26,3620,3680,3340,3490,4019285
67,2001-01-02,3220,3870,3220,3810,3207266
68,2001-01-03,3710,4000,3630,3870,3426438
