,날짜,시가,고가,저가,종가,거래량
0,2002-04-22,55509,63815,55509,62936,8151792
1,2002-04-23,60688,61372,57170,57464,5384435
2,2002-04-24,58147,59418,53065,55705,4659371
3,2002-04-25,53750,55118,50622,51209,3913730
4,2002-04-26,50622,54727,49156,53555,4176615
5,2002-04-29,50134,52186,50134,51014,1990302
6,2002-04-30,50818,51209,49059,49841,1979486
7,2002-05-02,51502,53652,50525,53652,2250330
8,2002-05-03,52772,55900,52381,55705,2251005
9,2002-05-06,54336,56388,53750,53750,1882065
10,2002-05-07,52772,54238,52381,54239,1618200
11,2002-05-08,55606,56975,55020,56682,1969186
12,2002-05-09,58538,58538,55704,57170,2137841
13,2002-05-10,56486,56779,52675,53164,2103410
14,2002-05-13,53163,53163,50622,52773,1860162
15,2002-05-14,53359,54531,49450,50720,4260772
16,2002-05-15,51306,52870,51111,52577,3620990
17,2002-05-16,53261,53261,50818,50818,1828203
18,2002-05-17,51990,53163,51404,52284,1930347
19,2002-05-20,52284,54140,52186,53164,1574443
20,2002-05-21,52968,52968,50818,50818,1096791
21,2002-05-22,50818,52772,50329,52577,1286486
22,2002-05-23,51599,52968,51599,51795,884834
23,2002-05-24,52284,53261,52186,52675,962529
24,2002-05-27,51600,52675,51404,51600,561114
25,2002-05-28,51893,52186,50329,51307,768517
26,2002-05-29,50134,50818,49743,50330,879003
27,2002-05-30,49840,50134,47348,47593,1573716
28,2002-05-31,47593,48081,44417,44759,1374163
29,2002-06-03,44465,47202,44417,47202,1337000
30,2002-06-04,45736,48375,45736,47886,992645
31,2002-06-05,48765,50525,48179,50330,1406400
32,2002-06-07,49645,51111,48765,50623,1256349
33,2002-06-10,51404,52381,51404,51893,937283
34,2002-06-11,51893,53456,51306,53164,866321
35,2002-06-12,52284,53750,51600,53750,1179199
36,2002-06-14,53261,53847,51111,51405,1135273
37,2002-06-17,51697,52381,51013,51502,669410
38,2002-06-18,52479,53065,51502,51698,661952
39,2002-06-19,50915,51990,48668,48961,1049747
40,2002-06-20,48472,49254,47593,48864,678610
41,2002-06-21,47886,50622,47202,50623,609115
42,2002-06-24,49352,50036,48668,49450,755785
