,날짜,시가,고가,저가,종가,거래량
0,2001-04-25,20621,20621,17563,18489,3094940
1,2001-04-26,17918,18416,17492,17636,1197840
2,2001-04-27,17280,18204,17066,18062,854340
3,2001-04-30,17706,18275,17706,18204,803230
4,2001-05-02,18345,18843,17990,18489,851580
5,2001-05-03,18631,21262,18417,21262,3525520
6,2001-05-04,21262,21475,20266,21191,1314760
7,2001-05-07,21617,21617,20693,21120,977780
8,2001-05-08,20621,22114,20550,20978,569580
9,2001-05-09,20480,21048,20480,20764,384160
10,2001-05-10,20763,21403,20407,20836,488110
11,2001-05-11,20977,21546,20906,21191,587790
12,2001-05-14,21333,21475,20906,21120,242770
13,2001-05-15,21475,21475,20764,21120,257460
14,2001-05-16,20977,21120,20124,20622,613630
15,2001-05-17,21119,22327,20763,22258,1695490
16,2001-05-18,23182,25528,22968,24960,2393500
17,2001-05-21,26310,26310,24887,25956,1283130
18,2001-05-22,25954,26167,25101,25316,750020
19,2001-05-23,25883,26950,25456,26169,718120
20,2001-05-24,25600,26595,25315,26453,311830
21,2001-05-25,26880,27591,26453,27093,475520
22,2001-05-28,27022,27235,26524,27022,318730
23,2001-05-29,26453,26880,26097,26880,401790
24,2001-05-30,26453,27733,26311,27520,464750
25,2001-05-31,26310,26950,26238,26596,413890
26,2001-06-01,26737,26880,25173,25173,381340
27,2001-06-04,24461,25456,24176,24747,383570
28,2001-06-05,25030,25385,24745,24747,602130
29,2001-06-07,24745,25172,23963,24036,434610
30,2001-06-08,24176,25954,24034,25956,457780
31,2001-06-11,25314,26239,25030,26169,201760
32,2001-06-12,26026,26026,25600,25813,92040
33,2001-06-13,25812,26310,25314,25316,173600
34,2001-06-14,25173,25884,25031,25884,286680
35,2001-06-15,25456,25527,24674,25529,214990
36,2001-06-18,24887,25527,24816,25316,130650
37,2001-06-19,24960,25031,24106,24604,393790
38,2001-06-20,23892,24319,23679,24036,212080
39,2001-06-21,23607,23963,22754,23609,596900
40,2001-06-22,23323,24816,23323,24178,381200
41,2001-06-25,23536,24887,23536,24747,319530
42,2001-06-26,24745,25385,24176,25316,358010
43,2001-06-27,25315,25600,24675,25600,170960
44,2001-06-28,25314,25599,24674,24818,216140
45,2001-06-29,25031,25244,24462,24604,450970
46,2001-07-02,24533,24960,24462,24533,151680
47,2001-07-03,24603,24745,24319,24676,298710
48,2001-07-04,24320,24604,23964,24604,199000
49,2001-07-05,23963,24461,23963,24178,181250
50,2001-07-06,23679,24176,23679,24036,210850
51,2001-07-09,23751,23822,22471,23040,536740
52,2001-07-10,23182,23253,22328,22542,280310
53,2001-07-11,22044,23040,21404,22613,624470
54,2001-07-12,23039,23679,23039,23609,372000
55,2001-07-13,23607,23963,22612,23609,328090
56,2001-07-16,22897,23466,22826,23111,194520
57,2001-07-18,22541,23039,21616,22756,502080
58,2001-07-19,21831,22328,21760,22044,117500
59,2001-07-20,22044,22755,21973,22044,271140
60,2001-07-23,21545,22043,21403,21618,136980
61,2001-07-24,21475,21475,20124,20764,333950
62,2001-07-25,19911,20906,19911,20764,189010
63,2001-07-26,20906,20906,20266,20764,241270
64,2001-07-27,20976,21687,20834,21476,267560
65,2001-07-30,21047,21047,20763,20907,65660
