,날짜,시가,고가,저가,종가,거래량
0,2015-10-02,68400,76100,62000,72800,2259313
1,2015-10-05,74300,77000,72800,76600,408457
2,2015-10-06,77700,78300,74600,76000,205539
3,2015-10-07,75000,77600,75000,77000,162093
4,2015-10-08,77000,77800,76100,77000,115875
5,2015-10-12,77800,77800,75900,76300,143593
6,2015-10-13,76000,76900,75500,75900,101099
7,2015-10-14,76300,85700,76300,83400,625458
8,2015-10-15,84000,89500,83900,88300,346696
9,2015-10-16,89900,90000,86300,87400,174679
10,2015-10-19,87000,87900,84100,87900,237955
11,2015-10-20,89600,91800,84600,86900,271396
12,2015-10-21,86900,88700,84800,86400,135929
13,2015-10-22,86400,86700,82600,82600,114030
14,2015-10-23,83200,86300,81100,83500,140168
15,2015-10-26,84000,84600,80000,82400,124196
16,2015-10-27,82200,88500,80500,88000,215791
17,2015-10-28,88600,95500,87100,95000,376123
18,2015-10-29,96000,96300,92400,96000,168972
19,2015-10-30,95000,95900,92500,93600,143719
20,2015-11-02,94000,95100,91700,94700,188402
21,2015-11-03,95000,96300,93600,95000,123260
22,2015-11-04,94800,94800,90800,93500,139493
23,2015-11-05,92500,93100,90100,92200,113578
24,2015-11-06,91000,95300,89700,94900,140823
25,2015-11-09,94600,94900,90400,90900,94797
26,2015-11-10,89800,89800,83500,83500,190556
27,2015-11-11,84300,92000,83600,90000,128165
28,2015-11-12,90000,93400,89500,92800,71579
29,2015-11-13,90600,94300,90600,93200,50659
30,2015-11-16,93000,110000,91200,104500,415147
31,2015-11-17,108500,110500,102500,105000,240557
32,2015-11-18,105000,108500,103000,108500,145334
33,2015-11-19,110500,111500,107500,108500,84925
34,2015-11-20,110000,117000,108500,111000,114063
35,2015-11-23,112500,114500,108500,109500,98674
36,2015-11-24,111500,113000,107500,108500,97101
37,2015-11-25,109500,115500,107500,115000,159190
38,2015-11-26,116000,123000,114500,120500,238968
39,2015-11-27,121000,121000,114500,117500,139659
40,2015-11-30,116500,118000,112000,117500,116319
41,2015-12-01,117500,119000,115000,116500,61185
42,2015-12-02,115500,117000,112000,112000,118221
43,2015-12-03,112500,114000,108000,108000,99274
44,2015-12-04,108500,112500,106000,109500,109541
45,2015-12-07,111500,112000,104500,106500,101274
46,2015-12-08,107000,107000,99800,100000,210233
47,2015-12-09,99000,103000,96600,100500,139023
48,2015-12-10,101000,102000,98000,98800,70924
49,2015-12-11,99900,106500,99900,105000,92354
50,2015-12-14,104000,104500,99500,99700,90855
51,2015-12-15,99800,103500,99800,103000,51457
52,2015-12-16,104500,106500,103500,105500,43593
53,2015-12-17,106500,106500,100000,101500,123284
54,2015-12-18,100500,101000,94900,97600,196953
55,2015-12-21,97000,97000,93200,94100,164315
56,2015-12-22,94900,96400,94200,95200,76973
57,2015-12-23,95700,101000,95300,100000,123289
58,2015-12-24,101000,104000,100500,102000,92691
59,2015-12-28,102000,102000,98100,98600,74221
60,2015-12-29,99200,104500,97700,104000,89253
61,2015-12-30,104500,106000,101500,103500,82965
62,2016-01-04,102000,104500,99700,103500,140061
63,2016-01-05,102000,103500,99900,103000,452310
64,2016-01-06,103500,109000,102500,107500,201031
65,2016-01-07,107500,109000,105000,106000,86049
66,2016-01-08,105000,105000,101500,103500,74841
67,2016-01-11,105500,105500,102000,102500,44097
68,2016-01-12,102500,105000,100000,100500,62016
69,2016-01-13,100500,109000,100500,108500,137821
70,2016-01-14,107000,116000,106000,114500,304882
71,2016-01-15,114000,124500,113000,117000,1600621
72,2016-01-18,115000,121500,113500,118500,171775
73,2016-01-19,119500,120000,115500,117000,86753
74,2016-01-20,117000,118000,111000,115500,127046
75,2016-01-21,115500,116500,110500,111500,134272
76,2016-01-22,113000,115500,112000,114000,120826
77,2016-01-25,115000,121000,112500,120500,195619
78,2016-01-26,120500,121500,118000,118000,127022
79,2016-01-27,120000,121000,117000,119500,92199
80,2016-01-28,120000,129500,118500,127500,266780
81,2016-01-29,127500,129000,125000,127000,131396
82,2016-02-01,129000,130500,121000,122000,210153
83,2016-02-02,122000,123500,120500,122000,55072
84,2016-02-03,122500,123500,118500,122500,74127
85,2016-02-04,124000,124000,121000,122000,59488
86,2016-02-05,119500,123000,114000,117500,338925
87,2016-02-11,118500,119500,115000,116500,285677
88,2016-02-12,116500,118000,109000,114000,146594
89,2016-02-15,116000,116000,112500,114500,94227
90,2016-02-16,115000,118500,115000,118000,134204
91,2016-02-17,118000,118000,110500,111000,118927
92,2016-02-18,113500,115000,110500,112500,130039
93,2016-02-19,109500,111500,107000,109500,171339
94,2016-02-22,110500,114500,109500,112500,83605
95,2016-02-23,114500,115000,108000,111000,73318
96,2016-02-24,111000,113000,110000,112000,43208
97,2016-02-25,112000,118000,111500,117500,168430
98,2016-02-26,117500,118500,116000,117500,71241
99,2016-02-29,117000,118500,112500,115500,87219
100,2016-03-02,117000,121000,115000,120000,111440
