,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,21023,23180,20754,22263,206010
1,2000-01-05,21320,21805,20754,21239,245500
2,2000-01-06,21563,22102,18059,19945,332760
3,2000-01-07,20215,21293,20053,20565,253980
4,2000-01-10,20592,21239,20565,20753,229700
5,2000-01-11,20484,21509,19514,19891,314010
6,2000-01-12,19891,20484,18921,19352,208210
7,2000-01-13,19352,19891,18113,18112,365400
8,2000-01-14,18598,20673,18598,19783,481820
9,2000-01-17,19838,20269,19622,19918,264510
10,2000-01-18,19406,19918,18598,18894,192290
11,2000-01-19,18382,18813,17843,18004,263810
12,2000-01-20,17331,18598,17331,17950,258960
13,2000-01-21,18274,18786,17304,17735,346540
14,2000-01-24,17304,18220,17304,17950,216850
15,2000-01-25,17520,17789,17304,17519,206100
16,2000-01-26,17304,18220,17304,18220,211080
17,2000-01-27,18328,19864,17978,19406,398550
18,2000-01-28,19568,19622,18463,18759,225710
19,2000-01-31,18328,19137,18328,18435,252090
20,2000-02-01,18598,19406,18463,18786,281020
21,2000-02-02,18921,19406,18786,19298,248280
22,2000-02-03,19460,22048,19325,20565,708510
23,2000-02-07,20754,20916,19999,20268,388380
24,2000-02-08,19945,20053,19191,19190,236590
25,2000-02-09,19191,19622,18759,18840,193090
26,2000-02-10,18544,18840,17789,17789,376950
27,2000-02-11,17843,18113,17412,17950,238610
28,2000-02-14,17331,17789,17277,17573,193570
29,2000-02-15,17331,18059,17331,17546,220340
30,2000-02-16,17789,18220,17466,18220,241060
31,2000-02-17,18166,19406,17789,17842,169440
32,2000-02-18,17627,18059,16980,17034,295340
33,2000-02-21,16765,17007,15175,15632,221650
34,2000-02-22,15633,15848,14636,15525,176920
35,2000-02-23,15202,17520,15148,16387,355000
36,2000-02-24,16388,16468,15363,15417,184170
37,2000-02-25,15202,16172,14878,15632,177130
38,2000-02-28,16172,17250,16172,16333,412850
39,2000-02-29,16980,17250,16172,16441,246090
40,2000-03-02,16172,16441,15687,16225,310770
41,2000-03-03,16388,16388,15633,15767,254480
42,2000-03-06,16226,17250,15714,16603,343330
43,2000-03-07,16711,18328,16441,17115,359170
44,2000-03-08,16711,17061,16603,16710,227520
