,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,18000,21100,18000,21000,509510
1,2000-01-05,21000,22450,20100,21000,457560
2,2000-01-06,21500,21500,19000,20000,351730
3,2000-01-07,19200,20200,19200,19900,191170
4,2000-01-10,20000,20300,19300,19900,198650
5,2000-01-11,19900,20200,19000,19000,222670
6,2000-01-12,18800,19500,18000,18050,193560
7,2000-01-13,18050,18450,17700,18050,167640
8,2000-01-14,18100,19400,18100,19400,239570
9,2000-01-17,20000,20900,18900,20900,362120
10,2000-01-18,20900,21650,20500,21600,344450
11,2000-01-19,21500,21600,20600,21000,245750
12,2000-01-20,20900,22000,19900,22000,264610
13,2000-01-21,21400,22700,21000,22050,376080
14,2000-01-24,22000,22850,21600,22500,259880
15,2000-01-25,22000,22300,21450,22000,332190
16,2000-01-26,22000,22500,21650,21900,159570
17,2000-01-27,21900,22600,21400,22400,205300
18,2000-01-28,22400,23100,22100,22300,188700
19,2000-01-31,21600,22300,21400,22300,238200
20,2000-02-01,22450,22450,21300,21900,149630
21,2000-02-02,21400,22400,21400,22100,242380
22,2000-02-03,22200,22600,21650,22000,150580
23,2000-02-07,22300,22500,21500,21500,173100
24,2000-02-08,21500,21600,20150,20800,190260
25,2000-02-09,20600,21300,20100,20400,222130
26,2000-02-10,20050,20050,18650,18900,310070
27,2000-02-11,18900,19350,17800,18700,267810
28,2000-02-14,18200,18600,17850,18000,234760
29,2000-02-15,18500,18600,17000,17500,265460
30,2000-02-16,17800,18300,17050,18300,245870
31,2000-02-17,18250,18800,18000,18400,266350
32,2000-02-18,18200,18350,17500,18200,299490
33,2000-02-21,17900,17900,16000,16000,317860
34,2000-02-22,15550,17000,15200,16700,542340
35,2000-02-23,16700,17800,16200,17750,498220
36,2000-02-24,16700,18200,16250,18200,374810
37,2000-02-25,17800,19400,17600,19300,386960
38,2000-02-28,18800,22000,18200,22000,522600
39,2000-02-29,21000,21000,18700,18700,372920
40,2000-03-02,18000,18900,17800,18000,303460
41,2000-03-03,18350,18350,16500,16500,254070
42,2000-03-06,17000,17400,16500,16800,431660
43,2000-03-07,16850,17600,16550,16700,399070
44,2000-03-08,16800,17300,16550,16700,490040
45,2000-03-09,16950,17150,16100,16100,513840
46,2000-03-10,16500,16700,15900,16100,498660
47,2000-03-13,16400,16600,15200,15400,870610
48,2000-03-14,15600,15850,14800,15200,639120
49,2000-03-15,14600,14900,14150,14550,365510
50,2000-03-16,14600,14900,13650,13900,359820
51,2000-03-17,14200,15300,13700,14850,756540
52,2000-03-20,15100,15300,14350,14500,293420
53,2000-03-21,14700,15750,14300,15000,712250
54,2000-03-22,15350,16400,15100,16100,650510
55,2000-03-23,16100,16300,15650,15800,443440
56,2000-03-24,16000,16400,15400,15800,249690
57,2000-03-27,15800,15900,15000,15100,196380
58,2000-03-28,15100,15350,14850,14900,464760
59,2000-03-29,15400,16100,15100,15750,573970
60,2000-03-30,15800,16100,15350,15800,318180
61,2000-03-31,15400,16900,15400,16900,801010
62,2000-04-03,17300,17400,16200,16300,431530
63,2000-04-04,16000,16500,15200,16200,219450
64,2000-04-06,16050,16100,15400,15550,164780
65,2000-04-07,15500,15800,15400,15500,246650
66,2000-04-10,15600,16350,15500,16000,353580
67,2000-04-11,16000,16000,15300,15900,189570
68,2000-04-12,15500,16400,15500,15500,178190
69,2000-04-14,15500,16100,15200,16100,314750
70,2000-04-17,14800,15650,14500,14600,265600
71,2000-04-18,15900,16750,15100,16750,694550
72,2000-04-19,17400,18500,16800,18000,1228550
73,2000-04-20,17600,18900,17600,18000,484380
74,2000-04-21,18450,18850,17250,18250,506360
75,2000-04-24,17800,18150,17600,17850,271760
