,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,5588,6405,5588,6153,972720
1,2000-01-05,6028,6028,5714,5776,831700
2,2000-01-06,6279,6342,5777,5776,1815280
3,2000-01-07,5833,5877,5720,5751,820940
4,2000-01-10,5821,5953,5651,5651,974230
5,2000-01-11,5626,5651,5450,5525,1429340
6,2000-01-12,5488,5513,5274,5274,1275050
7,2000-01-13,5274,5318,5067,5211,1032020
8,2000-01-14,5149,5337,5023,5211,1350550
9,2000-01-17,5990,5990,5940,5990,1649260
10,2000-01-18,6304,6656,5676,5902,6111940
11,2000-01-19,5777,5777,5161,5211,1366410
12,2000-01-20,5274,5519,5086,5274,1504390
13,2000-01-21,5036,5513,5036,5286,1702370
14,2000-01-24,5274,5601,5174,5286,1762100
15,2000-01-25,5218,5400,5187,5286,1432050
16,2000-01-26,5526,5777,5337,5701,2832350
17,2000-01-27,5651,6216,5538,6153,2950960
18,2000-01-28,6241,6267,5915,6027,2233510
19,2000-01-31,5796,6153,5777,5965,1273860
20,2000-02-01,6091,6216,5902,5902,1447770
21,2000-02-02,5840,6128,5777,6002,1559760
22,2000-02-03,6091,6141,5915,5927,1330780
23,2000-02-07,5978,6015,5764,5764,1317940
24,2000-02-08,5777,5840,5620,5676,1352570
25,2000-02-09,5789,5877,5488,5713,2106390
26,2000-02-10,5915,5915,5463,5588,3294830
27,2000-02-11,5576,5613,5187,5199,1870570
28,2000-02-14,5036,5149,4778,4778,1410600
29,2000-02-15,4709,4822,4584,4640,1589600
30,2000-02-16,4659,4803,4508,4646,1456000
31,2000-02-17,4496,4697,4483,4583,1557770
32,2000-02-18,4521,4559,4408,4458,1500430
33,2000-02-21,4333,4370,4063,4081,1495860
34,2000-02-22,4050,4370,4031,4156,1686780
35,2000-02-23,4207,4778,4207,4778,2286630
36,2000-02-24,4647,4778,4471,4633,1654720
37,2000-02-25,4533,5111,4414,4960,1912260
38,2000-02-28,4709,4954,4647,4709,1360660
39,2000-02-29,4772,4960,4672,4772,1700730
40,2000-03-02,4772,4885,4709,4715,1380740
41,2000-03-03,4785,4785,4446,4458,1118140
42,2000-03-06,4647,4979,4559,4860,2541510
43,2000-03-07,4734,4960,4665,4897,1874000
44,2000-03-08,4785,5187,4734,4922,1981210
45,2000-03-09,5023,5381,4960,5224,3219350
46,2000-03-10,5463,5463,5048,5098,1359880
47,2000-03-13,5086,5287,4935,5180,1360000
48,2000-03-14,5149,5149,4960,5035,1122620
49,2000-03-15,4910,4973,4816,4897,845420
50,2000-03-16,5061,5086,4810,4834,897280
51,2000-03-17,4898,5086,4898,5060,1543990
52,2000-03-20,5149,5268,4992,5098,1226040
53,2000-03-21,5099,5124,4917,4916,770290
54,2000-03-22,4935,5262,4873,5261,1436710
55,2000-03-23,5212,5400,5174,5249,1389500
56,2000-03-24,5274,5312,5149,5211,866170
57,2000-03-27,5086,5526,5023,5462,2679110
58,2000-03-28,5475,5739,5419,5525,1917000
59,2000-03-29,5526,5965,5431,5713,3279890
60,2000-03-30,5777,5777,5161,5312,1272390
61,2000-03-31,5312,5312,5149,5286,737970
62,2000-04-03,5337,5526,5067,5073,957720
63,2000-04-04,5023,5099,4772,5023,667360
64,2000-04-06,4960,5023,4810,4897,516020
65,2000-04-07,4835,5274,4835,5274,938390
66,2000-04-10,5526,5965,5419,5789,4445530
67,2000-04-11,5789,5840,5218,5324,2161790
68,2000-04-12,5249,5381,5212,5236,819240
69,2000-04-14,5036,5136,4960,5042,937520
70,2000-04-17,4427,4647,4307,4332,1176510
71,2000-04-18,4584,4697,4439,4514,1001010
72,2000-04-19,4546,4772,4546,4558,781610
73,2000-04-20,4439,4621,4439,4533,471380
74,2000-04-21,4596,4647,4552,4608,469320
75,2000-04-24,4584,4609,4483,4483,402520
76,2000-04-25,4458,4458,4295,4370,473590
77,2000-04-26,4533,4584,4245,4244,903470
78,2000-04-27,4270,4270,4081,4119,576430
79,2000-04-28,4144,4220,4069,4219,1545520
80,2000-05-02,4182,4439,4176,4206,1607720
81,2000-05-03,4207,4213,4138,4150,701580
82,2000-05-04,4100,4194,4094,4119,583840
83,2000-05-08,4245,4245,4138,4144,549860
84,2000-05-09,4100,4132,4006,4037,740740
85,2000-05-10,4012,4207,3943,4037,976380
86,2000-05-12,4044,4044,3899,3899,460090
87,2000-05-15,3774,3880,3560,3880,892880
88,2000-05-16,3786,3843,3654,3717,359950
89,2000-05-17,3780,3780,3209,3265,1280540
90,2000-05-18,3058,3140,2775,2775,1453190
91,2000-05-19,2826,3008,2713,2963,1083900
92,2000-05-22,3001,3039,2650,2737,848520
93,2000-05-23,2593,2888,2593,2882,764750
94,2000-05-24,2882,3309,2763,3309,1560960
95,2000-05-25,3416,3805,3353,3805,2333880
96,2000-05-26,3830,3893,3328,3767,2074760
97,2000-05-29,3667,4006,3541,3893,1648060
98,2000-05-30,3906,4119,3793,3905,1183090
99,2000-05-31,4031,4081,3906,4018,1602410
100,2000-06-01,3956,4019,3793,3792,705070
101,2000-06-02,3837,3950,3705,3805,1023220
102,2000-06-05,3987,4370,3987,4370,1655360
103,2000-06-07,4647,5023,4584,5023,3359000
104,2000-06-08,5262,5425,4370,4703,3208310
105,2000-06-09,4521,4697,4333,4696,1547920
106,2000-06-12,4709,4898,4584,4834,1429240
107,2000-06-13,4709,4772,4333,4395,922300
108,2000-06-14,4395,4835,4157,4483,2059620
109,2000-06-15,4295,4395,3830,3955,985460
110,2000-06-16,3830,4019,3780,3811,752030
111,2000-06-19,3767,3843,3680,3767,903320
112,2000-06-20,3767,3981,3711,3880,696800
113,2000-06-21,3880,4044,3786,3830,1203190
114,2000-06-22,3912,4201,3893,3962,2191150
115,2000-06-23,4019,4044,3830,3893,1052070
116,2000-06-26,3893,3956,3824,3861,778590
117,2000-06-27,3868,3956,3843,3936,1259530
118,2000-06-28,3975,4213,3937,4056,1780530
119,2000-06-29,4169,4176,3880,4131,1401080
120,2000-06-30,3956,4132,3956,4050,645560
121,2000-07-03,4056,4257,4056,4163,1109830
122,2000-07-04,4169,4220,4031,4043,790910
123,2000-07-05,4019,4113,3931,4081,802170
124,2000-07-06,4069,4320,4056,4282,1608340
125,2000-07-07,4295,4760,4295,4520,2237790
126,2000-07-10,4760,4973,4697,4778,2940610
127,2000-07-11,4778,5017,4546,4703,3569470
128,2000-07-12,4684,4772,4458,4571,1469600
129,2000-07-13,4483,4684,4458,4596,1198430
130,2000-07-14,4621,4709,4546,4633,1304910
131,2000-07-18,4584,4697,4370,4451,921630
132,2000-07-19,4446,4634,4232,4326,2206110
133,2000-07-20,4251,4408,4163,4213,908570
134,2000-07-21,4232,4320,4163,4219,770880
135,2000-07-24,4163,4163,3893,3893,828620
136,2000-07-25,3830,4019,3742,4018,623690
137,2000-07-26,4019,4056,3893,4056,534930
138,2000-07-27,4006,4069,3906,4006,474270
139,2000-07-28,3931,3950,3830,3905,469750
140,2000-07-31,3830,3912,3786,3911,432250
141,2000-08-01,3912,3968,3868,3943,917490
142,2000-08-02,3918,3981,3874,3880,675130
143,2000-08-03,3918,3924,3880,3924,489110
144,2000-08-04,3931,3956,3830,3955,488940
145,2000-08-07,3931,3931,3811,3886,261180
146,2000-08-08,3880,3880,3786,3880,423340
147,2000-08-09,3918,3924,3874,3880,498880
148,2000-08-10,3868,3880,3830,3849,426640
149,2000-08-11,3837,3906,3830,3899,462340
150,2000-08-14,4037,4113,3987,4062,1008600
151,2000-08-16,4081,4107,3981,4081,394250
152,2000-08-17,4081,4094,3956,3955,445190
153,2000-08-18,3968,4069,3956,3999,387560
154,2000-08-21,3912,3981,3906,3949,249170
155,2000-08-22,3950,3968,3880,3905,360380
156,2000-08-23,3868,3918,3811,3861,433840
157,2000-08-24,3862,3893,3755,3893,545550
158,2000-08-25,3830,3887,3774,3886,329030
159,2000-08-28,3893,3893,3837,3836,279390
160,2000-08-29,3849,3868,3818,3842,260060
161,2000-08-30,3855,3855,3830,3836,221630
162,2000-08-31,3837,3837,3749,3817,481350
163,2000-09-01,3755,3811,3742,3798,265050
164,2000-09-04,3774,3780,3742,3767,203520
165,2000-09-05,3742,3767,3692,3710,188970
166,2000-09-06,3705,3755,3648,3754,292980
167,2000-09-07,3686,3692,3227,3227,285030
168,2000-09-08,3516,3629,3422,3629,685830
169,2000-09-14,3554,3629,3472,3629,207830
170,2000-09-15,3592,3680,3516,3604,260040
171,2000-09-18,3516,3516,3077,3384,374760
172,2000-09-19,3259,3340,3227,3258,267950
173,2000-09-20,3278,3372,3278,3327,349850
174,2000-09-21,3328,3328,3190,3208,266430
175,2000-09-22,3253,3253,3014,3126,456720
176,2000-09-25,3127,3303,3089,3252,411510
177,2000-09-26,3152,3516,3152,3390,1376520
178,2000-09-27,3453,3805,3453,3566,1082750
179,2000-09-28,3579,3579,3403,3447,480210
180,2000-09-29,3504,3516,3428,3491,428500
181,2000-10-02,3491,3491,3353,3440,344970
182,2000-10-04,3435,3554,3328,3459,675960
183,2000-10-05,3460,3567,3428,3472,1046860
184,2000-10-06,3466,3497,3428,3447,617640
185,2000-10-09,3447,3466,3359,3415,401720
186,2000-10-10,3391,3416,3340,3353,313040
187,2000-10-11,3334,3334,3165,3189,443290
188,2000-10-12,3171,3209,3146,3170,397930
189,2000-10-13,3140,3466,2913,3202,2665970
190,2000-10-16,3315,3428,3265,3290,1142450
191,2000-10-17,3265,3265,3052,3057,866970
192,2000-10-18,2945,3070,2863,3013,1189060
193,2000-10-19,3008,3083,2926,2970,754710
194,2000-10-20,3008,3127,3008,3039,938200
195,2000-10-23,3039,3039,2926,2963,591400
196,2000-10-24,2951,2995,2913,2988,603690
197,2000-10-25,3027,3027,2964,2970,379090
198,2000-10-26,2976,2976,2913,2951,367090
199,2000-10-27,2989,3001,2926,2926,320220
200,2000-10-30,2964,2964,2838,2838,338640
201,2000-10-31,2832,2857,2700,2856,501140
202,2000-11-01,2851,3039,2851,2988,1171330
203,2000-11-02,3027,3121,2957,3039,1262570
204,2000-11-03,3102,3190,3064,3076,1528870
205,2000-11-06,3039,3177,3027,3101,949820
206,2000-11-07,3077,3127,3014,3013,697240
207,2000-11-08,3052,3052,2951,2951,563580
208,2000-11-09,2926,2951,2907,2938,359320
209,2000-11-10,2964,2970,2932,2944,327170
210,2000-11-13,2945,2945,2901,2907,452170
211,2000-11-14,2945,2989,2945,2988,507020
212,2000-11-15,3183,3428,3152,3177,2905990
213,2000-11-16,3215,3215,3039,3196,964590
214,2000-11-17,3177,3447,3140,3327,2295320
215,2000-11-20,3353,3447,3253,3277,1619030
216,2000-11-21,3265,3265,3165,3227,1115760
217,2000-11-22,3265,3322,3227,3227,892010
218,2000-11-23,3183,3190,3064,3089,927520
219,2000-11-24,3146,3202,3064,3202,814070
220,2000-11-27,3265,3403,3215,3327,2361730
221,2000-11-28,3366,3416,3271,3271,1644600
222,2000-11-29,3265,3265,3183,3196,707300
223,2000-11-30,3234,3240,3121,3183,637790
224,2000-12-01,3146,3177,3083,3177,694040
225,2000-12-04,3215,3215,3102,3126,840150
226,2000-12-05,3140,3158,3083,3145,576020
227,2000-12-06,3227,3240,3140,3152,922540
228,2000-12-07,3140,3158,3102,3139,346600
229,2000-12-08,3227,3246,3146,3246,940710
230,2000-12-11,3391,3428,3334,3422,1674150
231,2000-12-12,3422,3441,3347,3353,1035350
232,2000-12-13,3403,3422,3372,3422,824580
233,2000-12-14,3416,3460,3378,3459,799660
234,2000-12-15,3497,3567,3453,3566,1319640
235,2000-12-18,3642,3824,3604,3811,1820980
236,2000-12-19,3893,3918,3673,3704,1586120
237,2000-12-20,3692,3749,3592,3736,1517300
238,2000-12-21,3749,3793,3648,3786,1526260
239,2000-12-22,3893,3912,3786,3830,2043940
