,날짜,시가,고가,저가,종가,거래량
0,2002-10-29,2312,2312,2312,2312,20549
1,2002-10-30,2587,2587,2558,2588,853638
2,2002-10-31,2626,2689,2398,2459,1320880
3,2002-11-01,2520,2599,2215,2305,750761
4,2002-11-04,2285,2300,2135,2191,692165
5,2002-11-05,2179,2295,2179,2188,627360
6,2002-11-06,2222,2238,2090,2141,510299
7,2002-11-07,2126,2244,2120,2142,477344
8,2002-11-08,2093,2122,2062,2102,275477
9,2002-11-11,2094,2223,2094,2153,440667
10,2002-11-12,2116,2126,2021,2037,293257
11,2002-11-13,2036,2086,1926,1932,431938
12,2002-11-14,1996,2017,1865,1923,350059
13,2002-11-15,1969,2019,1906,2020,431033
14,2002-11-18,2010,2044,1986,1990,266084
15,2002-11-19,2017,2075,2011,2028,373084
16,2002-11-20,2028,2109,2025,2110,439962
17,2002-11-21,2137,2148,2064,2075,270533
18,2002-11-22,2121,2221,2090,2119,711594
19,2002-11-25,2148,2182,2090,2138,322877
20,2002-11-26,2164,2180,2096,2102,337609
21,2002-11-27,2073,2105,1931,1979,806951
22,2002-11-28,2022,2124,1980,2070,780540
23,2002-11-29,2095,2315,2063,2316,1479611
24,2002-12-02,2368,2562,2283,2379,1485602
25,2002-12-03,2415,2452,2383,2421,512423
26,2002-12-04,2363,2521,2347,2453,574732
27,2002-12-05,2506,2742,2432,2680,1135449
28,2002-12-06,2657,2867,2652,2721,1032996
29,2002-12-09,2773,2789,2642,2664,358735
30,2002-12-10,2609,2772,2599,2736,477347
31,2002-12-11,2768,2968,2747,2816,803784
32,2002-12-12,2883,3088,2872,3031,992035
33,2002-12-13,3051,3188,3004,3031,663596
34,2002-12-16,2993,3077,2899,2968,346720
35,2002-12-17,3058,3063,2916,2953,374268
36,2002-12-18,2920,3025,2909,2942,341299
37,2002-12-20,2910,2968,2816,2832,285080
38,2002-12-23,2816,2879,2624,2732,408308
39,2002-12-24,2731,2857,2725,2810,555890
40,2002-12-26,2805,2816,2627,2627,347899
41,2002-12-27,2562,2678,2494,2584,328805
42,2002-12-30,2573,2584,2290,2338,458753
43,2003-01-02,2416,2616,2400,2616,531618
44,2003-01-03,2736,2925,2736,2926,877932
45,2003-01-06,2953,3031,2811,2964,894211
46,2003-01-07,3036,3041,2810,2837,670579
47,2003-01-08,2889,3089,2868,2989,1081365
48,2003-01-09,2920,3109,2915,3047,628547
49,2003-01-10,3131,3136,2685,2906,751535
50,2003-01-13,2905,3000,2873,2979,367540
51,2003-01-14,2978,2999,2920,2921,318544
52,2003-01-15,2926,2968,2847,2921,369085
53,2003-01-16,2877,2883,2809,2841,342875
54,2003-01-17,2783,2878,2730,2763,336842
55,2003-01-20,2679,2789,2679,2716,200070
56,2003-01-21,2694,2762,2694,2752,193480
57,2003-01-22,2694,2763,2694,2727,186832
58,2003-01-23,2758,2958,2747,2948,476378
59,2003-01-24,2909,2946,2731,2821,280248
60,2003-01-27,2720,2741,2609,2705,208988
61,2003-01-28,2689,2731,2678,2700,133989
62,2003-01-29,2714,2746,2562,2573,158164
63,2003-01-30,2581,2742,2581,2700,171859
64,2003-02-03,2678,2783,2646,2763,179947
65,2003-02-04,2805,2810,2752,2758,138695
66,2003-02-05,2731,2768,2710,2758,68218
67,2003-02-06,2769,2779,2679,2685,82722
68,2003-02-07,2683,2699,2615,2631,104648
69,2003-02-10,2616,2689,2595,2653,103246
70,2003-02-11,2690,2764,2632,2685,204703
71,2003-02-12,2705,2789,2694,2769,185544
72,2003-02-13,2789,2799,2694,2721,94905
73,2003-02-14,2705,2748,2668,2732,78762
74,2003-02-17,2863,2874,2816,2874,166705
75,2003-02-18,2863,2894,2820,2837,116862
76,2003-02-19,2900,2916,2832,2832,217402
77,2003-02-20,2832,2863,2763,2832,120113
78,2003-02-21,2852,2862,2820,2821,75545
79,2003-02-24,2821,2953,2821,2953,138140
80,2003-02-25,2915,2915,2820,2821,90399
81,2003-02-26,2862,2931,2831,2921,148864
82,2003-02-27,2867,3025,2851,2968,165452
83,2003-02-28,3031,3031,2884,2937,115039
84,2003-03-03,2926,2958,2889,2953,75963
85,2003-03-04,2900,2921,2847,2848,78300
86,2003-03-05,2779,2810,2716,2743,121478
87,2003-03-06,2726,2784,2658,2732,83300
88,2003-03-07,2653,2758,2616,2653,106855
89,2003-03-10,2589,2663,2579,2616,98704
90,2003-03-11,2520,2615,2520,2558,62280
91,2003-03-12,2568,2758,2563,2758,182093
92,2003-03-13,2757,2762,2657,2705,110931
93,2003-03-14,2836,2862,2793,2826,191966
94,2003-03-17,2804,2804,2651,2705,83700
95,2003-03-18,2931,3025,2889,3026,319349
96,2003-03-19,2946,3204,2946,3047,264869
97,2003-03-20,3125,3168,3047,3142,232706
98,2003-03-21,3158,3221,3126,3127,249585
99,2003-03-24,3151,3167,3036,3036,141039
100,2003-03-25,2905,3052,2905,2979,94846
101,2003-03-26,3031,3231,3031,3111,208483
102,2003-03-27,3120,3409,3110,3362,453285
103,2003-03-28,3461,3530,3393,3467,545851
104,2003-03-31,3456,3456,3241,3362,165438
105,2003-04-01,3336,3452,3310,3426,155217
106,2003-04-02,3467,3599,3373,3599,391467
107,2003-04-03,3630,3651,3572,3573,309702
108,2003-04-04,3529,3744,3497,3719,288205
109,2003-04-07,3782,3850,3640,3667,278819
110,2003-04-08,3682,3830,3667,3725,265188
111,2003-04-09,3783,3946,3704,3873,401119
112,2003-04-10,3914,3914,3630,3757,312086
113,2003-04-11,3730,3829,3677,3678,223491
114,2003-04-14,3720,4114,3720,3978,344655
115,2003-04-15,4156,4177,3977,4083,308261
116,2003-04-16,4340,4571,4340,4572,294546
117,2003-04-17,4781,5028,4734,4902,608418
118,2003-04-18,5018,5028,4755,4939,379389
119,2003-04-21,4934,5123,4807,5113,304824
120,2003-04-22,5017,5254,5017,5065,328683
121,2003-04-23,5148,5359,4964,5018,409469
122,2003-04-24,4974,5037,4480,4628,422802
123,2003-04-25,4544,4812,4276,4634,490375
124,2003-04-28,4576,5028,4576,4939,566940
125,2003-04-29,5033,5517,5033,5517,514470
126,2003-04-30,5621,6041,5464,5727,706028
127,2003-05-02,5963,6410,5806,6200,620845
128,2003-05-06,6226,6252,5464,5622,653726
129,2003-05-07,5543,5806,5412,5570,621203
130,2003-05-09,5568,5699,5410,5700,356104
131,2003-05-12,5779,6384,5622,6332,812740
132,2003-05-13,6252,6646,5937,5937,712984
133,2003-05-14,6094,6409,5936,6147,706283
134,2003-05-15,6278,6278,5910,6042,403406
135,2003-05-16,5884,6409,5805,5832,791047
136,2003-05-19,5675,6016,5570,5754,403452
137,2003-05-20,5569,6383,5569,6279,1345030
138,2003-05-21,6331,6436,5936,6042,597611
139,2003-05-22,6015,6750,5962,6725,1018973
140,2003-05-23,6882,7066,6646,6830,644555
141,2003-05-26,6987,7355,6856,7067,650966
142,2003-05-27,7224,7250,6620,6830,541999
143,2003-05-28,7066,7092,6173,6357,470886
144,2003-05-29,6278,6988,6278,6805,619151
145,2003-05-30,6672,6961,6593,6830,275857
