,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,19152,21211,19008,21211,2330680
1,2000-01-05,21307,22887,20301,22504,4455610
2,2000-01-06,22983,23078,20876,21068,2237400
3,2000-01-07,21929,22791,21307,22025,3228210
4,2000-01-10,22695,23461,22121,22217,2509580
5,2000-01-11,21738,22504,21163,22025,1981800
6,2000-01-12,22169,23222,21546,22313,3376570
7,2000-01-13,22312,23940,22312,23941,2479740
8,2000-01-14,23940,24323,22695,22983,1869870
9,2000-01-17,23461,23701,22887,23462,1381630
10,2000-01-18,23749,23844,22408,22504,1077860
11,2000-01-19,21833,22216,21067,21068,1108950
12,2000-01-20,20397,21690,19631,21307,1430540
13,2000-01-21,20684,21833,20397,20924,889090
14,2000-01-24,20205,21163,19918,20110,1467630
15,2000-01-25,19439,20828,19344,20110,1444800
16,2000-01-26,20397,21738,20110,21116,2072550
17,2000-01-27,21259,24132,21163,23606,3534080
18,2000-01-28,23653,24706,23030,24132,3461440
19,2000-01-31,23174,25472,23174,24994,4660820
20,2000-02-01,25664,25808,24084,25090,3546630
21,2000-02-02,24802,26622,24515,25617,4709550
22,2000-02-03,25616,25951,24898,25186,2168280
23,2000-02-07,25185,25999,24467,25138,2533710
24,2000-02-08,24898,25951,24658,24707,2242850
25,2000-02-09,24515,25568,23749,24707,2981980
26,2000-02-10,24132,25233,23653,23989,2301500
27,2000-02-11,24323,24563,22600,22696,2851720
28,2000-02-14,22025,23366,21738,22121,2336960
29,2000-02-15,22599,23270,22169,22313,2529160
30,2000-02-16,22600,23126,20876,21786,2266410
31,2000-02-17,21067,22216,21067,22121,1831530
32,2000-02-18,21546,21881,20636,20637,1745620
33,2000-02-21,19727,21067,19391,20206,1629220
34,2000-02-22,20205,21067,19679,19871,1825840
35,2000-02-23,21498,22839,20636,22552,3896890
36,2000-02-24,21642,22408,20588,20828,3136730
37,2000-02-25,20349,21642,19918,20972,2299060
38,2000-02-28,20014,20588,19631,19775,1437720
39,2000-02-29,20876,21067,19008,19344,1599260
40,2000-03-02,18961,20588,18386,20493,3302470
41,2000-03-03,20110,20349,19152,19153,2027540
42,2000-03-06,19439,20924,19056,20158,2999500
43,2000-03-07,19822,20493,19439,19919,1857130
44,2000-03-08,19439,20972,19439,19727,1961390
45,2000-03-09,19775,19966,19152,19153,2449350
46,2000-03-10,19200,19918,18338,18386,2932660
47,2000-03-13,18482,18625,16758,16758,3044510
48,2000-03-14,15896,17428,15609,16280,3367730
49,2000-03-15,16088,16662,15226,15370,3026180
50,2000-03-16,15800,16136,14555,14939,3744820
51,2000-03-17,15513,16758,15322,16136,5863510
52,2000-03-20,16279,16423,15800,16088,2355100
53,2000-03-21,16279,16471,15417,15514,1822180
54,2000-03-22,15896,16997,15609,16758,3342040
55,2000-03-23,16710,17620,16231,16758,3082990
56,2000-03-24,17237,17333,16231,16950,1711640
57,2000-03-27,16950,18961,16758,18626,3925150
58,2000-03-28,18147,18577,17285,17668,2537720
59,2000-03-29,17285,17428,15800,15897,3513670
60,2000-03-30,14891,14938,13598,13886,3466520
61,2000-03-31,13981,14364,13311,13790,2670410
62,2000-04-03,13885,14077,11730,11922,2505370
63,2000-04-04,12113,12640,11539,12353,4037130
64,2000-04-06,12449,12497,11587,11587,1678190
65,2000-04-07,11683,12161,11300,11922,2855010
66,2000-04-10,12018,13215,11491,12449,3698540
67,2000-04-11,12832,13215,12449,12449,2025280
68,2000-04-12,12497,13550,12449,12784,2865610
69,2000-04-14,12784,13694,12449,13407,2313850
70,2000-04-17,12640,12736,11395,11444,2082480
71,2000-04-18,12401,12401,11587,11970,1614780
72,2000-04-19,11970,12209,11347,11492,1456050
73,2000-04-20,11491,11683,11012,11396,1467010
74,2000-04-21,11491,11683,11395,11492,890670
75,2000-04-24,11491,11491,10725,10821,939210
76,2000-04-25,10821,10869,9959,10151,1154100
77,2000-04-26,10342,10486,9097,9299,1530780
78,2000-04-27,9298,9863,9001,9442,1900010
79,2000-04-28,9576,10677,9490,10055,2538080
80,2000-05-02,10246,10533,9672,10055,2156560
81,2000-05-03,9767,10725,9719,10438,1931790
82,2000-05-04,10533,11204,10246,10438,1606490
83,2000-05-08,10629,10916,10438,10630,1156100
84,2000-05-09,10438,10773,9959,9959,669650
85,2000-05-10,9863,10055,9461,9481,1243820
86,2000-05-12,9576,9672,9154,9184,942840
87,2000-05-15,9183,9202,8044,8054,1394710
88,2000-05-16,8149,8331,7775,7996,1185370
89,2000-05-17,7996,7996,6799,6799,1991590
90,2000-05-18,6339,6971,6042,6617,3050260
91,2000-05-19,6416,6894,6291,6416,1666230
92,2000-05-22,6416,6789,6100,6100,1823130
93,2000-05-23,5870,6847,5870,6225,2761530
94,2000-05-24,6320,7153,6157,7153,3921500
