,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,11063,11063,10641,10875,12060
1,2000-01-05,11063,11531,10875,10875,28810
2,2000-01-06,11250,12469,10594,12468,47940
3,2000-01-07,12563,14063,11813,13125,199580
4,2000-01-10,13406,13875,12656,12843,54750
5,2000-01-11,12656,12984,12188,12375,27340
6,2000-01-12,11813,12938,11719,12656,28040
7,2000-01-13,12188,13500,12188,12937,49590
8,2000-01-14,13125,13125,12094,12093,27360
9,2000-01-17,12375,12375,11250,11625,31310
10,2000-01-18,11625,11906,11063,11062,46770
11,2000-01-19,11250,11719,10125,10312,49960
12,2000-01-20,9938,9938,8906,9375,34940
13,2000-01-21,9422,10266,8841,9328,26840
14,2000-01-24,9844,9844,8906,9000,33870
15,2000-01-25,8906,8916,7969,8250,48010
16,2000-01-26,8063,8578,7547,7687,26700
17,2000-01-27,7688,8156,7509,7800,25440
18,2000-01-28,7969,8606,7903,7968,30240
19,2000-01-31,7706,7922,7622,7818,19310
20,2000-02-01,7969,8016,7641,7968,26440
21,2000-02-02,7969,8531,7922,8531,34310
22,2000-02-03,8719,8906,8156,8390,39630
23,2000-02-07,8906,8906,8250,8287,35660
24,2000-02-08,8166,8438,7875,7875,45960
25,2000-02-09,7706,7959,7500,7734,62180
26,2000-02-10,7781,7781,7406,7406,34450
27,2000-02-11,7228,7397,6844,6909,36430
28,2000-02-14,6938,6938,6159,6159,21670
29,2000-02-15,5250,5906,5241,5625,38880
30,2000-02-16,5644,6375,5644,5812,45370
31,2000-02-17,6000,6019,5634,5803,20890
32,2000-02-18,5813,6000,5166,5165,30850
33,2000-02-21,5166,5166,4406,4406,53400
34,2000-02-22,4434,5063,4434,4921,40330
35,2000-02-23,4547,5606,4547,5240,45620
36,2000-02-24,5400,5400,4683,4743,24490
37,2000-02-25,4688,4959,4416,4828,32630
38,2000-02-28,5109,5531,4594,5240,48760
39,2000-02-29,5297,6019,5297,6018,60630
40,2000-03-02,6919,6919,6919,6918,24070
41,2000-03-03,7950,7950,7031,7734,118640
42,2000-03-06,7734,8147,6581,7734,87220
43,2000-03-07,7500,7641,6581,6581,66310
44,2000-03-08,6581,6938,6094,6234,75050
45,2000-03-09,6094,6750,6094,6515,61500
46,2000-03-10,6563,6928,6356,6384,43690
47,2000-03-13,6384,6844,6384,6834,55660
48,2000-03-14,7313,7406,6478,6478,41020
49,2000-03-15,6581,6656,6188,6468,16450
50,2000-03-16,6488,6900,6103,6318,24000
51,2000-03-17,6281,6609,6141,6281,16300
52,2000-03-20,6113,6750,6094,6093,24590
53,2000-03-21,6113,6178,5822,5821,23770
54,2000-03-22,5831,6094,5813,5925,27490
55,2000-03-23,6000,6000,5719,5718,19210
56,2000-03-24,5747,5981,5634,5793,27240
57,2000-03-27,5859,6000,5719,5775,26890
58,2000-03-28,5916,6281,5859,6281,42720
59,2000-03-29,6103,6234,5869,5878,25260
60,2000-03-30,6375,6375,5831,5906,27750
61,2000-03-31,6019,6141,5625,5859,29630
62,2000-04-03,5719,5897,5513,5615,28580
63,2000-04-04,5250,5616,5250,5521,15120
64,2000-04-06,5297,5531,4969,5062,17930
65,2000-04-07,4884,5531,4884,5343,14580
66,2000-04-10,5344,5588,5250,5353,29990
67,2000-04-11,5297,5438,5156,5437,27790
68,2000-04-12,5438,5625,5344,5484,19500
69,2000-04-14,5269,5625,5259,5625,28100
70,2000-04-17,5344,5531,5063,5156,22210
71,2000-04-18,5438,5438,4969,5250,25120
72,2000-04-19,5250,5813,5250,5484,32860
73,2000-04-20,5484,5691,5259,5690,35090
74,2000-04-21,5691,6281,5691,6140,111010
75,2000-04-24,5953,6122,5831,6093,38280
76,2000-04-25,6188,6881,5906,6562,169470
77,2000-04-26,6572,7219,6553,6553,110880
78,2000-04-27,6469,6469,5934,6281,59050
79,2000-04-28,6563,6563,6094,6103,20750
80,2000-05-02,5953,6103,5766,5812,41390
81,2000-05-03,5719,5859,5531,5531,30210
