,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,134000,143500,129000,142000,971898
1,2000-01-05,135000,156000,135000,149500,2885178
2,2000-01-06,150500,152500,140500,144500,659855
3,2000-01-07,144500,147500,143000,145000,511677
4,2000-01-10,146000,147000,141000,143000,412702
5,2000-01-11,144000,151000,143500,148000,825450
6,2000-01-12,146500,151000,144000,147000,526241
7,2000-01-13,150000,150000,145500,146500,554569
8,2000-01-14,145500,148500,145000,145500,413573
9,2000-01-17,146000,149000,144500,149000,289755
10,2000-01-18,148000,149000,141000,145500,296231
11,2000-01-19,143000,143000,132000,132000,374827
12,2000-01-20,132000,137500,128000,137500,258243
13,2000-01-21,136500,136500,128500,130000,261380
14,2000-01-24,129500,133000,129000,129500,217673
15,2000-01-25,127000,130500,123500,127500,243740
16,2000-01-26,130000,130500,127500,130000,186223
17,2000-01-27,127000,130000,126000,129000,211817
18,2000-01-28,130000,133000,128000,132000,213740
19,2000-01-31,130000,135500,127500,133000,265660
20,2000-02-01,133500,134000,129000,129500,216846
21,2000-02-02,129500,132000,129000,130000,184690
22,2000-02-03,132000,134500,130000,134000,169560
23,2000-02-07,132000,134000,130500,131000,270212
24,2000-02-08,130000,131500,128500,129000,293819
25,2000-02-09,129000,131500,128000,128500,323760
26,2000-02-10,128000,128500,123000,123000,537480
27,2000-02-11,123000,126500,118000,123000,1213884
28,2000-02-14,118000,121500,107500,110000,818412
29,2000-02-15,108000,110000,99000,99800,975051
30,2000-02-16,100500,102500,97500,100000,883373
31,2000-02-17,101000,112500,100500,110000,1076002
32,2000-02-18,115000,116500,106500,108500,812967
33,2000-02-21,106500,107000,101500,101500,376293
34,2000-02-22,100000,105500,99800,103000,327994
35,2000-02-23,104500,110000,102000,110000,468944
36,2000-02-24,105000,112000,105000,112000,397000
37,2000-02-25,110000,120000,109000,117000,546390
38,2000-02-28,117000,118500,111000,111500,424341
39,2000-02-29,114000,117500,106000,111500,445607
40,2000-03-02,112000,114000,108000,110500,700652
41,2000-03-03,112000,112000,103000,106500,665197
42,2000-03-06,106500,111500,106000,108500,572803
43,2000-03-07,109000,111500,108500,111000,446514
44,2000-03-08,111000,111500,106000,109000,711694
45,2000-03-09,111500,113500,105000,105000,1111770
46,2000-03-10,110000,110000,106000,107500,767747
47,2000-03-13,107500,108000,102500,103000,607440
48,2000-03-14,103000,105000,101000,101500,418640
49,2000-03-15,101500,102000,98000,100000,411356
50,2000-03-16,103500,104000,101000,103500,362872
51,2000-03-17,109000,110000,104000,106500,437691
52,2000-03-20,107500,108000,103000,104000,183787
53,2000-03-21,104500,119000,104000,119000,643180
54,2000-03-22,119000,120000,113000,115500,452508
55,2000-03-23,115500,116500,105000,107500,348894
56,2000-03-24,108500,109000,105000,108000,257574
57,2000-03-27,107000,107000,102500,104000,224078
58,2000-03-28,103000,104500,102000,102000,271805
59,2000-03-29,102000,106500,102000,106000,396570
60,2000-03-30,106500,115000,103500,108500,433501
61,2000-03-31,106500,112000,106500,106500,303005
62,2000-04-03,108000,108500,104000,106500,168429
63,2000-04-04,105000,109500,105000,109000,227665
64,2000-04-06,108000,108000,104000,104000,171038
65,2000-04-07,107000,107000,104000,104000,201585
66,2000-04-10,104500,107500,103000,105000,341147
67,2000-04-11,106000,110000,104500,110000,280360
68,2000-04-12,107000,108500,105000,105000,299364
69,2000-04-14,104000,105500,102500,103000,185925
70,2000-04-17,90000,99700,89200,97500,359646
71,2000-04-18,99500,100000,95600,99000,294219
72,2000-04-19,99000,99600,97000,98000,335754
73,2000-04-20,97000,98000,96500,96500,160484
74,2000-04-21,96700,97400,96000,96500,129880
75,2000-04-24,96500,97000,93000,93000,218589
76,2000-04-25,90100,92500,89300,89900,203009
