,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,13000,13750,12725,12725,538800
1,2000-01-05,12325,12325,11225,11300,658540
2,2000-01-06,11750,11900,10150,10500,507940
3,2000-01-07,10450,11350,10275,11350,596000
4,2000-01-10,12000,12150,11500,11875,464980
5,2000-01-11,11875,12225,11250,11450,606120
6,2000-01-12,11600,11750,10800,11250,374460
7,2000-01-13,11500,11500,10150,10150,376960
8,2000-01-14,10950,10950,10575,10750,225880
9,2000-01-17,10650,10950,10400,10825,164560
10,2000-01-18,10575,10925,10200,10500,353260
11,2000-01-19,10250,10250,9625,9900,441720
12,2000-01-20,9900,10000,9050,9250,306900
13,2000-01-21,9250,9250,8550,9025,376600
14,2000-01-24,9050,9150,8800,9025,338220
15,2000-01-25,9000,9000,8400,8600,255920
16,2000-01-26,8350,8500,7750,8250,831900
17,2000-01-27,8100,8650,8050,8600,369900
18,2000-01-28,8850,9075,8600,8650,490120
19,2000-01-31,8550,9350,8400,9100,370680
20,2000-02-01,9350,10450,9150,9750,686520
21,2000-02-02,9950,10750,9650,10750,395160
22,2000-02-03,10750,11225,10200,10750,327520
23,2000-02-07,10750,10950,10025,10125,510560
24,2000-02-08,10150,10375,9750,9800,186760
25,2000-02-09,9800,10150,9650,9700,197760
26,2000-02-10,9250,9700,9000,9000,328500
27,2000-02-11,9350,10050,9350,10050,440980
28,2000-02-14,11550,11550,10500,11250,1297500
29,2000-02-15,11300,11375,10300,10450,699680
30,2000-02-16,10500,10600,9250,9950,524940
31,2000-02-17,10000,10250,9550,9900,564040
32,2000-02-18,9950,10100,9525,9525,686540
33,2000-02-21,9575,9625,8700,8900,462740
34,2000-02-22,8950,9000,8550,8700,375480
35,2000-02-23,8800,9400,8700,8875,663140
36,2000-02-24,8925,8950,8275,8475,462680
37,2000-02-25,8650,8900,8575,8750,444740
38,2000-02-28,8825,9400,8750,9300,781980
39,2000-02-29,9900,9900,9150,9450,741320
40,2000-03-02,9500,9750,9150,9225,765220
41,2000-03-03,9400,9400,8500,8950,796180
42,2000-03-06,8550,8900,8550,8750,448140
43,2000-03-07,8775,9250,8550,8800,517220
44,2000-03-08,8600,8775,8525,8650,238360
45,2000-03-09,8900,8900,7750,7750,712580
46,2000-03-10,8450,8650,8325,8400,939860
47,2000-03-13,8500,8700,8100,8600,704200
48,2000-03-14,8850,9000,8250,8850,930540
49,2000-03-15,8850,8900,8550,8800,484840
50,2000-03-16,8975,9175,8800,9150,1289420
51,2000-03-17,10000,10250,9350,10100,1222000
52,2000-03-20,10250,10850,10150,10575,864380
53,2000-03-21,10575,10650,10000,10650,708060
54,2000-03-22,10250,10525,10100,10250,467880
55,2000-03-23,10250,10500,9400,10225,1150360
56,2000-03-24,10225,10225,9725,10000,371480
57,2000-03-27,10000,10000,9750,10000,86920
58,2000-03-28,9750,10175,9750,9800,113260
59,2000-03-29,9800,10300,9500,10300,382400
60,2000-03-30,10300,10300,9800,10225,358360
61,2000-03-31,10075,10425,10000,10250,500500
62,2000-04-03,10450,10550,9950,10200,215940
63,2000-04-04,9750,10450,9750,10425,208720
64,2000-04-06,10500,10500,10175,10425,147140
65,2000-04-07,10175,10500,10050,10075,165540
66,2000-04-10,9900,10125,9750,9900,226940
67,2000-04-11,10000,10100,9900,9900,97600
68,2000-04-12,9900,10000,9750,9750,169840
69,2000-04-14,9600,10000,9400,9950,124560
70,2000-04-17,9600,10000,9600,9950,240880
71,2000-04-18,9950,10150,9275,10100,376640
