,날짜,시가,고가,저가,종가,거래량
0,2009-11-11,32250,36550,31550,35650,7755136
1,2009-11-12,36000,38000,35700,37050,2210381
2,2009-11-13,37600,38300,35750,35750,1189162
3,2009-11-16,35750,38150,35750,37900,978617
4,2009-11-17,38400,38800,37200,38400,745654
5,2009-11-18,38500,38700,37800,38100,463238
6,2009-11-19,38400,40150,38250,39850,995245
7,2009-11-20,39850,42500,39350,41000,1043494
8,2009-11-23,41050,42150,40350,41650,469349
9,2009-11-24,42200,42300,41150,41500,444040
10,2009-11-25,41450,45650,41450,45000,939520
11,2009-11-26,45500,47850,45200,47600,1079445
12,2009-11-27,47050,51100,45600,47200,1927043
13,2009-11-30,49000,50500,47400,47800,1008738
14,2009-12-01,48050,48650,44100,44300,1399505
15,2009-12-02,45100,46200,44000,45050,694884
16,2009-12-03,45450,47800,45100,47650,674154
17,2009-12-04,47800,48700,47350,47600,425687
18,2009-12-07,47550,47850,45200,46050,883973
19,2009-12-08,45600,45950,44650,44950,427591
20,2009-12-09,44950,45900,44950,45350,315544
21,2009-12-10,45350,46600,44400,46300,447482
22,2009-12-11,47000,47650,46250,46700,604893
23,2009-12-14,47400,49450,47250,49100,766945
24,2009-12-15,49700,49700,48700,48700,440119
25,2009-12-16,49300,51100,49100,49700,696679
26,2009-12-17,50000,50000,48450,49400,390053
27,2009-12-18,48650,49350,48400,48600,251586
28,2009-12-21,48300,49600,48100,48550,281217
29,2009-12-22,48900,49150,48200,48900,214354
30,2009-12-23,48500,48900,46700,47100,556547
31,2009-12-24,47000,47100,45700,46400,442213
32,2009-12-28,45400,46350,44850,44850,554457
33,2009-12-29,44700,45900,42550,43200,523312
34,2009-12-30,43500,44800,41900,44800,381188
35,2010-01-04,45300,47600,44700,47250,417372
36,2010-01-05,48000,49800,47350,49050,814860
37,2010-01-06,49250,51300,48600,50000,716281
38,2010-01-07,50000,52500,49700,52100,718497
39,2010-01-08,52400,58500,51000,55000,1100618
40,2010-01-11,55000,55500,53300,55000,928868
41,2010-01-12,54400,57500,53400,55900,884380
42,2010-01-13,56000,58000,55600,56000,348502
43,2010-01-14,56000,57000,54400,55600,404416
44,2010-01-15,55900,59800,55300,59500,734059
45,2010-01-18,59300,60600,58600,60100,408102
46,2010-01-19,60500,60600,58200,58500,393920
47,2010-01-20,59200,59900,58000,58400,325732
48,2010-01-21,57500,60000,57100,58900,280620
49,2010-01-22,58000,59000,56800,57700,315639
50,2010-01-25,56200,58300,56200,57700,328443
51,2010-01-26,58200,59700,56600,57100,311281
52,2010-01-27,56800,57400,54800,55100,420236
53,2010-01-28,55700,57200,53900,56000,415602
54,2010-01-29,55100,55600,50000,52400,410446
55,2010-02-01,52400,53900,51600,52700,240542
56,2010-02-02,53800,56200,53400,54800,294094
57,2010-02-03,55100,56200,54500,55000,188231
58,2010-02-04,55000,55000,53000,54600,240119
59,2010-02-05,52000,52900,50300,50900,387178
60,2010-02-08,51000,52200,50100,50300,177176
61,2010-02-09,50100,51800,49600,51500,197496
62,2010-02-10,52200,52800,50100,50100,277276
63,2010-02-11,50300,51200,50100,51100,186334
64,2010-02-12,51700,53000,51100,52800,177556
65,2010-02-16,53000,54000,52500,53300,185444
66,2010-02-17,53800,55600,53800,55200,392687
67,2010-02-18,55400,55700,54400,54900,162563
68,2010-02-19,54500,57300,54400,55800,416815
69,2010-02-22,56900,58400,56500,57900,433497
70,2010-02-23,57700,58400,56800,57600,181948
71,2010-02-24,56700,57600,56200,57400,104661
72,2010-02-25,57600,58300,55500,56200,182670
73,2010-02-26,56300,58500,55600,58500,188740
74,2010-03-02,59200,60000,58500,58900,399102
75,2010-03-03,59100,60000,58300,59000,201513
76,2010-03-04,59500,59900,58300,59900,206723
77,2010-03-05,60000,63100,60000,63100,635642
78,2010-03-08,64300,64300,62300,62600,333335
79,2010-03-09,62600,65500,62000,64000,389582
80,2010-03-10,63800,65100,63400,64100,210760
81,2010-03-11,64100,65600,63200,63400,321467
82,2010-03-12,63700,64000,62100,63300,204162
83,2010-03-15,63300,64000,61400,64000,274452
84,2010-03-16,64000,64800,63500,63500,160984
85,2010-03-17,63700,64200,63100,64100,163737
86,2010-03-18,63400,65000,63400,63600,170741
87,2010-03-19,64200,65300,63300,65000,191923
88,2010-03-22,65000,65000,64000,64000,113055
89,2010-03-23,64500,64500,63300,64000,93985
90,2010-03-24,64000,64400,62600,62700,146146
91,2010-03-25,62700,63600,62500,62900,117832
92,2010-03-26,63300,64600,62900,63500,224635
93,2010-03-29,62500,63200,60500,61500,290480
94,2010-03-30,61800,62300,60500,62300,244816
95,2010-03-31,62300,62900,61700,62000,141365
96,2010-04-01,60500,62000,58200,61700,699944
97,2010-04-02,62300,63200,59000,59400,269176
98,2010-04-05,59400,59400,57900,58200,349832
99,2010-04-06,58300,59900,58200,58800,192106
100,2010-04-07,59000,60400,57500,60000,175947
101,2010-04-08,60000,60300,58700,58700,143991
102,2010-04-09,59300,61400,59200,60900,419008
103,2010-04-12,61000,61400,60200,60400,131521
104,2010-04-13,60600,60800,59100,59300,121271
105,2010-04-14,59400,60400,59100,60100,113995
106,2010-04-15,60600,60600,58600,59100,187911
107,2010-04-16,59000,60200,58500,60200,146402
108,2010-04-19,59700,60300,59100,59700,82744
109,2010-04-20,59600,62200,59500,62200,183044
110,2010-04-21,62600,64200,61800,64000,329315
111,2010-04-22,63400,64700,62700,63700,156929
112,2010-04-23,63600,64200,62400,62500,150461
113,2010-04-26,62600,63000,61500,61900,148762
114,2010-04-27,61900,62300,60300,61700,199592
115,2010-04-28,60400,61300,60100,60100,253844
116,2010-04-29,60300,63900,60300,63900,512994
117,2010-04-30,64700,66600,63900,66100,442497
118,2010-05-03,66100,67100,64800,66000,368406
119,2010-05-04,67000,69000,65000,69000,558287
120,2010-05-06,67600,70000,67500,69500,470650
121,2010-05-07,67500,68400,66300,66300,486414
122,2010-05-10,66400,67100,64600,65500,404338
123,2010-05-11,66400,71200,65400,70000,705800
124,2010-05-12,70500,74400,70200,72700,640555
125,2010-05-13,73300,74400,71700,72500,423827
126,2010-05-14,71700,74600,71300,73700,336842
127,2010-05-17,73100,74900,72700,74200,339898
128,2010-05-18,75300,76400,70300,72200,456966
129,2010-05-19,71200,72600,69000,72000,327111
130,2010-05-20,71800,72300,68000,68800,339856
131,2010-05-24,68100,71100,67500,69700,198068
132,2010-05-25,69000,70000,64700,69000,401176
133,2010-05-26,69000,73000,68200,72000,1138792
134,2010-05-27,71600,74300,71300,72600,377459
135,2010-05-28,73800,73800,71200,71400,205640
136,2010-05-31,71500,72200,70600,72000,138127
137,2010-06-01,72200,72300,68500,68900,313769
138,2010-06-03,69700,70800,67500,69300,407427
139,2010-06-04,69500,70600,68200,69000,276022
140,2010-06-07,67100,69700,66500,69300,275590
141,2010-06-08,69800,69800,68000,68000,271161
142,2010-06-09,68200,71500,68000,70900,353074
143,2010-06-10,71300,71700,70200,70700,187756
144,2010-06-11,71400,73200,70300,73200,410695
145,2010-06-14,74100,74200,73000,73400,169624
146,2010-06-15,74000,74500,73000,74500,200126
147,2010-06-16,74800,77000,74000,77000,347771
148,2010-06-17,77400,79100,76200,78400,381238
149,2010-06-18,78400,80100,77700,79500,215954
150,2010-06-21,80000,80100,77700,79600,241640
151,2010-06-22,78900,80000,78200,79200,150276
152,2010-06-23,78500,79700,77800,77800,1266828
153,2010-06-24,77700,78400,77100,77200,160240
154,2010-06-25,77200,79300,77000,78300,195929
155,2010-06-28,78400,82200,78400,82200,233999
156,2010-06-29,82700,83600,81300,83000,216800
157,2010-06-30,81800,84100,81200,84000,166560
158,2010-07-01,84100,85300,83400,84900,223950
159,2010-07-02,84700,86300,77800,77900,552698
160,2010-07-05,77900,80000,74000,79100,656600
161,2010-07-06,79000,81300,78200,80400,272144
162,2010-07-07,81300,81300,78300,79300,242228
163,2010-07-08,80000,82800,80000,82400,228953
164,2010-07-09,83500,85800,82100,85800,223654
165,2010-07-12,86900,89000,86800,87400,289166
166,2010-07-13,87600,89000,86700,87400,212067
