,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,6000,6380,6000,6300,71780
1,2000-01-05,6300,6350,5950,6000,146910
2,2000-01-06,6100,6140,5660,5680,103720
3,2000-01-07,5500,5780,5500,5600,70600
4,2000-01-10,5700,5840,5560,5600,141240
5,2000-01-11,5590,5700,5500,5550,84890
6,2000-01-12,5600,5600,5280,5390,91500
7,2000-01-13,5150,5290,5070,5110,96060
8,2000-01-14,5120,5480,5120,5400,131760
9,2000-01-17,5500,6200,5500,5990,387750
10,2000-01-18,6100,6170,5630,6000,212250
11,2000-01-19,5800,5840,5490,5800,136840
12,2000-01-20,5500,5850,5350,5800,106330
13,2000-01-21,5950,5980,5550,5680,83890
14,2000-01-24,5700,5870,5600,5650,133360
15,2000-01-25,5650,5650,5300,5300,59530
16,2000-01-26,5200,5450,5200,5300,55060
17,2000-01-27,5500,5780,5400,5650,143610
18,2000-01-28,5650,5950,5650,5700,171120
19,2000-01-31,5530,5740,5530,5650,130310
20,2000-02-01,5660,5790,5580,5720,106440
21,2000-02-02,5750,6200,5750,6100,220000
22,2000-02-03,6300,6690,6200,6420,324070
23,2000-02-07,6400,6870,6000,6550,472490
24,2000-02-08,6610,6650,6100,6250,192600
25,2000-02-09,6010,6240,5900,6000,134950
26,2000-02-10,5850,5890,5620,5700,116150
27,2000-02-11,5520,5750,5450,5700,147630
28,2000-02-14,5550,5700,5310,5420,52210
29,2000-02-15,5600,5600,5200,5200,55170
30,2000-02-16,5240,5400,5200,5350,43220
31,2000-02-17,5350,5350,5120,5290,69780
32,2000-02-18,5260,5290,5070,5210,92390
33,2000-02-21,5200,5200,4800,4800,67820
34,2000-02-22,4800,4940,4410,4540,97880
35,2000-02-23,4800,5210,4700,5000,178400
36,2000-02-24,5010,5100,4700,4840,71850
37,2000-02-25,4500,5000,4500,4840,85100
38,2000-02-28,4610,5200,4610,5200,120610
39,2000-02-29,5280,5280,4960,4980,85280
40,2000-03-02,5050,5200,4950,5050,90730
41,2000-03-03,5060,5150,4900,4900,77850
42,2000-03-06,5300,5630,5010,5630,312730
43,2000-03-07,5630,5790,5400,5460,172540
44,2000-03-08,5400,6270,5190,6270,448330
45,2000-03-09,7210,7210,7210,7210,360080
46,2000-03-10,8290,8290,7910,8290,909110
47,2000-03-13,8790,9400,8100,9250,1133690
48,2000-03-14,8700,9450,8700,9100,542620
49,2000-03-15,9100,10150,8770,10000,982140
50,2000-03-16,10000,10300,9600,10000,739340
51,2000-03-17,10100,10350,9360,9800,695930
52,2000-03-20,9800,9900,8890,9100,396970
53,2000-03-21,8700,9300,7850,9300,567470
54,2000-03-22,9200,10650,8800,9700,1397310
55,2000-03-23,9400,9600,8600,8600,328070
56,2000-03-24,8600,9700,8020,9700,411940
57,2000-03-27,9200,9600,9030,9250,210420
58,2000-03-28,8950,9700,8500,9700,600150
59,2000-03-29,9200,10500,9150,9890,984300
60,2000-03-30,10000,10200,9100,10200,1710210
61,2000-03-31,10250,11200,9800,10500,2931680
62,2000-04-03,10600,10850,9800,9800,1185460
63,2000-04-04,9300,9500,8610,9010,339560
64,2000-04-06,8500,9000,8000,8000,217520
65,2000-04-07,7500,8190,7500,7650,336250
66,2000-04-10,7770,8200,7410,8110,332940
67,2000-04-11,8200,8250,7840,8100,160540
68,2000-04-12,8110,8450,7900,8300,272480
69,2000-04-14,8300,8300,7800,7900,116630
70,2000-04-17,6800,7250,6720,6990,214000
71,2000-04-18,7500,7700,7110,7330,121320
72,2000-04-19,7330,7700,7110,7110,103760
73,2000-04-20,7200,7300,6700,6760,147780
74,2000-04-21,6730,7250,6450,7100,146080
75,2000-04-24,7100,7100,6610,6670,86690
76,2000-04-25,6540,6540,6200,6450,167170
77,2000-04-26,6500,6780,6200,6310,149870
78,2000-04-27,6110,6390,5500,5950,96230
79,2000-04-28,5700,6300,5700,6300,127600
80,2000-05-02,6110,6300,6020,6120,96210
81,2000-05-03,6050,6200,5910,6120,56690
82,2000-05-04,6100,6100,5950,5950,61290
83,2000-05-08,5960,6170,5960,6130,104540
84,2000-05-09,6290,7040,6120,7040,661800
85,2000-05-10,7040,7100,6550,6920,157480
86,2000-05-12,6900,6900,6410,6420,106590
87,2000-05-15,6310,6310,5650,5700,108730
88,2000-05-16,5750,5980,5510,5790,99100
89,2000-05-17,5690,5890,4930,4930,108800
90,2000-05-18,4610,5290,4610,4900,214090
91,2000-05-19,4900,5100,4420,4710,152220
92,2000-05-22,4980,4980,4200,4345,106680
93,2000-05-23,4080,4345,3830,4200,76230
94,2000-05-24,3850,4470,3850,4320,66940
95,2000-05-25,4355,4920,4355,4920,90240
96,2000-05-26,4950,4995,4330,4500,102780
97,2000-05-29,4300,4880,4240,4720,78370
98,2000-05-30,5250,5420,5020,5420,95210
99,2000-05-31,6230,6230,6230,6230,45910
100,2000-06-01,6530,7160,6230,6440,314700
101,2000-06-02,6440,6700,6050,6180,234010
102,2000-06-05,6370,6440,6180,6250,226300
103,2000-06-07,6250,6500,6100,6500,238130
104,2000-06-08,6600,6690,6150,6470,189400
105,2000-06-09,6500,6690,6100,6400,472320
106,2000-06-12,6400,6550,6200,6500,139860
107,2000-06-13,6250,6400,6140,6180,77000
108,2000-06-14,6020,6270,6010,6100,102160
109,2000-06-15,5900,6020,5800,5820,92830
110,2000-06-16,5600,5790,5510,5600,59570
111,2000-06-19,5700,5700,5400,5550,46610
112,2000-06-20,5400,5840,5400,5510,40800
113,2000-06-21,5510,5730,5420,5510,97140
114,2000-06-22,5550,5970,5550,5900,116280
115,2000-06-23,5800,5900,5600,5700,72880
116,2000-06-26,5660,5940,5610,5700,409200
117,2000-06-27,5900,6000,5720,5970,85570
118,2000-06-28,5910,5910,5700,5700,66640
119,2000-06-29,5700,5850,5480,5700,93670
120,2000-06-30,5600,5770,5550,5620,35410
121,2000-07-03,5830,6290,5830,6190,300800
122,2000-07-04,6500,6500,6150,6160,233550
123,2000-07-05,6170,6290,5810,6060,148960
124,2000-07-06,6060,6590,5920,6590,387380
125,2000-07-07,6590,6750,6310,6590,271790
126,2000-07-10,6700,6790,6450,6450,187110
127,2000-07-11,6500,6590,6250,6390,230220
128,2000-07-12,6390,6750,6150,6750,171080
129,2000-07-13,6180,6490,6180,6200,65320
130,2000-07-14,6200,6700,6200,6300,245840
131,2000-07-18,6300,6350,5960,6000,68860
132,2000-07-19,6000,6100,5710,6010,88260
133,2000-07-20,6000,6000,5800,5920,61800
134,2000-07-21,5920,6200,5810,5900,52940
135,2000-07-24,5900,5900,5270,5450,103930
136,2000-07-25,5450,5550,5300,5430,57830
137,2000-07-26,5430,5700,5430,5700,70460
138,2000-07-27,5700,5700,5520,5700,50640
139,2000-07-28,5700,5830,5580,5600,57260
140,2000-07-31,5690,5690,5500,5590,49440
141,2000-08-01,5600,5840,5590,5660,33230
142,2000-08-02,5750,5750,5610,5610,64810
143,2000-08-03,5700,5700,5460,5570,44330
144,2000-08-04,5800,5800,5580,5620,22050
145,2000-08-07,5620,5620,5490,5500,47270
146,2000-08-08,5510,5600,5500,5500,25990
147,2000-08-09,5510,5640,5500,5600,25460
148,2000-08-10,5610,5900,5600,5900,41590
149,2000-08-11,5890,5890,5520,5700,64460
150,2000-08-14,6340,6340,5840,5870,37120
151,2000-08-16,5870,6190,5870,5870,52510
152,2000-08-17,5670,5750,5630,5640,32010
153,2000-08-18,5650,5790,5640,5640,39890
154,2000-08-21,5640,5650,5520,5590,13890
155,2000-08-22,5510,5700,5500,5690,13590
156,2000-08-23,5750,5750,5550,5560,14650
157,2000-08-24,5510,5680,5310,5550,15150
158,2000-08-25,5630,5630,5380,5550,36410
159,2000-08-28,5550,5610,5500,5500,19830
160,2000-08-29,5500,5600,5100,5110,68350
161,2000-08-30,5400,5400,5150,5180,73800
162,2000-08-31,5200,5280,5020,5280,44020
163,2000-09-01,4900,5250,4900,5210,31290
164,2000-09-04,5100,5480,5030,5150,104760
165,2000-09-05,5250,5280,5090,5150,35070
166,2000-09-06,5140,5190,5060,5110,39990
167,2000-09-07,5060,5150,4970,5120,53550
168,2000-09-08,5010,5190,4960,5150,41600
169,2000-09-14,5010,5100,4850,4925,38700
170,2000-09-15,4925,4990,4800,4920,40450
171,2000-09-18,4880,4880,4300,4485,18800
172,2000-09-19,4310,4600,4310,4550,40310
173,2000-09-20,4560,4890,4500,4890,42600
174,2000-09-21,4760,4780,4490,4500,31530
175,2000-09-22,4360,4500,4300,4300,22660
176,2000-09-25,4500,4550,4400,4500,10500
177,2000-09-26,4360,4490,4330,4330,73560
178,2000-09-27,4400,4450,4300,4350,257450
179,2000-09-28,4400,4430,4360,4400,95710
180,2000-09-29,4400,4450,4360,4390,57500
181,2000-10-02,4380,4380,4305,4320,38810
182,2000-10-04,4290,4390,4120,4370,85140
183,2000-10-05,4400,4520,4370,4490,69730
184,2000-10-06,4400,4490,4300,4490,67490
185,2000-10-09,4480,4510,4360,4490,62030
186,2000-10-10,4490,4520,4360,4395,22070
187,2000-10-11,4315,4980,4315,4740,126440
188,2000-10-12,4690,5450,4690,5450,244440
189,2000-10-13,5260,6150,5050,5900,597870
190,2000-10-16,6000,6190,5520,5770,274860
191,2000-10-17,5500,5950,5200,5600,150650
192,2000-10-18,5440,5580,5010,5350,104310
193,2000-10-19,5300,5450,5000,5230,72860
194,2000-10-20,5200,5540,5200,5540,138010
195,2000-10-23,5570,5850,5410,5600,93370
196,2000-10-24,5490,5770,5460,5750,96550
197,2000-10-25,5750,5950,5670,5950,91420
198,2000-10-26,6000,6840,5860,6840,581090
199,2000-10-27,7130,7490,6250,6280,667030
200,2000-10-30,6300,6700,5560,5800,207830
201,2000-10-31,5330,5700,5330,5450,126470
202,2000-11-01,5450,6000,5450,5850,136750
203,2000-11-02,5610,5850,5400,5850,115160
204,2000-11-03,6000,6300,5890,6300,139350
205,2000-11-06,6480,6870,6400,6620,196270
206,2000-11-07,6800,6800,6310,6730,108270
207,2000-11-08,6000,6900,6000,6800,153440
208,2000-11-09,6900,6950,6540,6950,168620
209,2000-11-10,6950,7200,6800,7100,152120
210,2000-11-13,6540,7050,6540,6800,107440
211,2000-11-14,6900,6940,6550,6810,123880
212,2000-11-15,6750,7000,6710,6880,91590
213,2000-11-16,6800,6900,6670,6900,87820
214,2000-11-17,6900,7900,6750,7150,395010
215,2000-11-20,7300,7300,6850,7100,133930
216,2000-11-21,7100,7100,6450,6590,104510
217,2000-11-22,6310,6550,5950,5970,165860
218,2000-11-23,5750,5900,5600,5600,83710
219,2000-11-24,5600,6310,5600,5890,138340
220,2000-11-27,6010,6280,5900,5990,93190
221,2000-11-28,6010,6140,5710,5710,54450
222,2000-11-29,5710,5710,5410,5550,61750
223,2000-11-30,5570,5570,5220,5450,106400
224,2000-12-01,5470,5690,5250,5450,139730
225,2000-12-04,5550,5590,5300,5590,55000
226,2000-12-05,5500,5570,5400,5400,33410
227,2000-12-06,5500,5590,5310,5310,52070
228,2000-12-07,5320,5450,5200,5350,36180
229,2000-12-08,5370,5450,5220,5280,21890
230,2000-12-11,5450,5550,5330,5450,51290
231,2000-12-12,5400,5600,5300,5300,61900
232,2000-12-13,5230,5470,5230,5370,34980
233,2000-12-14,5310,5500,5210,5500,74490
234,2000-12-15,5410,6200,5360,5510,206550
235,2000-12-18,5500,5790,5500,5640,63440
236,2000-12-19,5400,5630,5280,5300,79850
237,2000-12-20,5100,5190,5010,5060,46940
238,2000-12-21,4860,5080,4800,5000,33620
239,2000-12-22,5000,5190,5000,5040,36430
240,2000-12-26,5000,5400,5000,5360,39210
241,2001-01-02,5100,5290,5100,5170,17050
242,2001-01-03,5100,5340,5100,5140,38860
243,2001-01-04,5300,5400,5200,5210,117870
244,2001-01-05,5320,5600,5210,5540,258640
245,2001-01-08,5610,5680,5470,5620,116560
246,2001-01-09,5620,5730,5490,5730,165270
247,2001-01-10,5630,5810,5500,5500,126580
248,2001-01-11,5500,5600,5410,5410,86550
249,2001-01-12,5500,6220,5500,6220,557780
250,2001-01-15,6340,6680,6250,6450,761980
251,2001-01-16,6390,6680,6250,6500,280880
252,2001-01-17,6440,6700,6320,6330,260120
253,2001-01-18,6530,6540,6270,6350,260650
254,2001-01-19,6410,7000,6350,7000,548710
255,2001-01-22,7250,7250,6860,7070,552550
256,2001-01-26,7300,7680,6800,6840,859940
257,2001-01-29,6780,6800,6400,6600,356820
258,2001-01-30,6600,6950,6560,6560,355230
259,2001-01-31,6470,6660,6420,6530,213440
260,2001-02-01,6430,6510,6350,6360,107010
261,2001-02-02,6350,6580,6350,6580,136760
262,2001-02-05,6400,6790,6350,6600,235150
263,2001-02-06,6600,6770,6500,6760,120710
264,2001-02-07,6510,6760,6510,6740,124990
265,2001-02-08,6740,6990,6710,6900,222030
266,2001-02-09,6900,7140,6800,6980,187600
267,2001-02-12,6900,7020,6710,7020,102760
268,2001-02-13,7020,7030,6860,6990,80140
269,2001-02-14,6910,7050,6800,6960,131320
270,2001-02-15,6860,7000,6710,6900,73110
271,2001-02-16,6900,7010,6830,6940,202350
272,2001-02-19,6800,6940,6710,6900,67210
273,2001-02-20,6950,7000,6850,6950,58580
274,2001-02-21,6900,6950,6820,6900,57460
275,2001-02-22,6910,6950,6750,6900,43760
276,2001-02-23,6950,6950,6800,6900,27650
277,2001-02-26,6800,7080,6800,6840,35410
278,2001-02-27,6890,6980,6830,6830,51630
279,2001-02-28,6710,6830,6500,6500,67590
280,2001-03-02,6340,6480,5930,6000,80950
281,2001-03-05,5830,6290,5830,6280,56290
282,2001-03-06,6110,6310,6020,6150,34090
283,2001-03-07,6060,6350,6060,6300,57090
284,2001-03-08,6300,6500,6200,6500,65890
285,2001-03-09,6600,6600,6300,6470,80090
286,2001-03-12,6460,6590,6050,6580,169990
