,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,7820,8843,7820,8844,568300
1,2000-01-05,8451,9745,8181,8994,1734750
2,2000-01-06,9144,9234,8061,8092,452970
3,2000-01-07,8121,9144,8031,8904,1545450
4,2000-01-10,9263,9474,8482,8483,1365930
5,2000-01-11,8482,8783,8241,8302,786320
6,2000-01-12,8422,8663,8122,8182,507910
7,2000-01-13,8001,8181,7700,8001,667310
8,2000-01-14,7640,7820,7399,7400,707870
9,2000-01-17,7519,7670,7339,7430,421390
10,2000-01-18,7490,7700,7098,7189,416830
11,2000-01-19,7038,7339,6376,6497,530270
12,2000-01-20,6406,6617,5895,6136,390870
13,2000-01-21,6196,6527,6015,6377,416280
14,2000-01-24,6497,6888,6406,6437,364910
15,2000-01-25,6316,6496,6136,6197,286010
16,2000-01-26,6496,6496,6135,6317,264160
17,2000-01-27,6316,7248,6286,6919,1066750
18,2000-01-28,7008,7038,6678,6858,407770
19,2000-01-31,6737,7128,6707,6858,442940
20,2000-02-01,6978,7038,6768,6858,262270
21,2000-02-02,6858,7339,6828,7159,562660
22,2000-02-03,7249,7279,6948,7009,288180
23,2000-02-07,6917,7218,6888,7039,449170
24,2000-02-08,7339,7459,6978,7069,559070
25,2000-02-09,7038,7369,6797,6949,462580
26,2000-02-10,6797,6978,6527,6558,440060
27,2000-02-11,6497,7038,6256,6858,878500
28,2000-02-14,6617,6797,6256,6287,348670
29,2000-02-15,6196,6316,5985,6016,297630
30,2000-02-16,6106,6256,5895,6016,241120
31,2000-02-17,6075,6617,6075,6497,620380
32,2000-02-18,6978,7158,6617,6618,1001980
33,2000-02-21,6437,6707,6136,6136,476760
34,2000-02-22,6136,6316,5865,5962,456340
35,2000-02-23,6226,6738,6016,6437,783000
36,2000-02-24,6376,6527,6105,6197,397160
37,2000-02-25,6075,6376,6016,6227,394950
38,2000-02-28,6045,6166,5985,6010,314150
39,2000-02-29,6075,6195,5895,5944,344580
40,2000-03-02,5943,6406,5895,6317,822840
41,2000-03-03,6136,6316,5985,6076,406100
42,2000-03-06,6316,6617,6045,6618,912050
43,2000-03-07,6557,7369,6316,7159,1688930
44,2000-03-08,6737,7068,6737,6798,617030
45,2000-03-09,6917,7038,6617,6618,539310
46,2000-03-10,6737,6857,6557,6618,493180
