,날짜,시가,고가,저가,종가,거래량
0,2020-07-02,98000,127000,98000,127000,698642
1,2020-07-03,165000,165000,165000,165000,711921
2,2020-07-06,214500,214500,193500,214500,7126211
3,2020-07-07,219000,269500,210000,216500,10105187
4,2020-07-08,214500,225000,198000,217000,5990009
5,2020-07-09,213500,220000,205500,205500,1897646
6,2020-07-10,200500,213500,198500,205500,1825361
7,2020-07-13,206000,207500,199000,199000,1072716
8,2020-07-14,199500,201500,188000,188500,1389588
9,2020-07-15,190000,191000,174000,177000,1859251
10,2020-07-16,179000,197500,179000,183500,3290169
11,2020-07-17,185000,193000,183500,191000,1109080
12,2020-07-20,193500,195000,185000,187000,657860
13,2020-07-21,186500,189000,184500,185500,564184
14,2020-07-22,192000,205000,188000,188000,2269779
15,2020-07-23,189000,190500,183000,186500,572644
16,2020-07-24,184500,194500,183000,189000,806058
17,2020-07-27,192500,199500,190500,191500,913434
18,2020-07-28,193000,193500,188000,190000,351351
19,2020-07-29,190500,190500,185500,186500,281090
20,2020-07-30,187000,189000,183500,185000,318789
21,2020-07-31,184000,184500,182000,182000,222520
22,2020-08-03,174000,178000,170000,175000,748436
23,2020-08-04,176500,179000,175000,175500,334937
24,2020-08-05,177500,183000,175500,179500,508410
25,2020-08-06,182500,182500,178500,179500,257948
26,2020-08-07,180000,181000,178000,179000,231477
27,2020-08-10,185500,196000,184500,192500,1791403
28,2020-08-11,196000,196500,190000,191500,547133
29,2020-08-12,193000,195500,188000,191000,419642
30,2020-08-13,192000,193000,184500,186000,491263
31,2020-08-14,184000,184000,177500,178500,512876
32,2020-08-18,175000,178000,170500,171000,429385
33,2020-08-19,170500,175000,170500,172000,251460
34,2020-08-20,171000,174000,165500,167000,321586
35,2020-08-21,169000,169500,159500,162500,396107
36,2020-08-24,160000,168500,155000,168000,390851
37,2020-08-25,169000,173000,168500,172000,245620
38,2020-08-26,174000,175000,171000,172000,198839
39,2020-08-27,172000,172500,167000,167500,193632
40,2020-08-28,167500,169000,166500,167000,153232
41,2020-08-31,170000,170000,163000,163500,233285
42,2020-09-01,165000,173000,163500,171000,388140
43,2020-09-02,171000,185000,167500,181500,1273960
44,2020-09-03,183500,186500,179000,182000,564777
45,2020-09-04,177000,191500,177000,190000,1263233
46,2020-09-07,193000,193500,187000,191500,588499
47,2020-09-08,193000,197000,187000,188000,688213
48,2020-09-09,184500,194000,181000,191000,752071
49,2020-09-10,194000,194500,184500,184500,1216687
50,2020-09-11,180500,182500,173000,175000,827865
51,2020-09-14,174500,174500,169000,170500,369858
52,2020-09-15,172000,173000,170500,171500,213266
53,2020-09-16,170500,173000,170000,170000,209954
54,2020-09-17,170000,171500,169000,170500,192071
55,2020-09-18,170500,172000,169000,171500,139378
56,2020-09-21,171500,172000,165500,167500,210008
57,2020-09-22,167500,168500,163000,164500,191073
58,2020-09-23,165000,166500,158500,162000,190137
59,2020-09-24,158000,159000,156000,159000,251602
60,2020-09-25,159500,161500,158000,158500,133341
61,2020-09-28,159000,160000,155000,155000,197955
62,2020-09-29,156500,158000,155000,156500,164882
63,2020-10-05,145000,146000,138000,140500,1368552
64,2020-10-06,141000,142500,139500,141000,461207
65,2020-10-07,141000,144000,140000,143500,257799
66,2020-10-08,144000,148000,142500,147500,457340
67,2020-10-12,149000,150000,147500,150000,369263
68,2020-10-13,151000,151500,146000,147500,301158
69,2020-10-14,166500,170000,152500,153000,1784912
70,2020-10-15,153000,153000,146500,152000,402884
71,2020-10-16,153000,159000,153000,153500,486968
72,2020-10-19,151000,156000,149000,154500,270633
73,2020-10-20,153500,156000,152500,155000,232226
74,2020-10-21,156000,162000,154500,161500,449038
75,2020-10-22,161000,163500,158000,162500,287992
76,2020-10-23,161000,162000,159500,161000,191225
77,2020-10-26,160500,161000,155000,156500,224326
78,2020-10-27,156000,159500,154500,156500,175993
79,2020-10-28,157000,157500,156000,157000,107482
80,2020-10-29,154500,156500,152500,155500,164293
81,2020-10-30,156500,163000,155000,159500,404704
82,2020-11-02,161500,161500,157000,158500,196735
83,2020-11-03,160500,161000,157500,159000,200829
84,2020-11-04,160500,170000,159500,169000,913673
85,2020-11-05,170500,172000,167000,169500,426878
86,2020-11-06,171000,171000,167000,168500,240472
87,2020-11-09,170000,171500,168500,169000,340747
88,2020-11-10,170000,170500,162000,169500,400127
89,2020-11-11,172000,172500,167000,167000,553516
90,2020-11-12,168500,169000,161500,163500,295225
91,2020-11-13,162000,167000,162000,166000,209594
92,2020-11-16,166500,169000,165000,168000,186207
93,2020-11-17,168500,168500,166000,166500,142976
94,2020-11-18,168000,168500,166500,168000,171256
95,2020-11-19,168000,171000,166500,170000,231212
96,2020-11-20,170000,171500,168500,170000,171685
97,2020-11-23,170000,171000,168500,170500,213056
98,2020-11-24,171000,174500,171000,174000,411017
99,2020-11-25,174500,180000,170500,174500,746914
100,2020-11-26,175500,179500,172500,179500,440231
