,날짜,시가,고가,저가,종가,거래량
0,2021-05-11,210000,222500,154000,154500,11320278
1,2021-05-12,152000,160000,141000,147500,4973674
2,2021-05-13,145500,149500,142500,144000,1853703
3,2021-05-14,146500,148000,140000,141000,1510892
4,2021-05-17,142500,143000,138000,138000,931047
5,2021-05-18,139000,146500,138500,144000,1474901
6,2021-05-20,145000,146500,141000,142000,585820
7,2021-05-21,144000,145000,142000,143500,468288
8,2021-05-24,144500,145000,141000,142500,368061
9,2021-05-25,143500,144000,141000,142000,300026
10,2021-05-26,141000,142000,140500,141500,298091
11,2021-05-27,141500,144500,141500,142000,298994
12,2021-05-28,143000,146500,142000,145000,716415
13,2021-05-31,145500,149000,145500,149000,628140
14,2021-06-01,149500,151000,147500,150000,497546
15,2021-06-02,151000,151000,147000,149500,397954
16,2021-06-03,149500,150500,148000,149500,294278
17,2021-06-04,149000,149500,147000,147500,276515
18,2021-06-07,148000,148500,143000,143000,469107
19,2021-06-08,142000,144000,141500,143000,243816
20,2021-06-09,143000,143500,142000,142000,223769
21,2021-06-10,142000,144500,141500,142500,493039
22,2021-06-11,141500,157500,139500,157500,1458033
23,2021-06-14,151500,153000,148000,148000,740629
24,2021-06-15,149000,151500,148500,149500,417175
25,2021-06-16,149000,153000,148000,152000,476285
26,2021-06-17,151500,157000,150000,156000,648454
27,2021-06-18,156500,159500,154500,158000,622211
28,2021-06-21,156500,160500,155500,158500,431581
29,2021-06-22,160000,160500,156000,159000,343775
30,2021-06-23,159000,167500,157000,166500,1317043
31,2021-06-24,167000,173500,165000,168500,907775
32,2021-06-25,170500,175000,169500,172500,795885
33,2021-06-28,174000,177000,166000,167000,702510
34,2021-06-29,167500,173000,164000,173000,527489
35,2021-06-30,173500,184000,173000,183000,1167597
36,2021-07-01,182000,194500,179000,186500,1504043
37,2021-07-02,189000,193000,183500,186000,648311
38,2021-07-05,185000,188000,181500,185500,439884
39,2021-07-06,185000,194000,185000,193000,666659
40,2021-07-07,192500,199000,191500,199000,678190
41,2021-07-08,200000,209500,199500,205000,1524306
42,2021-07-09,205500,212000,195000,209000,1257721
43,2021-07-12,212000,214000,207000,210000,423982
44,2021-07-13,209000,213000,208500,211500,458895
45,2021-07-14,210000,212000,204500,209000,530707
46,2021-07-15,207000,207500,202000,204500,563996
47,2021-07-16,203500,213000,198500,213000,769590
48,2021-07-19,213500,219000,210000,211000,450712
49,2021-07-20,206000,218000,205500,214000,671590
50,2021-07-21,216000,219000,210000,216000,380307
51,2021-07-22,218500,233500,216500,230500,976124
52,2021-07-23,231500,237000,227500,235500,480565
53,2021-07-26,237500,249000,224500,229500,1014129
54,2021-07-27,232000,237500,220500,228500,831742
55,2021-07-28,224500,231500,224500,229500,396664
56,2021-07-29,229000,232000,223500,225000,327732
57,2021-07-30,225500,228500,220500,225500,366042
58,2021-08-02,226500,229000,220000,228500,411837
59,2021-08-03,228500,237000,209000,211000,893344
60,2021-08-04,208000,220000,198500,217000,851565
61,2021-08-05,214500,221000,214000,216500,263773
62,2021-08-06,216000,218500,210000,212500,294166
63,2021-08-09,212000,215000,207000,209500,382155
64,2021-08-10,210000,214000,205000,210500,453145
65,2021-08-11,199500,206500,199500,202500,1220623
66,2021-08-12,210000,230000,209500,217500,2100897
67,2021-08-13,218000,221500,211500,214500,548773
68,2021-08-17,212000,214000,205500,208500,458414
69,2021-08-18,206500,218000,206000,214500,448588
70,2021-08-19,214500,217500,211000,214000,422954
71,2021-08-20,214000,216500,200000,205000,655215
72,2021-08-23,207500,209000,201000,206000,337429
73,2021-08-24,208000,212500,200500,204000,410938
74,2021-08-25,206000,209000,203000,208000,234014
75,2021-08-26,207500,213500,207000,213500,400100
76,2021-08-27,211500,217500,209500,215000,337290
77,2021-08-30,217000,218000,208000,209000,339030
78,2021-08-31,210000,212500,204500,207500,1553481
79,2021-09-01,212000,215000,207000,208500,472492
80,2021-09-02,209500,211500,206000,209000,235702
81,2021-09-03,208500,210000,206500,209000,186918
82,2021-09-06,208000,209500,207500,208000,138573
83,2021-09-07,207500,212500,207500,209500,212665
84,2021-09-08,213000,213000,205000,206500,260238
85,2021-09-09,210500,213000,206500,210000,438228
86,2021-09-10,210500,225500,210000,225500,982443
87,2021-09-13,225500,234500,223000,233000,876268
88,2021-09-14,234000,236500,225000,227500,435713
89,2021-09-15,230500,235500,226500,233000,416822
90,2021-09-16,234500,234500,222500,223000,443622
91,2021-09-17,224500,227500,218500,224500,270861
