,날짜,시가,고가,저가,종가,거래량
0,2007-07-25,160000,170000,155000,169500,2853735
1,2007-07-26,168000,169500,150000,150000,2132041
2,2007-07-27,147000,159000,139000,148000,1205584
3,2007-07-30,145000,157500,145000,157500,571034
4,2007-07-31,155000,159000,152500,157000,368700
5,2007-08-01,153000,155000,146000,147500,401636
6,2007-08-02,150000,151000,139000,143000,463777
7,2007-08-03,146000,146000,137000,137000,684968
8,2007-08-06,135000,140500,132500,137500,433102
9,2007-08-07,140500,141500,132500,132500,457116
10,2007-08-08,134000,138000,133000,136000,459631
11,2007-08-09,138000,142000,134500,135500,499899
12,2007-08-10,131000,132000,128000,128500,446585
13,2007-08-13,130000,133500,127500,132000,537648
14,2007-08-14,131500,132000,120500,120500,496348
15,2007-08-16,114000,119000,111500,111500,801013
16,2007-08-17,113500,118000,110500,112000,408078
17,2007-08-20,119000,125000,117000,125000,568203
18,2007-08-21,124000,128000,121000,128000,356646
19,2007-08-22,127000,128000,122500,124000,608050
20,2007-08-23,128000,130500,126000,130000,435448
21,2007-08-24,132500,137000,132000,134000,527467
22,2007-08-27,142000,144500,135000,136000,519403
23,2007-08-28,138000,139000,133000,136000,463325
24,2007-08-29,128500,132000,128500,130000,653450
25,2007-08-30,132500,133500,128500,131000,557995
26,2007-08-31,130000,130500,127000,128500,429104
27,2007-09-03,129500,145000,128500,145000,676331
28,2007-09-04,142000,147000,140500,141000,451222
29,2007-09-05,143500,144000,138000,142000,456611
30,2007-09-06,140000,151000,138500,150500,735704
31,2007-09-07,155000,159000,152000,158000,1020724
32,2007-09-10,153500,159500,152000,157000,553323
33,2007-09-11,157500,160000,155000,156000,477034
34,2007-09-12,159000,159000,156000,157500,591737
35,2007-09-13,159500,163500,155000,163500,1087291
36,2007-09-14,162500,163000,159000,159000,642444
37,2007-09-17,159000,160500,153000,157000,427193
38,2007-09-18,160000,160000,148500,148500,278896
39,2007-09-19,154000,156000,151000,156000,372333
40,2007-09-20,156000,156000,148500,149000,476325
41,2007-09-21,149500,153500,148500,151000,365078
42,2007-09-27,152000,165000,150500,165000,719512
43,2007-09-28,162000,162500,158500,160000,435425
44,2007-10-01,160000,161500,154500,156000,466461
45,2007-10-02,160000,161000,156000,159000,479564
46,2007-10-04,159000,159500,151500,155500,616437
47,2007-10-05,154000,155500,147500,147500,751177
48,2007-10-08,151000,154000,148000,148000,559707
49,2007-10-09,149000,150000,146500,147500,466101
50,2007-10-10,151000,156000,150500,156000,660781
51,2007-10-11,154000,155500,151000,154000,534486
52,2007-10-12,156000,158500,148000,150500,676043
53,2007-10-15,152500,153000,148000,149000,541151
54,2007-10-16,146500,148500,143500,147500,1055224
55,2007-10-17,150500,156500,147500,156000,980993
56,2007-10-18,158500,175000,158000,175000,1373694
57,2007-10-19,175500,177500,168000,168000,548604
58,2007-10-22,158000,166000,158000,164500,507135
59,2007-10-23,167000,167000,158000,162500,637828
60,2007-10-24,162500,168500,151500,155500,858392
61,2007-10-25,159500,170000,157500,170000,830506
62,2007-10-26,173500,188000,171000,187500,1276074
63,2007-10-29,193000,201500,186000,198500,942015
64,2007-10-30,195500,208500,194000,208500,1049850
65,2007-10-31,200500,207000,194000,207000,779878
66,2007-11-01,211000,216000,201000,204000,902245
67,2007-11-02,198500,209500,197500,200000,459229
68,2007-11-05,199000,202500,193500,195500,558824
69,2007-11-06,194500,203500,192500,200000,432128
70,2007-11-07,205000,215000,199000,210000,873346
71,2007-11-08,203500,206500,190000,190000,867742
72,2007-11-09,194000,201000,190000,192500,486072
73,2007-11-12,190000,201000,180500,180500,548196
74,2007-11-13,180500,183000,171500,180000,541372
75,2007-11-14,187000,187000,176000,179000,535049
76,2007-11-15,181000,182000,165500,165500,495711
77,2007-11-16,167500,170500,158000,160000,871708
78,2007-11-19,163500,171500,161000,166500,963865
79,2007-11-20,167000,178000,164500,173000,689179
80,2007-11-21,173500,183000,172000,178500,688425
81,2007-11-22,183000,183000,172000,175000,496350
82,2007-11-23,175000,180000,165500,175500,604386
83,2007-11-26,178000,184000,172500,184000,464932
84,2007-11-27,179000,196000,177500,193000,459250
85,2007-11-28,193000,194500,179000,179000,576349
86,2007-11-29,183000,184000,173500,179000,432484
87,2007-11-30,179000,190500,178000,189500,564409
88,2007-12-03,185500,187500,182000,184500,299108
89,2007-12-04,187000,190500,183500,184500,242408
90,2007-12-05,185000,190000,182000,188500,204062
91,2007-12-06,190000,191500,182500,184000,283268
92,2007-12-07,188000,188000,177000,177000,235169
93,2007-12-10,176500,180500,171500,176500,241720
94,2007-12-11,177000,187000,174500,184000,303554
95,2007-12-12,183000,186000,179500,183500,268962
96,2007-12-13,184000,189000,178500,187000,678055
97,2007-12-14,187000,188000,179500,182500,362860
98,2007-12-17,180000,180500,165500,165500,421822
99,2007-12-18,163000,170000,156000,166000,1046003
