,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,484852,519204,475037,505462,9275920
1,2000-01-05,474056,489759,446574,453444,7414370
2,2000-01-06,461296,467185,424981,429888,6529140
3,2000-01-07,416148,439704,408296,425962,10492270
4,2000-01-10,431852,437741,422037,422037,8041690
5,2000-01-11,431852,457370,429889,437740,11268920
6,2000-01-12,431852,455407,427926,443629,6916500
7,2000-01-13,451481,462278,441667,461296,11180640
8,2000-01-14,476019,482889,443630,447555,12338010
9,2000-01-17,465222,501537,459333,488777,20475240
10,2000-01-18,490741,504481,472093,490740,14581100
11,2000-01-19,490741,502519,480926,480925,13326650
12,2000-01-20,477981,530000,468167,530000,24274380
13,2000-01-21,520185,557481,518222,522148,31238800
14,2000-01-24,537852,546685,526074,530000,12233700
15,2000-01-25,520185,526074,506444,508407,10446560
16,2000-01-26,513315,522148,506444,519203,9108240
17,2000-01-27,520185,526074,500556,510370,8991610
18,2000-01-28,510370,549630,506444,543740,16882700
19,2000-01-31,530981,535889,516259,518222,12865150
20,2000-02-01,510370,516259,480926,480925,19525890
21,2000-02-02,479944,480926,455407,469148,16169750
22,2000-02-03,463259,473074,446574,452462,15889810
23,2000-02-07,444611,464241,437741,451481,13440440
24,2000-02-08,465222,476019,459333,468166,11379520
25,2000-02-09,473074,477000,455407,459333,6816770
26,2000-02-10,451481,468167,447556,457370,8519970
27,2000-02-11,462278,466204,433815,437740,8009860
28,2000-02-14,422037,428907,408296,410259,9164960
29,2000-02-15,418111,425963,404370,419092,8521020
30,2000-02-16,419093,422037,390630,410259,9506460
31,2000-02-17,392593,402407,388667,398481,10655220
32,2000-02-18,396519,409278,393574,398481,10465220
33,2000-02-21,386704,388667,364130,365111,9406750
34,2000-02-22,359222,363148,338611,343518,11483280
35,2000-02-23,361185,387685,346463,365111,11519950
36,2000-02-24,345481,358241,341556,346462,5846020
37,2000-02-25,346463,356278,335667,345481,6265070
38,2000-02-28,329778,336648,306222,306222,7237450
39,2000-02-29,331741,351370,319963,351370,12272960
40,2000-03-02,403389,403389,403389,403388,2564700
41,2000-03-03,463259,463259,428907,463259,27750430
42,2000-03-06,453444,460315,429889,435777,11181060
43,2000-03-07,431852,451481,422037,440685,6681790
44,2000-03-08,422037,458352,422037,452462,8603220
45,2000-03-09,453444,461296,441667,441666,6243450
46,2000-03-10,451481,455407,406333,415166,5699800
47,2000-03-13,398481,402407,366093,371000,7712000
48,2000-03-14,378852,404370,372963,386703,7374010
49,2000-03-15,372963,410259,369037,403388,6626500
50,2000-03-16,418111,420074,387685,394555,5726020
51,2000-03-17,406333,417130,402407,408296,5506430
52,2000-03-20,431852,442648,424000,435777,8825570
53,2000-03-21,437741,449519,426944,445592,8173300
54,2000-03-22,449519,477000,445593,471111,12114430
55,2000-03-23,480926,499574,451481,451481,12916120
56,2000-03-24,471111,519204,455407,495648,22081620
57,2000-03-27,501537,512333,475037,490740,13710320
58,2000-03-28,500556,525093,490741,508407,15201990
59,2000-03-29,508407,539815,500556,524111,17203170
60,2000-03-30,518222,518222,488778,500555,10789400
61,2000-03-31,481907,510370,481907,482888,7857470
62,2000-04-03,492704,514296,487796,498592,8441110
63,2000-04-04,490741,505463,473074,486814,4812430
64,2000-04-06,497611,500556,459333,459333,6962300
65,2000-04-07,467185,484852,467185,479944,6262550
66,2000-04-10,482889,495648,474056,483870,6073150
67,2000-04-11,477000,477981,464241,471111,3571660
68,2000-04-12,471111,482889,461296,476018,4119450
69,2000-04-14,453444,461296,431852,443629,4816200
70,2000-04-17,379833,401426,377870,377870,7367770
71,2000-04-18,429889,432833,400444,426944,10777090
72,2000-04-19,446574,460315,423019,437740,6686190
73,2000-04-20,431852,444611,425963,431851,3105490
74,2000-04-21,445593,447556,422037,422037,4409900
75,2000-04-24,412222,427926,404370,424000,5294570
76,2000-04-25,412222,418111,406333,411240,3623120
77,2000-04-26,422037,426944,350389,350388,30856280
78,2000-04-27,323889,333704,298370,317018,41861610
79,2000-04-28,324870,352352,323889,345481,23225070
80,2000-05-02,333704,355296,326833,341555,13589220
81,2000-05-03,339593,355296,332722,341555,9937960
82,2000-05-04,345481,357259,337630,343518,10673530
83,2000-05-08,351370,361185,344500,350388,8848810
84,2000-05-09,350389,352352,340574,342537,3724620
85,2000-05-10,335667,340574,333704,335666,4205830
86,2000-05-12,335667,339593,318981,321925,4445530
87,2000-05-15,333704,350389,325852,328796,9547060
88,2000-05-16,331741,344500,329778,343518,6240260
89,2000-05-17,353333,362167,338611,345481,8522160
90,2000-05-18,331741,342537,328796,335666,4001640
91,2000-05-19,333704,335667,324870,333703,4356290
