,날짜,시가,고가,저가,종가,거래량
0,2002-03-11,10000,11500,10000,11500,1863
1,2002-03-12,13200,13200,13200,13200,826
2,2002-03-13,15150,15150,15150,15150,576
3,2002-03-14,17400,17400,17400,17400,624
4,2002-03-15,20000,20000,20000,20000,894
5,2002-03-18,23000,23000,23000,23000,9063
6,2002-03-19,26450,26450,26450,26450,4854
7,2002-03-20,30400,30400,30400,30400,2014
8,2002-03-21,34950,34950,34950,34950,1996
9,2002-03-22,40150,40150,38100,40150,118992
10,2002-03-25,37550,46150,35450,46150,177679
11,2002-03-26,49800,53000,48000,53000,30471
12,2002-03-27,60900,60900,55000,60900,118595
13,2002-03-28,64500,70000,63900,70000,118523
14,2002-03-29,74600,80500,65100,77000,288914
15,2002-04-01,77000,81900,65500,65500,164340
16,2002-04-02,60000,74000,56100,64200,447651
17,2002-04-03,67200,73800,67100,73800,139543
18,2002-04-04,84800,84800,84800,84800,16044
19,2002-04-08,90000,97400,75000,78100,409601
20,2002-04-09,80300,85300,74000,79500,168583
21,2002-04-10,83000,84800,67600,68000,171593
22,2002-04-11,60200,71300,60200,64500,179245
23,2002-04-12,64500,67000,54900,54900,113804
24,2002-04-15,54900,57000,46750,50000,145221
25,2002-04-16,51500,57500,51000,57500,117015
26,2002-04-17,61500,65500,58700,58900,200795
27,2002-04-18,57000,59500,51500,53000,112731
28,2002-04-19,56100,56100,50400,52800,69321
29,2002-04-22,50300,52800,48050,49000,83087
30,2002-04-23,46000,48700,42500,43500,72751
31,2002-04-24,44000,48000,41000,44050,84133
32,2002-04-25,41550,42950,38300,39000,60301
33,2002-04-26,38200,42400,38200,40000,72176
34,2002-04-29,36400,39000,34200,34550,50470
35,2002-04-30,35200,36000,31300,32800,69690
36,2002-05-02,33600,37700,33600,37700,19089
37,2002-05-03,43350,43350,43350,43350,14944
38,2002-05-06,49400,49850,45000,49850,218909
39,2002-05-07,49850,56600,44000,44650,302821
40,2002-05-08,46850,51300,46000,51300,273645
41,2002-05-09,54100,56000,49600,51200,193201
42,2002-05-10,50400,54400,50200,52100,156719
43,2002-05-13,51500,55500,51500,52300,136102
44,2002-05-14,53000,54300,46900,48500,125019
45,2002-05-15,51600,51800,46500,49500,79980
46,2002-05-16,44000,50000,44000,46300,68642
47,2002-05-17,48000,49100,45850,46500,86720
48,2002-05-20,47100,47700,46050,46050,52121
49,2002-05-21,44450,46900,43250,43400,57915
50,2002-05-22,42550,43400,41000,41450,71652
51,2002-05-23,41500,47650,41500,47650,271765
52,2002-05-24,47600,49450,42650,42850,99157
53,2002-05-27,43500,44850,40600,42550,60334
54,2002-05-28,42050,42900,41250,41400,41023
55,2002-05-29,40050,40900,38150,38300,46242
56,2002-05-30,36100,38300,34400,34900,37057
57,2002-05-31,33500,40100,33400,37050,162842
58,2002-06-03,35750,37700,34500,35400,51905
59,2002-06-04,34600,37650,34600,35200,33318
60,2002-06-05,35300,38500,35300,36200,56769
61,2002-06-07,35500,36650,34550,34850,31030
62,2002-06-10,35300,36700,34850,35300,26350
63,2002-06-11,35800,35800,34500,34700,22750
64,2002-06-12,34100,35800,34100,34700,29000
65,2002-06-14,35000,39250,35000,36000,103443
66,2002-06-17,37500,37800,35700,35800,26577
67,2002-06-18,37400,37500,35600,35600,22590
68,2002-06-19,34700,36200,32600,32800,25410
69,2002-06-20,32500,33400,31800,33000,18203
70,2002-06-21,31600,32900,31600,32200,14426
71,2002-06-24,30150,32000,30000,30000,30839
72,2002-06-25,30100,31400,26000,26800,37689
73,2002-06-26,26000,26000,22800,22800,36980
74,2002-06-27,22800,24450,22500,22800,26698
75,2002-06-28,23100,26200,23100,26200,32650
76,2002-07-02,26600,29000,24700,25850,185326
77,2002-07-03,26300,26400,25050,25500,78800
78,2002-07-04,26100,27600,25700,25900,160746
79,2002-07-05,25900,26450,25500,25600,105795
80,2002-07-08,26200,28700,26200,27500,191940
81,2002-07-09,27000,27800,26450,27100,76970
82,2002-07-10,26700,29100,26700,27450,127831
83,2002-07-11,27800,27850,26200,26350,60050
84,2002-07-12,27000,27700,26300,26700,61900
85,2002-07-15,26700,26900,25800,25800,35180
86,2002-07-16,24650,25500,23500,24000,54213
87,2002-07-18,24100,25000,23500,23900,30790
88,2002-07-19,23500,23500,22100,22700,35169
89,2002-07-22,21000,21600,20500,20750,40490
90,2002-07-23,19650,22000,19650,22000,52110
91,2002-07-24,20900,21600,20100,20200,28960
92,2002-07-25,21500,23200,21500,23200,67470
93,2002-07-26,24500,26000,21000,22600,156032
94,2002-07-29,23400,24000,21050,21500,33358
95,2002-07-30,24000,24000,21500,21500,43471
96,2002-07-31,21050,22450,21050,21600,35462
97,2002-08-01,21600,22150,20900,21100,27410
98,2002-08-02,20100,21200,20100,20700,26406
99,2002-08-05,20100,21000,19850,20000,22460
100,2002-08-06,19100,19650,19050,19300,27550
101,2002-08-07,20000,20700,19600,19700,28606
102,2002-08-08,19600,20200,19300,20000,24650
103,2002-08-09,20300,23000,20300,23000,304232
104,2002-08-12,23500,23650,22050,22800,90700
105,2002-08-13,22850,26200,22800,26200,264486
106,2002-08-14,25000,29700,24600,26200,213037
107,2002-08-16,27000,28700,26100,26200,122461
108,2002-08-19,26600,27250,25200,25200,73689
109,2002-08-20,25800,26400,24300,24800,85904
110,2002-08-21,24600,27400,24100,26050,169853
111,2002-08-22,26200,26850,25100,25100,76535
112,2002-08-23,25100,25950,24550,24700,47824
113,2002-08-26,24100,25150,24100,24500,36123
114,2002-08-27,25000,26500,24600,25600,94104
115,2002-08-28,25100,26400,24600,24850,52890
116,2002-08-29,25100,25250,24400,25100,29540
117,2002-08-30,25150,25350,24800,25200,24564
118,2002-09-02,25600,28950,25600,28950,191980
119,2002-09-03,29500,30350,27350,28800,190346
120,2002-09-04,28550,32700,28100,28500,386270
121,2002-09-05,29400,30900,28600,30600,244374
122,2002-09-06,30600,32050,30000,31000,255218
123,2002-09-09,31700,33200,26350,26350,313482
124,2002-09-10,26750,27400,23700,25300,178436
125,2002-09-11,24850,25900,24600,25600,76370
126,2002-09-12,25050,26200,25050,25450,71620
127,2002-09-13,25000,25400,24400,24750,46540
128,2002-09-16,24900,25500,24600,24600,32770
129,2002-09-17,24600,25450,24600,25000,44290
130,2002-09-18,24800,24800,23600,23800,45350
131,2002-09-19,23600,24300,23600,24000,21970
132,2002-09-23,23550,24000,22000,22200,41830
133,2002-09-24,21200,22000,21200,21250,25710
134,2002-09-25,20600,21000,19750,20650,29420
135,2002-09-26,21200,23500,21200,22300,66940
136,2002-09-27,22500,22800,21200,21500,31490
137,2002-09-30,20400,21700,20100,21700,39627
138,2002-10-01,23000,24950,22350,22950,153754
139,2002-10-02,23900,23900,22100,22200,34001
140,2002-10-04,21300,22300,21300,21600,19340
141,2002-10-07,21100,22000,21100,21200,16290
142,2002-10-08,20850,21600,20850,21500,20281
143,2002-10-09,21700,23500,21500,21500,29447
144,2002-10-10,20700,21050,20500,20600,23060
145,2002-10-11,21400,21600,20100,20700,18690
146,2002-10-14,21600,21650,21100,21350,30135
147,2002-10-15,21500,22500,21350,22250,46991
148,2002-10-16,23300,25550,22300,23500,258410
149,2002-10-17,23100,23850,22850,23200,51863
150,2002-10-18,23900,24300,23300,23500,57562
151,2002-10-21,23100,23700,22200,22350,42210
152,2002-10-22,23000,23500,22200,22400,24590
153,2002-10-23,22300,22800,22000,22400,25430
154,2002-10-24,22750,23800,22450,22500,45351
155,2002-10-25,22050,22850,21900,22000,24951
156,2002-10-28,22300,22700,22000,22550,23940
157,2002-10-29,22300,22600,22200,22200,19051
158,2002-10-30,21950,22400,21600,21800,19710
159,2002-10-31,22050,22800,21900,22800,26831
160,2002-11-01,25200,26200,23400,23400,326516
161,2002-11-04,22900,23650,22400,22850,80831
162,2002-11-05,22700,23050,22350,22500,36650
163,2002-11-06,22500,23150,22500,22600,46753
164,2002-11-07,22350,24450,22350,22900,91560
165,2002-11-08,22400,22850,22300,22400,36060
166,2002-11-11,22200,22450,21800,21800,32710
167,2002-11-12,21150,21500,21000,21400,20300
168,2002-11-13,21400,21850,21200,21200,20543
169,2002-11-14,21300,21550,21200,21300,14379
170,2002-11-15,21400,21950,21400,21450,15840
171,2002-11-18,21250,21800,21200,21200,12280
172,2002-11-19,21150,21500,21050,21250,17175
173,2002-11-20,21050,21450,21050,21400,14542
174,2002-11-21,22000,22000,21400,21400,20630
175,2002-11-22,21700,23000,21350,21900,45050
176,2002-11-25,22400,22650,21950,22150,26250
177,2002-11-26,22100,22250,21500,21600,12580
178,2002-11-27,21200,21500,21200,21450,13660
179,2002-11-28,21700,22000,21600,21750,20144
180,2002-11-29,21500,21850,21450,21700,15090
181,2002-12-02,22100,22900,21800,22500,35130
182,2002-12-03,22900,22900,21800,22200,17240
183,2002-12-04,22200,22300,21400,21550,20330
184,2002-12-05,21450,22100,21450,21850,14975
185,2002-12-06,21550,22050,21500,21650,16310
186,2002-12-09,21400,21650,21200,21250,16012
187,2002-12-10,20600,21500,20600,21100,13720
188,2002-12-11,21050,21500,21000,21100,11015
189,2002-12-12,20950,21650,20950,21600,11886
190,2002-12-13,21500,22000,21400,22000,23610
191,2002-12-16,22000,22500,22000,22500,29100
192,2002-12-17,23500,25850,21800,21800,267860
193,2002-12-18,22000,22000,21200,21400,31020
194,2002-12-20,21250,21350,20650,20700,27146
195,2002-12-23,19800,20350,19300,19300,27730
196,2002-12-24,18650,19000,16450,17400,27470
197,2002-12-26,14800,16500,14800,15000,31540
198,2002-12-27,14850,15000,13500,14000,30840
199,2002-12-30,13500,14750,13500,14750,27490
200,2003-01-02,15250,16550,14750,16500,31083
201,2003-01-03,17250,17900,16500,16500,31066
202,2003-01-06,16300,16650,15750,15900,20860
203,2003-01-07,16300,16800,15850,15850,28810
204,2003-01-08,15500,16300,15400,15400,14600
205,2003-01-09,15000,15500,14700,15050,10080
206,2003-01-10,15200,15700,14000,14800,17750
207,2003-01-13,14700,15350,14700,15300,7140
208,2003-01-14,15600,15600,14900,15000,9910
209,2003-01-15,15000,15250,14750,14950,6170
210,2003-01-16,14950,14950,14450,14650,6713
211,2003-01-17,14500,14750,14350,14450,4751
212,2003-01-20,14000,14450,14000,14100,5530
213,2003-01-21,14100,14300,13700,14000,9151
214,2003-01-22,13700,14450,13600,13600,7731
215,2003-01-23,13100,13750,13100,13400,7542
216,2003-01-24,13550,13900,12850,12900,5920
217,2003-01-27,12900,12900,12150,12250,5970
218,2003-01-28,11800,12350,11800,12300,6290
219,2003-01-29,12000,12450,11750,11850,7189
220,2003-01-30,11700,12200,11700,12100,4581
221,2003-02-03,12100,12950,12100,12700,7100
222,2003-02-04,13150,13150,12650,12800,5124
223,2003-02-05,12700,12700,12100,12300,7430
224,2003-02-06,12150,12350,11800,12100,3359
225,2003-02-07,11800,12000,11300,11700,5700
226,2003-02-10,11500,13450,11500,13450,38655
227,2003-02-11,14800,14800,13500,14200,64740
228,2003-02-12,13650,14200,13300,13300,18365
229,2003-02-13,13550,13700,12200,12500,16960
230,2003-02-14,12200,12600,12200,12500,8685
231,2003-02-17,12600,13450,12600,13450,14593
232,2003-02-18,13200,13400,12900,12900,9859
233,2003-02-19,13050,13350,12900,12900,9808
234,2003-02-20,12650,13000,12650,13000,6690
235,2003-02-21,13000,13000,12500,12950,6160
236,2003-02-24,12550,13200,12550,12800,10080
237,2003-02-25,12800,12800,12300,12300,7320
238,2003-02-26,12000,12400,12000,12050,8970
239,2003-02-27,12050,12050,11700,12000,6160
240,2003-02-28,12050,12250,11850,11850,3230
241,2003-03-03,11800,12000,11750,11800,5010
242,2003-03-04,11800,11800,11600,11750,5131
243,2003-03-05,11650,11750,10900,10900,11710
244,2003-03-06,11400,11400,10400,10500,6190
245,2003-03-07,9800,9950,9710,9800,10100
246,2003-03-10,9310,9670,9100,9100,8760
247,2003-03-11,8320,8700,8320,8380,6100
248,2003-03-12,9000,9350,8750,9200,8130
249,2003-03-13,8850,9500,8800,9150,4060
250,2003-03-14,9420,10450,9420,9950,11174
251,2003-03-17,9050,9750,8990,8990,7340
252,2003-03-18,9500,9790,9250,9600,6960
253,2003-03-19,9100,9800,9100,9800,7520
254,2003-03-20,10300,11250,10100,11250,18876
255,2003-03-21,12400,12900,11500,12900,49790
256,2003-03-24,14500,14800,13500,14800,64910
257,2003-03-25,15100,17000,14500,15500,130874
258,2003-03-26,16000,17700,13250,13850,63857
259,2003-03-27,13600,13800,12500,13000,81274
260,2003-03-28,13100,14750,13100,14200,83340
261,2003-03-31,13900,13900,12750,12800,31610
262,2003-04-01,12300,14050,12300,13900,31785
263,2003-04-02,13800,14400,13300,14100,49277
264,2003-04-03,14900,15400,14100,14200,47620
265,2003-04-04,14000,14500,13500,13900,22343
266,2003-04-07,14250,14700,13800,14200,35257
267,2003-04-08,13850,14200,13700,13950,32670
268,2003-04-09,14300,14300,13400,13550,17770
269,2003-04-10,13400,13950,13400,13700,16070
270,2003-04-11,13650,14250,13600,13800,19370
271,2003-04-14,13650,14450,13650,14150,22911
272,2003-04-15,14600,14900,14250,14800,31571
273,2003-04-16,15300,15300,14700,15000,24341
274,2003-04-17,14950,15000,14000,14150,32677
275,2003-04-18,14250,16250,14250,16250,77500
276,2003-04-21,17200,18650,16500,18100,149210
277,2003-04-22,18450,19400,16950,17000,64420
278,2003-04-23,17650,18200,16600,16600,59870
279,2003-04-24,16450,16950,15300,16250,34810
280,2003-04-25,15700,16000,15000,15100,33266
281,2003-04-28,13300,15500,13300,14450,38600
282,2003-04-29,15100,16600,15100,16600,57764
283,2003-04-30,17400,18450,15700,15900,74429
284,2003-05-02,16400,16900,15900,16400,22720
285,2003-05-06,16500,17000,15950,15950,26539
286,2003-05-07,15950,17300,15950,16600,47666
287,2003-05-09,16900,16950,16300,16950,19520
288,2003-05-12,17450,17500,16900,17000,28580
289,2003-05-13,17350,17500,16500,16500,21680
290,2003-05-14,16900,16900,16150,16500,9760
291,2003-05-15,16500,16900,16500,16650,14050
292,2003-05-16,16600,18200,16600,17400,88600
293,2003-05-19,17200,17400,16250,16450,18620
294,2003-05-20,15900,17100,15800,17000,30105
295,2003-05-21,16650,17000,16400,16500,19783
296,2003-05-22,16700,16750,16000,16000,26330
297,2003-05-23,16100,16700,16100,16100,16851
298,2003-05-26,16550,16550,16000,16100,19552
299,2003-05-27,15950,16200,15800,15900,9021
300,2003-05-28,16100,17000,16100,16500,30852
301,2003-05-29,16300,16850,16100,16250,21080
302,2003-05-30,16550,16600,15850,16300,20220
303,2003-06-02,16500,17700,16400,17000,64575
304,2003-06-03,17000,17650,16550,17650,42822
305,2003-06-04,17600,19350,17600,18400,99135
306,2003-06-05,18300,18500,17000,17000,35675
307,2003-06-09,17050,17400,17000,17050,13920
308,2003-06-10,16600,17100,16500,16900,16610
309,2003-06-11,16750,18000,16750,18000,32590
310,2003-06-12,18400,19000,17500,17950,94350
311,2003-06-13,18000,18800,18000,18450,40993
312,2003-06-16,18400,18500,17650,17650,18992
