날짜,시가,고가,저가,종가,거래량,거래대금
2000-01-04,1028.33,1066.18,1016.59,1059.04,195898660,3771013000000
2000-01-05,1006.87,1047.7,984.05,986.31,257696170,4798126000000
2000-01-06,1013.95,1014.9,953.5,960.79,203523570,3726898000000
2000-01-07,949.17,970.16,930.84,948.65,215664150,3696686000000
2000-01-10,979.67,994.94,965.02,987.24,240175480,3815037000000
2000-01-11,992.17,1005.87,981.23,981.33,257070670,4244168000000
2000-01-12,957.98,976.86,949.2,955.01,227079000,3352483000000
2000-01-13,955.06,960.73,939.25,951.05,223001440,3354502000000
2000-01-14,958.82,970.59,937.75,948.03,224957960,3438219000000
2000-01-17,962.67,986.09,950.75,983.27,212058420,3390747000000
2000-01-18,992.31,992.85,967.96,981.53,212080440,3416478000000
2000-01-19,969.31,977.0,938.74,938.78,235726560,3375139000000
2000-01-20,927.12,945.9,906.26,945.9,226684400,3170847000000
2000-01-21,928.55,942.2,911.83,925.16,255135420,3495329000000
2000-01-24,917.93,944.31,915.7,926.77,210413850,2826008000000
2000-01-25,909.12,918.48,891.22,891.22,242591360,2674106000000
2000-01-26,896.34,902.43,875.82,885.54,231146320,2733539000000
2000-01-27,888.27,912.49,879.0,909.23,344911860,3766460000000
2000-01-28,922.74,943.95,911.12,941.67,293137490,3858507000000
2000-01-31,924.83,948.84,922.92,943.88,289435150,3669515000000
2000-02-01,955.44,959.31,923.52,928.75,306143290,3931047000000
2000-02-02,929.69,950.13,923.4,943.59,310406340,4284082000000
2000-02-03,950.26,959.0,934.11,950.22,277121480,4398129000000
2000-02-07,953.23,982.03,951.31,973.13,271765260,4367938000000
2000-02-08,977.07,981.42,960.47,961.22,229490390,3574098000000
2000-02-09,967.53,979.92,959.13,976.05,240446030,3821326000000
2000-02-10,966.36,991.71,957.73,966.18,251614640,4328262000000
2000-02-11,990.11,990.75,941.24,953.22,274780540,4189066000000
2000-02-14,932.94,941.23,907.91,910.87,234180220,3495271000000
2000-02-15,916.89,919.43,875.05,879.7,218598980,3165602000000
2000-02-16,881.03,886.63,843.58,879.5,214045530,3066447000000
2000-02-17,869.35,901.83,869.35,897.52,212421200,3225718000000
2000-02-18,900.71,918.04,879.14,879.14,258281960,4154668000000
2000-02-21,864.61,871.08,843.65,845.32,213794590,2640729000000
2000-02-22,844.11,867.68,835.97,850.02,244389810,2936447000000
2000-02-23,866.14,882.79,852.89,880.67,346449280,4007155000000
2000-02-24,874.53,887.82,857.68,867.37,256688930,2912720000000
2000-02-25,856.06,873.08,847.14,864.76,255182750,2917014000000
2000-02-28,850.36,856.25,819.01,819.01,253125050,2925441000000
2000-02-29,843.31,846.37,810.53,828.38,275728820,3379940000000
