,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,27950,27950,24450,25000,37710
1,2000-01-05,24500,25700,24500,25700,34250
2,2000-01-06,25000,25000,23900,25000,31410
3,2000-01-07,23600,25900,23600,24400,19740
4,2000-01-10,25700,25900,24100,25300,17100
5,2000-01-11,25600,25600,24300,25200,28980
6,2000-01-12,24500,25700,23600,25700,145050
7,2000-01-13,25500,26800,23500,23500,113930
8,2000-01-14,23700,24200,23100,23300,20490
9,2000-01-17,23100,23100,22100,23000,76930
10,2000-01-18,22200,23000,20550,22000,100410
11,2000-01-19,20650,21300,20250,20900,108080
12,2000-01-20,19800,20900,18700,19600,73450
13,2000-01-21,18800,19500,18200,19300,76490
14,2000-01-24,18800,19700,18800,19300,38690
15,2000-01-25,19300,19300,18500,19100,31690
16,2000-01-26,19150,20200,19100,19900,31760
17,2000-01-27,19500,20800,19000,20300,18330
18,2000-01-28,20500,20500,19150,19200,36140
19,2000-01-31,19100,19700,18500,18750,125680
20,2000-02-01,19500,19500,18800,19500,54300
21,2000-02-02,19000,19900,19000,19500,48250
22,2000-02-03,19900,20200,19600,19850,45150
23,2000-02-07,19600,20800,19600,20500,52920
24,2000-02-08,20400,20500,19600,19950,36010
25,2000-02-09,19950,21700,19500,19950,249780
26,2000-02-10,19800,19800,18700,18800,76330
27,2000-02-11,18800,19200,17500,17900,95370
28,2000-02-14,17000,17900,16600,16800,58970
29,2000-02-15,16300,16800,15100,15500,73310
30,2000-02-16,15300,16000,14100,14800,179510
31,2000-02-17,14950,16100,14800,15050,371160
32,2000-02-18,15450,15800,14100,14400,446180
33,2000-02-21,14200,14350,12800,13050,110040
34,2000-02-22,12700,13400,12000,12600,266630
35,2000-02-23,14000,14450,13200,14450,497790
36,2000-02-24,14800,15900,14500,15300,713920
37,2000-02-25,15450,15950,14800,15350,326070
38,2000-02-28,14900,16350,14300,16000,462030
39,2000-02-29,16150,16400,14900,15300,279810
40,2000-03-02,15300,15500,14600,14850,233320
41,2000-03-03,15000,15200,13800,14100,228280
42,2000-03-06,14100,15700,14100,15450,489880
43,2000-03-07,15950,16800,15100,16200,624630
44,2000-03-08,15900,17550,15600,16200,541110
45,2000-03-09,16700,17000,16000,16000,349920
46,2000-03-10,16250,16500,15600,15700,207280
47,2000-03-13,15700,16850,15500,16400,316570
48,2000-03-14,16400,17300,15700,17000,290150
49,2000-03-15,17500,19000,16700,17400,1059190
50,2000-03-16,18300,18300,15800,16500,274470
51,2000-03-17,16500,16800,15900,16100,131070
52,2000-03-20,15500,16200,15500,16000,108900
53,2000-03-21,15600,16500,15600,16000,102500
54,2000-03-22,16200,16800,15650,16200,164260
55,2000-03-23,16000,16400,15500,15700,85820
56,2000-03-24,15700,16400,14550,15700,186920
57,2000-03-27,15950,16300,15200,16100,145100
58,2000-03-28,16350,17850,16150,17350,386160
59,2000-03-29,16850,17900,16550,16700,254400
60,2000-03-30,18000,19200,16600,17400,1171940
61,2000-03-31,17400,20000,16950,20000,511460
62,2000-04-03,17300,18950,17000,17000,559320
63,2000-04-04,16600,17700,15100,15900,259930
64,2000-04-06,15100,16200,15000,15000,89140
65,2000-04-07,14500,15750,14500,15000,190350
66,2000-04-10,15000,15900,14800,15100,170170
67,2000-04-11,15200,15600,12850,14800,270590
68,2000-04-12,14700,15200,14100,14300,168350
69,2000-04-14,13600,14200,13600,13800,90140
70,2000-04-17,12050,12750,11750,11800,181230
71,2000-04-18,12400,13000,12250,12600,107320
72,2000-04-19,13200,13500,12800,12800,164360
73,2000-04-20,13100,13100,12450,12850,56970
74,2000-04-21,13000,13600,12800,13250,73330
75,2000-04-24,13400,13500,12850,12850,64820
76,2000-04-25,12700,13000,12500,12700,41190
77,2000-04-26,13200,13200,12500,12600,58510
78,2000-04-27,12200,12850,12000,12200,79940
79,2000-04-28,12150,12600,11900,12350,42010
80,2000-05-02,12100,12450,12000,12200,74530
81,2000-05-03,12500,12950,12300,12800,96090
82,2000-05-04,12500,12800,12400,12700,40550
83,2000-05-08,12950,13100,12700,12850,65880
