,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,4880,5200,4880,5050,127190
1,2000-01-05,4990,4990,4620,4760,104040
2,2000-01-06,4900,4980,4410,4500,91840
3,2000-01-07,4300,4650,4300,4430,87770
4,2000-01-10,4530,4600,4450,4590,104350
5,2000-01-11,4570,4570,4230,4330,117420
6,2000-01-12,4200,4280,4050,4070,104320
7,2000-01-13,4100,4360,4000,4000,177480
8,2000-01-14,4050,4120,3960,4060,79020
9,2000-01-17,4070,4195,4010,4070,82850
10,2000-01-18,4150,4150,3870,3950,170270
11,2000-01-19,3800,3850,3550,3550,127620
12,2000-01-20,3600,3645,3250,3345,71430
13,2000-01-21,3200,3500,3130,3450,117890
14,2000-01-24,3550,3680,3450,3520,91280
15,2000-01-25,3450,3500,3325,3500,85290
16,2000-01-26,3500,3650,3410,3590,56090
17,2000-01-27,3585,3980,3550,3950,132000
18,2000-01-28,4100,4100,3870,3880,105580
19,2000-01-31,3870,4260,3760,4000,184650
20,2000-02-01,4200,4200,3880,3940,84820
21,2000-02-02,3985,4200,3880,4010,115150
22,2000-02-03,4050,4100,4010,4070,75960
23,2000-02-07,4095,4155,4050,4060,99400
24,2000-02-08,4050,4050,3870,3870,77400
25,2000-02-09,3800,4000,3600,3730,82060
26,2000-02-10,3730,3730,3480,3505,81440
27,2000-02-11,3330,3505,3330,3380,110600
28,2000-02-14,3350,3650,2875,3410,150530
29,2000-02-15,3580,3580,3260,3275,86540
30,2000-02-16,3300,3460,3195,3200,55650
31,2000-02-17,3100,3275,3100,3250,90430
32,2000-02-18,3250,3300,3085,3170,225530
33,2000-02-21,3010,3160,2960,3030,125720
34,2000-02-22,3040,3100,2910,3000,120300
35,2000-02-23,3050,3450,3015,3360,172630
36,2000-02-24,3250,3325,3020,3120,50520
37,2000-02-25,3150,3230,3030,3050,97890
38,2000-02-28,3150,3290,3060,3180,112070
39,2000-02-29,3250,3280,3105,3105,129200
40,2000-03-02,3570,3570,3230,3410,174310
41,2000-03-03,3490,3500,3180,3250,153400
42,2000-03-06,3360,3550,3360,3500,286410
43,2000-03-07,3500,3600,3400,3500,243630
44,2000-03-08,3500,3800,3450,3650,634000
45,2000-03-09,3650,3820,3560,3630,435030
46,2000-03-10,3710,3770,3500,3500,212010
47,2000-03-13,3500,3670,3435,3600,325050
48,2000-03-14,4100,4135,3810,3810,474930
49,2000-03-15,3810,3820,3510,3530,239520
50,2000-03-16,3700,3740,3480,3490,180540
51,2000-03-17,3510,3620,3495,3540,110250
52,2000-03-20,3600,3680,3550,3550,170830
53,2000-03-21,3650,3650,3430,3435,126260
54,2000-03-22,3585,3760,3500,3760,395970
55,2000-03-23,3750,3790,3600,3670,199980
56,2000-03-24,3670,3780,3600,3655,202880
57,2000-03-27,3845,3990,3715,3825,266930
58,2000-03-28,3825,3850,3700,3750,168520
59,2000-03-29,3740,3990,3690,3825,256420
60,2000-03-30,3900,3940,3710,3765,219840
61,2000-03-31,3765,4300,3630,4300,286190
62,2000-04-03,3900,3980,3715,3725,266710
63,2000-04-04,3725,3795,3510,3700,145680
64,2000-04-06,3700,3740,3550,3550,125000
65,2000-04-07,3555,3740,3550,3615,155680
66,2000-04-10,3630,3780,3615,3680,170640
67,2000-04-11,3615,3650,3510,3515,79270
68,2000-04-12,3520,3590,3490,3505,150310
69,2000-04-14,3420,3480,3300,3360,97530
70,2000-04-17,3355,3355,3000,3015,146660
71,2000-04-18,3200,3200,3060,3100,87650
72,2000-04-19,3260,3370,3170,3250,147540
73,2000-04-20,3250,3350,3250,3260,60230
74,2000-04-21,3260,3330,3260,3300,49010
75,2000-04-24,3335,3335,3210,3240,61200
76,2000-04-25,3300,3320,3240,3300,102710
77,2000-04-26,3350,3350,3150,3170,89300
78,2000-04-27,3170,3250,3070,3150,96460
79,2000-04-28,3150,3185,3050,3175,98960
80,2000-05-02,3195,3245,3100,3110,59460
81,2000-05-03,3130,3130,3080,3100,56200
82,2000-05-04,3145,3145,3040,3100,55350
83,2000-05-08,3115,3180,3085,3130,65480
84,2000-05-09,3260,3540,3260,3485,363560
85,2000-05-10,3485,3485,3235,3295,142830
86,2000-05-12,3295,3370,3150,3160,147260
87,2000-05-15,3160,3185,2960,3015,99280
88,2000-05-16,3020,3150,2990,3040,86640
89,2000-05-17,3040,3090,2845,2880,93020
90,2000-05-18,2450,2585,2450,2470,336000
91,2000-05-19,2470,2470,2355,2465,74810
92,2000-05-22,2470,2470,2270,2270,62400
93,2000-05-23,2270,2305,2210,2250,116920
94,2000-05-24,2250,2480,2205,2390,145690
95,2000-05-25,2350,2745,2350,2745,207440
96,2000-05-26,2600,2700,2335,2500,149740
97,2000-05-29,2250,2750,2250,2700,110280
98,2000-05-30,2890,2950,2710,2775,87040
99,2000-05-31,2880,2920,2840,2845,150980
100,2000-06-01,2900,2900,2610,2810,112910
101,2000-06-02,2830,2960,2750,2830,180050
102,2000-06-05,2930,3130,2850,3050,192530
103,2000-06-07,3050,3150,3050,3150,230410
104,2000-06-08,3150,3185,2930,2930,208450
105,2000-06-09,2930,2985,2830,2915,107140
106,2000-06-12,2920,3000,2915,2970,58400
107,2000-06-13,2970,3040,2830,2830,89200
108,2000-06-14,2835,2890,2705,2795,96120
109,2000-06-15,2810,2810,2650,2650,49440
110,2000-06-16,2745,2745,2655,2655,29030
111,2000-06-19,2660,2695,2600,2620,91960
112,2000-06-20,2660,2975,2580,2670,275900
113,2000-06-21,2740,2775,2625,2710,194980
114,2000-06-22,2720,2770,2715,2715,51870
115,2000-06-23,2715,2730,2650,2670,65790
116,2000-06-26,2670,2800,2670,2800,43230
117,2000-06-27,2795,3060,2780,2850,262990
118,2000-06-28,2900,2940,2850,2875,143580
119,2000-06-29,2945,3180,2875,2925,388200
120,2000-06-30,2955,2955,2830,2855,107750
121,2000-07-03,2940,3030,2870,2960,184430
122,2000-07-04,2995,3015,2850,2855,175300
123,2000-07-05,2840,2920,2795,2875,102750
124,2000-07-06,2825,3200,2825,3105,308730
125,2000-07-07,3150,3445,3150,3235,437210
126,2000-07-10,3350,3690,3325,3500,493830
127,2000-07-11,3500,3505,3260,3260,327580
128,2000-07-12,3200,3325,3070,3140,173030
129,2000-07-13,3030,3200,3020,3090,125220
130,2000-07-14,3030,3150,3030,3150,87040
131,2000-07-18,3010,3145,2975,3000,100730
132,2000-07-19,3000,3050,2850,2885,89650
133,2000-07-20,2750,2945,2750,2900,74470
134,2000-07-21,2950,2955,2860,2915,36250
135,2000-07-24,2910,2910,2780,2780,52160
136,2000-07-25,2705,2830,2705,2800,35040
137,2000-07-26,2805,2850,2750,2800,30880
138,2000-07-27,2805,2820,2750,2790,45520
139,2000-07-28,2800,2800,2750,2750,40320
140,2000-07-31,2750,2820,2710,2790,42430
141,2000-08-01,2750,2830,2750,2830,56060
142,2000-08-02,2800,2890,2770,2860,126030
143,2000-08-03,2890,2940,2840,2910,114150
144,2000-08-04,2870,2920,2820,2830,28600
145,2000-08-07,2780,2795,2720,2730,36430
146,2000-08-08,2790,2810,2710,2710,45640
147,2000-08-09,2715,2820,2715,2790,85700
148,2000-08-10,2850,2850,2755,2770,58590
149,2000-08-11,2760,2830,2755,2790,103980
150,2000-08-14,2900,2910,2815,2880,116880
151,2000-08-16,2900,2950,2865,2870,58420
152,2000-08-17,2980,2980,2895,2925,131020
153,2000-08-18,2975,2975,2880,2920,69700
154,2000-08-21,2910,2930,2850,2860,55270
155,2000-08-22,2825,2900,2825,2870,42660
156,2000-08-23,2830,2880,2800,2810,52940
157,2000-08-24,2830,2840,2780,2840,47230
158,2000-08-25,2835,2920,2800,2880,57850
159,2000-08-28,2890,2935,2860,2920,84580
160,2000-08-29,3020,3250,2990,3065,392890
161,2000-08-30,3070,3080,2955,2990,151670
162,2000-08-31,3000,3000,2900,2915,97920
163,2000-09-01,2900,2950,2855,2895,82050
164,2000-09-04,2900,2920,2865,2910,82610
165,2000-09-05,2930,2945,2890,2930,59220
166,2000-09-06,2900,2950,2890,2900,56300
167,2000-09-07,2900,2900,2800,2810,67430
168,2000-09-08,2815,2845,2755,2755,86520
169,2000-09-14,2760,2760,2630,2700,144930
170,2000-09-15,2810,2980,2810,2895,483100
171,2000-09-18,2890,2890,2530,2670,156770
172,2000-09-19,2620,2695,2590,2660,117220
173,2000-09-20,2670,2770,2670,2760,91420
174,2000-09-21,2800,2840,2630,2700,67140
175,2000-09-22,2650,2720,2615,2615,90440
176,2000-09-25,2650,2730,2630,2710,68430
177,2000-09-26,2650,2700,2600,2650,101030
178,2000-09-27,2655,2765,2635,2740,131690
179,2000-09-28,2765,2765,2635,2690,89670
180,2000-09-29,2690,2890,2650,2890,166390
181,2000-10-02,2800,2800,2700,2720,87690
182,2000-10-04,2655,2740,2655,2730,86040
183,2000-10-05,2750,2800,2715,2715,90220
184,2000-10-06,2720,2740,2665,2700,192900
185,2000-10-09,2730,2900,2675,2710,211420
186,2000-10-10,2745,3100,2700,2830,500950
187,2000-10-11,2870,2890,2720,2730,187720
188,2000-10-12,2680,2750,2670,2730,114030
189,2000-10-13,2625,2730,2400,2730,199610
190,2000-10-16,2740,2850,2720,2750,256430
191,2000-10-17,2685,2790,2650,2655,146400
192,2000-10-18,2660,2670,2610,2620,83110
193,2000-10-19,2605,2670,2605,2620,95230
194,2000-10-20,2670,2670,2625,2665,59780
195,2000-10-23,2660,2685,2645,2650,168640
196,2000-10-24,2670,2670,2645,2655,77610
197,2000-10-25,2655,2665,2645,2650,118590
198,2000-10-26,2650,2660,2640,2650,137040
199,2000-10-27,2645,2660,2645,2650,78300
200,2000-10-30,2650,2680,2650,2660,102220
201,2000-10-31,2650,2650,2510,2620,42980
202,2000-11-01,2600,2640,2570,2640,52480
203,2000-11-02,2570,2650,2555,2635,59380
204,2000-11-03,2600,2685,2580,2635,53200
205,2000-11-06,2670,2680,2620,2635,35170
206,2000-11-07,2620,2655,2620,2630,18970
207,2000-11-08,2630,2630,2520,2555,30780
208,2000-11-09,2530,2575,2515,2560,30350
209,2000-11-10,2560,2565,2525,2560,20760
210,2000-11-13,2520,2625,2510,2570,64460
211,2000-11-14,2600,2790,2510,2720,67620
212,2000-11-15,2690,2690,2620,2620,69370
213,2000-11-16,2600,2620,2550,2570,34990
214,2000-11-17,2545,2585,2535,2550,15650
215,2000-11-20,2620,2620,2540,2555,18430
216,2000-11-21,2550,2600,2550,2550,23750
217,2000-11-22,2600,2600,2550,2555,26710
218,2000-11-23,2550,2575,2550,2550,54750
219,2000-11-24,2550,2590,2505,2560,16480
220,2000-11-27,2565,2600,2560,2570,31430
221,2000-11-28,2670,2700,2550,2595,12350
222,2000-11-29,2560,2560,2540,2550,29010
223,2000-11-30,2510,2580,2510,2550,32080
224,2000-12-01,2550,2575,2515,2575,42740
225,2000-12-04,2570,2600,2550,2550,15900
226,2000-12-05,2560,2580,2550,2580,15740
227,2000-12-06,2600,2630,2565,2565,47310
228,2000-12-07,2595,2595,2530,2550,33660
229,2000-12-08,2580,2610,2570,2600,23510
230,2000-12-11,2610,2635,2600,2630,27110
231,2000-12-12,2600,2620,2570,2595,23060
232,2000-12-13,2580,2640,2575,2635,34400
233,2000-12-14,2600,2625,2575,2620,36980
234,2000-12-15,2580,2600,2565,2565,30280
235,2000-12-18,2620,2620,2575,2585,39310
236,2000-12-19,2605,2605,2560,2605,46800
237,2000-12-20,2600,2600,2525,2555,19940
238,2000-12-21,2500,2570,2500,2570,25870
239,2000-12-22,2575,2600,2550,2590,49700
240,2000-12-26,2785,2785,2610,2665,97320
241,2001-01-02,2345,2545,2320,2500,48580
242,2001-01-03,2440,2470,2360,2385,62200
243,2001-01-04,2505,2505,2400,2480,90790
244,2001-01-05,2480,2720,2440,2575,137290
245,2001-01-08,2650,2730,2580,2650,91790
246,2001-01-09,3045,3045,3045,3045,134880
247,2001-01-10,3500,3500,3500,3500,112390
248,2001-01-11,4025,4025,3900,4025,1180570
249,2001-01-12,4090,4175,3505,3505,2297020
250,2001-01-15,3315,3470,3150,3175,1014190
251,2001-01-16,3250,3490,3170,3245,1348860
252,2001-01-17,3135,3190,2810,2865,571380
253,2001-01-18,2865,3050,2835,2875,421780
254,2001-01-19,2850,2900,2810,2835,245270
255,2001-01-22,2835,3020,2835,2970,351470
256,2001-01-26,2910,3010,2720,2760,278500
257,2001-01-29,2800,2850,2750,2800,224870
258,2001-01-30,2840,3050,2815,3030,616520
259,2001-01-31,3100,3100,2820,2940,425330
260,2001-02-01,2990,2990,2850,2935,198940
261,2001-02-02,2930,2970,2855,2910,178930
262,2001-02-05,2860,2890,2770,2820,139160
263,2001-02-06,2800,2885,2790,2860,166610
264,2001-02-07,2890,2890,2760,2810,190950
265,2001-02-08,2790,2860,2780,2845,162170
266,2001-02-09,2860,2870,2810,2820,126820
267,2001-02-12,2800,2835,2780,2820,107620
268,2001-02-13,2850,2900,2780,2790,268320
269,2001-02-14,2790,2800,2765,2780,323380
270,2001-02-15,2825,2825,2760,2775,159390
271,2001-02-16,2795,2800,2720,2725,189200
272,2001-02-19,2700,2720,2665,2665,119470
273,2001-02-20,2630,2715,2630,2710,157670
274,2001-02-21,2680,2730,2655,2685,106450
275,2001-02-22,2670,2700,2615,2640,143370
276,2001-02-23,2640,2680,2620,2640,139560
277,2001-02-26,2670,2735,2640,2735,229950
278,2001-02-27,2740,2750,2660,2660,172740
279,2001-02-28,2640,2670,2630,2670,75990
280,2001-03-02,2650,2650,2550,2550,144760
281,2001-03-05,2630,2645,2550,2615,144000
282,2001-03-06,2650,2690,2570,2590,248130
283,2001-03-07,2600,2670,2415,2520,222710
284,2001-03-08,2570,2570,2515,2520,149330
285,2001-03-09,2525,2540,2500,2510,107620
286,2001-03-12,2500,2500,2385,2385,159080
287,2001-03-13,2305,2305,2250,2250,129550
288,2001-03-14,2280,2315,2270,2285,94170
289,2001-03-15,2190,2250,2175,2225,66370
290,2001-03-16,2225,2280,2220,2250,57990
291,2001-03-19,2210,2400,2200,2315,186470
292,2001-03-20,2325,2385,2300,2320,88480
293,2001-03-21,2300,2320,2270,2285,68510
294,2001-03-22,2255,2290,2235,2240,44050
295,2001-03-23,2230,2285,2230,2260,68880
296,2001-03-26,2280,2290,2265,2280,42960
297,2001-03-27,2280,2300,2265,2280,44660
298,2001-03-28,2265,2350,2260,2270,242480
299,2001-03-29,2300,2300,2245,2250,74720
300,2001-03-30,2260,2295,2235,2295,99420
301,2001-04-02,2285,2345,2250,2250,54050
302,2001-04-03,2220,2250,2080,2120,110260
303,2001-04-04,2090,2090,2020,2040,34350
304,2001-04-06,2070,2095,2040,2040,69710
305,2001-04-09,1955,2035,1955,2000,38450
306,2001-04-10,2020,2020,1980,1980,17740
307,2001-04-11,2030,2030,1990,2005,56920
308,2001-04-12,1990,2030,1990,2000,56530
309,2001-04-13,2020,2120,2005,2100,133420
310,2001-04-16,2125,2125,2060,2070,54770
311,2001-04-17,2095,2135,2075,2105,94710
312,2001-04-18,2150,2210,2100,2210,147960
313,2001-04-19,2320,2350,2250,2330,146850
314,2001-04-20,2290,2360,2275,2310,72280
315,2001-04-23,2235,2340,2235,2280,36490
316,2001-04-24,2280,2300,2225,2225,57830
317,2001-04-25,2240,2265,2205,2240,36670
318,2001-04-26,2250,2285,2225,2235,40070
319,2001-04-27,2230,2240,2200,2200,44610
320,2001-04-30,2200,2235,2200,2225,31330
321,2001-05-02,2225,2270,2225,2260,62450
322,2001-05-03,2275,2285,2225,2245,36510
323,2001-05-04,2250,2270,2235,2250,58050
324,2001-05-07,2250,2290,2240,2270,60720
325,2001-05-08,2280,2280,2245,2250,53270
326,2001-05-09,2250,2265,2220,2220,60310
327,2001-05-10,2200,2230,2200,2200,30750
328,2001-05-11,2210,2235,2185,2200,65650
329,2001-05-14,2210,2240,2195,2220,65930
330,2001-05-15,2230,2240,2205,2235,42250
331,2001-05-16,2240,2265,2205,2205,66610
332,2001-05-17,2255,2275,2235,2270,77800
333,2001-05-18,2300,2450,2280,2365,300290
334,2001-05-21,2400,2580,2375,2540,316030
335,2001-05-22,2550,2620,2455,2470,220750
336,2001-05-23,2410,2540,2410,2540,208350
337,2001-05-24,2530,2805,2520,2730,585060
338,2001-05-25,2725,2825,2650,2665,261650
339,2001-05-28,2665,2750,2610,2625,96690
340,2001-05-29,2600,2630,2590,2595,154390
341,2001-05-30,2600,2630,2540,2550,139960
342,2001-05-31,2485,2600,2465,2600,136200
343,2001-06-01,2700,2700,2540,2570,128500
344,2001-06-04,2570,2570,2520,2540,88210
345,2001-06-05,2540,2600,2530,2530,89070
346,2001-06-07,2480,2530,2470,2485,75170
347,2001-06-08,2500,2550,2500,2540,90020
348,2001-06-11,2535,2700,2475,2585,237590
349,2001-06-12,2620,2620,2540,2545,91850
350,2001-06-13,2540,2585,2530,2570,87400
351,2001-06-14,2570,2680,2550,2640,276610
352,2001-06-15,2670,2790,2605,2780,302610
353,2001-06-18,2840,2900,2770,2800,332290
354,2001-06-19,2780,2805,2705,2710,231410
355,2001-06-20,2670,2670,2525,2550,185460
356,2001-06-21,2555,2590,2510,2535,103010
357,2001-06-22,2540,2600,2535,2570,84690
358,2001-06-25,2565,2565,2485,2510,102320
359,2001-06-26,2520,2520,2425,2455,82070
360,2001-06-27,2450,2495,2400,2435,61590
361,2001-06-28,2435,2455,2425,2440,45780
362,2001-06-29,2490,2490,2440,2440,55920
363,2001-07-02,2420,2445,2420,2430,38810
364,2001-07-03,2430,2480,2415,2450,85390
365,2001-07-04,2450,2470,2420,2470,94670
366,2001-07-05,2480,2510,2450,2460,77570
367,2001-07-06,2530,2635,2490,2580,425460
368,2001-07-09,2570,2830,2550,2830,911360
369,2001-07-10,2900,3180,2850,2930,1507270
370,2001-07-11,2850,2850,2525,2530,468960
371,2001-07-12,2600,2650,2510,2550,361920
372,2001-07-13,2550,2630,2435,2460,259050
373,2001-07-16,2460,2490,2350,2390,229310
374,2001-07-18,2400,2430,2345,2370,184220
375,2001-07-19,2400,2450,2350,2400,82130
376,2001-07-20,2440,2440,2365,2375,94110
377,2001-07-23,2380,2410,2300,2320,115630
