,날짜,시가,고가,저가,종가,거래량
0,2005-02-17,56135,56433,50312,50761,2565651
1,2005-02-18,49715,49864,47774,48223,976097
2,2005-02-21,48521,49267,47476,47924,624451
3,2005-02-22,47774,48819,46580,46879,619290
4,2005-02-23,47028,47028,45535,46282,389031
5,2005-02-24,46281,46729,45983,46132,490172
6,2005-02-25,46878,46878,45684,45834,428387
7,2005-02-28,46281,46580,45385,45685,477123
8,2005-03-02,45833,47028,45833,46730,684930
9,2005-03-03,46430,46878,45684,45685,375323
10,2005-03-04,45684,47774,44938,47775,1396575
11,2005-03-07,48371,48670,47476,47775,587586
12,2005-03-08,47177,47476,45833,46282,359991
13,2005-03-09,45535,47177,45385,47177,221712
14,2005-03-10,46580,50163,46580,49417,930260
15,2005-03-11,49864,50611,48670,50014,624110
16,2005-03-14,50163,50461,49118,50014,321156
17,2005-03-15,50014,50163,47923,49118,297929
18,2005-03-16,48371,48670,47028,47775,170933
19,2005-03-17,46878,47476,45833,45834,448480
20,2005-03-18,45833,46580,45535,45535,183190
21,2005-03-21,45535,45983,45385,45834,257210
22,2005-03-22,45833,46580,45684,46431,248092
23,2005-03-23,45983,46281,45087,45386,364464
24,2005-03-24,45684,45684,43445,44042,365692
25,2005-03-25,44639,44938,43892,44938,229079
26,2005-03-28,44938,46430,44938,45237,345117
27,2005-03-29,45385,45385,44042,44789,197212
28,2005-03-30,44191,44191,43146,43594,452395
29,2005-03-31,44191,44490,43743,44192,257653
30,2005-04-01,43594,45087,43594,45087,276962
31,2005-04-04,44938,45385,43743,44042,371402
32,2005-04-06,44340,45385,44191,44789,371486
33,2005-04-07,44639,44788,43743,43744,498261
34,2005-04-08,44042,44191,43594,44042,260929
35,2005-04-11,44042,44042,43445,43445,207304
36,2005-04-12,43295,44639,43295,44042,544552
37,2005-04-13,44191,44191,43445,43594,320373
38,2005-04-14,43743,44340,43445,43594,488014
39,2005-04-15,43445,43594,42698,42848,382054
40,2005-04-18,41802,42250,40160,40459,377455
41,2005-04-19,40608,41952,40608,41952,382555
42,2005-04-20,41802,42250,41205,41952,250249
43,2005-04-21,41205,42698,40907,42699,148232
44,2005-04-22,43295,43445,42698,43146,197431
45,2005-04-25,42400,43146,42250,42251,254609
46,2005-04-26,42400,42847,42101,42251,175127
47,2005-04-27,41653,42250,41354,41654,143391
48,2005-04-28,41802,42250,41205,41206,185381
49,2005-04-29,40757,41504,40309,40758,228698
50,2005-05-02,40907,41205,40309,40758,181869
51,2005-05-03,40757,40907,40459,40459,87341
52,2005-05-04,40907,41056,40608,40907,177075
53,2005-05-06,41205,41802,40907,41504,137320
54,2005-05-09,41802,41802,40907,41504,109968
55,2005-05-10,41653,42549,41653,42400,203409
56,2005-05-11,41802,42101,41504,41654,55275
57,2005-05-12,41802,42101,40907,41206,66270
58,2005-05-13,40907,41056,40459,40608,138734
59,2005-05-16,40907,40907,39861,40161,274296
60,2005-05-17,40459,40608,39115,39563,275784
61,2005-05-18,39414,39563,37921,38070,474587
62,2005-05-19,38816,39414,38369,39414,321777
63,2005-05-20,39712,40757,39563,40758,320060
64,2005-05-23,40608,40757,40011,40310,277566
65,2005-05-24,40608,40907,39861,40161,303834
66,2005-05-25,40160,41056,40160,40310,210972
67,2005-05-26,40459,41802,40309,41504,255170
68,2005-05-27,41802,42250,41205,42251,171226
69,2005-05-30,42250,42250,41653,41803,129367
70,2005-05-31,41802,41802,41056,41654,129687
71,2005-06-01,41653,42101,41205,41952,142901
72,2005-06-02,42400,42549,41802,42549,168779
73,2005-06-03,42400,42400,41952,42101,79280
74,2005-06-07,41653,42250,41504,42251,157891
75,2005-06-08,42400,42400,41653,41803,162532
76,2005-06-09,41802,41802,41056,41803,195282
77,2005-06-10,41802,42400,41504,41504,147537
78,2005-06-13,41952,42549,41802,42400,204539
79,2005-06-14,42549,43743,42549,43146,460627
80,2005-06-15,43295,43892,43146,43893,270241
81,2005-06-16,44340,44490,43295,44490,230543
82,2005-06-17,44490,44490,43743,43744,66103
83,2005-06-20,43743,43743,42400,42699,167292
84,2005-06-21,42250,43295,42250,42997,199192
85,2005-06-22,42698,44490,42698,44490,201644
86,2005-06-23,44490,44788,44042,44789,235789
87,2005-06-24,44191,44788,43892,44341,184931
88,2005-06-27,44340,44490,42847,43744,218157
89,2005-06-28,43743,44042,43295,44042,130596
90,2005-06-29,44490,44938,44042,44938,247172
91,2005-06-30,44788,45236,44490,44789,184197
92,2005-07-01,44788,47625,44788,47028,924587
93,2005-07-04,47177,47625,46132,46879,431756
94,2005-07-05,46878,47326,46430,46879,258315
95,2005-07-06,47326,47476,45983,46282,171125
96,2005-07-07,46281,47774,45385,47476,400810
97,2005-07-08,47326,47774,46580,47028,147201
98,2005-07-11,47476,48222,47476,47625,352241
99,2005-07-12,48371,48371,46878,47625,263205
100,2005-07-13,47326,47625,46878,47028,157131
101,2005-07-14,46729,47625,46132,47177,369027
102,2005-07-15,47177,47476,46281,46580,186205
103,2005-07-18,46430,47177,46281,46282,143432
104,2005-07-19,46281,47774,46132,47775,224186
105,2005-07-20,48073,49267,47476,47625,498895
106,2005-07-21,48670,48670,47326,47775,181945
107,2005-07-22,47177,48670,46281,47775,303651
108,2005-07-25,47774,48521,47326,48521,341820
109,2005-07-26,48670,49267,48222,48521,359727
110,2005-07-27,48521,48969,48371,48521,154468
111,2005-07-28,49118,49118,47625,47775,258371
112,2005-07-29,47774,48371,46281,46580,351168
113,2005-08-01,46580,47028,46281,46879,289731
114,2005-08-02,46878,48222,46430,48073,349309
115,2005-08-03,48371,48969,47177,47775,206867
116,2005-08-04,47774,48073,46729,46879,171561
117,2005-08-05,46430,46580,44938,45386,200628
118,2005-08-08,44938,45385,44788,45237,101046
119,2005-08-09,45385,46430,45236,46282,124776
120,2005-08-10,46132,46729,45684,45983,389281
121,2005-08-11,46132,46281,45684,46282,275194
122,2005-08-12,46430,48073,45983,47775,385918
123,2005-08-16,47774,48222,47326,48073,373730
124,2005-08-17,47774,48521,46878,47327,276750
125,2005-08-18,47625,47923,46430,46431,107071
126,2005-08-19,46430,47326,45535,47327,192580
127,2005-08-22,48222,49267,47625,48969,620130
128,2005-08-23,49267,50312,48521,48521,925092
129,2005-08-24,48521,48670,46430,48223,787508
130,2005-08-25,47923,49416,47774,49268,554660
131,2005-08-26,49566,51357,49416,50163,1200618
132,2005-08-29,49566,50014,48073,50014,415050
133,2005-08-30,50312,50909,48521,49566,268130
134,2005-08-31,48371,49566,47923,48073,325129
135,2005-09-01,48222,48819,46580,47028,1114713
136,2005-09-02,47028,47625,46430,47327,608628
137,2005-09-05,47326,47625,46729,47028,299685
138,2005-09-06,46878,47774,46878,47775,361848
139,2005-09-07,48073,48371,47177,47476,382109
140,2005-09-08,47923,48073,47177,47327,320552
141,2005-09-09,47476,49864,47028,49865,868305
142,2005-09-12,49715,52552,49267,51358,12131458
143,2005-09-13,52253,52701,50461,51507,1098150
144,2005-09-14,51357,51954,50760,51955,641901
145,2005-09-15,51954,53149,51954,53000,1091007
146,2005-09-16,53000,55239,53000,54194,1193390
147,2005-09-20,55239,58971,54791,58673,1774950
148,2005-09-21,57777,58374,56284,57628,691553
149,2005-09-22,57180,57180,55388,56583,601351
150,2005-09-23,55687,56433,54343,54642,600107
151,2005-09-26,54791,56433,54791,56434,545413
152,2005-09-27,56135,56583,54940,55538,303741
153,2005-09-28,55090,55687,54194,55239,741360
154,2005-09-29,55239,55538,54343,54493,401495
155,2005-09-30,54791,56433,54045,54194,663842
156,2005-10-04,54343,55836,54343,55837,535677
157,2005-10-05,55687,55687,53447,53597,659576
158,2005-10-06,52850,53000,51357,52701,593072
159,2005-10-07,52253,54492,52104,54344,556690
160,2005-10-10,54492,55538,54194,55538,325267
161,2005-10-11,54642,56284,54642,56285,382065
162,2005-10-12,56135,56284,54492,55239,349214
163,2005-10-13,54343,55090,53000,53597,392055
164,2005-10-14,53298,54194,51954,52403,244598
165,2005-10-17,52104,53000,50909,51955,243452
166,2005-10-18,52552,52552,50312,51358,558852
167,2005-10-19,51805,51805,50312,50761,215715
168,2005-10-20,51954,53447,51357,53448,397362
169,2005-10-21,51954,53746,51954,53597,206205
170,2005-10-24,53597,53597,50760,51507,524901
171,2005-10-25,51357,51507,49566,50462,846112
172,2005-10-26,49864,50312,48969,48969,557698
173,2005-10-27,48969,49566,48222,48372,443999
174,2005-10-28,47476,48073,45684,46431,921690
175,2005-10-31,46729,46878,45385,46132,1079894
176,2005-11-01,46580,47625,46430,47476,707937
177,2005-11-02,47625,48371,47028,48223,600452
178,2005-11-03,48371,48521,47476,48372,728205
179,2005-11-04,48670,49267,48222,48670,566833
180,2005-11-07,48969,49118,47774,48521,334653
181,2005-11-08,48073,48670,47028,47177,624879
182,2005-11-09,46729,46878,45983,46730,609258
183,2005-11-10,46580,46729,45385,45834,694529
184,2005-11-11,46281,46878,46132,46879,835783
185,2005-11-14,47177,47177,46430,46431,595730
186,2005-11-15,46729,47326,45833,46580,1142485
187,2005-11-16,46878,48222,46580,48223,1025367
188,2005-11-17,48521,49118,47923,49118,711341
189,2005-11-18,49416,49416,47625,48670,763379
190,2005-11-21,48969,48969,46580,46879,824733
191,2005-11-22,47177,47625,46729,47177,354075
192,2005-11-23,47476,47625,46281,47028,604940
193,2005-11-24,47177,47177,45087,45237,1024587
194,2005-11-25,45684,48073,45385,48073,846080
195,2005-11-28,48222,48222,46729,47028,345512
196,2005-11-29,46430,47476,46132,47177,380852
197,2005-11-30,46729,47476,46430,46730,347644
198,2005-12-01,46878,47177,46281,46431,521661
199,2005-12-02,47028,47028,46430,46730,469871
200,2005-12-05,46878,47177,46430,47028,518591
201,2005-12-06,47326,48670,46878,48372,600606
202,2005-12-07,48670,48670,46729,47327,470721
203,2005-12-08,47326,48073,47028,47775,381813
204,2005-12-09,47923,48371,47625,48372,434526
205,2005-12-12,48670,50163,48670,49268,832287
206,2005-12-13,49416,50461,48521,50462,584992
207,2005-12-14,50611,50760,49416,49715,369639
208,2005-12-15,49864,50461,49118,50462,1372376
209,2005-12-16,50014,50611,49267,50163,400583
210,2005-12-19,49864,51656,49416,51358,565332
211,2005-12-20,51507,52104,50909,51208,449303
212,2005-12-21,51357,51507,49118,49417,635291
213,2005-12-22,49416,49715,46132,46580,877527
214,2005-12-23,46729,47476,45833,47327,349788
215,2005-12-26,47028,47923,46878,47177,417759
216,2005-12-27,46878,47625,46878,47476,312845
217,2005-12-28,46580,46580,45983,46132,300652
218,2005-12-29,46281,47476,46281,47327,340130
219,2006-01-02,47923,48819,47326,48670,414723
220,2006-01-03,48969,48969,47177,47476,229750
221,2006-01-04,47625,47774,46430,46580,547150
222,2006-01-05,46878,47177,46430,46879,473109
223,2006-01-06,47177,51208,46729,49118,2219296
224,2006-01-09,50312,51954,49566,51806,1671936
225,2006-01-10,52104,52104,50163,50761,567742
226,2006-01-11,51656,51656,48819,49865,448285
227,2006-01-12,49864,50611,49267,50462,337211
228,2006-01-13,50461,50461,49267,49417,309525
229,2006-01-16,49864,51208,49566,51059,502774
