,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,7100,7350,7000,7350,663610
1,2000-01-05,7100,7100,6950,6950,715550
2,2000-01-06,7030,7210,6650,6650,395340
3,2000-01-07,6700,6850,6500,6500,731560
4,2000-01-10,6560,6810,6530,6800,1122980
5,2000-01-11,6850,7400,6850,7400,1175560
6,2000-01-12,7400,8100,7000,7200,1675530
7,2000-01-13,7380,7380,6900,6900,732850
8,2000-01-14,6900,7200,6700,7200,880120
9,2000-01-17,8120,8120,7200,7200,1717520
10,2000-01-18,7880,7880,7500,7800,2673380
11,2000-01-19,7600,7600,7190,7190,677540
12,2000-01-20,6940,6940,6550,6760,653780
13,2000-01-21,6600,7050,6600,7000,486810
14,2000-01-24,6700,6860,6700,6800,1062230
15,2000-01-25,6800,6800,6650,6650,377730
16,2000-01-26,6800,6800,6550,6600,340790
17,2000-01-27,6800,7000,6800,7000,473890
18,2000-01-28,6610,6900,6600,6800,649930
19,2000-01-31,6690,6740,6600,6720,447610
20,2000-02-01,6720,6780,6690,6690,425110
21,2000-02-02,6690,6820,6620,6820,717490
22,2000-02-03,6850,6850,6700,6800,693620
23,2000-02-07,7000,7000,6820,6870,802470
24,2000-02-08,6820,6850,6740,6850,1072460
25,2000-02-09,6860,6860,6600,6600,1079710
26,2000-02-10,6550,6620,6420,6620,688450
27,2000-02-11,6500,6500,6200,6200,986370
28,2000-02-14,5970,5970,5650,5710,1199930
29,2000-02-15,6560,6560,5720,6020,3377890
30,2000-02-16,6100,6550,6100,6280,1245110
31,2000-02-17,7210,7220,6550,7220,3332310
32,2000-02-18,7210,7210,6400,6500,2178810
33,2000-02-21,5720,5990,5530,5530,1500670
34,2000-02-22,5130,5800,4860,5130,2263360
35,2000-02-23,5150,5790,5130,5570,1616570
36,2000-02-24,5440,5450,5120,5210,992180
37,2000-02-25,5050,5380,4920,5100,1260020
38,2000-02-28,4700,4900,4360,4450,1971250
39,2000-02-29,4510,4700,4400,4470,1513500
40,2000-03-02,4470,4650,4240,4470,2434720
41,2000-03-03,4510,4585,4200,4225,2283460
42,2000-03-06,4225,4855,4120,4855,3400290
43,2000-03-07,5490,5580,5100,5430,3912750
44,2000-03-08,5000,5500,4770,5320,1829490
45,2000-03-09,5400,5500,5130,5250,2036230
46,2000-03-10,5200,5380,5030,5110,1599030
47,2000-03-13,5600,5600,5350,5380,3048970
48,2000-03-14,5400,5540,5230,5410,1539160
49,2000-03-15,5210,5320,5110,5170,1064900
50,2000-03-16,5250,5330,5160,5200,1085560
51,2000-03-17,5250,5360,5200,5240,919190
52,2000-03-20,5190,5240,5050,5240,758120
53,2000-03-21,5140,5200,5070,5100,933320
54,2000-03-22,5110,5340,5110,5290,1388860
55,2000-03-23,5290,5490,5190,5430,1314260
56,2000-03-24,5380,5430,5270,5430,977870
57,2000-03-27,5200,5310,5180,5290,854580
58,2000-03-28,5200,5370,5150,5260,1107800
59,2000-03-29,5220,5290,5150,5200,949500
60,2000-03-30,5150,5150,4905,5000,1909210
61,2000-03-31,5100,5140,4800,5000,743900
62,2000-04-03,5000,5180,4950,5000,799130
63,2000-04-04,5000,5140,4980,5000,1000930
64,2000-04-06,4980,5050,4950,5000,649500
65,2000-04-07,4950,4950,4810,4880,441030
66,2000-04-10,4800,5070,4660,4950,1300350
67,2000-04-11,4990,4990,4810,4945,621910
68,2000-04-12,4900,5120,4850,5040,719090
69,2000-04-14,4910,5200,4905,5010,475970
70,2000-04-17,4710,5000,4600,4900,1383050
71,2000-04-18,5040,5150,5010,5090,882210
72,2000-04-19,5150,5780,5100,5200,1402960
73,2000-04-20,5300,5400,5050,5380,915280
74,2000-04-21,5400,5780,5350,5600,1251390
75,2000-04-24,5600,5600,5390,5390,568320
76,2000-04-25,5300,5540,5130,5460,694380
77,2000-04-26,5350,5530,4655,5300,1632280
78,2000-04-27,5020,5100,4820,4900,554170
79,2000-04-28,4920,5200,4920,5040,445100
80,2000-05-02,4975,5600,4900,5580,1164100
81,2000-05-03,5500,6080,5350,6000,2183690
82,2000-05-04,6150,6490,5950,6200,2162410
83,2000-05-08,6300,6400,6100,6150,2154380
84,2000-05-09,6000,6100,5700,6100,814930
85,2000-05-10,5820,6300,5820,6190,2917130
86,2000-05-12,5750,6090,5750,6000,715560
87,2000-05-15,5950,5990,5740,5740,327200
88,2000-05-16,5650,5800,5400,5620,305900
89,2000-05-17,5450,6250,5450,5650,1070880
90,2000-05-18,5890,6000,5400,5980,471420
91,2000-05-19,5740,6190,5660,6000,3041730
92,2000-05-22,5910,5910,5500,5500,297170
93,2000-05-23,5300,5450,5010,5100,559930
94,2000-05-24,5000,5250,4820,5200,334110
95,2000-05-25,5450,5810,5300,5800,923270
96,2000-05-26,6100,6100,5450,5600,809410
97,2000-05-29,5100,5800,5000,5800,899160
98,2000-05-30,5800,6450,5800,6400,2913100
99,2000-05-31,6500,6980,6180,6180,7385500
100,2000-06-01,5980,6110,5600,5820,1531640
101,2000-06-02,5900,6360,5850,6000,2363930
102,2000-06-05,6100,6280,6010,6080,1461360
103,2000-06-07,6040,6060,5870,6050,937500
104,2000-06-08,5950,6090,5870,6050,866940
105,2000-06-09,5850,6350,5850,5900,1805540
106,2000-06-12,5900,6650,5850,6150,1926380
107,2000-06-13,6090,6200,5920,6000,655050
108,2000-06-14,5870,6130,5870,6100,597660
109,2000-06-15,6000,6040,5760,5900,624270
110,2000-06-16,5700,5990,5700,5900,683000
111,2000-06-19,5760,6030,5700,5700,350860
112,2000-06-20,5950,6000,5750,6000,602230
113,2000-06-21,5900,6560,5810,6240,3618340
114,2000-06-22,6150,6470,5900,6000,501170
115,2000-06-23,6000,6140,5970,6030,255680
116,2000-06-26,6200,6380,6060,6350,793480
117,2000-06-27,6450,6480,6250,6350,463590
118,2000-06-28,6250,6450,6200,6300,436960
119,2000-06-29,6200,6350,6010,6250,864020
120,2000-06-30,6100,6450,6100,6400,573850
121,2000-07-03,6250,6450,6230,6410,561580
122,2000-07-04,6410,6450,6350,6410,361650
123,2000-07-05,6410,6650,6400,6590,919210
124,2000-07-06,6550,6890,6510,6860,1143090
125,2000-07-07,7000,7100,6900,7050,1159210
126,2000-07-10,7000,7300,6900,7050,719590
127,2000-07-11,7050,7080,6900,6960,446110
128,2000-07-12,6900,7080,6750,7060,373080
129,2000-07-13,7050,7100,6910,7060,485330
130,2000-07-14,7150,7240,6910,7100,399900
131,2000-07-18,7100,7160,7020,7100,340400
132,2000-07-19,7000,7160,6910,7100,497390
133,2000-07-20,7010,7250,7010,7090,555950
134,2000-07-21,7180,7200,6830,7100,304920
135,2000-07-24,6910,7090,6810,6810,267190
136,2000-07-25,6700,6990,6690,6940,536440
137,2000-07-26,6850,7000,6410,6940,586770
138,2000-07-27,6900,7200,6790,7120,435420
139,2000-07-28,7010,7300,7000,7150,600690
140,2000-07-31,7150,7440,7120,7200,783360
141,2000-08-01,7250,7380,7000,7180,688130
142,2000-08-02,7180,7220,7100,7170,437450
143,2000-08-03,7010,7200,7010,7160,482880
144,2000-08-04,7100,7120,6810,6990,317350
145,2000-08-07,6810,6910,6660,6890,241580
146,2000-08-08,6720,7090,6720,7070,359920
147,2000-08-09,7150,7560,7140,7450,982030
148,2000-08-10,7500,7500,7000,7500,909180
149,2000-08-11,7110,7350,7080,7120,558360
150,2000-08-14,7440,7490,7280,7400,603580
151,2000-08-16,7200,7500,7200,7350,293550
152,2000-08-17,7300,7650,7110,7290,620910
153,2000-08-18,7340,7390,7070,7070,293940
154,2000-08-21,7000,7080,6900,6910,211680
155,2000-08-22,6990,7200,6910,7170,307000
156,2000-08-23,7290,7290,6900,6930,377920
157,2000-08-24,6860,7090,6770,6900,362930
158,2000-08-25,7000,7000,6800,6910,314600
159,2000-08-28,6850,7130,6850,6920,397730
160,2000-08-29,7120,7190,6930,7000,397630
161,2000-08-30,7000,7000,6900,6900,206900
162,2000-08-31,6810,6880,6480,6750,676380
163,2000-09-01,6600,6980,6600,6800,264530
164,2000-09-04,7000,7000,6600,6600,276330
165,2000-09-05,6610,6830,6600,6660,394710
166,2000-09-06,6650,6850,6600,6600,320670
167,2000-09-07,6500,6500,5630,5950,1015530
168,2000-09-08,5720,6120,5720,6050,522560
169,2000-09-14,6050,6050,5760,5810,1309510
170,2000-09-15,5780,6410,5710,6380,1026490
171,2000-09-18,6300,6990,6200,6800,1147400
172,2000-09-19,6250,7020,6250,6800,951140
173,2000-09-20,7470,7820,6700,7450,4410030
174,2000-09-21,7790,7790,6700,6700,2071350
175,2000-09-22,6510,6520,5820,5970,1017540
176,2000-09-25,5700,6150,5700,6020,623930
177,2000-09-26,5810,6120,5810,5880,538480
178,2000-09-27,5810,6050,5810,5900,418120
179,2000-09-28,5910,6000,5810,5920,418050
180,2000-09-29,6000,6100,5820,6100,415650
181,2000-10-02,5950,6000,5850,5860,203990
182,2000-10-04,5820,6120,5800,6100,368570
183,2000-10-05,6100,6200,5960,5990,371190
184,2000-10-06,5920,6100,5900,6080,280050
185,2000-10-09,6010,6010,5840,5840,333880
186,2000-10-10,5810,5940,5780,5900,159190
187,2000-10-11,5900,5900,5740,5870,261570
188,2000-10-12,5750,6100,5420,5420,691900
189,2000-10-13,5350,5910,5050,5900,881420
190,2000-10-16,6190,6200,5810,5910,484790
191,2000-10-17,5820,6010,5800,5800,310450
192,2000-10-18,5800,5950,5610,5840,450440
193,2000-10-19,5720,5930,5520,5670,365870
194,2000-10-20,5710,6010,5710,5900,581850
195,2000-10-23,5800,5920,5730,5850,347970
196,2000-10-24,5760,6100,5750,6000,325310
197,2000-10-25,6100,6100,5770,5800,359270
198,2000-10-26,5850,5860,5710,5840,191110
199,2000-10-27,5810,6390,5720,5720,853130
200,2000-10-30,5910,6070,5820,5900,376110
201,2000-10-31,5820,6100,5670,6100,551730
