,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,620,640,620,640,5320
1,2000-01-05,641,710,641,680,9120
2,2000-01-06,700,700,631,631,2840
3,2000-01-07,611,650,601,650,8100
4,2000-01-10,680,680,659,680,10050
5,2000-01-11,715,782,715,782,51880
6,2000-01-12,800,800,700,749,37130
7,2000-01-13,861,861,780,780,98920
8,2000-01-14,750,750,700,730,33420
9,2000-01-17,700,721,700,704,20310
10,2000-01-18,700,700,668,672,17490
11,2000-01-19,740,740,670,685,12610
12,2000-01-20,651,660,640,660,14040
13,2000-01-21,658,670,561,670,17330
14,2000-01-24,630,680,630,680,10860
15,2000-01-25,650,660,630,641,8990
16,2000-01-26,622,640,620,621,12780
17,2000-01-27,622,677,622,640,9430
18,2000-01-28,636,653,631,653,11150
19,2000-01-31,668,689,663,680,8930
20,2000-02-01,680,718,680,710,10450
21,2000-02-02,680,720,680,720,8600
22,2000-02-03,725,790,725,730,19130
23,2000-02-07,735,780,735,743,20280
24,2000-02-08,755,810,755,810,35760
25,2000-02-09,810,810,740,741,14490
26,2000-02-10,780,780,701,735,13820
27,2000-02-11,715,760,715,750,20740
28,2000-02-14,735,745,730,730,15380
29,2000-02-15,711,750,711,730,8840
30,2000-02-16,715,760,715,760,20050
31,2000-02-17,760,780,735,780,11230
32,2000-02-18,897,897,700,700,301770
33,2000-02-21,650,680,595,624,60120
34,2000-02-22,669,669,531,540,56950
35,2000-02-23,540,600,520,550,24460
36,2000-02-24,570,600,522,540,33080
37,2000-02-25,620,621,580,610,71840
38,2000-02-28,610,610,560,580,26490
39,2000-02-29,590,610,561,580,30260
40,2000-03-02,600,600,550,580,45300
41,2000-03-03,560,586,560,570,32440
42,2000-03-06,570,640,540,590,51810
43,2000-03-07,610,610,575,575,19480
44,2000-03-08,585,598,562,580,17540
45,2000-03-09,589,589,570,580,26370
46,2000-03-10,580,580,560,580,26860
47,2000-03-13,600,665,585,640,108060
48,2000-03-14,664,664,590,592,42170
49,2000-03-15,610,610,570,575,21770
50,2000-03-16,595,595,570,588,28330
51,2000-03-17,587,610,571,590,23940
52,2000-03-20,600,600,560,578,25560
53,2000-03-21,575,579,556,567,15580
54,2000-03-22,558,570,548,559,16570
55,2000-03-23,571,590,559,576,38120
56,2000-03-24,560,589,560,579,37710
57,2000-03-27,589,589,562,573,29630
58,2000-03-28,579,580,560,572,25910
59,2000-03-29,563,569,550,555,28650
60,2000-03-30,555,555,520,522,28610
61,2000-03-31,488,550,488,530,19920
62,2000-04-03,509,550,505,505,23540
63,2000-04-04,520,520,485,500,19670
64,2000-04-06,510,545,490,535,26370
65,2000-04-07,510,533,503,511,24120
66,2000-04-10,505,570,501,547,41570
67,2000-04-11,520,520,500,501,9750
68,2000-04-12,515,515,490,490,12940
69,2000-04-14,458,495,456,472,10050
70,2000-04-17,460,460,402,410,32680
71,2000-04-18,431,455,430,450,27690
72,2000-04-19,450,480,430,470,29500
73,2000-04-20,470,479,460,470,9300
74,2000-04-21,471,488,471,475,10460
75,2000-04-24,485,525,485,500,36000
76,2000-04-25,500,525,500,508,17980
77,2000-04-26,515,515,481,500,8310
78,2000-04-27,490,499,461,490,15280
79,2000-04-28,500,505,470,484,18190
80,2000-05-02,460,496,460,484,16010
81,2000-05-03,471,480,460,461,13690
82,2000-05-04,425,486,425,464,12020
83,2000-05-08,474,485,461,463,10660
84,2000-05-09,465,469,446,452,9040
85,2000-05-10,460,460,441,455,6290
86,2000-05-12,445,467,436,445,8660
87,2000-05-15,455,455,412,420,9060
88,2000-05-16,445,445,401,412,12220
89,2000-05-17,410,429,351,350,13030
90,2000-05-18,360,360,321,340,15800
91,2000-05-19,341,350,300,347,8810
92,2000-05-22,330,345,304,306,14370
93,2000-05-23,320,320,275,300,6010
94,2000-05-24,290,310,280,310,7340
95,2000-05-25,318,357,311,336,29000
96,2000-05-26,360,360,330,339,28040
97,2000-05-29,301,345,301,326,5120
98,2000-05-30,327,349,305,332,10270
99,2000-05-31,327,380,327,372,14450
100,2000-06-01,346,370,344,345,6850
101,2000-06-02,340,370,340,363,12620
102,2000-06-05,365,400,364,400,32510
103,2000-06-07,390,410,381,390,15520
104,2000-06-08,390,395,360,360,13960
105,2000-06-09,366,378,350,355,17540
106,2000-06-12,380,380,346,355,16280
107,2000-06-13,365,365,340,340,16000
108,2000-06-14,340,350,330,337,5920
109,2000-06-15,360,360,321,321,11900
110,2000-06-16,310,328,310,326,7380
111,2000-06-19,316,375,316,370,75060
112,2000-06-20,372,425,355,391,155050
