,날짜,시가,고가,저가,종가,거래량
0,2017-05-12,165000,171500,157000,162000,6368916
1,2017-05-15,159000,165500,158000,160000,1504154
2,2017-05-16,161500,162500,156000,156000,1146762
3,2017-05-17,153000,154500,142000,144000,2006418
4,2017-05-18,144000,149500,142000,148000,1587826
5,2017-05-19,147500,149500,143500,143500,680357
6,2017-05-22,143000,143500,138000,140000,1133489
7,2017-05-23,141000,144000,139000,143500,634619
8,2017-05-24,145000,146000,143500,145000,473540
9,2017-05-25,145500,146000,141000,144000,492961
10,2017-05-26,143500,143500,139500,142000,791714
11,2017-05-29,142000,147000,140500,147000,675099
12,2017-05-30,147000,149500,146500,149500,576607
13,2017-05-31,150000,152000,148500,152000,1989706
14,2017-06-01,152000,155000,150000,151500,405486
15,2017-06-02,152500,160000,152500,158500,1005171
16,2017-06-05,159000,161000,158000,161000,578458
17,2017-06-07,160000,161000,155000,160500,639485
18,2017-06-08,161000,161000,152500,153500,1255870
19,2017-06-09,153000,153000,147000,149000,822530
20,2017-06-12,143000,146000,141000,141500,1361725
21,2017-06-13,142000,145500,141500,145500,518659
22,2017-06-14,146000,146500,143000,143000,284894
23,2017-06-15,144000,149000,143500,147500,515357
24,2017-06-16,149500,154000,149000,152000,665089
25,2017-06-19,151500,152000,146500,150500,420046
26,2017-06-20,149500,153500,147000,153500,439121
27,2017-06-21,154000,155000,150000,153000,320623
28,2017-06-22,152000,154500,151000,151500,274429
29,2017-06-23,153000,155000,152500,153500,262224
30,2017-06-26,154000,155500,151500,152500,256090
31,2017-06-27,152000,153500,148000,150000,246479
32,2017-06-28,150500,152500,149000,149000,177019
33,2017-06-29,149500,155000,149500,155000,305111
34,2017-06-30,154000,156500,153500,155000,208103
35,2017-07-03,155000,156000,152000,152500,177684
36,2017-07-04,153000,154000,151500,152500,125481
37,2017-07-05,152500,152500,149000,149500,173393
38,2017-07-06,149500,151000,147500,148000,165756
39,2017-07-07,149500,156000,149000,155000,452333
40,2017-07-10,154500,154500,150500,151000,151964
41,2017-07-11,151000,152000,148500,148500,190487
42,2017-07-12,149000,150500,144500,145000,340497
43,2017-07-13,146500,147000,144500,145000,209308
44,2017-07-14,146000,147000,144500,145500,148846
45,2017-07-17,145500,146500,144500,145500,102387
46,2017-07-18,146000,146500,144500,145000,115522
47,2017-07-19,145000,145000,142500,145000,158087
48,2017-07-20,146000,149000,145000,148500,190152
49,2017-07-21,149000,149500,146500,148000,120518
50,2017-07-24,149500,149500,148000,149000,86607
51,2017-07-25,149500,149500,146000,146500,133767
52,2017-07-26,147500,147500,144500,146000,121396
53,2017-07-27,146500,146500,145000,146000,67004
54,2017-07-28,146000,146500,144500,144500,115409
55,2017-07-31,144000,145500,142500,143000,126376
56,2017-08-01,143500,144000,141500,141500,165735
57,2017-08-02,142500,143000,141500,141500,104535
58,2017-08-03,141500,141500,135500,136500,314969
59,2017-08-04,136000,137500,129500,130500,505939
60,2017-08-07,128500,135500,128500,134500,334626
61,2017-08-08,135500,136000,133500,135500,108453
62,2017-08-09,134500,137000,134000,134500,136255
63,2017-08-10,134000,134500,129500,130500,284470
64,2017-08-11,128500,131000,126500,127500,241741
65,2017-08-14,127000,131500,123500,131000,484611
66,2017-08-16,131000,136500,129500,136500,335214
67,2017-08-17,135500,137000,134000,135500,122988
68,2017-08-18,134000,138500,132000,138500,181977
69,2017-08-21,139000,143000,137500,142500,299616
70,2017-08-22,143000,145000,142000,144500,326501
71,2017-08-23,145000,145500,141500,143500,220314
72,2017-08-24,154500,157000,151500,155500,1363312
73,2017-08-25,153000,153500,147000,150000,922485
74,2017-08-28,151500,153500,148000,148500,254527
75,2017-08-29,148000,149000,143500,145500,248788
76,2017-08-30,148000,153000,148000,152500,389665
77,2017-08-31,153000,154500,149000,154500,263067
78,2017-09-01,153000,155000,151500,154500,206062
79,2017-09-04,149500,153500,149500,150000,194367
80,2017-09-05,152000,152500,149500,150500,125772
81,2017-09-06,152000,157000,150500,157000,408286
82,2017-09-07,156000,159000,156000,158000,317444
83,2017-09-08,156500,157000,149000,150500,369958
84,2017-09-11,151000,152500,149500,150000,146497
85,2017-09-12,150500,151000,146000,147000,220881
86,2017-09-13,147000,149000,145500,149000,189246
87,2017-09-14,149500,152000,147500,149500,195202
88,2017-09-15,149000,150500,148000,150500,181765
89,2017-09-18,150500,155000,150000,154500,287462
90,2017-09-19,155000,156000,153000,154500,196158
91,2017-09-20,156000,157500,155000,156500,256313
92,2017-09-21,156000,156500,154000,156000,163436
93,2017-09-22,155000,155500,150500,151500,215851
94,2017-09-25,151500,152500,149000,150000,147017
95,2017-09-26,150500,151000,149500,150000,225070
96,2017-09-27,149500,152500,149000,149500,193536
97,2017-09-28,149000,150000,147500,148000,128300
98,2017-09-29,150000,151500,148500,151500,113389
99,2017-10-10,152500,152500,149500,151500,153927
100,2017-10-11,151500,153500,150500,152500,88344
101,2017-10-12,153500,153500,148500,149000,293874
102,2017-10-13,149000,163500,148500,162000,905002
103,2017-10-16,162000,163500,159500,161000,277650
104,2017-10-17,162500,171500,160500,169500,775357
105,2017-10-18,171000,177000,170000,176500,729789
106,2017-10-19,176500,176500,170500,173000,415227
107,2017-10-20,171500,174500,167000,173500,381346
