,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,16687,17978,16687,17979,2820
1,2000-01-05,17978,18900,17125,18901,20950
2,2000-01-06,18346,18439,17056,17058,10570
3,2000-01-07,16848,18900,16848,18832,16460
4,2000-01-10,17516,18439,17516,17841,10700
5,2000-01-11,17516,17978,17263,17703,14120
6,2000-01-12,17379,17516,17056,17288,10210
7,2000-01-13,17494,17494,16134,16596,7220
8,2000-01-14,16203,16249,15718,15720,7510
9,2000-01-17,17102,17102,15742,16135,4840
10,2000-01-18,13828,16134,13828,14983,8590
11,2000-01-19,15442,15442,13828,13831,8450
12,2000-01-20,13828,13828,12123,12447,7960
13,2000-01-21,11985,12907,11985,12908,10410
14,2000-01-24,13828,14843,13783,14845,7340
15,2000-01-25,14751,14751,13367,14752,7910
16,2000-01-26,13852,14751,13852,14291,1170
17,2000-01-27,13828,15211,13828,13877,5570
18,2000-01-28,15672,15672,14727,14983,4540
19,2000-01-31,14751,14797,14520,14752,8230
20,2000-02-01,14289,14751,14289,14752,4840
21,2000-02-02,15211,15211,14751,15074,4030
22,2000-02-03,14520,15396,14520,14660,3590
23,2000-02-07,15211,16549,15188,16135,9470
24,2000-02-08,17102,17747,15672,16827,2400
25,2000-02-09,15258,16134,15258,15675,7030
26,2000-02-10,14797,15211,14751,14983,6530
27,2000-02-11,14751,14981,14751,14752,9470
28,2000-02-14,15211,15672,14981,14983,7020
29,2000-02-15,12768,15672,12768,14983,5410
30,2000-02-16,14981,15074,14981,14983,10450
31,2000-02-17,14981,16134,14981,15214,5470
32,2000-02-18,16134,16364,15672,16135,5750
33,2000-02-21,16134,16503,16134,16366,7500
34,2000-02-22,16364,16595,15672,16596,8020
35,2000-02-23,17286,17978,17286,17518,9750
36,2000-02-24,17056,17516,16134,17518,5190
37,2000-02-25,14889,17470,14889,16366,8100
38,2000-02-28,15489,17978,15489,17979,14210
39,2000-02-29,17978,18900,17056,18440,13710
40,2000-03-02,18439,21205,18439,21206,11990
41,2000-03-03,22772,22772,18255,18947,22850
42,2000-03-06,18946,20791,18946,19823,5330
43,2000-03-07,21666,21666,19130,19408,7540
44,2000-03-08,19822,21205,18853,20791,12870
45,2000-03-09,22127,22127,19130,19132,15720
46,2000-03-10,20745,20745,18485,18486,8730
47,2000-03-13,17655,19361,17655,19362,14270
48,2000-03-14,20237,20283,18900,19362,12480
49,2000-03-15,19361,19361,18531,18901,10130
50,2000-03-16,18900,19361,18509,19132,13760
51,2000-03-17,19361,21988,19130,21990,32850
52,2000-03-20,25262,25262,25262,25263,21960
53,2000-03-21,29042,29042,29042,29043,16770
54,2000-03-22,33191,33191,24709,24710,66850
55,2000-03-23,23187,28397,22772,28260,42410
56,2000-03-24,25353,27613,24063,24065,39290
57,2000-03-27,22495,23971,22495,23926,24090
58,2000-03-28,24432,26276,24432,26277,22130
59,2000-03-29,26414,27198,26414,26739,24660
60,2000-03-30,25353,25353,23649,24802,10190
61,2000-03-31,24662,24662,23555,23558,8260
62,2000-04-03,23510,25353,23510,24433,14870
63,2000-04-04,23971,23971,23510,23512,10000
64,2000-04-06,25815,27013,23555,27015,21270
65,2000-04-07,26967,28580,24247,24249,9450
66,2000-04-10,23280,24201,22127,23512,11980
67,2000-04-11,22726,24201,22173,24203,10620
68,2000-04-12,23095,23095,22173,22589,1540
