,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,3632,4106,3632,4107,68640
1,2000-01-05,3862,4497,3821,4093,126080
2,2000-01-06,4221,4221,3678,3688,61610
3,2000-01-07,3586,4193,3586,4010,116460
4,2000-01-10,4184,4230,3862,3955,104500
5,2000-01-11,3954,4037,3871,3946,59450
6,2000-01-12,3862,4055,3862,3909,58720
7,2000-01-13,3881,3940,3775,3854,41960
8,2000-01-14,3770,3885,3715,3771,45650
9,2000-01-17,3770,3844,3743,3798,31520
10,2000-01-18,3954,4037,3798,3798,101330
11,2000-01-19,3798,3890,3770,3798,64440
12,2000-01-20,3816,3862,3798,3863,49940
13,2000-01-21,3798,3954,3784,3817,50940
14,2000-01-24,3816,3908,3798,3817,37520
15,2000-01-25,3802,3881,3802,3821,43930
16,2000-01-26,3862,3862,3816,3831,31870
17,2000-01-27,3775,4322,3775,3927,180760
18,2000-01-28,4019,4092,3895,3955,54680
19,2000-01-31,4000,4120,3917,3918,81280
20,2000-02-01,3927,4000,3881,3936,56710
21,2000-02-02,3908,4111,3908,3982,146980
22,2000-02-03,3927,4019,3904,3918,47780
23,2000-02-07,3922,4203,3918,4070,115850
24,2000-02-08,4147,4313,4124,4166,146330
25,2000-02-09,4184,4598,4175,4507,272520
26,2000-02-10,4506,4653,4350,4415,142860
27,2000-02-11,4460,5076,4327,5077,281860
28,2000-02-14,5242,5656,4920,5463,503440
29,2000-02-15,5463,5463,4644,4645,186120
30,2000-02-16,4460,4929,4184,4783,148370
31,2000-02-17,4883,5500,4828,5500,214810
32,2000-02-18,6254,6318,6079,6319,173980
33,2000-02-21,7265,7265,6815,7266,563980
34,2000-02-22,7403,7955,6447,7450,771410
35,2000-02-23,7357,8093,6907,7358,370390
36,2000-02-24,7633,7900,7367,7542,226240
37,2000-02-25,7219,7679,7219,7542,220250
38,2000-02-28,7265,7440,6621,7036,162370
39,2000-02-29,6622,7679,6622,7450,187030
40,2000-03-02,8562,8562,8424,8563,110150
41,2000-03-03,8875,9841,8700,9473,387730
42,2000-03-06,8783,9197,8093,8094,227290
43,2000-03-07,8093,8507,7449,7910,242190
44,2000-03-08,7633,8047,7449,7901,150450
45,2000-03-09,8093,8912,7872,7946,326440
46,2000-03-10,8323,8443,7357,7533,261970
47,2000-03-13,7348,7679,7137,7146,140230
48,2000-03-14,6989,7256,6263,6484,276580
49,2000-03-15,6254,6392,5794,5978,190220
50,2000-03-16,6870,6870,6254,6530,360890
51,2000-03-17,6530,6989,6143,6162,137650
52,2000-03-20,5877,6162,5739,5785,130720
53,2000-03-21,5518,6042,5518,6024,111350
54,2000-03-22,6024,6585,5886,6171,229960
55,2000-03-23,6438,6704,6070,6144,138110
56,2000-03-24,6171,6263,5886,5978,95530
57,2000-03-27,5968,6116,5766,5849,117870
