,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,48636,51093,48145,50109,22300
1,2000-01-05,49078,50110,47162,50109,20770
2,2000-01-06,50110,53058,47850,50011,18590
3,2000-01-07,48243,50110,48243,49127,17273
4,2000-01-10,50110,50994,49226,50109,16110
5,2000-01-11,50208,50601,48440,50109,15910
6,2000-01-12,49913,49913,48734,49127,13625
7,2000-01-13,49127,50110,48734,49225,21910
8,2000-01-14,49127,49815,48636,49127,7840
9,2000-01-17,49127,50110,48636,50109,18550
10,2000-01-18,49324,49324,48440,48832,23920
11,2000-01-19,48145,48145,45197,46179,21410
12,2000-01-20,44215,46180,44215,44705,13270
13,2000-01-21,44215,44608,41758,43723,34780
14,2000-01-24,42348,44116,42348,43723,22875
15,2000-01-25,42250,44706,41857,43232,32370
16,2000-01-26,42053,47654,42053,47653,24110
17,2000-01-27,44215,47457,44215,47162,10351
18,2000-01-28,46671,48538,45296,48144,28400
19,2000-01-31,46082,48341,46082,47850,11900
20,2000-02-01,47850,49127,46868,47014,15560
21,2000-02-02,45689,49127,45689,49127,17220
22,2000-02-03,49127,51977,48145,51092,67090
23,2000-02-07,53942,54040,49422,52075,51540
24,2000-02-08,53058,53058,51584,53057,45260
25,2000-02-09,53058,53942,50896,52075,12842
26,2000-02-10,51093,51093,47752,47751,15650
27,2000-02-11,49127,49127,47162,47653,11850
28,2000-02-14,46475,48440,45197,45688,28400
29,2000-02-15,44706,47506,44706,45295,15850
30,2000-02-16,44706,46573,44215,46179,35780
31,2000-02-17,45197,47211,45197,45590,18860
32,2000-02-18,45590,46966,43723,45000,15760
33,2000-02-21,44215,44902,42790,43723,8220
34,2000-02-22,44215,44215,42250,44116,9610
35,2000-02-23,44116,45885,43232,45835,11440
36,2000-02-24,45836,45836,43723,44705,12050
37,2000-02-25,44706,45099,43822,43969,34590
38,2000-02-28,44608,44706,42643,42740,10530
39,2000-02-29,43822,43871,42250,42249,28840
40,2000-03-02,42250,43085,40285,41267,51110
41,2000-03-03,41316,42053,38614,39301,90660
42,2000-03-06,39990,42250,37828,40972,75940
43,2000-03-07,41365,43625,40579,43625,68980
44,2000-03-08,43232,44509,42250,43821,45540
45,2000-03-09,43822,46180,39302,39301,143920
46,2000-03-10,44215,45197,43134,45197,45640
47,2000-03-13,50700,50700,47310,49127,80410
48,2000-03-14,46180,48636,46180,47653,17420
49,2000-03-15,47654,47654,44215,45197,26270
50,2000-03-16,45197,48145,44706,45197,29070
51,2000-03-17,46180,46671,44411,44509,33460
52,2000-03-20,45197,45197,44215,45197,23490
53,2000-03-21,44706,46180,43625,46179,9380
54,2000-03-22,44706,46082,44657,45492,26770
55,2000-03-23,44215,45296,43527,45197,30860
56,2000-03-24,44067,44706,44067,44411,46960
57,2000-03-27,44215,46180,43723,46179,26790
58,2000-03-28,46082,49520,45197,47850,46870
59,2000-03-29,46671,50110,46671,48144,116460
60,2000-03-30,48145,50012,46180,46179,34410
61,2000-03-31,45983,49619,45983,49618,45590
62,2000-04-03,49078,49078,47064,47064,25540
63,2000-04-04,47064,48145,46671,47653,31180
64,2000-04-06,48145,48145,46769,47653,18320
65,2000-04-07,46671,48145,46180,46965,12400
66,2000-04-10,47654,48931,46180,46720,28420
67,2000-04-11,46671,48145,45689,46179,13450
68,2000-04-12,46376,49913,45787,47653,50950
69,2000-04-14,47162,48096,46180,47653,22530
70,2000-04-17,44215,46180,42348,45590,34040
71,2000-04-18,47457,47457,44215,44509,32760
72,2000-04-19,45197,46966,44215,46278,111480
73,2000-04-20,46180,46671,45099,45492,25090
74,2000-04-21,47162,48734,46180,47162,71510
75,2000-04-24,47162,48538,46180,46769,28530
76,2000-04-25,46180,48292,46180,48144,51290
77,2000-04-26,48685,48980,47113,47113,22940
78,2000-04-27,47064,47752,46278,46965,28550
79,2000-04-28,46376,48538,46376,48095,20620
80,2000-05-02,48734,50601,47654,49225,73090
81,2000-05-03,49619,50012,48145,49618,27480
82,2000-05-04,50012,50208,48931,49225,21600
83,2000-05-08,49226,49913,47948,47948,42830
84,2000-05-09,47261,48538,47261,47457,31840
85,2000-05-10,47457,48145,46769,47751,58780
86,2000-05-12,47457,47654,45983,46278,23320
87,2000-05-15,45983,45983,43625,44312,24380
88,2000-05-16,44706,45001,43429,44214,19660
89,2000-05-17,43330,44509,40874,41758,23880
90,2000-05-18,40776,42250,40285,40775,18410
91,2000-05-19,39498,40579,38319,39351,76770
92,2000-05-22,41267,41267,39253,39400,49700
93,2000-05-23,39597,40776,39400,40579,34420
94,2000-05-24,40579,41562,39793,40284,24040
95,2000-05-25,40285,42741,40285,41070,23470
96,2000-05-26,39597,41267,39597,39793,14870
97,2000-05-29,39400,40776,39400,40333,16800
98,2000-05-30,40334,42544,40334,42249,19470
99,2000-05-31,42741,43723,35912,35912,47210
100,2000-06-01,41267,41267,40776,41267,46800
101,2000-06-02,42151,44215,41365,42249,55910
102,2000-06-05,44215,44215,42544,44018,32400
103,2000-06-07,45001,48636,43723,48439,52100
104,2000-06-08,49127,49127,45296,46572,53920
105,2000-06-09,46573,47654,45885,47162,37920
106,2000-06-12,48145,48145,46180,46179,34170
107,2000-06-13,46671,48636,46376,48636,25380
108,2000-06-14,47604,48145,46966,48144,19450
109,2000-06-15,48636,48636,46917,47555,13930
110,2000-06-16,46868,48341,46868,47555,16780
111,2000-06-19,48096,48636,47162,48095,33250
112,2000-06-20,47850,48440,47850,48144,19760
113,2000-06-21,48587,49029,47801,48636,36700
114,2000-06-22,48636,48833,47703,48587,35460
115,2000-06-23,48538,48587,47850,48587,34420
116,2000-06-26,48538,48636,47752,48537,35590
117,2000-06-27,48489,48489,47948,48439,42200
118,2000-06-28,48145,48440,47850,48046,55370
119,2000-06-29,48106,49646,46980,47572,60240
120,2000-06-30,48106,48461,47632,48105,18960
121,2000-07-03,47632,48935,47632,48816,27820
122,2000-07-04,48224,49172,47395,47750,19630
123,2000-07-05,47395,48876,46803,48579,26570
124,2000-07-06,48402,49409,47987,48935,42280
125,2000-07-07,49528,49646,48343,48816,34220
126,2000-07-10,48817,49291,48106,48224,22680
127,2000-07-11,48224,48580,46921,47394,20290
128,2000-07-12,47632,48461,46803,47394,30400
129,2000-07-13,47395,47987,47395,47750,23940
130,2000-07-14,46921,47869,46803,47454,14590
131,2000-07-18,46447,47454,46269,46269,6330
132,2000-07-19,45618,46803,44077,44432,10400
133,2000-07-20,44314,45973,44314,45025,13680
134,2000-07-21,45855,45973,44137,44551,10290
135,2000-07-24,44551,45914,42004,42892,18440
136,2000-07-25,43840,43840,42655,43247,10820
137,2000-07-26,42418,44196,42418,43840,13760
138,2000-07-27,43011,44314,43011,44314,5430
139,2000-07-28,43307,44433,43307,44432,16320
140,2000-07-31,44314,44314,43248,43840,11600
141,2000-08-01,43840,44433,42774,43958,12850
142,2000-08-02,43959,44966,43840,44432,12940
143,2000-08-03,43959,44907,43840,43840,7510
144,2000-08-04,43248,44433,42833,43010,11360
145,2000-08-07,43366,45025,42774,43840,66410
146,2000-08-08,44433,46684,44196,45499,76830
147,2000-08-09,46151,50239,45736,49290,188310
148,2000-08-10,49765,50120,48580,49350,118310
149,2000-08-11,47513,51542,47513,49527,109620
150,2000-08-14,49883,51305,49528,49764,44590
151,2000-08-16,49528,51068,49528,50594,107430
152,2000-08-17,50594,51068,49765,50712,28630
153,2000-08-18,50120,50239,48106,49764,28560
154,2000-08-21,49291,49409,47987,48579,8410
155,2000-08-22,48580,49765,48461,49527,16260
156,2000-08-23,49765,50357,49172,50001,45510
157,2000-08-24,50357,50357,48698,49409,13090
158,2000-08-25,49528,49765,48580,49586,10470
159,2000-08-28,49765,50357,48817,49646,38180
160,2000-08-29,50002,50239,48343,49468,13630
161,2000-08-30,48580,48817,48224,48816,28330
162,2000-08-31,47987,48698,46743,47394,19500
163,2000-09-01,46329,50239,46329,48579,52140
164,2000-09-04,49172,49883,48106,48461,23480
165,2000-09-05,47987,49528,47987,48698,28960
166,2000-09-06,48343,49883,48343,49231,85230
167,2000-09-07,48461,49765,48343,49172,22710
168,2000-09-08,49765,49765,48461,48579,14350
169,2000-09-14,47987,48521,46803,47394,24020
170,2000-09-15,46447,47869,46447,47276,28700
171,2000-09-18,47217,47632,42892,44195,32490
172,2000-09-19,42655,46803,42655,46802,14030
173,2000-09-20,49172,49172,46210,47750,31500
174,2000-09-21,47454,48580,46566,47750,14950
175,2000-09-22,46803,47632,46684,47394,20420
176,2000-09-25,46803,50713,46803,48579,30980
177,2000-09-26,48580,49528,47573,49527,23690
178,2000-09-27,48817,50002,48580,49527,27690
179,2000-09-28,50950,50950,48758,49468,29030
180,2000-09-29,49468,49646,48047,49646,19410
181,2000-10-02,48580,49528,48224,49053,6460
182,2000-10-04,49054,49172,48343,49172,8980
183,2000-10-05,49291,49291,48580,48698,11420
184,2000-10-06,48580,50357,48106,49290,17000
185,2000-10-09,48580,48817,47987,47987,11180
186,2000-10-10,48698,48698,47573,48579,6650
187,2000-10-11,48047,49409,47632,49409,18820
188,2000-10-12,49883,50002,48580,48579,108670
189,2000-10-13,48461,49409,47987,48579,55540
190,2000-10-16,48639,50002,48639,49764,51100
191,2000-10-17,49765,52490,49765,50475,156990
192,2000-10-18,50594,51424,49409,50949,88670
193,2000-10-19,50357,53201,50357,52134,80540
