,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,12453,13787,12453,13046,712575
1,2000-01-05,12750,13343,12186,12245,783625
2,2000-01-06,12453,12453,11415,11578,763465
3,2000-01-07,11578,13313,11534,13312,1263455
4,2000-01-10,13639,15092,13343,13342,3152020
5,2000-01-11,13343,14202,12750,13342,1894550
6,2000-01-12,13491,14202,12898,13046,1461430
7,2000-01-13,12809,13194,12305,12453,1370225
8,2000-01-14,12483,13254,12320,12393,1152515
9,2000-01-17,12394,14143,12038,14142,1329820
10,2000-01-18,13298,13313,12453,12453,2845975
11,2000-01-19,12453,12690,11356,11563,1270445
12,2000-01-20,11445,11712,10378,10881,852175
13,2000-01-21,10822,11400,10466,10792,987305
14,2000-01-24,10704,11445,10704,10822,760070
15,2000-01-25,10733,11949,10585,11178,2256835
16,2000-01-26,11475,11712,10704,10926,1131190
17,2000-01-27,10822,11845,10822,11237,1339260
18,2000-01-28,11237,11445,11000,11088,714205
19,2000-01-31,11000,11385,10970,11088,724760
20,2000-02-01,11148,11400,11000,10999,781980
21,2000-02-02,11029,11489,10851,11355,1383895
22,2000-02-03,11415,11504,11178,11237,752200
23,2000-02-07,11119,11326,11060,11118,1008230
24,2000-02-08,11119,11386,10733,10822,1003995
25,2000-02-09,10911,11119,10526,10525,986515
26,2000-02-10,10407,10525,9992,10021,959330
27,2000-02-11,9695,9962,9547,9902,1046675
28,2000-02-14,9933,10289,9399,9399,806855
29,2000-02-15,9192,9399,8866,8895,731335
30,2000-02-16,9191,9784,9102,9517,1455655
31,2000-02-17,9932,10021,9280,9517,1112860
32,2000-02-18,9637,9992,9192,9191,1268265
33,2000-02-21,8924,8984,8361,8390,757780
34,2000-02-22,8020,8450,7694,8004,988375
35,2000-02-23,8332,9206,8332,9206,1004880
36,2000-02-24,9192,10230,8599,9488,1747095
37,2000-02-25,9251,9933,9073,9547,793265
38,2000-02-28,9191,10169,9191,9724,887095
39,2000-02-29,9725,10022,9073,9399,839690
40,2000-03-02,9399,9785,9221,9488,1086000
41,2000-03-03,9636,9903,9191,9235,782210
42,2000-03-06,9488,10526,9221,10229,1769295
43,2000-03-07,10081,11415,9784,10495,1681340
44,2000-03-08,10318,10748,9903,9902,950650
45,2000-03-09,10230,10526,9637,9636,1340855
46,2000-03-10,10259,10259,9681,9754,864800
47,2000-03-13,9785,10822,9755,10436,2506280
48,2000-03-14,10971,11519,10541,10970,2958485
49,2000-03-15,11415,11415,10378,10525,1775105
50,2000-03-16,11534,11564,10822,10970,1883810
51,2000-03-17,10970,11207,10110,10169,1008050
52,2000-03-20,10007,10170,9666,9784,661595
53,2000-03-21,9518,10022,9429,9502,708745
54,2000-03-22,9577,9725,9370,9636,820590
55,2000-03-23,9636,9696,9073,9102,875775
56,2000-03-24,9192,9429,9103,9191,546850
57,2000-03-27,9340,9370,9058,9295,640050
58,2000-03-28,9206,9251,9058,9117,604250
59,2000-03-29,9044,9281,8599,8598,912775
60,2000-03-30,8332,8747,8302,8598,734175
61,2000-03-31,8835,8865,8628,8687,454255
62,2000-04-03,8599,8806,8213,8302,426630
63,2000-04-04,8006,8302,7798,8124,477800
64,2000-04-06,8124,8273,7857,7916,269480
65,2000-04-07,8005,8302,7976,8079,452780
66,2000-04-10,7916,8746,7857,8390,1036700
67,2000-04-11,8391,8450,7857,7886,543970
68,2000-04-12,7887,8035,7827,7886,531800
69,2000-04-14,7650,7827,7590,7738,333550
70,2000-04-17,6730,7145,6582,6611,663265
71,2000-04-18,6998,7146,6672,6879,585225
72,2000-04-19,6967,7471,6849,7204,1100970
73,2000-04-20,7293,7353,6878,6967,510015
74,2000-04-21,6968,7146,6864,6997,451780
75,2000-04-24,6997,7116,6834,6908,573710
76,2000-04-25,6908,6938,6716,6745,363155
77,2000-04-26,6820,6909,6686,6686,583415
78,2000-04-27,6523,6671,6256,6315,392735
79,2000-04-28,6167,6449,6138,6300,725570
80,2000-05-02,6420,6612,6242,6582,652410
81,2000-05-03,6404,6641,6389,6463,456710
82,2000-05-04,6479,6657,6375,6538,614510
83,2000-05-08,6671,6849,6582,6611,704115
84,2000-05-09,6523,6582,6389,6463,435275
85,2000-05-10,6389,6434,6300,6315,474680
86,2000-05-12,6256,6301,5975,6004,619160
87,2000-05-15,5930,5960,5515,5559,599595
88,2000-05-16,5515,5752,5515,5693,529910
89,2000-05-17,5633,5752,4847,4891,626940
90,2000-05-18,4626,4833,4463,4566,471225
91,2000-05-19,4610,4833,4447,4832,535430
92,2000-05-22,4625,4743,4358,4358,312655
93,2000-05-23,4003,4448,4003,4328,411935
94,2000-05-24,4210,4892,4196,4773,724545
95,2000-05-25,5070,5485,5040,5484,401775
96,2000-05-26,5574,5752,4833,4891,995590
97,2000-05-29,4759,5426,4596,5366,920605
98,2000-05-30,5693,5723,5367,5455,776075
99,2000-05-31,5663,5871,5485,5604,1454295
100,2000-06-01,5396,5485,5218,5336,647585
101,2000-06-02,5426,5604,5248,5396,857230
102,2000-06-05,5574,6197,5441,6196,1658460
103,2000-06-07,6197,6820,5945,6448,1534380
104,2000-06-08,6256,6583,5871,5989,1311570
105,2000-06-09,5989,6137,5811,6018,777400
106,2000-06-12,5959,6908,5945,6908,2791220
107,2000-06-13,6997,7560,6256,6819,2722165
108,2000-06-14,6967,7086,6285,6522,897775
109,2000-06-15,6523,6523,5722,5722,812370
110,2000-06-16,5500,5663,5337,5470,745295
111,2000-06-19,5307,5544,5233,5336,557985
112,2000-06-20,5455,5574,5366,5484,436555
113,2000-06-21,5486,5752,5486,5544,540820
114,2000-06-22,5648,5692,5351,5484,599730
115,2000-06-23,5367,5486,5337,5396,314150
116,2000-06-26,5426,5737,5426,5588,734635
117,2000-06-27,5722,5722,5456,5663,626025
118,2000-06-28,5722,5752,5604,5677,740860
119,2000-06-29,5678,5752,5397,5544,627905
120,2000-06-30,5530,5618,5381,5425,422995
121,2000-07-03,5367,5678,5367,5663,687335
122,2000-07-04,5797,5797,5560,5604,503710
123,2000-07-05,5633,5693,5367,5470,603505
124,2000-07-06,5426,5752,5426,5663,963050
125,2000-07-07,5826,6375,5752,6256,2144500
126,2000-07-10,6374,6671,6107,6226,1845465
127,2000-07-11,6419,6419,6019,6018,1275600
128,2000-07-12,6137,6300,5796,5885,1036080
129,2000-07-13,5900,6093,5782,5959,654380
