,날짜,시가,고가,저가,종가,거래량
0,2001-03-23,3882,3882,3300,3299,37100
1,2001-03-26,2806,2806,2806,2805,4200
2,2001-03-27,2388,2388,2388,2388,10340
3,2001-03-28,2031,2031,2031,2031,6610
4,2001-03-29,1729,1850,1729,1729,14556990
5,2001-03-30,1757,1768,1471,1471,6034190
6,2001-04-02,1521,1521,1334,1432,4136310
7,2001-04-03,1373,1384,1268,1279,2850730
8,2001-04-04,1175,1340,1175,1235,3539300
9,2001-04-06,1279,1362,1274,1301,4156490
10,2001-04-09,1307,1493,1285,1394,10834800
11,2001-04-10,1395,1438,1301,1328,2878970
12,2001-04-11,1351,1455,1351,1367,3873190
13,2001-04-12,1504,1570,1460,1570,10201950
14,2001-04-13,1801,1801,1801,1800,457530
15,2001-04-16,2070,2070,1883,2069,9588230
16,2001-04-17,2075,2251,1927,2009,10080520
17,2001-04-18,2009,2125,1889,2025,9790070
18,2001-04-19,2042,2119,1944,1987,3715280
19,2001-04-20,1922,1988,1691,1691,3531290
20,2001-04-23,1691,1944,1647,1943,5814530
21,2001-04-24,1894,2169,1883,2025,11090910
22,2001-04-25,2031,2163,1900,1998,5469320
23,2001-04-26,2103,2103,1944,1960,2266090
24,2001-04-27,1922,1999,1894,1932,2270730
25,2001-04-30,1938,1988,1927,1932,1704680
26,2001-05-02,1933,1955,1878,1888,2120320
27,2001-05-03,1889,1933,1845,1866,1690310
28,2001-05-04,1894,1916,1850,1866,1428720
29,2001-05-07,1861,2020,1839,1910,3744630
30,2001-05-08,1966,2097,1922,2042,4241760
31,2001-05-09,2009,2125,1993,2042,2877050
32,2001-05-10,2064,2344,2064,2344,5419280
33,2001-05-11,2416,2619,2311,2311,11486870
34,2001-05-14,2300,2504,2284,2415,4373540
35,2001-05-15,2482,2679,2416,2569,6480240
36,2001-05-16,2504,2602,2355,2393,3079640
37,2001-05-17,2421,2471,2262,2393,3737370
38,2001-05-18,2394,2498,2344,2437,1829460
39,2001-05-21,2493,2767,2493,2723,5406990
40,2001-05-22,2778,2800,2559,2613,3893900
41,2001-05-23,2745,2855,2668,2800,6642190
42,2001-05-24,2712,2932,2663,2783,3331480
43,2001-05-25,2839,2888,2707,2723,2049790
44,2001-05-28,2723,2756,2602,2618,1687550
45,2001-05-29,2619,2800,2619,2668,2461880
46,2001-05-30,2701,2701,2602,2635,944940
47,2001-05-31,2504,2591,2498,2509,976670
48,2001-06-01,2520,2657,2449,2602,1458930
49,2001-06-04,2531,2712,2531,2690,1188950
50,2001-06-05,2734,2734,2613,2618,1066520
51,2001-06-07,2619,2888,2619,2783,3993330
52,2001-06-08,2800,2850,2723,2739,1934530
53,2001-06-11,2800,2910,2795,2811,2996300
54,2001-06-12,2784,2899,2767,2838,1491020
55,2001-06-13,2839,2992,2806,2992,2801570
56,2001-06-14,3014,3421,2976,3189,7036500
57,2001-06-15,3130,3294,3130,3239,4705510
58,2001-06-18,3206,3613,3206,3568,6498840
59,2001-06-19,4030,4030,3569,3623,6228560
60,2001-06-20,3580,3733,3217,3458,4346930
61,2001-06-21,3492,3525,3272,3393,3410810
62,2001-06-22,3349,3547,3316,3404,2803490
63,2001-06-25,3316,3536,3305,3305,1601730
64,2001-06-26,3327,3371,3091,3118,1514540
65,2001-06-27,3075,3140,2987,3124,1271750
66,2001-06-28,3047,3393,3047,3365,3240920
67,2001-06-29,3459,3459,3305,3316,1949800
68,2001-07-02,3316,3371,3184,3250,1621900
69,2001-07-03,3250,3371,3250,3316,1650680
70,2001-07-04,3327,3355,3206,3244,939800
71,2001-07-05,3228,3272,3086,3118,1286900
72,2001-07-06,3064,3064,2921,2942,1244380
73,2001-07-09,2773,2806,2548,2585,1205410
74,2001-07-10,2591,2690,2548,2646,1080160
75,2001-07-11,2531,2602,2443,2558,606270
76,2001-07-12,2630,2817,2586,2767,1514640
77,2001-07-13,2822,2877,2635,2651,837890
78,2001-07-16,2690,2822,2679,2739,914160
79,2001-07-18,2745,2767,2580,2591,462680
80,2001-07-19,2531,2685,2482,2635,1169960
81,2001-07-20,2586,2630,2537,2536,463810
82,2001-07-23,2515,2548,2339,2344,761990
83,2001-07-24,2284,2438,2169,2404,885840
84,2001-07-25,2311,2410,2251,2251,469190
85,2001-07-26,2273,2350,2251,2278,566850
86,2001-07-27,2339,2405,2311,2382,752250
87,2001-07-30,2416,2416,2322,2338,301310
88,2001-07-31,2394,2685,2372,2684,2596110
89,2001-08-01,2855,2965,2762,2800,2274940
90,2001-08-02,2745,2866,2657,2865,1165650
91,2001-08-03,2833,2932,2767,2778,1096780
92,2001-08-06,2696,2844,2696,2800,755790
93,2001-08-07,2800,3184,2800,3074,4494170
94,2001-08-08,3151,3256,3053,3091,3026190
95,2001-08-09,3075,3206,2970,3052,1507760
96,2001-08-10,3097,3130,2970,3030,863930
97,2001-08-13,3020,3481,3020,3480,5951540
98,2001-08-14,3481,3717,3305,3371,8735680
99,2001-08-16,3426,3679,3426,3502,5794170
100,2001-08-17,3536,3569,3294,3360,3523590
101,2001-08-20,3184,3448,3108,3124,2425190
102,2001-08-21,3195,3272,3020,3244,2160020
103,2001-08-22,3184,3459,3097,3184,5904980
104,2001-08-23,3140,3250,3020,3019,1549260
105,2001-08-24,3009,3075,2756,2904,1701810
106,2001-08-27,2921,3162,2921,2986,2071060
107,2001-08-28,2932,3042,2932,3014,754260
108,2001-08-29,2965,2987,2800,2800,1128610
109,2001-08-30,2756,3119,2613,3008,2387260
110,2001-08-31,2871,2987,2767,2772,1903820
111,2001-09-03,2833,2921,2674,2767,1070020
112,2001-09-04,2784,2882,2734,2844,1251550
113,2001-09-05,2800,2992,2800,2920,1703000
114,2001-09-06,2965,3042,2888,2986,2414620
115,2001-09-07,2948,3151,2921,2986,2174590
116,2001-09-10,2976,3053,2943,2970,997930
117,2001-09-11,2981,3053,2871,2876,870020
118,2001-09-12,2449,2449,2449,2448,404870
119,2001-09-13,2449,2740,2449,2635,3298580
120,2001-09-14,2690,2690,2328,2415,2250890
121,2001-09-17,2438,2515,2059,2064,1865030
122,2001-09-18,2196,2350,2169,2327,2456870
123,2001-09-19,2350,2619,2306,2437,3305450
124,2001-09-20,2449,2580,2273,2415,3616820
125,2001-09-21,2284,2394,2284,2305,1608930
126,2001-09-24,2344,2427,2306,2366,1481460
127,2001-09-25,2526,2526,2251,2273,1041600
128,2001-09-26,2306,2383,2273,2311,646820
129,2001-09-27,2235,2405,2235,2305,1245910
130,2001-09-28,2361,2372,2333,2360,708490
131,2001-10-04,2471,2504,2438,2465,1001380
132,2001-10-05,2465,2476,2399,2426,654620
133,2001-10-08,2372,2405,2317,2344,816840
134,2001-10-09,2355,2580,2355,2509,3903430
135,2001-10-10,2471,2548,2394,2432,1151910
136,2001-10-11,2487,2580,2449,2448,2433660
137,2001-10-12,2471,2509,2421,2481,1093920
138,2001-10-15,2432,2570,2432,2503,1888980
139,2001-10-16,2548,2570,2515,2542,1074740
140,2001-10-17,2602,2657,2575,2602,2443060
141,2001-10-18,2570,2602,2493,2503,935450
142,2001-10-19,2504,2559,2498,2536,736420
143,2001-10-22,2569,2575,2515,2520,513580
144,2001-10-23,2504,2548,2454,2481,623210
145,2001-10-24,2449,2493,2449,2481,316750
146,2001-10-25,2482,2559,2465,2531,723610
147,2001-10-26,2515,2537,2482,2481,390980
148,2001-10-29,2493,2515,2443,2459,397230
149,2001-10-30,2449,2493,2377,2382,477870
150,2001-10-31,2339,2526,2339,2448,739250
151,2001-11-01,2465,2498,2438,2448,668390
152,2001-11-02,2449,2504,2438,2443,787620
153,2001-11-05,2471,2487,2454,2481,475650
154,2001-11-06,2526,2570,2493,2498,1033450
155,2001-11-07,2504,2526,2454,2476,484680
156,2001-11-08,2460,2498,2460,2498,574790
157,2001-11-09,2504,2515,2465,2487,529830
158,2001-11-12,2482,2597,2482,2564,1316630
159,2001-11-13,2602,2657,2515,2591,1618750
160,2001-11-14,2690,2976,2613,2964,4625240
161,2001-11-15,3020,3130,2822,2893,2696420
162,2001-11-16,2893,3053,2893,2920,2578690
163,2001-11-19,2970,3025,2921,2964,1495760
164,2001-11-20,3410,3410,3130,3206,5159800
165,2001-11-21,3173,3338,3086,3162,2198470
166,2001-11-22,3091,3168,3091,3118,965230
167,2001-11-23,3036,3201,3036,3118,1872940
168,2001-11-26,3162,3547,3162,3535,5286680
169,2001-11-27,3514,3547,3239,3310,3640780
170,2001-11-28,3239,3283,3036,3041,1960720
171,2001-11-29,3075,3119,2970,3085,1257130
172,2001-11-30,3097,3184,3036,3041,1008340
173,2001-12-03,3042,3102,2998,3085,791510
174,2001-12-04,3042,3223,3031,3080,1529790
175,2001-12-05,3102,3173,3102,3151,899870
176,2001-12-06,3234,3360,3102,3162,1999170
177,2001-12-07,3097,3239,3097,3178,699820
178,2001-12-10,3289,3289,3141,3151,1396920
179,2001-12-11,3130,3184,3053,3113,956650
180,2001-12-12,3140,3278,3119,3129,1116960
181,2001-12-13,3086,3195,3009,3047,1175470
182,2001-12-14,2987,3377,2981,3266,3376280
183,2001-12-17,3234,3267,3080,3184,842680
184,2001-12-18,3239,3261,3020,3019,931640
185,2001-12-19,3053,3075,2828,2898,896100
186,2001-12-20,2899,3009,2871,2964,668360
187,2001-12-21,2915,2932,2860,2860,444510
188,2001-12-24,2866,2910,2833,2860,348670
189,2001-12-26,2866,2937,2860,2876,425510
190,2001-12-27,2888,2965,2882,2942,429590
191,2001-12-28,2998,3195,2943,3063,863220
192,2002-01-02,3475,3503,3239,3261,1458440
193,2002-01-03,3283,3316,3162,3162,1277015
194,2002-01-04,3184,3272,3157,3272,1408417
195,2002-01-07,3459,3525,3360,3513,3084083
196,2002-01-08,3492,4041,3459,4007,9066956
197,2002-01-09,3997,4118,3843,4117,4550740
198,2002-01-10,4096,4546,4041,4227,6308850
199,2002-01-11,4293,4414,3953,4057,2399703
