,날짜,시가,고가,저가,종가,거래량
0,2001-02-02,17500,20125,17500,20125,4318040
1,2001-02-05,20950,21000,17600,20000,3414470
2,2001-02-06,23000,23000,21050,22450,3426920
3,2001-02-07,22250,22250,20300,20350,1712750
4,2001-02-08,19000,20400,19000,19350,1778840
5,2001-02-09,19000,19900,19000,19100,1454450
6,2001-02-12,18625,19000,18025,18050,1847030
7,2001-02-13,17750,17925,15800,16400,3408260
8,2001-02-14,16400,17350,16200,16300,1872680
9,2001-02-15,16350,16700,15400,15750,2166170
10,2001-02-16,15800,16150,15275,15450,1965900
11,2001-02-19,15300,15925,15249,15325,1554060
12,2001-02-20,15800,17600,15750,17600,4650230
13,2001-02-21,17250,17250,15850,16050,2443110
14,2001-02-22,15974,17000,15550,16750,2223840
15,2001-02-23,16350,16825,16300,16450,867340
16,2001-02-26,16349,16975,16274,16575,673210
17,2001-02-27,16575,16800,15800,16000,887660
18,2001-02-28,15900,16500,15650,16500,790110
19,2001-03-02,16049,16750,16049,16100,654530
20,2001-03-05,16150,16500,15825,16400,607960
21,2001-03-06,16750,18000,16600,17050,4202830
22,2001-03-07,17300,17550,16550,16700,2320780
23,2001-03-08,16600,16850,16600,16800,807350
24,2001-03-09,16800,17750,16250,17350,2028160
25,2001-03-12,16900,17550,16650,16700,1024530
26,2001-03-13,16050,16350,15699,16250,873890
27,2001-03-14,16500,16700,16400,16550,777300
28,2001-03-15,15849,16675,15849,16525,692700
29,2001-03-16,16525,16900,16450,16575,663740
30,2001-03-19,16500,17050,16475,16800,711170
31,2001-03-20,17000,17600,16850,17250,1532810
32,2001-03-21,17050,18175,17000,17825,2313950
33,2001-03-22,18000,20475,18000,20475,5697910
34,2001-03-23,20925,22125,19750,19850,6727280
35,2001-03-26,20700,22150,20600,21150,2985300
36,2001-03-27,21250,24300,21250,23100,8835660
37,2001-03-28,23550,24000,21700,22175,2900970
38,2001-03-29,22175,23975,22175,23750,4088160
39,2001-03-30,24350,24950,24075,24600,4443990
40,2001-04-02,24900,24900,23650,24500,2169130
41,2001-04-03,23649,24350,23250,23950,1705270
42,2001-04-04,23050,23900,22750,22750,1141560
43,2001-04-06,23850,26150,23750,26150,4268250
44,2001-04-09,27000,29000,26600,28050,4033220
45,2001-04-10,28500,28900,26799,27550,1679930
46,2001-04-11,28399,28699,27099,27750,1501640
47,2001-04-12,27100,30949,26349,29100,3023190
48,2001-04-13,29100,30350,28300,28900,1594800
49,2001-04-16,28999,29900,28449,28500,674400
50,2001-04-17,28500,29150,27499,27750,997820
51,2001-04-18,27899,28249,27000,27750,1341730
52,2001-04-19,29200,29700,27400,27550,3032360
53,2001-04-20,27550,27849,26200,26900,1596800
54,2001-04-23,26500,27750,26400,26950,1294590
