,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,1894,2177,1894,2177,185360
1,2000-01-05,2237,2499,2186,2499,947070
2,2000-01-06,2499,2549,2126,2137,590850
3,2000-01-07,2197,2448,2136,2449,898510
4,2000-01-10,2650,2781,2378,2459,1503110
5,2000-01-11,2418,2721,2317,2519,1168200
6,2000-01-12,2499,2660,2388,2540,988710
7,2000-01-13,2569,2620,2348,2459,670550
8,2000-01-14,2418,2418,2136,2197,490330
9,2000-01-17,2197,2378,2156,2268,499910
10,2000-01-18,2217,2348,2177,2197,350310
11,2000-01-19,2227,2378,2197,2217,643810
12,2000-01-20,2156,2287,2035,2137,326630
13,2000-01-21,2156,2358,2076,2187,600120
14,2000-01-24,2247,2438,2227,2278,813520
15,2000-01-25,2317,2448,2277,2338,805040
16,2000-01-26,2418,2418,2247,2338,517180
17,2000-01-27,2358,2680,2358,2560,2462140
18,2000-01-28,2620,2721,2519,2661,1350810
19,2000-01-31,2711,2862,2600,2681,1173230
20,2000-02-01,2721,2741,2569,2570,609100
21,2000-02-02,2590,2862,2509,2731,1180590
22,2000-02-03,2761,2781,2569,2600,661790
23,2000-02-07,2600,2731,2559,2721,881740
24,2000-02-08,2922,2983,2721,2792,1312030
25,2000-02-09,2882,3114,2791,3043,1925430
26,2000-02-10,3043,3184,2902,3003,1489890
27,2000-02-11,3063,3446,2962,3447,2312160
28,2000-02-14,3426,3547,3083,3185,1712530
29,2000-02-15,3104,3214,2711,2711,903100
30,2000-02-16,2721,2832,2559,2762,785670
31,2000-02-17,2832,3174,2801,3175,1604040
32,2000-02-18,3466,3648,3325,3648,2017000
33,2000-02-21,3547,3870,3446,3648,2403050
34,2000-02-22,3688,3769,3164,3487,1040830
35,2000-02-23,3487,3749,3305,3487,1258480
36,2000-02-24,3628,3718,3507,3568,794060
37,2000-02-25,3386,3628,3366,3366,640820
38,2000-02-28,3245,3345,3003,3033,571740
39,2000-02-29,3124,3265,3033,3154,626020
40,2000-03-02,3567,3587,3325,3487,725600
41,2000-03-03,3487,3678,3356,3356,572480
42,2000-03-06,3487,3517,3265,3326,391680
43,2000-03-07,3285,3487,3235,3386,476040
44,2000-03-08,3295,3366,3214,3245,344790
45,2000-03-09,3325,3406,3154,3154,453100
46,2000-03-10,3225,3275,3083,3124,431430
47,2000-03-13,3083,3255,3053,3064,364170
48,2000-03-14,2983,3114,2801,2822,290560
49,2000-03-15,2781,2781,2630,2641,328890
