,날짜,시가,고가,저가,종가,거래량
0,2002-11-01,15634,16150,13314,13316,293970
1,2002-11-04,12410,13183,11508,12026,805326
2,2002-11-05,12239,12583,11938,12327,293346
3,2002-11-06,12498,12625,11983,12199,233374
4,2002-11-07,12153,12325,11594,12112,204008
5,2002-11-08,12068,13915,11853,12714,1184815
6,2002-11-11,12755,13226,12368,12929,321971
7,2002-11-12,12624,13011,12410,12973,149211
8,2002-11-13,12968,13226,12368,12800,115910
9,2002-11-14,12624,12712,12282,12585,95610
10,2002-11-15,12583,12583,12325,12585,68100
11,2002-11-18,12582,12668,12282,12286,61633
12,2002-11-19,12110,12798,12110,12327,59000
13,2002-11-20,12283,12326,11983,11984,77496
14,2002-11-21,12110,12110,11681,11684,99414
15,2002-11-22,11852,12197,11594,11899,91410
16,2002-11-25,11895,12110,11809,12026,30555
17,2002-11-26,12110,13056,12067,12800,191500
18,2002-11-27,12583,12883,12497,12885,41060
19,2002-11-28,12883,12883,12454,12885,74230
20,2002-11-29,12711,12968,12624,12973,45320
21,2002-12-02,13055,13055,12711,12973,29870
22,2002-12-03,13056,13999,12883,13401,308898
23,2002-12-04,13313,13313,12968,13014,83968
24,2002-12-05,13056,13184,12755,13057,38800
25,2002-12-06,13313,13956,13313,13359,224644
26,2002-12-09,13570,13699,13141,13487,55460
27,2002-12-10,13486,13486,13142,13316,34940
28,2002-12-11,13098,13312,13055,13230,62850
29,2002-12-12,13055,13312,13055,13230,40270
30,2002-12-13,13055,13226,12968,13230,26106
31,2002-12-16,13055,13398,12925,13186,24700
32,2002-12-17,13140,13440,13011,13230,53670
33,2002-12-18,13398,13398,13055,13230,29811
34,2002-12-20,13398,13528,13055,13230,24780
35,2002-12-23,13056,13184,12712,13057,33500
36,2002-12-24,12755,12925,12454,12800,32110
37,2002-12-26,12625,12926,12326,12714,28962
38,2002-12-27,12669,12713,12369,12714,13892
39,2002-12-30,12326,12713,12111,12714,43920
40,2003-01-02,12368,12712,12368,12457,9353
41,2003-01-03,12756,12756,12455,12499,32464
42,2003-01-06,12624,12624,12110,12457,33783
43,2003-01-07,12454,12756,12282,12286,78176
44,2003-01-08,12197,12756,12197,12286,54620
45,2003-01-09,12282,12368,12153,12327,24260
46,2003-01-10,12325,12411,11938,12286,31880
47,2003-01-13,11938,12454,11938,12457,30920
48,2003-01-14,12238,12497,12197,12286,34090
49,2003-01-15,12197,12368,12197,12286,23820
50,2003-01-16,12238,12453,12152,12413,36700
51,2003-01-17,12368,12541,12197,12327,11144
52,2003-01-20,12325,12454,12197,12457,14870
53,2003-01-21,12282,12454,12197,12457,14032
54,2003-01-22,12540,12540,12238,12413,10080
55,2003-01-23,12239,12497,12197,12242,4570
56,2003-01-24,12196,12324,12023,12026,11772
57,2003-01-27,12023,12023,11593,12026,9842
58,2003-01-28,12024,12110,11852,12112,18130
59,2003-01-29,12025,12240,11853,12199,11160
60,2003-01-30,12196,12453,12196,12413,14900
61,2003-02-03,12110,12624,12110,12629,7350
62,2003-02-04,12798,12798,11509,12286,150860
63,2003-02-05,12282,12454,11982,12457,15070
64,2003-02-06,12368,12454,12110,12370,25230
65,2003-02-07,12110,12282,11982,12112,11866
66,2003-02-10,11852,12282,11852,12112,10930
67,2003-02-11,12067,12238,11895,12026,9330
68,2003-02-12,11939,11983,11896,11941,4618
69,2003-02-13,11937,12110,11937,12026,7753
70,2003-02-14,12024,12110,11852,12112,7850
71,2003-02-17,12110,12197,12110,12112,13693
72,2003-02-18,12111,12154,11983,11984,6282
73,2003-02-19,12025,12283,12025,12156,15690
74,2003-02-20,12369,12713,12198,12199,22552
75,2003-02-21,12110,12196,12067,12069,10590
76,2003-02-24,12110,12410,12067,12413,16270
77,2003-02-25,12111,12369,12111,12199,3010
78,2003-02-26,12111,12455,12111,12156,3930
79,2003-02-27,12068,12110,11938,12112,4260
80,2003-02-28,12153,12411,12024,12112,5080
81,2003-03-03,12240,12240,11939,12199,3290
82,2003-03-04,12198,12240,11983,12199,1950
83,2003-03-05,12025,12198,11768,12199,14810
84,2003-03-06,12025,12025,11853,11941,6650
85,2003-03-07,11938,11938,11553,11554,10205
86,2003-03-10,11895,11895,11336,11511,6120
87,2003-03-11,11250,11852,10822,11082,41975
88,2003-03-12,11164,11508,10993,11468,18849
89,2003-03-13,11295,11595,11251,11597,14140
90,2003-03-14,11594,11896,11337,11768,14550
91,2003-03-17,11937,11937,11164,11855,18420
92,2003-03-18,11939,11939,11554,11941,12470
93,2003-03-19,11853,11939,11682,11941,8950
94,2003-03-20,11809,11937,11593,11855,38694
95,2003-03-21,11724,11810,11594,11684,9930
96,2003-03-24,11681,11810,11594,11768,15021
97,2003-03-25,11680,11680,11464,11511,9941
98,2003-03-26,11594,11852,11594,11768,19937
99,2003-03-27,11766,11809,11552,11726,23560
100,2003-03-28,11508,11723,11164,11726,28000
101,2003-03-31,11553,11681,11209,11684,51720
102,2003-04-01,11638,11638,11338,11426,27310
103,2003-04-02,11250,11464,11250,11468,17500
104,2003-04-03,11594,12197,11509,11768,188708
105,2003-04-04,11852,12068,11509,11768,33680
106,2003-04-07,12281,12711,12110,12672,85200
107,2003-04-08,12153,12411,12110,12112,36210
108,2003-04-09,12281,12281,11552,11855,50940
109,2003-04-10,11509,11896,11509,11899,38100
110,2003-04-11,11896,11982,11767,11768,29232
111,2003-04-14,11768,11983,11725,11984,28784
112,2003-04-15,11982,12239,11938,12242,18310
113,2003-04-16,12197,12454,12024,12457,21748
114,2003-04-17,12239,12498,12239,12499,17820
115,2003-04-18,12540,12968,12453,12973,30987
116,2003-04-21,13140,13570,13098,13444,80171
117,2003-04-22,13485,13613,13184,13529,47460
118,2003-04-23,13656,13699,13226,13702,33924
119,2003-04-24,13486,14645,13486,14432,116420
120,2003-04-25,14603,14603,13486,13873,52379
121,2003-04-28,13872,13872,13313,13529,28118
122,2003-04-29,13398,13741,13398,13744,45770
123,2003-04-30,14129,14129,13656,13830,34470
124,2003-05-02,13655,13784,13655,13744,35522
125,2003-05-06,13656,13999,13313,13573,13440
126,2003-05-07,13570,14429,13570,14347,27480
127,2003-05-09,13956,14602,13956,14603,10891
128,2003-05-12,14602,14602,14387,14603,36390
129,2003-05-13,14430,14558,14343,14519,11410
130,2003-05-14,14515,14601,14386,14560,16640
131,2003-05-15,14603,14988,14559,14818,191750
132,2003-05-16,14816,15716,14816,15463,33490
133,2003-05-19,15418,15460,15031,15335,5207
134,2003-05-20,15031,15375,14172,15205,10566
135,2003-05-21,15417,15545,15202,15463,51410
136,2003-05-22,15461,16277,15461,16194,65218
137,2003-05-23,16321,16534,15676,16150,134300
138,2003-05-26,16319,16448,15459,16021,77740
139,2003-05-27,16062,16321,15634,16194,29690
140,2003-05-28,15975,16104,15633,16065,173900
141,2003-05-29,15891,16019,15891,15935,27800
142,2003-05-30,15761,15890,15675,15850,48130
