,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,28050,28050,25200,25600,160
1,2000-01-05,25600,25600,22550,23000,27870
2,2000-01-06,24000,24000,21500,21800,12730
3,2000-01-07,21800,22700,21800,22300,1700
4,2000-01-10,21500,23300,21500,22800,12570
5,2000-01-11,23000,23700,22600,23100,8070
6,2000-01-12,23100,23500,23100,23100,2280
7,2000-01-13,22500,26500,22500,26500,45160
8,2000-01-14,26000,29800,25500,29000,47080
9,2000-01-17,27600,30500,25500,26000,63430
10,2000-01-18,26100,26500,24100,25000,15060
11,2000-01-19,25100,25100,24000,24000,21630
12,2000-01-20,22500,23100,21600,23000,23010
13,2000-01-21,22500,23600,22000,23600,1370
14,2000-01-24,24500,24500,22000,22000,6660
15,2000-01-25,24000,24000,21950,21950,4450
16,2000-01-26,22000,23000,21000,21050,9880
17,2000-01-27,22000,22900,20500,22800,172840
18,2000-01-28,23000,25900,22000,25900,88970
19,2000-01-31,24100,24700,23900,23900,5090
20,2000-02-01,24900,24950,24000,24200,7310
21,2000-02-02,24800,27800,23600,27800,65060
22,2000-02-03,27000,28500,26000,28500,15880
23,2000-02-07,27600,28000,26000,27900,7200
24,2000-02-08,26350,27900,26050,26500,17710
25,2000-02-09,25300,26800,25000,25800,8190
26,2000-02-10,24900,25300,23050,25000,10450
27,2000-02-11,24950,26900,22950,23000,38090
28,2000-02-14,24900,24900,22600,23000,11450
29,2000-02-15,23000,24000,22500,23150,6180
30,2000-02-16,22500,24000,22100,22100,24110
31,2000-02-17,23700,25400,23050,25400,73190
32,2000-02-18,24500,27000,24500,26050,128390
33,2000-02-21,25050,27000,24600,27000,39540
34,2000-02-22,25600,26600,25350,25900,6860
35,2000-02-23,25500,26000,25000,26000,4500
36,2000-02-24,25200,26100,24900,26000,13170
37,2000-02-25,25000,25100,24050,24500,2380
38,2000-02-28,24000,24450,22500,23600,3580
39,2000-02-29,24550,25800,23500,25800,5080
40,2000-03-02,24750,25500,24700,24800,4000
41,2000-03-03,26000,26000,24550,24550,3460
42,2000-03-06,25900,25900,23100,23500,20380
43,2000-03-07,23850,24400,23000,23600,14810
44,2000-03-08,23100,23800,22800,23200,8600
45,2000-03-09,22700,23700,22700,23100,7780
46,2000-03-10,23100,23400,22800,23350,5560
47,2000-03-13,23100,24400,23100,23450,10110
48,2000-03-14,24300,24400,21200,22800,11710
49,2000-03-15,22800,25200,22500,25200,45110
50,2000-03-16,23000,24400,23000,23700,4460
51,2000-03-17,24500,24600,23200,23300,6560
52,2000-03-20,24200,24250,23300,23700,4780
53,2000-03-21,23800,23800,22800,22850,5160
54,2000-03-22,23200,23500,22700,22800,171300
55,2000-03-23,23000,23350,21600,22000,28460
56,2000-03-24,22900,22900,21850,22000,23040
57,2000-03-27,22500,23000,22050,22450,12280
58,2000-03-28,21900,22500,21900,22000,7110
59,2000-03-29,21800,22000,21000,21000,114580
60,2000-03-30,23800,23900,21350,23000,151980
61,2000-03-31,23500,26400,21150,26400,73820
62,2000-04-03,22500,23000,22450,22450,56050
63,2000-04-04,21100,21850,20500,21000,9820
64,2000-04-06,20500,20550,19100,19100,20750
65,2000-04-07,18000,19200,18000,18900,14900
66,2000-04-10,19200,20400,18300,18600,54630
67,2000-04-11,19500,19500,17350,17350,31520
68,2000-04-12,17550,17700,17100,17350,30890
69,2000-04-14,16500,17200,15250,15550,34180
70,2000-04-17,14100,14100,13250,13250,34750
71,2000-04-18,13550,14000,13000,13200,97090
72,2000-04-19,14200,15150,12000,14500,334100
73,2000-04-20,14600,15850,14000,15400,253160
74,2000-04-21,16200,16800,15200,16500,199180
75,2000-04-24,16500,17000,16200,16200,99760
76,2000-04-25,15800,16000,15000,15600,41630
77,2000-04-26,15700,16300,14200,14200,73860
78,2000-04-27,14600,14600,13300,13700,37200
79,2000-04-28,13800,15750,13800,15750,195740
80,2000-05-02,15800,17500,15500,16150,146150
81,2000-05-03,15800,15800,15300,15500,46450
82,2000-05-04,15600,16200,15100,15400,51190
83,2000-05-08,15350,16050,15350,15500,55200
84,2000-05-09,15600,16500,15200,15650,51810
85,2000-05-10,15500,15500,15000,15050,30500
86,2000-05-12,14550,15500,14100,14400,50040
87,2000-05-15,14050,14050,12950,13000,28790
88,2000-05-16,13200,13500,12100,13000,33290
89,2000-05-17,13000,13300,11050,11050,106200
90,2000-05-18,11050,11050,9410,10400,36190
91,2000-05-19,10450,10450,9500,10300,37650
92,2000-05-22,9710,9750,8910,8910,17270
93,2000-05-23,8960,9000,8350,8800,21870
94,2000-05-24,8850,9500,8400,8990,18820
95,2000-05-25,9300,10100,9030,10100,16650
96,2000-05-26,10150,10400,9190,9190,26300
97,2000-05-29,7820,9200,7820,8800,10220
98,2000-05-30,9500,10100,9500,10050,12960
99,2000-05-31,10900,11000,10250,10800,35790
100,2000-06-01,10800,10800,10200,10550,20280
101,2000-06-02,10750,11300,10450,10500,32630
102,2000-06-05,10700,11300,10500,11150,51420
103,2000-06-07,11200,12400,10800,11850,157240
104,2000-06-08,12100,12700,10800,10800,72940
105,2000-06-09,10850,11000,10200,10800,67090
106,2000-06-12,10400,10750,10150,10150,50650
107,2000-06-13,10150,10800,10000,10050,86380
108,2000-06-14,9700,10300,9700,9900,8110
109,2000-06-15,9900,9900,9130,9140,12200
110,2000-06-16,8550,9500,8550,9500,16350
111,2000-06-19,9110,9380,8650,8900,19710
112,2000-06-20,9010,9400,8920,9020,28410
113,2000-06-21,9190,9760,9070,9500,46920
114,2000-06-22,9700,9900,9320,9500,22620
115,2000-06-23,9520,9700,9200,9550,60150
116,2000-06-26,9540,10200,9300,9700,59660
117,2000-06-27,10000,11100,9800,10700,165460
118,2000-06-28,10900,12300,10400,11500,200390
119,2000-06-29,11650,11900,10750,10800,68350
120,2000-06-30,11400,11400,10900,11300,33450
121,2000-07-03,10800,11850,10800,11450,58550
122,2000-07-04,11550,11950,11000,11550,84350
123,2000-07-05,11800,12300,11400,11700,121750
124,2000-07-06,11700,11900,11200,11700,85470
125,2000-07-07,12000,13450,12000,12600,219550
126,2000-07-10,12450,12800,11900,12200,69560
127,2000-07-11,12600,12600,11700,12000,86570
128,2000-07-12,12050,12300,11200,11400,76420
129,2000-07-13,11450,11750,11450,11600,25560
130,2000-07-14,11650,11800,11300,11350,33270
131,2000-07-18,11800,11800,10800,11350,35290
132,2000-07-19,10900,11250,10150,11250,20770
133,2000-07-20,11300,11300,10400,11000,27780
134,2000-07-21,11050,11300,11050,11050,14510
135,2000-07-24,11100,11300,10550,10550,45270
136,2000-07-25,10600,10750,10600,10750,8280
137,2000-07-26,10900,11000,10500,10500,22930
138,2000-07-27,10400,10500,10050,10100,4630
139,2000-07-28,10000,10150,9620,9650,9930
140,2000-07-31,9500,9500,9030,9300,6690
141,2000-08-01,9300,9800,9300,9800,10530
142,2000-08-02,9410,9790,9410,9650,4470
143,2000-08-03,9750,9900,9500,9700,6540
144,2000-08-04,9800,9800,9500,9650,3750
145,2000-08-07,9600,9700,9400,9600,4860
146,2000-08-08,9600,9750,9120,9750,66570
147,2000-08-09,9900,11200,9500,11200,51360
148,2000-08-10,12150,12400,10650,10800,116180
149,2000-08-11,11000,11650,10800,11200,37210
150,2000-08-14,11300,12200,11300,11750,437330
151,2000-08-16,12000,13500,11500,13500,196100
152,2000-08-17,13600,14850,12500,13900,216740
153,2000-08-18,13500,14000,12450,13100,57910
154,2000-08-21,12800,12800,11950,12000,35180
155,2000-08-22,12200,12250,11650,12100,22500
156,2000-08-23,12100,12700,11800,11900,20470
157,2000-08-24,11900,11900,11400,11850,13350
158,2000-08-25,10600,12000,10600,12000,14270
159,2000-08-28,12300,12350,11700,11950,10360
160,2000-08-29,12200,12300,11600,12050,14670
161,2000-08-30,11750,12050,11650,11850,10090
162,2000-08-31,12000,12000,11000,11400,9620
163,2000-09-01,11800,12400,11200,11800,15660
164,2000-09-04,11800,12300,11800,12200,14220
165,2000-09-05,12400,12800,12000,12300,25110
