,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,67475,68595,62982,65225,111160
1,2000-01-05,62060,63850,59138,61627,134280
2,2000-01-06,64103,64103,55775,56678,173480
3,2000-01-07,56654,60257,56214,57354,137920
4,2000-01-10,58448,60248,55306,57125,113540
5,2000-01-11,55779,58481,55779,56231,113520
6,2000-01-12,58026,59378,56226,56450,179100
7,2000-01-13,56205,57543,54853,56002,129040
8,2000-01-14,62500,62500,58008,60047,299480
9,2000-01-17,58705,61628,58023,60952,186900
10,2000-01-18,60728,63661,59376,63655,363500
11,2000-01-19,63633,63633,59361,62750,273020
12,2000-01-20,62735,63647,59812,62522,189520
13,2000-01-21,60713,64303,59810,61180,169360
14,2000-01-24,59830,67937,59830,65225,296180
15,2000-01-25,64299,65212,61829,62979,264460
16,2000-01-26,66094,67444,63171,63198,281220
17,2000-01-27,63876,65008,62526,63426,178940
18,2000-01-28,62086,64558,62086,63426,202100
19,2000-01-31,62982,71530,61632,65225,701840
20,2000-02-01,65212,66332,62729,62979,274160
21,2000-02-02,62986,65456,62084,64778,239300
22,2000-02-03,63871,66113,63651,63873,170880
23,2000-02-07,62986,65676,62986,64778,230000
24,2000-02-08,65220,68822,63430,66577,325600
25,2000-02-09,66567,76465,66567,69727,1693440
26,2000-02-10,71048,71278,63633,65672,642080
27,2000-02-11,67013,67013,62970,64997,324180
28,2000-02-14,63193,66798,60723,60723,249780
29,2000-02-15,58690,64535,58690,61180,224100
30,2000-02-16,61159,64299,58687,62979,169060
31,2000-02-17,62983,63873,59830,62303,175420
32,2000-02-18,62051,63854,59799,60276,194840
33,2000-02-21,59376,62978,57123,58030,310220
34,2000-02-22,58023,58706,56453,58030,121740
35,2000-02-23,58011,61601,58011,60276,127840
36,2000-02-24,60490,63850,58908,61627,218220
37,2000-02-25,60268,62738,59378,62075,113940
38,2000-02-28,59818,63871,59818,62075,121860
39,2000-02-29,64767,64767,60945,62522,137880
40,2000-03-02,62068,62971,60268,62075,140780
41,2000-03-03,60731,62521,58931,59153,110100
42,2000-03-06,59808,62498,58688,61627,402640
43,2000-03-07,59818,62971,59818,62075,209440
44,2000-03-08,60699,61819,59799,61399,104540
45,2000-03-09,61387,66112,59600,59600,491600
46,2000-03-10,61610,64763,60258,61627,239560
47,2000-03-13,64291,66994,62051,63198,663380
48,2000-03-14,63417,66337,59812,62522,395880
49,2000-03-15,62078,64098,60508,63655,269320
50,2000-03-16,65212,68352,62059,62979,476320
51,2000-03-17,64305,64305,61615,62522,207180
52,2000-03-20,61398,66801,61398,63655,217940
53,2000-03-21,64758,67908,63406,67471,447480
54,2000-03-22,67457,69037,65434,67024,401760
55,2000-03-23,67443,70596,65871,66120,1001240
56,2000-03-24,66587,67475,63435,65225,396540
57,2000-03-27,64751,67443,63631,66120,503720
58,2000-03-28,67443,69243,65641,66120,607560
59,2000-03-29,65654,69489,64764,67024,915620
60,2000-03-30,67025,67025,62982,65225,246620
61,2000-03-31,64290,65640,62500,64549,247880
62,2000-04-03,62960,64530,60258,61627,315960
63,2000-04-04,59378,62068,59378,62075,250460
64,2000-04-06,61151,62051,59799,60276,118200
65,2000-04-07,59808,62498,59138,61627,186680
66,2000-04-10,60709,63849,60027,62979,248180
