,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,6789,7487,6789,7488,2247400
1,2000-01-05,7360,8311,7042,8313,2645080
2,2000-01-06,8247,8247,7169,7361,1862150
3,2000-01-07,7613,7772,7232,7614,1593500
4,2000-01-10,7486,7740,7392,7457,1043950
5,2000-01-11,7360,7677,7329,7488,1234510
6,2000-01-12,7360,7423,7042,7044,882660
7,2000-01-13,6915,7297,6915,7265,834680
8,2000-01-14,7550,7550,7011,7075,767130
9,2000-01-17,6914,6979,6535,6821,962490
10,2000-01-18,6661,6789,6439,6472,991200
11,2000-01-19,6408,6471,5773,5838,1318060
12,2000-01-20,5582,5772,5329,5450,1090070
13,2000-01-21,5527,6020,5329,5522,1547900
14,2000-01-24,5399,5703,5399,5457,1354630
15,2000-01-25,5392,5406,5265,5268,796140
16,2000-01-26,5297,5531,5171,5425,1107040
17,2000-01-27,5468,6040,5424,5997,1392730
18,2000-01-28,6027,6116,5804,5926,925730
19,2000-01-31,5804,6084,5646,6029,922460
20,2000-02-01,6281,6756,6160,6727,1978000
21,2000-02-02,6724,7074,6407,6821,1496410
22,2000-02-03,6821,6979,6662,6663,702530
23,2000-02-07,6535,6915,6408,6663,1386450
24,2000-02-08,6535,6789,6439,6727,754430
25,2000-02-09,6662,6821,6408,6440,1042250
26,2000-02-10,6344,6344,5729,5908,1234130
27,2000-02-11,5716,6027,5551,5692,1373570
28,2000-02-14,5424,5899,5424,5463,959600
29,2000-02-15,5487,5684,5405,5463,774600
30,2000-02-16,5488,5614,5399,5604,849780
31,2000-02-17,5602,5805,5495,5794,997720
32,2000-02-18,5710,5754,5456,5502,866220
33,2000-02-21,5418,5456,5145,5172,640910
34,2000-02-22,5202,5309,4909,5013,636120
35,2000-02-23,5075,5735,5050,5522,1207080
36,2000-02-24,5202,5488,5081,5108,754410
37,2000-02-25,5012,5260,4949,5089,639000
38,2000-02-28,5005,5202,4884,4886,860830
39,2000-02-29,5264,5316,4916,4918,884200
40,2000-03-02,5139,5392,4981,5204,2097070
41,2000-03-03,5202,5234,4986,5026,1043270
42,2000-03-06,5202,5551,5043,5425,2132440
43,2000-03-07,5425,5831,5278,5559,2093880
44,2000-03-08,5386,5532,5335,5457,1171650
45,2000-03-09,5773,5823,5551,5584,1852960
46,2000-03-10,5646,5697,5405,5425,1137530
47,2000-03-13,5329,5609,5214,5260,1185530
48,2000-03-14,5202,5323,5075,5121,772140
49,2000-03-15,4973,5170,4973,5077,825300
50,2000-03-16,5399,5513,5171,5331,3026390
51,2000-03-17,5709,5709,5424,5457,2156370
52,2000-03-20,5367,5646,5240,5432,1241390
53,2000-03-21,5430,5641,5392,5584,1479230
54,2000-03-22,5696,6152,5589,6092,2977420
55,2000-03-23,6027,6338,5861,5863,1718040
56,2000-03-24,6153,6153,5938,6136,1616190
57,2000-03-27,6344,6852,6287,6536,2555110
58,2000-03-28,6407,6628,6248,6409,1604720
59,2000-03-29,6535,7360,6472,7171,5339710
60,2000-03-30,7424,7487,7043,7171,3590640
61,2000-03-31,7043,7170,6662,6663,1495950
62,2000-04-03,6598,7075,6535,6789,1405800
63,2000-04-04,6598,7074,6598,6948,1181540
64,2000-04-06,6947,7042,6598,6631,781000
65,2000-04-07,6662,6948,6630,6854,1140670
66,2000-04-10,6915,7423,6789,7424,1725590
67,2000-04-11,7423,7677,6979,6981,1790200
68,2000-04-12,6883,7296,6883,7297,1463080
69,2000-04-14,7107,7392,7011,7329,812900
70,2000-04-17,6535,6852,6248,6346,1045700
71,2000-04-18,6979,6979,6440,6631,1014570
72,2000-04-19,6756,6947,6630,6727,1062310
73,2000-04-20,6662,6852,6535,6789,975790
74,2000-04-21,6820,7170,6724,7044,849430
75,2000-04-24,7105,7105,6820,6821,685650
76,2000-04-25,6693,6916,6662,6854,414570
77,2000-04-26,6915,6978,6439,6536,558130
78,2000-04-27,6343,6535,6089,6340,772940
79,2000-04-28,6217,6470,6217,6472,729190
80,2000-05-02,6344,6471,6313,6333,559970
81,2000-05-03,6249,6249,6089,6219,321850
82,2000-05-04,6096,6166,6027,6073,460560
83,2000-05-08,6027,6154,5907,5964,655230
84,2000-05-09,5963,5995,5684,5775,1180350
85,2000-05-10,5646,5741,5468,5508,2130260
86,2000-05-12,5519,5551,5106,5153,1674880
87,2000-05-15,4949,5064,4474,4474,1326660
88,2000-05-16,4446,4624,4408,4506,1605670
89,2000-05-17,4498,4505,3965,3997,1819070
90,2000-05-18,3806,3869,3686,3807,1252740
91,2000-05-19,3774,3857,3603,3820,1110560
92,2000-05-22,3711,3774,3502,3502,736280
93,2000-05-23,3362,3711,3362,3554,1048670
94,2000-05-24,3521,4060,3507,3896,1630170
95,2000-05-25,4060,4479,4053,4480,2292900
96,2000-05-26,4371,4441,4060,4061,1161350
97,2000-05-29,3876,4315,3826,4245,798300
98,2000-05-30,4320,4663,4320,4474,1407460
99,2000-05-31,4695,4777,4510,4512,1287430
100,2000-06-01,4473,4504,4346,4379,926470
101,2000-06-02,4522,4619,4359,4474,1027780
102,2000-06-05,4632,5101,4569,5102,2379380
103,2000-06-07,5019,5379,4853,5260,2544780
104,2000-06-08,5202,5297,4822,4854,1796000
105,2000-06-09,4949,5202,4707,5013,1931320
106,2000-06-12,5012,5386,4917,5204,1782890
107,2000-06-13,5011,5112,4821,4822,913560
108,2000-06-14,4821,4916,4631,4759,684620
109,2000-06-15,4757,4757,4504,4506,1175040
110,2000-06-16,4568,4758,4542,4728,1490560
111,2000-06-19,4440,4726,4434,4506,820440
112,2000-06-20,4574,4688,4517,4632,872530
113,2000-06-21,4795,5056,4663,4747,1450660
114,2000-06-22,4808,4980,4650,4753,855600
115,2000-06-23,4688,4936,4600,4873,1688640
116,2000-06-26,5012,5297,4922,5268,2042560
117,2000-06-27,5329,6027,5329,6029,4091390
118,2000-06-28,6152,6280,5836,6092,3422640
119,2000-06-29,6027,6123,5678,5794,1753190
120,2000-06-30,5773,5996,5558,5871,1407470
121,2000-07-03,5837,6091,5837,6060,1141710
122,2000-07-04,6027,6122,5646,5705,802730
123,2000-07-05,5703,5900,5519,5902,810040
124,2000-07-06,5906,6567,5900,6378,2451170
125,2000-07-07,6344,6789,6319,6631,1789950
126,2000-07-10,6661,6724,6375,6472,1335550
127,2000-07-11,6598,6914,6375,6409,2257220
128,2000-07-12,6598,6598,6172,6282,1123570
129,2000-07-13,6281,6470,6153,6409,1055200
130,2000-07-14,6440,6471,6153,6155,699710
131,2000-07-18,6027,6148,5806,5895,744590
132,2000-07-19,5773,5837,5646,5687,622310
133,2000-07-20,5527,5830,5469,5648,908820
134,2000-07-21,5895,5895,5653,5724,688380
135,2000-07-24,5583,5703,5488,5502,524520
136,2000-07-25,5405,5646,5329,5540,609200
137,2000-07-26,5392,5868,5392,5838,618640
138,2000-07-27,5716,5798,5601,5705,710830
139,2000-07-28,5558,5691,5558,5591,580290
140,2000-07-31,5582,5646,5361,5629,568240
141,2000-08-01,5677,5799,5589,5761,498050
142,2000-08-02,5634,5754,5539,5648,764460
143,2000-08-03,5646,5710,5551,5648,601270
144,2000-08-04,5589,5646,5456,5457,291350
145,2000-08-07,5361,5500,5202,5204,355350
146,2000-08-08,5202,5309,5074,5077,299970
147,2000-08-09,5138,5804,5138,5743,1253890
148,2000-08-10,5658,5875,5468,5838,951480
149,2000-08-11,5703,5946,5646,5914,744300
150,2000-08-14,5989,6039,5741,5788,810970
151,2000-08-16,5710,6090,5602,5889,1632830
152,2000-08-17,5709,5830,5678,5775,739690
153,2000-08-18,5772,5836,5526,5546,652600
154,2000-08-21,5392,5488,5273,5287,468740
155,2000-08-22,5297,5424,5297,5299,502430
156,2000-08-23,5456,5456,5202,5210,521680
157,2000-08-24,5208,5222,4986,5045,1377730
158,2000-08-25,5075,5126,4986,5045,584750
159,2000-08-28,5075,5094,4993,5019,586870
160,2000-08-29,4961,5361,4961,5268,700920
161,2000-08-30,5303,5316,5112,5134,516070
162,2000-08-31,5107,5132,4866,5007,492850
163,2000-09-01,4884,5068,4884,4949,363290
164,2000-09-04,4897,4974,4840,4854,355150
165,2000-09-05,4853,4885,4726,4830,557990
166,2000-09-06,4828,4828,4448,4556,1825840
167,2000-09-07,4505,4505,4002,4055,3095450
168,2000-09-08,4155,4281,3996,4169,1729980
169,2000-09-14,4060,4105,3932,4100,1288280
170,2000-09-15,4002,4154,3883,3954,1296020
171,2000-09-18,3737,3737,3362,3592,1275470
172,2000-09-19,3527,3686,3494,3592,2203090
173,2000-09-20,3711,3932,3673,3909,1605260
174,2000-09-21,3806,3844,3615,3789,1065030
175,2000-09-22,3807,3807,3655,3744,758790
176,2000-09-25,3996,4028,3901,4029,915910
177,2000-09-26,3970,4052,3907,3966,926800
178,2000-09-27,3997,4093,3965,4048,701510
179,2000-09-28,4047,4269,4047,4220,1196710
180,2000-09-29,4339,4377,4218,4315,1144840
181,2000-10-02,4237,4599,4136,4385,2736440
182,2000-10-04,4276,4390,4193,4385,764990
183,2000-10-05,4377,4441,4295,4322,764220
184,2000-10-06,4251,4498,4251,4455,1034660
185,2000-10-09,4332,4408,4256,4258,592090
186,2000-10-10,4193,4276,3939,4010,801810
187,2000-10-11,3946,3997,3742,3814,792900
188,2000-10-12,3818,3965,3794,3807,563020
189,2000-10-13,3362,3647,3362,3592,1381470
190,2000-10-16,4053,4059,3825,3927,664280
191,2000-10-17,3805,3901,3634,3636,445020
192,2000-10-18,3712,3807,3540,3744,512100
193,2000-10-19,3622,3869,3622,3775,345080
194,2000-10-20,3901,3952,3692,3706,925740
195,2000-10-23,3806,3856,3642,3649,799700
196,2000-10-24,3622,3712,3528,3661,821250
197,2000-10-25,3647,3698,3615,3630,404360
198,2000-10-26,3551,3673,3551,3636,353630
199,2000-10-27,3642,3742,3608,3610,463350
200,2000-10-30,3654,3673,3583,3617,879780
201,2000-10-31,3679,3775,3622,3769,880600
202,2000-11-01,4149,4282,3964,4251,2295890
203,2000-11-02,4123,4390,4059,4385,1609130
204,2000-11-03,4441,4516,4237,4322,1383630
205,2000-11-06,4187,4377,4187,4251,781470
206,2000-11-07,4225,4276,4137,4163,714720
207,2000-11-08,4009,4249,4009,4188,545180
208,2000-11-09,4097,4358,4097,4359,503070
209,2000-11-10,4346,4346,4244,4315,351010
210,2000-11-13,4219,4219,4092,4119,286490
211,2000-11-14,4066,4174,4066,4156,233220
212,2000-11-15,4244,4287,4091,4093,486190
213,2000-11-16,4041,4180,4041,4119,246070
214,2000-11-17,4092,4142,4009,4124,295130
215,2000-11-20,4066,4129,4041,4055,187540
216,2000-11-21,3983,4021,3818,3909,388440
217,2000-11-22,3908,3990,3794,3807,282850
218,2000-11-23,3748,3755,3551,3554,560700
219,2000-11-24,3551,3716,3551,3719,707590
220,2000-11-27,3806,3850,3743,3852,561720
221,2000-11-28,3807,3807,3705,3751,340680
222,2000-11-29,3680,3712,3647,3661,261710
