,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,3721,3865,3613,3767,531080
1,2000-01-05,3838,3884,3766,3803,635480
2,2000-01-06,3847,3847,3572,3586,463990
3,2000-01-07,3522,3766,3504,3667,397720
4,2000-01-10,3748,3838,3613,3613,348200
5,2000-01-11,3631,3658,3531,3550,303140
6,2000-01-12,3486,3549,3391,3392,352980
7,2000-01-13,3305,3391,3296,3297,398240
8,2000-01-14,3342,3504,3296,3432,772320
9,2000-01-17,3432,3500,3342,3365,403390
10,2000-01-18,3369,3414,3116,3179,441950
11,2000-01-19,3161,3161,2890,2890,528220
12,2000-01-20,2890,3134,2809,3071,524520
13,2000-01-21,3062,3161,2890,3112,486100
14,2000-01-24,3089,3143,3007,3062,234290
15,2000-01-25,3007,3080,2980,2999,335770
16,2000-01-26,2940,3333,2940,3261,849150
17,2000-01-27,3342,3504,3170,3405,796170
18,2000-01-28,3405,3405,3229,3243,420140
19,2000-01-31,3165,3314,3161,3229,359040
20,2000-02-01,3251,3278,3170,3189,391330
21,2000-02-02,3161,3247,3152,3243,560810
22,2000-02-03,3287,3287,3206,3211,389810
23,2000-02-07,3215,3247,3161,3179,352100
24,2000-02-08,3161,3179,3039,3053,524210
25,2000-02-09,3039,3071,2944,2972,529370
26,2000-02-10,2913,2967,2845,2845,645050
27,2000-02-11,2845,2881,2709,2710,564710
28,2000-02-14,2574,2782,2538,2660,589710
29,2000-02-15,2619,2709,2574,2592,314690
30,2000-02-16,2610,2696,2574,2656,348660
31,2000-02-17,2619,2682,2574,2610,415440
32,2000-02-18,2574,2578,2438,2439,618440
33,2000-02-21,2393,2393,2190,2258,454200
34,2000-02-22,2298,2339,2231,2285,451640
35,2000-02-23,2258,2623,2258,2624,629870
36,2000-02-24,2623,2827,2488,2520,631810
37,2000-02-25,2610,2800,2520,2683,474970
38,2000-02-28,2682,2709,2488,2583,370630
39,2000-02-29,2601,2705,2465,2529,463570
40,2000-03-02,2529,2583,2438,2529,602770
41,2000-03-03,2619,2619,2429,2430,501840
42,2000-03-06,2447,2691,2393,2597,615510
43,2000-03-07,2619,2791,2605,2692,739010
44,2000-03-08,2565,2655,2565,2619,456360
45,2000-03-09,2578,2831,2578,2588,1669510
46,2000-03-10,2709,2845,2691,2755,1282010
47,2000-03-13,2709,2953,2691,2782,959520
48,2000-03-14,2777,2872,2664,2669,685430
49,2000-03-15,2646,2646,2574,2601,505800
50,2000-03-16,2619,2664,2560,2570,519570
51,2000-03-17,2578,2660,2578,2633,509260
52,2000-03-20,2619,2691,2592,2678,557590
53,2000-03-21,2678,2732,2578,2628,548140
54,2000-03-22,2673,2682,2601,2628,604150
55,2000-03-23,2664,2791,2637,2683,977780
56,2000-03-24,2773,2773,2664,2665,501090
57,2000-03-27,2682,2700,2610,2692,616020
58,2000-03-28,2691,2800,2664,2728,672930
59,2000-03-29,2709,2741,2691,2710,522140
60,2000-03-30,2727,2727,2547,2619,435620
61,2000-03-31,2619,2660,2574,2619,387880
62,2000-04-03,2592,2655,2529,2538,311030
63,2000-04-04,2529,2619,2447,2479,261080
64,2000-04-06,2483,2515,2393,2394,299390
65,2000-04-07,2393,2461,2393,2430,284900
66,2000-04-10,2483,2745,2438,2619,729600
67,2000-04-11,2574,2583,2492,2493,388480
68,2000-04-12,2492,2547,2447,2448,184690
69,2000-04-14,2420,2465,2393,2407,216180
70,2000-04-17,2267,2339,2167,2213,395760
71,2000-04-18,2276,2389,2258,2285,332850
72,2000-04-19,2330,2470,2330,2376,464770
73,2000-04-20,2330,2425,2330,2398,195880
74,2000-04-21,2474,2474,2348,2403,256120
75,2000-04-24,2357,2371,2325,2362,164280
76,2000-04-25,2429,2429,2312,2344,179820
77,2000-04-26,2366,2402,2253,2254,271520
78,2000-04-27,2271,2321,2231,2236,328650
79,2000-04-28,2276,2298,2249,2258,303660
80,2000-05-02,2294,2294,2240,2258,371130
81,2000-05-03,2267,2294,2267,2276,233940
82,2000-05-04,2276,2303,2258,2303,278050
83,2000-05-08,2262,2321,2262,2294,464490
84,2000-05-09,2312,2574,2312,2421,1459040
85,2000-05-10,2447,2492,2357,2358,527970
86,2000-05-12,2352,2380,2289,2348,332690
87,2000-05-15,2411,2411,2285,2285,464830
88,2000-05-16,2294,2348,2240,2330,352910
89,2000-05-17,2357,2357,2212,2213,339360
90,2000-05-18,2095,2240,2095,2141,380770
91,2000-05-19,2086,2136,1942,2114,761840
92,2000-05-22,2122,2122,1951,1951,418600
93,2000-05-23,1951,2077,1919,2050,392940
94,2000-05-24,1991,2258,1991,2177,423990
95,2000-05-25,2185,2384,2149,2371,627640
96,2000-05-26,2316,2362,2131,2258,428270
97,2000-05-29,2131,2316,2131,2290,330280
98,2000-05-30,2312,2375,2267,2321,349570
99,2000-05-31,2357,2465,2312,2312,903900
100,2000-06-01,2348,2420,2321,2412,445040
101,2000-06-02,2393,2465,2366,2412,472060
102,2000-06-05,2456,2709,2456,2647,748660
103,2000-06-07,2619,2782,2601,2768,870190
104,2000-06-08,2745,2786,2583,2583,582820
105,2000-06-09,2565,2709,2556,2606,433630
106,2000-06-12,2709,2935,2655,2809,1586820
107,2000-06-13,2908,2931,2709,2728,668180
108,2000-06-14,2727,2800,2637,2746,457910
109,2000-06-15,2687,2709,2574,2574,340540
110,2000-06-16,2578,2637,2574,2579,440110
111,2000-06-19,2578,2614,2578,2588,392230
112,2000-06-20,2592,2655,2529,2601,592790
113,2000-06-21,2691,2691,2605,2619,360300
114,2000-06-22,2709,2709,2628,2701,365550
115,2000-06-23,2700,2705,2628,2696,476580
116,2000-06-26,2709,2849,2700,2796,675510
117,2000-06-27,2845,2863,2795,2809,540260
118,2000-06-28,2849,2971,2813,2954,736360
119,2000-06-29,2998,3296,2998,3292,1484610
120,2000-06-30,3161,3233,3071,3157,1103700
121,2000-07-03,3206,3387,3188,3351,1493430
122,2000-07-04,3337,3414,3197,3297,737400
123,2000-07-05,3459,3504,3161,3351,1550790
124,2000-07-06,3351,3387,3188,3292,886840
125,2000-07-07,3292,3314,3179,3225,762920
126,2000-07-10,3251,3323,3238,3279,483420
127,2000-07-11,3251,3278,3165,3252,390170
128,2000-07-12,3305,3328,3251,3256,511920
129,2000-07-13,3170,3206,3152,3170,305720
130,2000-07-14,3206,3251,3116,3152,913300
131,2000-07-18,3170,3224,3161,3161,576740
132,2000-07-19,3206,3206,3071,3125,771090
133,2000-07-20,3152,3152,3125,3125,733560
134,2000-07-21,3080,3125,2967,3125,298880
135,2000-07-24,3125,3125,2872,2981,317190
136,2000-07-25,2754,2953,2754,2936,121200
137,2000-07-26,2931,2931,2804,2886,313450
138,2000-07-27,2881,2881,2754,2755,271830
139,2000-07-28,2759,2786,2700,2750,364610
140,2000-07-31,2754,2836,2750,2818,156170
141,2000-08-01,2818,2962,2754,2958,443000
142,2000-08-02,2971,2998,2890,2972,195580
143,2000-08-03,2971,2998,2913,2981,232020
144,2000-08-04,2980,3012,2913,2940,172660
145,2000-08-07,2944,3053,2845,2913,257990
146,2000-08-08,2922,2976,2885,2976,222610
147,2000-08-09,2980,3053,2917,3053,207770
148,2000-08-10,3053,3161,2989,3161,325920
149,2000-08-11,3156,3156,3003,3148,203200
150,2000-08-14,3152,3233,3093,3234,276430
151,2000-08-16,3233,3292,3183,3198,248430
152,2000-08-17,3197,3197,2980,3053,381690
153,2000-08-18,3025,3025,2872,2918,354560
154,2000-08-21,2913,2931,2804,2931,191020
155,2000-08-22,2935,3025,2899,3008,234720
156,2000-08-23,3007,3025,2890,2890,181980
157,2000-08-24,2899,2976,2809,2976,220020
158,2000-08-25,3025,3039,2922,3008,278840
159,2000-08-28,3071,3116,3039,3116,369030
