,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,629,629,556,594,25540
1,2000-01-05,530,563,522,523,44680
2,2000-01-06,553,563,509,537,12830
3,2000-01-07,533,533,482,524,30290
4,2000-01-10,584,587,527,587,43220
5,2000-01-11,599,657,599,658,32520
6,2000-01-12,733,735,719,736,82510
7,2000-01-13,736,808,659,717,234160
8,2000-01-14,719,727,659,698,172290
9,2000-01-17,673,719,629,689,49760
10,2000-01-18,647,689,647,686,18720
11,2000-01-19,653,684,605,629,47560
12,2000-01-20,572,596,560,597,26150
13,2000-01-21,596,599,560,571,126070
14,2000-01-24,576,613,576,615,11690
15,2000-01-25,596,596,551,583,29720
16,2000-01-26,582,599,582,600,83070
17,2000-01-27,596,596,569,595,1000
18,2000-01-28,597,608,594,598,40550
19,2000-01-31,602,666,599,667,69070
20,2000-02-01,629,651,599,644,1970
21,2000-02-02,613,669,599,660,47770
22,2000-02-03,659,673,621,666,13120
23,2000-02-07,689,704,641,692,49410
24,2000-02-08,692,692,692,692,110
25,2000-02-09,659,689,609,689,12200
26,2000-02-10,632,659,606,660,32890
27,2000-02-11,629,629,587,626,5650
28,2000-02-14,573,596,572,597,30200
29,2000-02-15,596,608,596,597,111700
30,2000-02-16,596,596,553,569,5290
31,2000-02-17,570,597,569,592,23450
32,2000-02-18,569,587,569,584,29600
33,2000-02-21,584,587,553,584,15930
34,2000-02-22,548,584,539,572,9200
35,2000-02-23,578,599,575,578,67630
36,2000-02-24,578,605,545,606,36570
37,2000-02-25,653,653,572,612,16700
38,2000-02-28,610,682,578,666,196640
39,2000-02-29,667,744,638,745,221240
40,2000-03-02,787,833,752,833,189020
41,2000-03-03,833,833,749,778,77690
42,2000-03-06,830,830,749,775,59450
43,2000-03-07,764,784,681,700,96880
44,2000-03-08,659,719,632,703,42860
45,2000-03-09,701,786,670,787,143610
46,2000-03-10,812,881,808,878,303910
47,2000-03-13,884,982,878,914,275920
48,2000-03-14,928,928,833,854,129540
49,2000-03-15,955,955,907,956,116470
50,2000-03-16,1069,1069,964,1070,324440
51,2000-03-17,964,1018,942,943,69300
52,2000-03-20,830,830,830,830,12050
53,2000-03-21,730,730,730,732,11140
54,2000-03-22,724,812,724,805,177500
55,2000-03-23,808,824,708,743,105170
56,2000-03-24,713,776,682,748,75890
57,2000-03-27,722,836,719,836,161900
58,2000-03-28,884,935,884,935,161660
59,2000-03-29,964,1021,844,890,363840
60,2000-03-30,812,925,812,884,102670
61,2000-03-31,824,988,824,989,176760
62,2000-04-03,1107,1107,1093,1107,283910
63,2000-04-04,988,1168,975,1013,390840
64,2000-04-06,1018,1059,910,949,188050
65,2000-04-07,988,1059,950,1034,235600
66,2000-04-10,1042,1156,1042,1157,413200
67,2000-04-11,1048,1066,1018,1019,105970
68,2000-04-12,955,1105,928,971,146160
69,2000-04-14,944,1085,898,1079,371660
70,2000-04-17,950,979,950,950,186640
71,2000-04-18,958,988,836,878,223710
72,2000-04-19,898,982,898,981,423580
73,2000-04-20,1048,1098,988,1098,333140
74,2000-04-21,1228,1228,998,1070,954050
75,2000-04-24,1048,1156,1004,1076,438640
76,2000-04-25,1051,1108,988,1001,238220
77,2000-04-26,1018,1069,941,959,204230
78,2000-04-27,958,985,898,911,200180
79,2000-04-28,928,928,865,869,153740
80,2000-05-02,913,913,847,863,94170
81,2000-05-03,840,955,840,941,229470
82,2000-05-04,958,1012,898,929,287340
83,2000-05-08,928,955,921,935,131730
84,2000-05-09,958,958,884,907,115650
85,2000-05-10,888,922,881,911,177760
86,2000-05-12,890,981,890,929,328860
87,2000-05-15,955,1039,944,1040,646140
88,2000-05-16,1069,1069,919,956,286800
89,2000-05-17,973,1001,853,872,230060
90,2000-05-18,853,868,780,781,236350
91,2000-05-19,724,808,719,755,334420
92,2000-05-22,742,776,708,732,213070
93,2000-05-23,673,727,644,666,156900
94,2000-05-24,635,669,590,644,95530
95,2000-05-25,673,720,659,718,197950
96,2000-05-26,673,714,632,644,99100
97,2000-05-29,602,670,581,650,50070
98,2000-05-30,644,695,644,686,78110
99,2000-05-31,704,749,704,733,139950
100,2000-06-01,710,713,667,701,55270
101,2000-06-02,707,784,704,786,268520
102,2000-06-05,792,853,792,809,143150
103,2000-06-07,733,838,733,780,51620
104,2000-06-08,779,824,738,776,94940
105,2000-06-09,765,793,733,757,50760
106,2000-06-12,708,764,708,758,35140
107,2000-06-13,733,759,689,732,31300
108,2000-06-14,733,758,723,729,29030
109,2000-06-15,727,733,689,704,17850
110,2000-06-16,771,771,686,704,27240
111,2000-06-19,689,704,654,685,21120
112,2000-06-20,689,704,659,673,30860
113,2000-06-21,719,730,689,720,38910
114,2000-06-22,719,719,679,692,19050
115,2000-06-23,682,716,656,685,21170
116,2000-06-26,663,704,663,677,12040
117,2000-06-27,698,710,647,677,35070
118,2000-06-28,679,692,667,677,27870
119,2000-06-29,689,704,673,691,19120
120,2000-06-30,689,689,662,677,50080
121,2000-07-03,667,684,654,669,44550
122,2000-07-04,747,747,747,748,41250
123,2000-07-05,749,812,662,704,154000
124,2000-07-06,707,724,681,692,45370
125,2000-07-07,707,707,667,685,52320
126,2000-07-10,689,733,684,701,54430
127,2000-07-11,701,705,667,686,30530
128,2000-07-12,693,696,659,692,17580
129,2000-07-13,676,704,675,697,9070
130,2000-07-14,696,701,676,686,18660
131,2000-07-18,689,713,673,707,62730
132,2000-07-19,686,790,662,791,46920
133,2000-07-20,761,761,699,713,75160
134,2000-07-21,722,770,679,717,87460
135,2000-07-24,735,801,735,802,393870
136,2000-07-25,793,821,736,764,208040
137,2000-07-26,752,799,719,748,145400
138,2000-07-27,752,836,747,836,459310
139,2000-07-28,895,913,756,800,426240
140,2000-07-31,781,808,742,769,111860
141,2000-08-01,781,836,779,790,141280
142,2000-08-02,779,815,779,794,116540
143,2000-08-03,793,815,764,781,182070
144,2000-08-04,764,793,756,772,116820
145,2000-08-07,787,827,767,800,182670
146,2000-08-08,804,893,799,881,379280
147,2000-08-09,868,884,808,823,257600
148,2000-08-10,822,859,810,851,157920
149,2000-08-11,859,859,815,838,155330
150,2000-08-14,836,836,790,806,55100
151,2000-08-16,792,824,784,805,42290
152,2000-08-17,781,818,779,793,35720
153,2000-08-18,781,808,779,797,44080
154,2000-08-21,802,836,802,823,61440
155,2000-08-22,822,872,822,851,354480
156,2000-08-23,850,853,812,833,159960
157,2000-08-24,818,925,813,860,448690
158,2000-08-25,853,868,816,824,144950
159,2000-08-28,824,828,784,806,142920
160,2000-08-29,802,818,789,806,71070
161,2000-08-30,807,812,784,800,47210
162,2000-08-31,799,799,758,764,49650
163,2000-09-01,744,789,744,780,36470
164,2000-09-04,749,784,749,780,50580
165,2000-09-05,779,779,756,770,15820
166,2000-09-06,770,770,736,755,40510
167,2000-09-07,722,755,701,718,47760
168,2000-09-08,722,722,689,704,49800
169,2000-09-14,673,682,644,683,56670
170,2000-09-15,679,696,645,675,20010
171,2000-09-18,648,660,593,610,39470
