,날짜,시가,고가,저가,종가,거래량
0,2000-11-23,9990,9990,8500,8500,68440
1,2000-11-24,7230,7230,7230,7230,16800
2,2000-11-27,6810,7760,6700,7120,346830
3,2000-11-28,7450,7450,6900,6990,181560
4,2000-11-29,6820,6980,6470,6510,87000
5,2000-11-30,6520,6690,5900,6010,105400
6,2000-12-01,5620,6730,5620,6400,77800
7,2000-12-04,6040,6300,5900,5900,71310
8,2000-12-05,5710,5900,5550,5650,64040
9,2000-12-06,5750,5790,5400,5400,83850
10,2000-12-07,5020,5300,5020,5060,35650
11,2000-12-08,5110,5330,5070,5230,59780
12,2000-12-11,5400,5400,5100,5110,47620
13,2000-12-12,5050,5200,5050,5120,53930
14,2000-12-13,5070,5840,5060,5290,146150
15,2000-12-14,5210,5270,5150,5180,38070
16,2000-12-15,5150,5240,5040,5060,37830
17,2000-12-18,4990,5170,4950,5030,42700
18,2000-12-19,4950,5050,4855,4855,39770
19,2000-12-20,4850,4850,4260,4300,49960
20,2000-12-21,3950,4490,3810,4180,40710
21,2000-12-22,4170,4170,3845,3845,26230
22,2000-12-26,3910,3950,3800,3870,44710
23,2001-01-02,3900,4230,3900,4070,29600
24,2001-01-03,4090,4130,3910,4090,44670
25,2001-01-04,4210,4385,4180,4280,64520
26,2001-01-05,4210,4340,4130,4235,59250
27,2001-01-08,4230,4660,4110,4545,110290
28,2001-01-09,4840,5220,4680,5220,248380
29,2001-01-10,5350,5940,4850,5200,240650
30,2001-01-11,5500,5500,5020,5200,62040
31,2001-01-12,5200,5410,5100,5270,162120
32,2001-01-15,5220,5270,5010,5100,118020
33,2001-01-16,5020,5170,4750,4930,74190
34,2001-01-17,4830,4970,4715,4830,43470
35,2001-01-18,4715,4850,4680,4695,48940
36,2001-01-19,4605,4770,4605,4630,21760
37,2001-01-22,4600,5140,4600,5140,53510
38,2001-01-26,5430,5430,4855,4880,31520
39,2001-01-29,4805,5290,4805,5250,43930
40,2001-01-30,5350,5590,5150,5400,90110
41,2001-01-31,5360,5580,5200,5300,39710
42,2001-02-01,5500,6090,5400,6090,149110
43,2001-02-02,6390,7000,5710,6000,379080
44,2001-02-05,6190,6190,5460,5610,95780
45,2001-02-06,5690,5740,5400,5500,73840
46,2001-02-07,5600,6290,5450,5910,234460
47,2001-02-08,5670,5880,5530,5600,121370
48,2001-02-09,6290,6330,5880,6100,328490
49,2001-02-12,6150,6420,6000,6400,150260
50,2001-02-13,6490,7360,6490,7360,556670
51,2001-02-14,7370,8430,7010,7760,478080
52,2001-02-15,7800,8150,7460,7500,250090
53,2001-02-16,7550,8620,7550,8620,403540
54,2001-02-19,9000,9910,8900,9910,155520
55,2001-02-20,11350,11350,9500,10100,591630
56,2001-02-21,9710,10050,9300,9450,176180
57,2001-02-22,9640,9640,8210,8610,189980
58,2001-02-23,7500,8950,7500,8300,110340
59,2001-02-26,8410,9540,8410,9530,227090
60,2001-02-27,9450,9900,9000,9200,181780
61,2001-02-28,8900,9490,8900,9110,104830
62,2001-03-02,9000,9150,8130,8130,72570
63,2001-03-05,7750,8130,7250,8000,92410
64,2001-03-06,8100,8410,7900,8000,81550
