,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,7838,7951,7596,7910,69180
1,2000-01-05,7911,8234,7669,8015,122480
2,2000-01-06,8072,8315,7515,7749,85870
3,2000-01-07,7911,7911,7669,7781,65960
4,2000-01-10,7790,7992,7790,7943,75800
5,2000-01-11,7943,8193,7830,7991,91860
6,2000-01-12,8436,9162,8395,9162,443840
7,2000-01-13,9969,10050,8557,9202,1262900
8,2000-01-14,8960,9606,8718,9606,412450
9,2000-01-17,9525,9848,9041,9041,257980
10,2000-01-18,8718,9122,8597,8879,217050
11,2000-01-19,8920,8960,8234,8233,160740
12,2000-01-20,7911,8395,7677,7830,72090
13,2000-01-21,7830,8436,7669,7910,114960
14,2000-01-24,7911,8395,7871,8023,91510
15,2000-01-25,7911,8234,7871,7991,89120
16,2000-01-26,8153,8153,7717,7830,78110
17,2000-01-27,8072,8799,7911,8476,208430
18,2000-01-28,8637,8799,8315,8476,183680
19,2000-01-31,8476,8637,8234,8556,111090
20,2000-02-01,8799,9122,8557,8879,397790
21,2000-02-02,8960,9203,8637,9041,226120
22,2000-02-03,9041,9203,8839,9121,177260
23,2000-02-07,9122,9525,9041,9202,142920
24,2000-02-08,9162,9445,9122,9404,171460
25,2000-02-09,9324,9566,9324,9444,141550
26,2000-02-10,9445,9445,8476,9121,130860
27,2000-02-11,8880,9162,8557,9121,160660
28,2000-02-14,8718,9122,8718,8879,50410
29,2000-02-15,8799,9041,8234,8274,67250
30,2000-02-16,8476,8476,7911,8314,52560
31,2000-02-17,8315,8476,7927,8153,32610
32,2000-02-18,8072,8274,7830,7838,92280
33,2000-02-21,7669,7750,7386,7668,95610
34,2000-02-22,7427,7911,7427,7434,52400
35,2000-02-23,7507,8315,7507,7991,81220
36,2000-02-24,7992,7992,7604,7910,40870
37,2000-02-25,7677,8072,7515,7910,64260
38,2000-02-28,7911,8476,7863,8153,92350
39,2000-02-29,8476,8557,7854,8072,68940
40,2000-03-02,7911,8274,7911,8072,111230
41,2000-03-03,8315,8557,8113,8395,125210
42,2000-03-06,8315,9485,8315,9121,281630
43,2000-03-07,9364,9364,8637,8637,114880
44,2000-03-08,9081,9929,9081,9929,188350
45,2000-03-09,10898,11382,9445,9444,1100570
46,2000-03-10,10091,10091,9364,9807,338870
47,2000-03-13,10252,11261,10212,11261,764410
48,2000-03-14,11261,11261,9687,9929,328760
49,2000-03-15,10091,10171,9041,9444,202640
50,2000-03-16,9122,9929,8637,8920,204390
51,2000-03-17,9041,9283,8718,8879,158170
52,2000-03-20,9041,9404,8759,9121,153090
53,2000-03-21,9203,9203,8597,8718,154780
54,2000-03-22,8718,9081,8597,8758,159510
55,2000-03-23,8880,9364,8839,8879,271960
56,2000-03-24,9041,9283,8880,9041,152330
57,2000-03-27,9122,9243,8920,9202,139070
58,2000-03-28,9283,9364,9041,9242,129600
59,2000-03-29,9283,10050,9162,9525,443190
60,2000-03-30,9445,9687,9283,9404,233760
61,2000-03-31,9485,9647,8839,8879,176220
