,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,162761,168441,158981,165602,940660
1,2000-01-05,158036,162766,153776,154246,667600
2,2000-01-06,156145,158985,142894,149515,566770
3,2000-01-07,142892,148572,139582,146203,478650
4,2000-01-10,148579,150469,141009,145730,451700
5,2000-01-11,145734,155194,145734,149515,828690
6,2000-01-12,146688,147628,139588,140998,438270
7,2000-01-13,140058,140058,131547,133428,694020
8,2000-01-14,133433,137214,125383,126804,773320
9,2000-01-17,134372,135322,129642,129643,555280
10,2000-01-18,130598,136279,126808,130589,578920
11,2000-01-19,127750,128700,116390,117341,633600
12,2000-01-20,109777,123028,105047,123019,869410
13,2000-01-21,118296,131547,110726,125857,974950
14,2000-01-24,126803,134373,123023,126804,910440
15,2000-01-25,123490,135320,123490,126331,1099980
16,2000-01-26,129175,130125,122075,122545,477470
17,2000-01-27,122078,125388,121138,123019,397150
18,2000-01-28,123020,141470,123020,133901,1885650
19,2000-01-31,132480,143360,131060,135320,1121450
20,2000-02-01,144788,148578,140058,140998,1294740
21,2000-02-02,141003,150463,137213,144783,1480910
22,2000-02-03,146685,150465,140525,148095,978060
23,2000-02-07,147621,153301,147621,149042,740970
24,2000-02-08,149514,149994,140054,141944,588940
25,2000-02-09,142891,145261,137211,140052,516990
26,2000-02-10,137216,144317,133906,136267,518250
27,2000-02-11,137214,145264,131064,141944,1113940
28,2000-02-14,141004,145734,134374,134374,549440
29,2000-02-15,134370,137210,123020,127750,628530
30,2000-02-16,129642,141943,128222,137213,865420
31,2000-02-17,137215,141005,133435,139106,533260
32,2000-02-18,139114,146684,137214,141944,830180
33,2000-02-21,138162,141942,133432,138632,459050
34,2000-02-22,143845,155675,141945,155666,1723600
35,2000-02-23,160403,163243,149043,153773,1571070
36,2000-02-24,153776,170337,153776,169387,1659830
37,2000-02-25,165601,173171,164181,165602,985070
38,2000-02-28,160876,172236,158985,163236,771810
39,2000-02-29,163248,167498,151417,158978,674960
40,2000-03-02,164668,173179,161828,165129,976390
41,2000-03-03,168448,171758,157097,158978,590360
42,2000-03-06,165601,173171,158981,165602,939620
43,2000-03-07,163713,170333,160873,170333,589240
44,2000-03-08,164669,172239,163719,163709,788410
45,2000-03-09,164188,169398,158987,158978,526270
46,2000-03-10,166555,166555,156145,157085,412010
47,2000-03-13,154253,160873,151413,152354,412440
48,2000-03-14,149514,153304,141944,141944,578950
49,2000-03-15,138162,140533,132952,137213,460610
50,2000-03-16,139119,141009,128228,130589,490440
51,2000-03-17,135327,138168,129647,133428,564430
52,2000-03-20,133434,139114,132484,134374,422570
53,2000-03-21,133431,134851,129171,132481,547330
54,2000-03-22,133434,138164,131543,134374,840850
55,2000-03-23,138161,139111,132481,132481,469020
56,2000-03-24,132481,135321,131061,132481,385610
57,2000-03-27,135324,138634,132484,134374,412800
58,2000-03-28,134851,138161,131541,132481,456540
59,2000-03-29,131541,132011,124911,124911,592270
60,2000-03-30,123029,124920,120189,120180,357530
61,2000-03-31,121139,126809,121139,121599,478970
62,2000-04-03,122555,124446,111665,113556,416400
63,2000-04-04,108825,113566,104575,112136,359020
64,2000-04-06,113566,115456,110246,112136,222770
65,2000-04-07,112143,121134,112143,117814,531170
66,2000-04-10,122072,131542,119232,129643,1216190
67,2000-04-11,124911,125861,114031,115921,508550
68,2000-04-12,117818,119718,115458,115448,331070
69,2000-04-14,106938,111668,104098,106458,503410
70,2000-04-17,90844,94634,90844,90844,498580
71,2000-04-18,104095,104095,91984,98415,1019600
72,2000-04-19,102202,113082,100782,104093,1442620
73,2000-04-20,105040,111190,103150,108351,1377350
74,2000-04-21,108823,111193,105513,110244,568510
75,2000-04-24,113081,113081,106461,106931,326880
76,2000-04-25,102208,106939,102208,105039,408410
77,2000-04-26,110720,110720,100780,100781,374580
78,2000-04-27,96054,106465,95584,98415,347150
79,2000-04-28,99836,104096,98416,103146,327170
80,2000-05-02,101738,106469,101738,105039,316070
81,2000-05-03,103152,104092,101732,104093,156810
82,2000-05-04,103153,105993,100783,102673,275110
83,2000-05-08,105992,116393,105992,111663,815690
84,2000-05-09,111194,114504,107404,107405,314290
85,2000-05-10,109305,115456,107885,112136,599770
86,2000-05-12,113084,115454,107404,107405,662330
87,2000-05-15,106931,113561,99361,99361,707490
88,2000-05-16,102670,105990,99830,102200,444680
89,2000-05-17,105992,113562,101252,104093,1047240
90,2000-05-18,97473,102203,89903,93683,522600
91,2000-05-19,93783,95583,85173,91034,615240
92,2000-05-22,87066,89146,77415,77786,579330
93,2000-05-23,70979,76659,70979,72959,634250
94,2000-05-24,69085,77125,64354,71445,1181470
95,2000-05-25,74767,82148,73917,82139,1115350
96,2000-05-26,79967,81298,74767,74757,591310
97,2000-05-29,70032,82142,69082,78543,428240
98,2000-05-30,84035,86875,82045,86775,670530
99,2000-05-31,94637,99368,93687,98888,1104490
100,2000-06-01,97942,103622,93302,96522,1124270
101,2000-06-02,105992,105992,95582,96522,819500
102,2000-06-05,102206,107886,99836,103146,1507060
103,2000-06-07,101256,105047,97946,101727,985360
104,2000-06-08,101732,103623,93212,95103,978560
105,2000-06-09,91794,93684,88764,90844,876950
106,2000-06-12,91796,100317,90946,100307,1263030
107,2000-06-13,94635,98415,92744,94535,662170
108,2000-06-14,92830,96050,90840,93021,346010
109,2000-06-15,90180,91890,86110,86681,413110
110,2000-06-16,89435,91325,86115,88006,486140
111,2000-06-19,86496,88486,84226,85167,380610
112,2000-06-20,87156,88016,83375,86586,307520
113,2000-06-21,88013,91224,86873,87154,447160
114,2000-06-22,89903,89903,85552,86113,286360
115,2000-06-23,85172,89713,84322,86113,254610
116,2000-06-26,86117,91798,86117,89898,622010
117,2000-06-27,92746,94636,90946,94156,612010
118,2000-06-28,92838,97009,91988,93589,420820
119,2000-06-29,95101,95581,88191,88952,449090
120,2000-06-30,88014,89435,86214,89425,354940
121,2000-07-03,91322,102673,90372,102673,2085150
122,2000-07-04,105995,112615,104095,105985,3012930
123,2000-07-05,110721,116391,104571,114502,2505870
124,2000-07-06,115459,118299,110729,112609,1808320
125,2000-07-07,115451,116871,109301,114502,1295980
126,2000-07-10,113560,125380,112140,117341,2210790
127,2000-07-11,116394,119714,108824,108824,1174410
128,2000-07-12,108820,112140,105510,109770,812370
129,2000-07-13,109777,118298,109777,115448,1671530
130,2000-07-14,115451,121131,112141,115921,2363850
131,2000-07-18,119235,124915,116875,122545,2459790
132,2000-07-19,123024,123964,114504,116394,1225770
133,2000-07-20,112614,114034,106934,108824,1025470
