,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,22106,22749,20900,21464,80930
1,2000-01-05,22347,23312,21463,21705,109840
2,2000-01-06,22508,22749,20418,20419,62480
3,2000-01-07,20900,21503,20578,20861,42650
4,2000-01-10,20498,21463,20498,20700,46850
5,2000-01-11,20338,21021,20217,20419,78200
6,2000-01-12,20739,22347,20578,20901,135520
7,2000-01-13,21302,21503,19372,19373,68230
8,2000-01-14,20498,21141,19695,20338,142450
9,2000-01-17,20900,20900,19775,20017,80380
10,2000-01-18,20658,21463,20016,20579,263300
11,2000-01-19,20819,20819,19292,19293,106720
12,2000-01-20,18649,19292,17042,18650,76730
13,2000-01-21,18248,18850,17403,18328,92050
14,2000-01-24,18328,18890,18007,18449,60890
15,2000-01-25,18448,18448,17362,17364,53840
16,2000-01-26,17604,18006,17282,17565,80070
17,2000-01-27,16961,18891,16961,18650,150660
18,2000-01-28,18970,20900,18729,20901,322300
19,2000-01-31,20819,20819,19855,20539,81430
20,2000-02-01,20538,21342,20498,20660,125520
21,2000-02-02,20659,21302,20177,21222,99590
22,2000-02-03,21302,21865,20779,20981,120470
23,2000-02-07,20980,21463,20417,20820,105700
24,2000-02-08,20859,20980,20257,20660,96620
25,2000-02-09,20860,20860,19855,20017,79600
26,2000-02-10,19775,19775,18890,19293,73040
27,2000-02-11,18568,19292,18327,18891,84280
28,2000-02-14,18007,19292,17403,18489,45450
29,2000-02-15,18408,19493,18087,18650,69620
30,2000-02-16,18488,19694,18247,19615,67170
31,2000-02-17,19694,20417,19131,19293,45460
32,2000-02-18,18650,20739,18489,20419,81120
33,2000-02-21,19935,19935,18970,19132,36040
34,2000-02-22,19292,19654,18770,19534,48850
35,2000-02-23,20176,22427,19694,20981,263560
36,2000-02-24,20739,24115,20739,24116,686650
37,2000-02-25,23713,25602,23552,23795,565790
38,2000-02-28,23312,23312,21945,22509,230800
39,2000-02-29,22507,24839,22106,24116,287210
40,2000-03-02,23714,25884,23714,24679,305150
41,2000-03-03,25000,25000,22427,22428,203820
42,2000-03-06,22910,23713,21623,22428,187920
43,2000-03-07,22910,24799,22829,23393,237130
44,2000-03-08,22507,23312,22266,22509,149760
45,2000-03-09,22910,24436,22105,22107,245940
46,2000-03-10,24517,25401,23231,25403,391610
47,2000-03-13,27732,29179,26768,27493,701650
48,2000-03-14,27210,27210,24799,24920,255090
49,2000-03-15,24919,24919,22829,24116,206480
50,2000-03-16,23392,24759,21945,22589,139860
51,2000-03-17,22749,23312,21544,21785,124670
52,2000-03-20,22347,22910,21543,22468,133820
53,2000-03-21,21784,22427,20940,21062,113190
54,2000-03-22,21061,22226,21061,21544,96520
55,2000-03-23,21383,22106,20900,21785,99650
56,2000-03-24,22106,23874,21463,22589,182850
57,2000-03-27,23312,23312,22266,22790,96800
58,2000-03-28,22508,23714,22508,23312,119710
59,2000-03-29,22547,23311,22226,22348,81740
60,2000-03-30,21784,22628,21543,22509,78470
61,2000-03-31,21704,22990,21704,22911,72450
62,2000-04-03,23312,23312,21785,21785,62720
63,2000-04-04,22105,22427,21463,22267,45750
64,2000-04-06,21503,22106,21020,21222,39600
65,2000-04-07,21221,21463,20659,20981,98360
66,2000-04-10,21061,22026,20498,21665,111860
67,2000-04-11,21704,22789,21383,21825,100500
68,2000-04-12,21865,22106,21544,21785,69560
69,2000-04-14,20980,22105,20980,22107,71060
70,2000-04-17,20498,20900,18810,19695,99680
71,2000-04-18,20940,21221,19695,20258,123090
72,2000-04-19,20820,22026,20257,21705,137890
73,2000-04-20,22025,22507,21221,22509,151250
74,2000-04-21,22588,23553,22266,22629,156960
75,2000-04-24,22910,22910,21824,22348,60420
76,2000-04-25,21945,22468,21744,21785,30840
77,2000-04-26,22146,22910,21544,21785,153200
78,2000-04-27,21784,22106,20498,21303,154190
79,2000-04-28,21302,21865,21020,21383,162730
80,2000-05-02,21623,21623,20458,20820,265910
81,2000-05-03,20739,20820,19936,20097,128200
82,2000-05-04,19695,20659,19614,20137,187390
83,2000-05-08,20177,20579,20096,20137,96560
84,2000-05-09,20096,20899,19694,20619,176290
85,2000-05-10,20257,20739,20016,20499,87290
86,2000-05-12,20257,20257,19051,19293,105860
87,2000-05-15,18609,18891,17283,18650,91320
88,2000-05-16,18569,19172,18087,18650,43270
89,2000-05-17,18890,19051,16157,16881,96690
90,2000-05-18,14871,16800,14388,15917,236670
91,2000-05-19,15112,16801,14871,16721,148620
92,2000-05-22,16157,16318,15193,15193,64620
93,2000-05-23,13785,15915,13785,15676,74410
94,2000-05-24,15433,16076,15032,16078,75860
95,2000-05-25,16479,17524,16077,16640,347650
96,2000-05-26,16157,17242,14871,14872,151270
97,2000-05-29,14468,14871,13826,14229,110490
98,2000-05-30,14549,14952,14308,14791,124370
99,2000-05-31,15193,15996,15032,15475,198140
100,2000-06-01,15916,15916,15072,15233,103340
101,2000-06-02,15434,15996,15032,15274,154010
102,2000-06-05,15755,16479,15433,16078,207190
103,2000-06-07,16077,17684,16077,16962,250670
104,2000-06-08,17202,17282,15594,15756,201800
105,2000-06-09,15916,16559,15755,16238,144170
106,2000-06-12,16317,18167,16237,17364,320550
107,2000-06-13,17282,17282,16237,16479,109400
108,2000-06-14,16760,16881,15835,16279,74480
109,2000-06-15,15836,15876,14711,15274,79750
110,2000-06-16,14629,15233,14629,14872,54870
111,2000-06-19,14469,15193,14469,14791,73390
112,2000-06-20,14791,15394,14549,14952,75260
113,2000-06-21,14952,15675,14629,14912,151790
114,2000-06-22,15273,15594,14711,14912,76090
115,2000-06-23,14911,15112,14629,14832,51820
116,2000-06-26,14992,15394,14871,15113,57850
117,2000-06-27,15434,16720,15153,16721,242630
118,2000-06-28,16881,17042,16277,16801,192700
119,2000-06-29,16881,17604,16479,16801,149300
120,2000-06-30,16720,17162,16559,16801,72840
121,2000-07-03,17041,18448,17041,17283,250450
122,2000-07-04,17925,19131,17443,18811,381700
123,2000-07-05,18971,21303,17885,20419,408470
124,2000-07-06,20297,22106,19695,21785,442740
125,2000-07-07,22910,22910,20980,21343,346430
126,2000-07-10,21343,21744,19936,20177,190850
127,2000-07-11,20176,21302,20176,20579,227350
128,2000-07-12,20579,22267,20498,22026,245730
129,2000-07-13,22025,22507,21302,22107,142910
130,2000-07-14,22507,22507,20658,20901,114740
131,2000-07-18,20900,20900,19051,20017,121700
132,2000-07-19,19412,19694,18488,19293,93760
133,2000-07-20,18810,19695,18087,19695,43980
134,2000-07-21,20016,20016,19051,19695,76840
135,2000-07-24,19132,19373,18609,18730,51690
136,2000-07-25,18729,20016,18529,19534,62840
137,2000-07-26,19131,20338,18890,20097,80800
138,2000-07-27,20739,20739,19735,20177,37890
139,2000-07-28,19935,20417,18890,18891,55140
140,2000-07-31,18528,19292,18528,19092,28700
141,2000-08-01,19091,19211,18810,18931,38750
142,2000-08-02,18810,19212,18730,18730,36420
143,2000-08-03,19051,19051,18087,18288,51850
144,2000-08-04,17885,18247,17282,17364,46500
145,2000-08-07,16961,16961,16317,16399,41150
146,2000-08-08,16076,17122,16076,16479,62780
147,2000-08-09,16157,17283,16157,16881,67030
148,2000-08-10,16881,18006,16317,18007,104540
149,2000-08-11,17001,17925,16921,17364,69250
150,2000-08-14,18488,18488,17564,17685,96030
151,2000-08-16,17684,18569,17684,18328,57430
152,2000-08-17,18047,18328,17524,18047,46080
153,2000-08-18,17724,18408,17724,18087,41060
154,2000-08-21,18287,18408,17523,17565,46660
155,2000-08-22,17523,18006,17443,17645,36170
156,2000-08-23,17644,18127,17041,17484,39620
157,2000-08-24,17363,17524,16760,17042,45520
158,2000-08-25,17041,17282,16559,17243,21000
159,2000-08-28,17403,17684,17242,17404,27590
160,2000-08-29,17202,17684,17041,17484,15930
161,2000-08-30,17282,17443,17121,17203,18930
162,2000-08-31,17122,17202,16479,16962,36990
163,2000-09-01,16801,17283,16760,16881,18170
164,2000-09-04,16720,17282,16720,17203,28290
165,2000-09-05,16961,17925,16961,17685,42340
166,2000-09-06,17483,17845,17362,17364,25500
167,2000-09-07,16961,17282,16479,17203,42160
168,2000-09-08,16720,17845,16560,16881,37650
169,2000-09-14,16317,16720,15474,16399,88400
170,2000-09-15,16559,16720,15875,16078,31550
171,2000-09-18,15675,15675,14469,15233,43580
172,2000-09-19,14711,15635,14711,15113,32180
173,2000-09-20,15032,16157,14951,15997,50290
174,2000-09-21,15674,15674,15032,15635,41130
175,2000-09-22,15152,15674,14468,15676,43850
176,2000-09-25,15273,16317,14992,16078,30750
177,2000-09-26,15674,16076,15554,15595,25140
178,2000-09-27,15755,16479,15353,16319,40280
179,2000-09-28,16479,16479,15835,15997,15080
180,2000-09-29,16157,16399,15675,16238,42130
181,2000-10-02,16116,16277,15795,15877,23210
182,2000-10-04,15353,16237,15353,16238,15870
183,2000-10-05,16559,16639,15916,15957,42680
184,2000-10-06,15956,16077,14952,15113,193570
185,2000-10-09,15112,15192,14308,14309,109580
186,2000-10-10,13906,14669,13906,14631,103430
187,2000-10-11,14026,14348,13825,13947,28270
188,2000-10-12,13745,14227,12861,12862,119480
189,2000-10-13,12620,12861,11414,12058,120920
190,2000-10-16,12861,12861,12419,12822,175090
191,2000-10-17,12579,13062,12379,12701,103930
192,2000-10-18,12459,12941,12057,12701,134950
193,2000-10-19,12780,13464,12700,13023,193140
194,2000-10-20,13665,13665,12981,13103,105080
195,2000-10-23,13103,14067,12941,13626,160830
196,2000-10-24,13665,14067,13223,13586,136940
197,2000-10-25,13464,13464,12700,12782,219980
198,2000-10-26,12539,13384,12459,13023,137740
199,2000-10-27,13384,13866,13183,13787,101210
200,2000-10-30,13665,13906,13424,13666,65400
201,2000-10-31,13665,15353,13264,15193,160600
202,2000-11-01,15032,16479,14871,16399,259910
203,2000-11-02,16720,16720,15835,16078,133650
204,2000-11-03,16076,16479,15755,16479,107600
205,2000-11-06,15996,16639,15674,15676,76690
206,2000-11-07,15675,15996,14992,15274,58940
207,2000-11-08,15514,15915,14951,15917,101200
208,2000-11-09,16037,16037,15313,15314,67810
209,2000-11-10,15313,15434,14469,15354,61530
210,2000-11-13,14872,15916,14872,15515,71410
211,2000-11-14,15473,15755,15232,15555,41860
212,2000-11-15,15755,15876,15072,15073,77050
213,2000-11-16,15273,15434,15032,15434,182080
214,2000-11-17,15434,15434,14952,15434,29780
215,2000-11-20,15313,15514,15112,15193,21340
216,2000-11-21,14549,15153,14549,15153,30790
217,2000-11-22,14791,15032,14629,14711,24090
218,2000-11-23,14067,14710,14067,14389,22340
219,2000-11-24,14227,14549,14227,14389,16820
220,2000-11-27,14630,15675,14388,15113,49300
221,2000-11-28,14952,15353,14711,14912,23240
222,2000-11-29,14629,14629,13866,13987,29220
223,2000-11-30,13745,14308,13464,14309,55040
224,2000-12-01,13344,14791,13344,14791,53970
225,2000-12-04,14951,15032,13785,14309,39510
226,2000-12-05,14308,14629,13986,14590,94000
227,2000-12-06,14589,15072,14067,14068,49530
228,2000-12-07,13906,14308,13866,14148,52720
229,2000-12-08,14227,14468,13906,14389,24590
230,2000-12-11,14469,15032,14469,14952,37140
231,2000-12-12,14871,14871,14187,14470,62910
232,2000-12-13,14469,16560,14469,15515,199470
233,2000-12-14,14871,15394,14791,15193,122000
234,2000-12-15,14871,15514,14871,15153,114900
235,2000-12-18,14711,15273,14549,14992,78810
236,2000-12-19,15032,15032,14067,14430,23130
237,2000-12-20,13746,14228,13344,13344,26180
238,2000-12-21,12861,13665,12379,13666,24790
239,2000-12-22,13665,13665,12660,13184,21120
240,2000-12-26,13545,14469,12780,14470,41560
241,2001-01-02,13826,14187,13343,14068,18800
242,2001-01-03,13384,13826,13384,13746,22690
243,2001-01-04,14147,14428,13745,13987,81420
244,2001-01-05,13987,13987,13304,13344,80840
245,2001-01-08,13344,13705,13264,13344,100060
246,2001-01-09,13424,13786,13264,13626,101100
247,2001-01-10,13666,14148,13625,13867,163970
248,2001-01-11,14067,14067,13344,13666,120330
249,2001-01-12,13746,13947,13424,13425,133400
250,2001-01-15,13424,13746,13304,13626,91940
251,2001-01-16,13505,13665,13103,13505,75550
252,2001-01-17,13625,13906,13264,13505,104480
253,2001-01-18,13665,13746,13344,13385,46720
254,2001-01-19,13384,13746,13344,13586,62180
255,2001-01-22,13826,14267,13826,14068,80340
256,2001-01-26,14067,14107,13585,13586,54810
257,2001-01-29,13344,13706,13344,13465,40340
258,2001-01-30,13746,13987,13424,13425,97500
259,2001-01-31,13907,13907,13545,13827,31590
260,2001-02-01,13665,13826,13545,13706,25680
261,2001-02-02,13505,13866,13505,13827,32370
262,2001-02-05,13545,13906,13464,13505,34000
263,2001-02-06,13505,13746,13505,13586,19950
264,2001-02-07,13505,13705,13344,13425,35970
265,2001-02-08,13384,13826,13344,13706,54170
266,2001-02-09,13745,14067,13424,13947,88910
267,2001-02-12,14026,14187,13705,13987,39760
268,2001-02-13,13826,13987,13585,13746,56830
269,2001-02-14,13746,13866,13505,13706,90820
270,2001-02-15,13826,14629,13625,14430,189830
271,2001-02-16,14669,14669,14147,14309,58410
272,2001-02-19,13947,14027,13706,13827,43730
273,2001-02-20,13745,14227,13665,14148,62710
274,2001-02-21,14227,14791,14187,14309,103570
275,2001-02-22,14067,14308,13745,14028,42220
276,2001-02-23,14067,14791,13906,14550,103400
277,2001-02-26,14549,15674,14549,15635,200180
278,2001-02-27,15634,15795,15072,15635,98120
279,2001-02-28,15273,15755,15273,15274,73030
280,2001-03-02,15273,15273,14308,14470,82250
281,2001-03-05,14469,14629,14147,14470,41950
282,2001-03-06,14669,15112,14268,14510,56680
283,2001-03-07,14589,14871,14388,14470,41970
284,2001-03-08,14670,15193,14549,14872,90300
285,2001-03-09,14710,14831,14509,14631,53750
286,2001-03-12,14148,14429,13786,13787,49130
287,2001-03-13,13022,13424,13022,13304,34510
288,2001-03-14,13665,13746,13384,13586,27830
289,2001-03-15,13103,14469,13021,14470,64020
290,2001-03-16,14227,14227,13745,14068,46290
291,2001-03-19,14026,14468,13745,14108,25120
292,2001-03-20,14147,14549,14067,14108,36000
293,2001-03-21,13826,14710,13826,14590,33460
294,2001-03-22,14187,14791,14187,14751,51580
